entry_id	trans_english	Trinitario_Phonemic
1.1	world	ʔpoɣʔe
1.21	earth, land	ʔpoɣʔe
1.212	earth=ground, soil	'motehi
1.213	dust	'motehi
1.214	mud	'tʸurahi
1.215	sand	ta'woparu
1.22	mountain, hill	ʔnuɣʔe mari
1.222	cliff, precipice	tačusi
1.23	plain, field	womʔi
1.24	valley	
1.25	island	tʸuupuʔi
1.26	mainland	
1.27	shore	ta'čočoku
1.28	cave	-peno
1.31	water	une; -'une-ra
1.32	sea	
1.322	calm (of sea)	tmotnaʔi
1.323	rough (of sea)	
1.324	foam	tarissohi
1.329	ocean	
1.33	lake	koɣure
1.34	gulf, bay	
1.341	lagoon	koɣure
1.342	reef	
1.343	headland, point	
1.35	wave	tapkuuʔo
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	khokre
1.362	whirlpool	roʔera
1.37	spring, well	skoku
1.38	swamp	y'momohi
1.39	waterfall	
1.41	woods, forest	smeno
1.42	tree (cf 08.600)	wkuɣi; ykuɣi
1.43	wood	wkuɣi; ykuɣi
1.44	stone, rock	mari; mari-haʔi
1.45	earthquake	-yamriko ʔpoɣʔe
1.51	sky	anumo
1.52	sun	sače
1.53	moon	kohe
1.54	star	hreeɣi
1.55	lightning	emareko
1.56	thunder	-čunnuko
1.57	lightning (as striking)	-ec̷'čarako
1.58	storm	
1.59	rainbow	oʔe
1.61	light (noun)	-meča; -mikʔu
1.62	darkness	-mopku; ta'mopkuwo
1.63	shade, shadow	tkawi
1.64	dew	ʔyoru
1.71	air	
1.72	wind	tektikwo
1.73	cloud	'ukohi
1.74	fog	ʔyoru
1.75	rain (noun)	tɣiwo
1.76	snow (noun)	
1.77	ice	
1.78	weather	
1.81	fire	yuku; -yukne
1.82	flame (noun)	-nene-yuku
1.83	smoke (noun)	'ɣhorepa; 'ɣhore
1.84	ashes	c̷mapa
1.841	embers	tamoni
1.851	burn (vb trans)	-niko; -yustako
1.852	burn (vb intrans)	-riiko
1.86	light, kindle, ignite	-pohko
1.861	extinguish	emʔo; -kemʔo
1.87	match (noun)	[pahwera]
1.88	firewood	tohɣeru
1.89	charcoal	monɣi
2.1	person, human being	ʔčane
2.21	man (vs. woman)	oʔʸono
2.22	woman	ʔseno
2.23	male	ʔhiro
2.24	female	
2.25	boy	
2.251	young man (adolescent)	'ʔretona
2.26	girl	
2.261	young woman (adolescent)	ʔčeno
2.27	child	ʔmoyo; 'ʔmoperu
2.28	infant, baby	ʔmoyo
2.31	husband	-ima
2.32	wife	-yeno
2.33	marry	itučwo
2.34	marriage, wedding	
2.341	divorce	
2.35	father	tata
2.36	mother	-eno; meme
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	-čiča
2.42	daughter	-čiča
2.43	offspring (son or daughter)	
2.44	brother	-ati
2.444	older brother	-'porape; 'ečowi
2.445	younger brother	ati
2.45	sister	-ati
2.454	older sister	-'porape; 'ečowi
2.455	younger sister	ati
2.456	sibling	
2.458	twins	čoho
2.46	grandfather	-očko
2.461	old man	
2.47	grandmother	-oc̷e
2.471	old woman	
2.48	grandson	-amri
2.49	granddaughter	-amri
2.51	uncle	-apʸaru
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	-apenru
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	-čera
2.54	niece	-čehi
2.55	cousin	
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	imčuko
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	imse
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	-čina; čnare
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	-'čineno
2.641	daughter-in-law (of a woman)	
2.71	stepfather	tata-raʔo
2.72	stepmother	meme-reʔo
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	wača
2.76	widow	-emuimarahi semuinarahi
2.77	widower	muemyenorohi
2.81	relatives, kinsmen	-haɲono
2.82	family	-haɲono
2.91	I	n-
2.92	you (singular)	p-; pʸ-
2.93	he/she/it	ma- ~ mue-; ema; enʸi
2.94	we	w- ~ wʸ-
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	(zero); ʔʸ-
2.96	they	na-; nae-
3.11	animal	'sorare
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	[wiye]
3.23	cow	[waka]
3.24	calf	
3.25	sheep	[ʔwesa]
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	smoru
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	[kwoyu]
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	
3.5	fowl	
3.52	cock, rooster	ʔhiiʔi
3.54	hen	wrayu
3.55	chicken	wrayu
3.56	goose	
3.57	duck	ʔpohi
3.58	nest	tamoko; ta'mokohi
3.581	bird	koyre
3.582	seagull	c̷weʔi
3.583	heron	c̷nʸuuno
3.584	eagle	čopo; pripri
3.585	hawk	
3.586	vulture	
3.591	bat	wite
3.592	parrot	čora; woru
3.593	crow	
3.594	dove	siwi
3.596	owl	
3.61	dog	paku
3.614	rabbit	myuko
3.62	cat	mic̷i
3.622	opossum	
3.63	mouse, rat	koc̷o; ʔc̷aru
3.65	fish	himo
3.652	fin (dorsal)	
3.653	fishscale	
3.654	gill	
3.655	shell	
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	
3.665	freshwater eel	'ʔtirepi
3.71	wolf	
3.72	lion	tʸore
3.73	bear	
3.74	fox	čuye
3.75	deer	ropo; khowo
3.76	monkey	iyo
3.77	elephant	
3.78	camel	
3.81	insect	
3.811	louse	inʸe
3.812	nit (louse egg)	
3.813	flea	'stukaya
3.814	centipede	'tnʸosopi
3.815	scorpion	sose'čreɣi
3.816	cockroach	poymo
3.817	ant	kčiru
3.818	spider	mtono
3.819	spider web	
3.82	bee	'moposi
3.821	beeswax	mophui
3.822	beehive	hanemoko
3.823	wasp	hane
3.83	fly	ʔčuwe
3.831	sandfly (midge), gnat	'wayosi; pac̷iisi
3.832	mosquito	ʔnʸiʔu
3.84	worm	ɣ'ɣorepi; -kane
3.85	snake	ɣɣore; činʸompi
3.91	firefly	ʔriɣnʸo
3.92	butterfly	
3.93	grasshopper	
3.94	snail	
3.95	frog	uupe
3.96	lizard	khʸure
3.97	crocodile, alligator	me'romero
3.98	turtle	sipu; trakayasi
4.11	body	-oɣʔe
4.12	skin, hide	-ummo
4.13	flesh	eče
4.14	hair (head)	-čutmoko; čtimkore
4.142	beard	-hii-mama
4.144	body hair	-'hiyoʔo
4.145	pubic hair	
4.146	dandruff	
4.15	blood	-itne; iti
4.151	vein, artery	it'nerepi
4.16	bone	'ʔʸopeɣe
4.162	rib	-hii'monepa
4.17	horn	-hiʔu
4.18	tail	-ihɣi
4.19	back	-muiɣʔe; -ɣeku
4.191	spine	-mic̷ɣiiɣi
4.2	head	-čutmoko; -čuti
4.201	side of head, temple	
4.202	skull	čtire
4.203	brain	-'kuyahi; -kuyarahi
4.204	face	-miro; hmiro
4.205	forehead	-noʔu
4.207	jaw	-pani
4.208	cheek	-puku
4.209	chin	-mama
4.21	eye	-uɣʔa
4.212	eyebrow	-hiičonoʔu
4.213	eyelid	-uɣmo
4.214	eyelash	-'moc̷ipa
4.215	blink	
4.22	ear	-čoka
4.221	earlobe	
4.222	earwax	
4.23	nose	-siri
4.231	nostril	-sii-peno
4.232	mucus (nasal)	-mučhi
4.24	mouth	-haka
4.241	beak	-haka; ta-haka
4.25	lip	-čeyo
4.26	tongue	-nene
4.27	tooth	oʔe
4.271	gums	
4.272	molartooth	-hakaraɣi
4.28	neck	-'piɣenu
4.281	nape of neck	
4.29	throat	'ereno
4.3	shoulder	-hiʔu
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	-powɣi
4.312	armpit	-'siɣeku
4.32	elbow	-c̷uc̷u
4.321	wrist	-woʔu
4.33	hand	-wupe
4.331	palm of hand	-tupopewʔu
4.34	finger	-wuɣi
4.342	thumb	ʔčope -wuɣi
4.344	fingernail	-hipnʸo
4.345	claw	-hipnʸo
4.35	leg	-pueɣe
4.351	thigh	-paʔe
4.352	calf of leg	-'hewehi
4.36	knee	-'puyusi
4.37	foot	-iype
4.371	ankle	-piɣi
4.372	heel	-čuksipewo
4.374	footprint	-iy'pereku
4.38	toe	-iwɣi
4.392	wing	-powo
4.393	feather	-'hiyoʔi
4.4	chest	-tupo
4.41	breast (of woman)	-čene
4.412	nipple, teat	-čene
4.42	udder	
4.43	navel	-tuyu; -tuyrupi
4.44	heart	-samre
4.441	lung	-'romone
4.45	liver	-'topono
4.451	kidney	-kotru
4.452	spleen	
4.46	stomach	-omi; -nʸuri
4.461	intestines, guts	-yeeruwhuʔe
4.462	waist	-nʸoʔe
4.463	hip	-'sokono
4.464	buttocks	-tete
4.47	womb	-čičaraʔi
4.49	testicle	-aɣi
4.492	penis	e'hirowo
4.51	breathe, breath	-omčo
4.52	yawn, gape	iiyarakwo
4.521	hiccough	-tuʔkuʔo
4.53	cough	-unko -wo
4.54	sneeze	-ahc̷iko
4.55	perspire	epac̷uko
4.56	spit	-attiko
4.57	vomit	-oʔko
4.58	bite	-niko; -nikririko
4.59	lick	eweroko
4.591	dribble	
4.61	sleep	imko
4.612	snore	-kočo'ronohi
4.62	dream	-wop'rereʔi
4.63	wake up	ehamiko
4.64	break wind	ehwako
4.65	urinate	-hoʔo
4.66	defecate	-soko
4.67	have sexual intercourse	-anʸoko; -'aneko
4.68	shiver	ettotoko
4.69	bathe	ikčo
4.71	beget (of father)	-kočiča
4.72	born (to be)	-učko
4.73	pregnant	-'kohari
4.732	conceive	
4.74	live, living, life	itoriko
4.75	die, dead	-'epeno
4.751	drowned	eeko; -keeko
4.76	kill	-'kopako
4.77	corpse	-epeno-ɣne
4.78	bury (the dead)	'ekoro
4.79	grave, tomb	'ekori; ekorosi
4.81	strong, mighty, powerful	-ʔtume
4.82	weak	wo-ʔtume-na
4.83	well, health	mhumarare
4.84	sick, sickness	-kohma
4.841	fever	tihre
4.842	goiter	
4.843	cold (catarrh)	
4.85	wound, sore	-hora
4.852	bruise	-'horomo
4.853	swelling	-amo
4.854	itch	-uhaʔo
4.855	blister	emiu
4.856	boil (noun)	-ammoʔo; -c̷eɣe
4.857	pus	
4.858	scar	-hora; -horeni
4.86	cure, heal	ipruhčo
4.87	physician	ipruhrikraʔi
4.88	medicine, drug	-ipruhi; ʔpuuhi
4.89	poison	ʔmoti; -'moti-wo
4.91	tired, weary	-wita; -wta
4.912	rest	-'narako
4.92	lazy	-yakhi
4.93	bald	
4.94	lame	inʸu
4.95	deaf	mɣinʸo
4.96	mute	[upa]; eʔ[upa]čo
4.97	blind	hmaʔu; pučuɣi
4.98	intoxicated	-kowʔo
4.99	naked, bare	ipc̷ino; ip'c̷inoʔe; ip'c̷inohi
5.11	eat	-niko
5.12	food	-čeehi; čaruhi
5.121	cooked	-'imaɣi
5.122	raw	
5.123	ripe	-yoʔo
5.124	green, unripe	
5.125	rotten	-heče
5.13	drink	-ero; eeriko
5.14	hunger	ekʔo
5.141	famine	ʔkomʔi
5.15	thirst	etarako
5.16	suck	-čučko
5.18	chew	-nuʔo
5.181	swallow	-hiiko
5.19	choke	-kohpanko
5.21	cook	imaɣi-čo
5.22	boil (vb)	-riʔčoko
5.23	roast, fry	htooko; -suuko
5.24	bake	-kohoono
5.25	oven	[hoono]
5.26	pot, cooking vessel	met-si
5.27	kettle	met-si
5.28	pan	
5.31	dish	
5.32	plate	-kuuho; kruho
5.33	bowl	
5.34	pitcher, jug	yupi
5.35	cup, drinking vessel	-eerisi / -eeresi
5.36	saucer	
5.37	spoon	-kok'čarahi
5.38	knife	-tumra; ʔčatrope
5.39	fork	
5.391	tongs	
5.41	meal (a)	-čeehi; čaruhi
5.42	breakfast	
5.43	lunch	-niipo
5.44	dinner	
5.45	supper	
5.46	peel	-čoʔiko
5.47	sieve, strain	-koɣheko
5.48	scrape	
5.49	stir, mix	-siiɣičo
5.51	bread	ʔsomo
5.53	dough	
5.54	knead	
5.55	meal, flour	
5.56	crush, grind	
5.57	mill	
5.58	mortar	
5.59	pestle	
