entry_id	trans_english	Toba_Phonemic
2.56	ancestors	l-taʔa-lpi
2.57	descendants	ɲaʁat-aʁa
2.61	father-in-law (of a man)	l-ačoʔ
2.611	father-in-law (of a woman)	l-ačoʔ
2.62	mother-in-law (of a man)	l-ačodo
2.621	mother-in-law (of a woman)	l-ačodo
2.63	son-in-law (of a man)	l-adon-aʁan-ek
2.631	son-in-law (of a woman)	l-adon-aʁan-ek
2.64	daughter-in-law (of a man)	l-ate
2.641	daughter-in-law (of a woman)	l-ate
2.71	stepfather	l-ʔaal-ek l-taʔa
2.72	stepmother	l-ʔaal-e l-ateʔe
2.73	stepson	l-ʔaal-ek lʸ-alek
2.74	stepdaughter	l-ʔaal-e lʸ-ale
2.75	orphan	saplo-ḳ; saplo-ʁo
2.76	widow	paʔai
2.77	widower	paʔai-k
2.81	relatives, kinsmen	n-ʔak; l-apač-iǰaʁawa
2.82	family	la-woʔ l-ʔek; la-woʔ l-aši
2.91	I	ayim
2.92	you (singular)	ʔam
2.93	he/she/it	-maǰi
2.94	we	ḳomiʔ; ḳomi
2.941	we (inclusive)	--
2.942	we (exclusive)	--
2.95	you (plural)	ḳamiʔ; ḳami
2.96	they	-maǰi-pi
3.11	animal	šigiyak
3.12	male (adj)	yale
3.13	female (adj)	ʔalo
3.15	livestock	la-lo
3.16	pasture	ʔawaḳ-pi
3.18	herdsman	[waaka] lʔo
3.19	stable, stall	[waaka] l-maʔ
3.2	cattle (bovine)	[waaka]; ɲi [waaka]
3.21	bull	[waaka]
3.22	ox	[woi]
3.23	cow	[waaka]
3.24	calf	[waaka] l-[i]ale-k
3.25	sheep	ḳageta; ḳaigeta
3.26	ram	ḳageta l-wad-aik
3.28	ewe	ḳageta ʔalo
3.29	lamb	ḳageta l-[i]ale-k
3.32	boar	[kos] yale
3.34	sow	[kos] ʔalo
3.35	pig	kos l-ateʔe
3.36	goat	ketaḳ
3.37	he-goat	peenaḳ
3.38	kid	ketaḳ l-[i]ale-k
3.41	horse (equine)	[kaayo]
3.42	stallion	[kaayo] l-wad-aik
3.44	mare	[kaayo]
3.45	foal, colt	[kaayo] l-[i]ale-k
3.46	ass, donkey	[ʔašina]
3.47	mule	[moola]
3.5	fowl	--
3.52	cock, rooster	ʔolgaʁa
3.54	hen	ʔolgaʁa
3.55	chicken	ʔolgaʁa
3.56	goose	--
3.57	duck	--
3.58	nest	l-pataʔk
3.581	bird	ḳoyo
3.582	seagull	--
3.583	heron	
3.584	eagle	
3.585	hawk	
3.586	vulture	tegesan
3.591	bat	mikai
3.592	parrot	ʔeleʔ
3.593	crow	--
3.594	dove	ḳotoʔ
3.596	owl	
3.61	dog	pioḳ
3.614	rabbit	danagišik
3.62	cat	miiča
3.622	opossum	ʔal
3.63	mouse, rat	čigoʁonaʁa
3.65	fish	nyaḳ
3.652	fin (dorsal)	l-laʁa-ši
3.653	fishscale	l-so
3.654	gill	l-ḳost-e
3.655	shell	l-ʔok
3.661	shark	--
3.662	porpoise, dolphin	--
3.663	whale	--
3.664	stingray	lakataik
3.665	freshwater eel	amap
3.71	wolf	--
3.72	lion	sawaʁaik
3.73	bear	--
3.74	fox	waʁayaʁa
3.75	deer	ɲiʔimši
3.76	monkey	woyim
3.77	elephant	loko-l-owe
3.78	camel	--
3.81	insect	
3.811	louse	l-ala-ʁat
3.812	nit (louse egg)	l-atoʁomata
3.813	flea	pioḳ l-ala-ʁat
3.814	centipede	
3.815	scorpion	pelaḳtoik; pelaḳtoit
3.816	cockroach	
3.817	ant	ḳagesaḳ; ḳaigesaḳ
3.818	spider	palačiǰaʁa
3.819	spider web	l-ʔoʁon-ek
3.82	bee	teʔesaḳ
3.821	beeswax	pik l-apa ~ l-apa dapik
3.822	beehive	wanaik
3.823	wasp	
3.83	fly	lotaʁaɲi
3.831	sandfly (midge), gnat	čitole
3.832	mosquito	ʔayat
3.84	worm	ḳočiʔl
3.85	snake	n-ʔad-aʁan-aḳ
3.91	firefly	wačoʔo
3.92	butterfly	toʁotoḳ
3.93	grasshopper	šiikioʁoi
3.94	snail	našiyo
3.95	frog	miyo
3.96	lizard	malaʁ-aik
3.97	crocodile, alligator	da-ʔai-l-ʔok
3.98	turtle	pot-aʁan-aʁat
4.11	body	l-ʔok
4.12	skin, hide	l-ʔok
4.13	flesh	l-apat
4.14	hair (head)	l-awe
4.142	beard	l-ḳaʔ l-awe
4.144	body hair	l-aso
4.145	pubic hair	n-amo l-awe
4.146	dandruff	l-ḳaik l-apagaʁ-a
4.15	blood	l-tago-ʔ-ḳ
4.151	vein, artery	l-ʔota
4.16	bone	l-piʔinek
4.162	rib	l-čišit
4.17	horn	l-kowe
4.18	tail	l-ʔad-aʁašit
4.19	back	l-laḳ
4.191	spine	l-laḳ l-piʔinek
4.2	head	l-ḳaik
4.201	side of head, temple	l-ḳaik l-ayi
4.202	skull	l-ḳaik l-piʔinek
4.203	brain	l-apiʔoʁo
4.204	face	l-ašik
4.205	forehead	l-atap
4.207	jaw	l-anok
4.208	cheek	l-amelke
4.209	chin	l-ḳaʔ
4.21	eye	l-ʔaite
4.212	eyebrow	n-pe l-awe
4.213	eyelid	l-ʔai l-apoʔ; l-ʔaite l-ḳaʔ
4.214	eyelash	l-lote
4.215	blink	n-ḳačigoʁo-ɲi
4.22	ear	l-tela
4.221	earlobe	l-tela da-ʔam
4.222	earwax	l-tela lʸ-iʔiwa-ʁa
4.23	nose	l-mik
4.231	nostril	l-mik l-awak-o
4.232	mucus (nasal)	n-kopiʔ
4.24	mouth	al-ap
4.241	beak	n-ašip
4.25	lip	n-ašip; al-ak
4.26	tongue	l-ačaʁat
4.27	tooth	l-we
4.271	gums	l-we l-apat
4.272	molartooth	l-we l-anogi-ši
4.28	neck	l-ḳosot
4.281	nape of neck	l-anaʔḳ
4.29	throat	l-ḳoičiki
4.3	shoulder	l-alʸak
4.301	shoulderblade	
4.302	collarbone	l-ataʁaki l-piʔinek
4.31	arm	l-waḳ
4.312	armpit	l-saḳtaki
4.32	elbow	l-ḳote
4.321	wrist	l-waḳ n-kig-aʁaki
4.33	hand	l-waḳ; n-apokn-a
4.331	palm of hand	l-waḳ la-wel
4.34	finger	l-[i]aʁaata
4.342	thumb	l-[i]aʁaata l-ateʔe
4.344	fingernail	l-nat
4.345	claw	n-nat
4.35	leg	l-či
4.351	thigh	l-telʔeta; l-či l-amo
4.352	calf of leg	lʸ-iʔači
4.36	knee	l-lʸikte
4.37	foot	l-apiaʔ
4.371	ankle	n-ḳonakamo
4.372	heel	lʸ-iʔaʁa
4.374	footprint	l-apiaʔ lʸ-ik
4.38	toe	l-ḳona
4.392	wing	l-awa
4.393	feather	l-awe
4.4	chest	l-toge
4.41	breast (of woman)	l-tete
4.412	nipple, teat	l-tete l-ḳaik
4.42	udder	l-tete
4.43	navel	l-kom
4.44	heart	l-kiǰaḳte
4.441	lung	l-ači-ʔ
4.45	liver	l-lamek
4.451	kidney	l-či-giši
4.452	spleen	l-paḳ
4.46	stomach	da-ʔam
4.461	intestines, guts	la-il-šik; la-wel l-ʔek
4.462	waist	l-asot
4.463	hip	lʸ-iige
4.464	buttocks	n-ateʔ
4.47	womb	l-koʔo-ʁoki
4.49	testicle	l-ola
4.492	penis	n-koʔoweʔ
4.51	breathe, breath	l-ʔat
4.52	yawn, gape	d-ato-tak
4.521	hiccough	l-miaʔḳ
4.53	cough	d-asoknata; d-asopnata
4.54	sneeze	n-ḳašin
4.55	perspire	n-soḳ-či-giɲi
4.56	spit	n-ḳaigoḳ
4.57	vomit	anol
4.58	bite	i-nak
4.59	lick	n-api-lek
4.591	dribble	ɲit-ta-ɲi
4.61	sleep	do-ʔoči
4.612	snore	n-ḳolo-tak
4.62	dream	de-čoʁon
4.63	wake up	n-lo-wek
4.64	break wind	do-ɲi
4.65	urinate	l-te
4.66	defecate	da-ʔat-aʁan
4.67	have sexual intercourse	awok
4.68	shiver	i-wiloʁol
4.69	bathe	n-ačil
4.71	beget (of father)	i-koʔo-n
4.72	born (to be)	ɲi-giɲi
4.73	pregnant	wal-aʁai
4.732	conceive	--
4.74	live, living, life	n-kaʔal-eek; l-kaʔal-aʁaik
4.75	die, dead	lew-aʁaik
4.751	drowned	ʔog-aʁaik
4.76	kill	y-alawat
4.77	corpse	lew-aʁaik
4.78	bury (the dead)	i-laǰ-iɲi
4.79	grave, tomb	n-wačiki
4.81	strong, mighty, powerful	ʔaɲ-aʁaik
