entry_id	trans_english	Ecun_Buyang_Phonemic
1.1	world	hap.55 ʔbun.24
1.21	earth, land	ɔt.55
1.212	earth=ground, soil	ɔt.55
1.213	dust	muk.55 mɔn.33; ɔt.55 mun.33; ɔt.55 a:i.24
1.214	mud	ɔt.55 hɔ.33
1.215	sand	ɔt.55 śa.33
1.22	mountain, hill	po.32
1.222	cliff, precipice	ʔba:ŋ.33 mut.55
1.23	plain, field	nɔk.55 a.55; po.32 a.55
1.24	valley	lɔŋ.11 toŋ.33
1.25	island	ʔbuŋ.55 δo.11
1.26	mainland	te.11 ɔŋ.32
1.27	shore	ϑam.33; δaŋ.33
1.28	cave	ɔŋ.32
1.31	water	ha:i.33
1.32	sea	fut.55 fa:u.33
1.322	calm (of sea)	ha:i.33
1.323	rough (of sea)	tam.33
1.324	foam	tam.33
1.329	ocean	tu.31 ɔŋ.32
1.33	lake	ɔŋ.32 foŋ.33
1.34	gulf, bay	ɔŋ.32 a.55; qa.0 δo.31 ɔŋ.32 δo.31
1.341	lagoon	ɔŋ.32 ʔbɔk.55; śiŋ.33
1.342	reef	po.32 hɔt.31
1.343	headland, point	hɔt.31
1.35	wave	hɔt.31
1.352	tide	ma.0 δa.33
1.353	lowtide	ma.0 δa.33
1.354	hightide	ʔbun.24
1.36	river, stream, brook	tu.0 vən.24
1.362	whirlpool	a:ŋ.33 ti:n.11
1.37	spring, well	la.0 lɔŋ.33
1.38	swamp	lɨ:n.33 pja.31(33)
1.39	waterfall	pu.55 pja.33
1.41	woods, forest	ʔbun.24 ʔdiə.55
1.42	tree (cf 08.600)	ʒu:t.31 man.55
1.43	wood	lɔŋ.11 ua.33
1.44	stone, rock	ʔbun.24 tɔt.55; a:ŋ.32
1.45	earthquake	ʔba:ŋ.31 ŋa:ŋ.11
1.51	sky	δam.31; e.0 ŋau.33
1.52	sun	ɔŋ.32 ta:i.33
1.53	moon	e.0 vəŋ.33
1.54	star	e.0 vən.33
1.55	lightning	la.0 mok.31
1.56	thunder	la.0 mok.31
1.57	lightning (as striking)	ʒu:t.33
1.58	storm	a.0 me.33
1.59	rainbow	a.0 me.33
1.61	light (noun)	ma:k.55 ϑi.53
1.62	darkness	pi.24
1.63	shade, shadow	at.55
1.64	dew	ma.0 tu.53
1.71	air	śa.53; śum.31
1.72	wind	tɨ.32
1.73	cloud	śa.53 pi.24; muə.33 pi.24
1.74	fog	ʔdap.55 pi.24
1.75	rain (noun)	hɔ.55 cha:i.31
1.76	snow (noun)	śui.24
1.77	ice	tha:n.11
1.78	weather	ma.0 iŋ.24
1.81	fire	la:k.53 ϑe.24
1.82	flame (noun)	la:k.53 iŋ.33
1.83	smoke (noun)	la:k.53 ϑe.24
1.84	ashes	la:k.53 iŋ.33
1.841	embers	oi.55 ϑe.24
1.851	burn (vb trans)	oi.55 ha:u.53
1.852	burn (vb intrans)	oi.55 ϑo.24
1.86	light, kindle, ignite	la:k.53 ϑo.24 man.53
1.861	extinguish	la:k.53 oi.55
1.87	match (noun)	oi.55 num.31
1.88	firewood	la:k.53 ϑe.24
1.89	charcoal	la:k.53 iŋ.33
2.1	person, human being	δu:p.55 ma.0 liu.33
2.21	man (vs. woman)	li.11 hun.33
2.22	woman	pa.53
2.23	male	mi.11
2.24	female	pa.55 paŋ.11 mi.11
2.25	boy	la:k 31
2.251	young man (adolescent)	la:ŋ.31 iŋ.31
2.26	girl	ʔba:ŋ.31 la:k.31; bɔŋ.55 ʔda:ŋ.31
2.261	young woman (adolescent)	pi.24 ʒuə.31
2.27	child	kɔ.33 kɔ.33
2.28	infant, baby	va:i.33 ʒuə.31
2.31	husband	pi.24 un.31
2.32	wife	va:i.33 ce.33
2.33	marry	va:i.33 un.31
