entry_id	trans_english	Southern_Tai_of_Songkhla_Phonemic
1.1	world	lo:k.4
1.21	earth, land	phɛn.1 din.2
1.212	earth=ground, soil	din.2
1.213	dust	fun.1
1.214	mud	klo:n.3
1.215	sand	sa:j.3
1.22	mountain, hill	khaw.1
1.222	cliff, precipice	cɔ:m.2 pluak.4
1.23	plain, field	na:.6 pha:.1
1.24	valley	thuŋ.4
1.25	island	hup.8 khaw.1
1.26	mainland	kɔʔ.9
1.27	shore	phɛn.1 din.2 jaj.1
1.28	cave	liŋ.3
1.31	water	tham.5
1.32	sea	na:m.7
1.322	calm (of sea)	le:.3
1.323	rough (of sea)	khɨ:n.4 ŋiap.4
1.324	foam	jaŋ.3 khlɨ:n.4
1.329	ocean	fɔ:ŋ.3
1.33	lake	ma.3 ha:.10 sa.3 mut.8 (Bangkok)
1.34	gulf, bay	le:.3 sa:p.8
1.341	lagoon	bɔ:.2 na:m.7
1.342	reef	ʔa:w.2
1.343	headland, point	le:.3 sa:p.8 khɛ:.4 le:.3
1.35	wave	hin.1 sɔk.8 khlo:k.4
1.352	tide	lɛm.1
1.353	lowtide	khlɨ:.4
1.354	hightide	na:m.4 khɨn.6 na:m.4 loŋ.3
1.36	river, stream, brook	na:m.4 loŋ.3
1.362	whirlpool	na:m.4 khɨn.6
1.37	spring, well	mɛ:.4 na:m.7
1.38	swamp	na:m.7 won.3
1.39	waterfall	na:m.7 phu.7
1.41	woods, forest	nɔ:ŋ.1
1.42	tree (cf 08.600)	na:m.7 tɔk.9
1.43	wood	pa:.2
1.44	stone, rock	ton.6 ma:j.7
1.45	earthquake	ma:j.7
1.51	sky	hin.1
1.52	sun	kuat.9
1.53	moon	phɛn.1 din.2 waj.1
1.54	star	fa:.7
1.55	lightning	wan.3
1.56	thunder	duaŋ.3 can.2
1.57	lightning (as striking)	da:w.3
1.58	storm	fa:.7 mlɛ:p.4
1.59	rainbow	fa:.7 rɔ:ŋ.7 lɔ:ŋ.7
1.61	light (noun)	fa:.7 rɔ:ŋ.7 lɔ:ŋ.7
1.62	darkness	fa:.7 pha:.1
1.63	shade, shadow	pha:.4 juʔ.4
1.64	dew	luŋ.3
1.71	air	sɛ:ŋ.1 dɛ:t.4
1.72	wind	mɨ:t.4
1.73	cloud	haw.3
1.74	fog	na:m.7 kha:ŋ.3
1.75	rain (noun)	ʔa:.2 ka:t.9
1.76	snow (noun)	lom.3
1.77	ice	me:k.4
1.78	weather	mɔ:k.8
1.81	fire	khwon.1
1.82	flame (noun)	hi.8 ma.4
1.83	smoke (noun)	na:m.7 khɛŋ.1
1.84	ashes	luk.4 hɛp.8
1.841	embers	sa.3 pha:p.4; ʔa:.3 ka:t.9
1.851	burn (vb trans)	khwaj.3
1.852	burn (vb intrans)	ple:w.2 khwaj.3
1.86	light, kindle, ignite	khwan.3
1.861	extinguish	khi:.5 tha:w.5
1.87	match (noun)	tha:n.1 lɔ:n.7
1.88	firewood	phaw.1
1.89	charcoal	ma:j.6
2.1	person, human being	kɔ:.4 faj.3
2.21	man (vs. woman)	dap.9
2.22	woman	ma:j.7 khi:t.8 faj.3
2.23	male	fɨ:n.3
2.24	female	tha:n.1 ma:j.7
2.25	boy	khon.3
2.251	young man (adolescent)	khon.3 cha:j.3
2.26	girl	khon.3 jiŋ.1
2.261	young woman (adolescent)	phe:t.4 cha:j.3
2.27	child	phe:t.4 jiŋ.1
2.28	infant, baby	dɛk.4 cha:j.3
2.31	husband	dɛk.4 ba:w.2
2.32	wife	dek.4 jiŋ.1
2.33	marry	dek.4 sa:w.1
2.34	marriage, wedding	dek.4
2.341	divorce	dek.4 ʔɔ:n.2
2.35	father	phua.1
2.36	mother	mia.3
2.37	parents	kin.3 dɔ:ŋ.2
2.38	married man	tɛŋ.4 ŋa:n.3
2.39	married woman	ja:.5
2.41	son	phɔ:.4
2.42	daughter	mɛ:.4
2.43	offspring (son or daughter)	phɔ:.4 mɛ:.4
2.44	brother	na:j.3 (+ name)
2.444	older brother	na:ŋ.3 (+ name)
2.445	younger brother	lo:k.4 ba:w.2
2.45	sister	lo:k.4 sa:w.1
2.454	older sister	tha:.3 ja:t.7; lo:k.4
2.455	younger sister	phi:.4
2.456	sibling	phi:.4 ha:w.2
2.458	twins	nɔ:ŋ.7 ba:w.2
2.46	grandfather	phi:.4
2.461	old man	phi:.4 sa:w.1
2.47	grandmother	nɔ:ŋ.7 sa:w.1
2.471	old woman	phi:.4 nɔ:ŋ.7
2.48	grandson	fa:.7 fɛ:t.8
2.49	granddaughter	po:.2; phɔ:.4 tha:w.1
2.51	uncle	khon.3 kɛ:.2
2.511	mother's brother	ja:.4; mɛ:.4 tha:w.1
2.512	father's brother	khon.3 kɛ:.2
2.52	aunt	la:n.1 ba:w.2
2.521	mother's sister	la:n.1 sa:w.1
2.522	father's sister	luŋ.3
2.53	nephew	na:.4
2.54	niece	ʔa:.2
2.55	cousin	pa:.6
2.56	ancestors	pa:.6
2.57	descendants	pa:.6
2.61	father-in-law (of a man)	la:n.1 ba:w.2
2.611	father-in-law (of a woman)	la:n.1 sa:w.1
2.62	mother-in-law (of a man)	ja:t.4
2.621	mother-in-law (of a woman)	ban.3 pha.3 bu.3 lut.8
2.63	son-in-law (of a man)	khon.3 sɨp.8 sa.3 kun.3
2.631	son-in-law (of a woman)	phɔ:.4 phua.1
2.64	daughter-in-law (of a man)	phɔ:.4 ta:.2
