entry_id	trans_english	Cashibo_Phonemic
1.1	world	nɨtɨ
1.21	earth, land	mee
1.212	earth=ground, soil	mee
1.213	dust	mee poto
1.214	mud	čua
1.215	sand	masi
1.22	mountain, hill	βaši; ma'nã
1.222	cliff, precipice	kʷɨ'tu
1.23	plain, field	si'βa; ṣ̌a'βa
1.24	valley	sa'ɨkɨ
1.25	island	na'si
1.26	mainland	
1.27	shore	
1.28	cave	
1.31	water	ʔõ'paṣ̌
1.32	sea	pa'rõpapa
1.322	calm (of sea)	u'ɲama
1.323	rough (of sea)	pa'kaṣ̌ki-ti
1.324	foam	βa'koṣ̌
1.329	ocean	
1.33	lake	ʔi'ã
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	βɨ'čõ
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	βaka
1.362	whirlpool	
1.37	spring, well	
1.38	swamp	
1.39	waterfall	
1.41	woods, forest	nii
1.42	tree (cf 08.600)	ii
1.43	wood	ii
1.44	stone, rock	ma'ṣ̌aṣ̌; mapara
1.45	earthquake	ni'ɨ̃
1.51	sky	na'i
1.52	sun	βari
1.53	moon	ʔoṣ̌ɨ
1.54	star	ʔispa
1.55	lightning	ka'na
1.56	thunder	
1.57	lightning (as striking)	ka'na
1.58	storm	
1.59	rainbow	no'õβai
1.61	light (noun)	
1.62	darkness	βakiš-
1.63	shade, shadow	tupɨ̃
1.64	dew	ni'βi
1.71	air	punapuna; soɲo
1.72	wind	soɲo; punapuna
1.73	cloud	nɨtɨ 'kʷĩ
1.74	fog	kʷe'ẽkoro; nɨtɨ koro
1.75	rain (noun)	uɲe; ɨβe; ʔuβe
1.76	snow (noun)	
1.77	ice	
1.78	weather	
1.81	fire	c̷ii
1.82	flame (noun)	c̷ii rɨ'ɨkirukɨ
1.83	smoke (noun)	c̷ii 'kʷĩ; ko'ĩ
1.84	ashes	či-mapo
1.841	embers	
1.851	burn (vb trans)	nɨ'ɨn-ti
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	ɨ'rɨn-ti
1.861	extinguish	βɨ'nan-ti
1.87	match (noun)	
1.88	firewood	karo
1.89	charcoal	c̷iso
2.1	person, human being	oni; βɨβo
2.21	man (vs. woman)	nukɨ βɨnɨ
2.22	woman	ṣ̌ano
2.23	male	βɨnɨ
2.24	female	ṣ̌ano
2.25	boy	βɨrunã
2.251	young man (adolescent)	βɨ'na
2.26	girl	
2.261	young woman (adolescent)	ṣ̌õtako
2.27	child	βakɨ
2.28	infant, baby	
2.31	husband	βɨnɨ
2.32	wife	ṣ̌a'βiõkɨ
2.33	marry	βɨnuti
2.34	marriage, wedding	
2.341	divorce	
2.35	father	papa
2.36	mother	tita
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	
2.42	daughter	
2.43	offspring (son or daughter)	βɨčikɨ; tu'a
2.44	brother	ṣ̌u'kɨ̃
2.444	older brother	βuči
2.445	younger brother	
2.45	sister	čiraβakɨ
2.454	older sister	rɨ'kʷɨ̃
2.455	younger sister	ũči
2.456	sibling	poi
2.458	twins	
2.46	grandfather	ṣ̌uta; βɨ̃'ta
2.461	old man	ṣ̌ɨni
2.47	grandmother	čiči
2.471	old woman	
2.48	grandson	βaβa
2.49	granddaughter	
2.51	uncle	koko
2.511	mother's brother	koko
2.512	father's brother	paic̷i
2.52	aunt	
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	piaka
2.54	niece	ɲee; piaka
2.55	cousin	ũči
2.56	ancestors	ʔĩka
2.57	descendants	rɨ'βũkɨ; 'aĩ rɨ'βũ
2.61	father-in-law (of a man)	
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	nači
2.621	mother-in-law (of a woman)	ɲee
2.63	son-in-law (of a man)	
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	
2.76	widow	'kasuna'mɨkɨ
2.77	widower	
2.81	relatives, kinsmen	aĩc̷i; kaiβo
2.82	family	
2.91	I	ʔɨ-
2.92	you (singular)	mii
2.93	he/she/it	aa
2.94	we	no-
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	mic̷o
2.96	they	ato
3.11	animal	ɲuina
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	
3.16	pasture	ṣ̌uβi
3.18	herdsman	
3.19	stable, stall	kɨnɨ
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	
3.23	cow	
3.24	calf	
3.25	sheep	
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	kuči
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	
3.5	fowl	
3.52	cock, rooster	
3.54	hen	ʔatapa
3.55	chicken	
3.56	goose	
3.57	duck	no'nõ
3.58	nest	naa
3.581	bird	ʔisa
3.582	seagull	
3.583	heron	ʔabu; βičo; aka
3.584	eagle	
3.585	hawk	tɨ'tɨ
3.586	vulture	ṣ̌ɨtɨ
3.591	bat	kašã ~ kãša
