entry_id	trans_english	Albanian,_Tosk_Phonemic
3.815	scorpion	a'krep; sfurkθ; pərčolak; ča'tal; grepč; škrap
3.816	cockroach	bubu'r̃ec̷; a'braš
3.817	ant	milin'gonə; 'mizə 'ðeu; 'mr̃agə
3.818	spider	meri'mangə
3.819	spider web	'c̷ergə; 'makə; c̷eri'mangə; štrap; pe'žiškə; 'endəz; paya'žinə
3.82	bee	'bletə
3.821	beeswax	'dülʸə
3.822	beehive	'zgʸua; ko'rube; 'kʸengʸə
3.823	wasp	'grerəz; 'arəz
3.83	fly	'mizə
3.831	sandfly (midge), gnat	pic̷'katə
3.832	mosquito	muš'koɲə; pic̷'katə
3.84	worm	krimb
3.85	snake	'gyarpər; 'bolə; su'valʸ; ši'gʸetul
3.91	firefly	d͜zid͜zə'loyə
3.92	butterfly	'flʸutur
3.93	grasshopper	karkə'lʸec̷
3.94	snail	kər'mil; lʸiga'vec̷
3.95	frog	bret'koc̷ə; bretk; 'žabə
3.96	lizard	'harðye; ža'pi; guš'ter
3.97	crocodile, alligator	kroko'dilʸ
3.98	turtle	'breškə
4.11	body	trup; štat
4.12	skin, hide	lʸə'kurə
4.13	flesh	miš
4.14	hair (head)	'flʸokə; lʸeš
4.142	beard	'myekər
4.144	body hair	lʸeš; 'kʸime
4.145	pubic hair	lʸeš; pu'bis
4.146	dandruff	zbokθ; pah; pal; vrokθ; 'r̃yepə
4.15	blood	gʸak
4.151	vein, artery	da'mar
4.16	bone	'koc̷kə
4.162	rib	'briɲə
4.17	horn	bri
4.18	tail	bišt
4.19	back	špinə; kur̃iz
4.191	spine	'pošti i ku'r̃iz
4.2	head	'kokə; 'krüe
4.201	side of head, temple	təmθ; 'təmblʸə
4.202	skull	'kafkə; r̃a'dake; su'tak; por'c̷ek
4.203	brain	tru
4.204	face	fü'türə
4.205	forehead	'balə
4.207	jaw	'noful; čə'ulʸ
4.208	cheek	'fakʸe
4.209	chin	'myekər
4.21	eye	sü
4.212	eyebrow	'vetul
4.213	eyelid	kʸe'palə; 'aškə
4.214	eyelash	kʸer'pik
4.215	blink	
4.22	ear	veš
4.221	earlobe	'palʸəz; lʸə'putə
4.222	earwax	ma'krosə
4.23	nose	'hundə
4.231	nostril	'flʸegər; 'hoyəz
4.232	mucus (nasal)	kʸur̃a
4.24	mouth	'goyə
4.241	beak	skʸep
4.25	lip	'buzə
4.26	tongue	'gʸuhə
4.27	tooth	ðəmb
4.271	gums	'trüsa; 'miši i ðəmbəve
4.272	molartooth	ðəm'balə
4.28	neck	'kʸafə
4.281	nape of neck	'kʸəfə; zverk
4.29	throat	füt; 'grükə
4.3	shoulder	sup
4.301	shoulderblade	'špatul
4.302	collarbone	'krapye
4.31	arm	krah
4.312	armpit	'skʸetul
4.32	elbow	bər̃ül
4.321	wrist	büzü'lʸük; küč i 'dorəs
4.33	hand	'dorə
4.331	palm of hand	pə'ləmbə; 'špulə
4.34	finger	gišt
4.342	thumb	pulʸ'kʸer
4.344	fingernail	'θua
4.345	claw	'kθetər
4.35	leg	'kəmbə
4.351	thigh	'šalʸə; 'vegə
4.352	calf of leg	'pulʸpə
4.36	knee	gʸu
4.37	foot	'kəmbə
4.371	ankle	tərs; nen; büz 'lʸük; küč i 'kəmbəs
4.372	heel	'θembər
4.374	footprint	to'rua
4.38	toe	gišt i 'kəmbəs
4.392	wing	krah
4.393	feather	'pendə
4.4	chest	gʸoks
4.41	breast (of woman)	gʸi
4.412	nipple, teat	myelʸm; 'sisə; θimθ; θiθ; θumb
4.42	udder	'žengə; 'žangəlʸ
4.43	navel	kər'θizə
4.44	heart	'zemər
4.441	lung	muškə'ri; 'špirə
4.45	liver	məlʸ'či
4.451	kidney	'veškə; 'eškə; bu'brek
4.452	spleen	'špretkə
4.46	stomach	bark; sto'mak; 'škʸilʸə; 'c̷ulə; 'mulə
4.461	intestines, guts	'zor̃ə
4.462	waist	belʸ; brez
4.463	hip	kəlʸk
4.464	buttocks	molʸakʸe; tə ndeɲurat; 'büθə
4.47	womb	an; 'mitər
4.49	testicle	'kokʸe
4.492	penis	kar
4.51	breathe, breath	frü'mos
4.52	yawn, gape	gu'hat; gogə'sin
4.521	hiccough	lʸem'zon
4.53	cough	ko'let
4.54	sneeze	te'štin
4.55	perspire	dyer'sit
4.56	spit	pə'štümə; 'yargə
4.57	vomit	guk'son; vyel
4.58	bite	kaf'šon
4.59	lick	lap; lʸə'pin
4.591	dribble	yar'gos
4.61	sleep	flʸe; gʸu'mon
4.612	snore	gər'het; gər'hin
4.62	dream	əndə'r̃on
4.63	wake up	zg'uan
4.64	break wind	pyerð
4.65	urinate	pšur̃
4.66	defecate	ðyet
4.67	have sexual intercourse	kʸin; 'kʸepet
4.68	shiver	fərgə'lon; r̃ə'kʸeθet; 'driðet
4.69	bathe	'lʸahet; lʸan; baɲə'zon
4.71	beget (of father)	bi'yon
4.72	born (to be)	lʸind; 'lʸindet
4.73	pregnant	štat'zənə; 'mbarsə
4.732	conceive	'mbarset
4.74	live, living, life	i 'gʸalə; ye'ton; 'yetə
4.75	die, dead	vdes; 'vdekye; i 'vdekur
4.751	drowned	'mbütur
4.76	kill	vret
4.77	corpse	ku'fomə; lʸip'san; me'it
4.78	bury (the dead)	va'r̃os
4.79	grave, tomb	var̃; kʸi'vur
4.81	strong, mighty, powerful	i fu'kʸišəm; i 'fortə
4.82	weak	i 'dobət
4.83	well, health	'mirə me šən'det; šən'det
4.84	sick, sickness	i sə'murə; sə'mundye
4.841	fever	'eθe
4.842	goiter	'strumə
4.843	cold (catarrh)	e 'ftohtə; ka'tar̃
4.85	wound, sore	'plʸagə
4.852	bruise	'šembye
4.853	swelling	bu'lungə; c̷a'kule; gu'fim; 'əɲtye; bü'mesə
4.854	itch	'kruarye
4.855	blister	'fluskə
