entry_id	trans_english	Mapudungun_Phonemic
1.1	world	mapu
1.21	earth, land	mapu
1.212	earth=ground, soil	mapu
1.213	dust	ṭ͡ʀufɨr
1.214	mud	foṭ͡ʀa
1.215	sand	kuyɨm
1.22	mountain, hill	wiŋkul mapu
1.222	cliff, precipice	lil
1.23	plain, field	keṭ͡ʀawe
1.24	valley	lʸoθko mapu
1.25	island	čaŋkiɲ, wapi
1.26	mainland	fɨta mapu
1.27	shore	l̯afken̯ mapu
1.28	cave	lolo
1.31	water	ko
1.32	sea	l̯afken̯
1.322	calm (of sea)	tɨŋ
1.323	rough (of sea)	ilʸkun
1.324	foam	čiway
1.329	ocean	l̯afken̯
1.33	lake	l̯afken̯
1.34	gulf, bay	ŋion l̯afken̯
1.341	lagoon	lawna
1.342	reef	lil
1.343	headland, point	ṭ͡ʀoy mapu
1.35	wave	reu
1.352	tide	ṭ͡ʀipa-ko
1.353	lowtide	arken-ko
1.354	hightide	
1.36	river, stream, brook	l̯ewfɨ
1.362	whirlpool	pewɨl̯
1.37	spring, well	rɨŋan-ko
1.38	swamp	foṭ͡ʀa-ntu
1.39	waterfall	ṭ͡ʀayen
1.41	woods, forest	mawiθa
1.42	tree (cf 08.600)	aliwen; mamɨlʸ
1.43	wood	mamɨlʸ
1.44	stone, rock	kura
1.45	earthquake	nɨyɨn
1.51	sky	wenu
1.52	sun	an̯tɨ
1.53	moon	kɨyen̯
1.54	star	waŋɨlen̯
1.55	lightning	lʸɨfke
1.56	thunder	ṭ͡ʀalkan
1.57	lightning (as striking)	lʸɨfke
1.58	storm	kɨrɨf-tuku
1.59	rainbow	relmu
1.61	light (noun)	pelom
1.62	darkness	θumiɲ
1.63	shade, shadow	lʸawfeɲ
1.64	dew	ilwen
1.71	air	kɨrɨf; fiskɨ
1.72	wind	kɨrɨf
1.73	cloud	ṭ͡ʀomɨ
1.74	fog	ṭ͡ʀukur
1.75	rain (noun)	mawɨn̯
1.76	snow (noun)	pire
1.77	ice	ṭ͡ʀaŋliɲ
1.78	weather	an̯tɨ; kɨme an̯tɨ
1.81	fire	kɨṭ͡ʀal
1.82	flame (noun)	lulul
1.83	smoke (noun)	fiṭ͡ʀun
1.84	ashes	ṭ͡ʀufken
1.841	embers	awiɲ-kɨṭ͡ʀal
1.851	burn (vb trans)	lupɨm-tuku
1.852	burn (vb intrans)	lɨpɨmɨ-wɨ
1.86	light, kindle, ignite	uyɨmɨ
1.861	extinguish	čoŋɨmɨ
1.87	match (noun)	[poforo]
1.88	firewood	mamɨlʸ
1.89	charcoal	[karfon]
2.1	person, human being	če
2.21	man (vs. woman)	wenṭ͡ʀu
2.22	woman	θomo
2.23	male	wenṭ͡ʀu; alka
2.24	female	θomo
2.25	boy	piči wenṭ͡ʀu
2.251	young man (adolescent)	we-če
2.26	girl	piči-θomo
2.261	young woman (adolescent)	ɨlča
2.27	child	piči-če
2.28	infant, baby	piči-če; lʸusu
2.31	husband	fɨta; wenṭ͡ʀu
2.32	wife	kure; θomo
2.33	marry	fɨta-ŋe; kure-ŋe
2.34	marriage, wedding	kure-ŋe-lkawɨn
2.341	divorce	uθa
2.35	father	čaw
2.36	mother	ɲuke
2.37	parents	čaw eŋu ɲuke
2.38	married man	kure-ŋe-či wenṭ͡ʀu
2.39	married woman	fɨta-ŋe-či θomo
2.41	son	fotɨm; wenṭ͡ʀu pɨɲeɲ
2.42	daughter	ɲawe; θomo pɨɲeɲ
2.43	offspring (son or daughter)	yalʸ; pɨɲeɲ
2.44	brother	peɲi, lamŋen
2.444	older brother	unen peɲi; unen lamŋen
2.445	younger brother	inan peɲi; inan lamŋen
2.45	sister	θeya; lamŋen
2.454	older sister	unen θeya; unen lamŋen
2.455	younger sister	inan θeya; inan lamŋen
