entry_id	trans_english	Aguaruna_Phonemic
1.1	world	nugka
1.21	earth, land	nugka
1.212	earth=ground, soil	nugka
1.213	dust	yu'kuukuntu
1.214	mud	c̷a'kus
1.215	sand	ka'amatak
1.22	mountain, hill	nain
1.222	cliff, precipice	'bɨc̷ag
1.23	plain, field	paka
1.24	valley	ɨnc̷a 'sɨgahu
1.25	island	'ahun-tai
1.26	mainland	nugka muun
1.27	shore	'nayanc̷-a paka-hi
1.28	cave	waa
1.31	water	yumi
1.32	sea	'nayanc̷
1.322	calm (of sea)	bitat
1.323	rough (of sea)	'nayanc̷ c̷u'kat-bau
1.324	foam	sau
1.329	ocean	'nayanc̷
1.33	lake	kuča
1.34	gulf, bay	'waintau muun
1.341	lagoon	kuča yaig
1.342	reef	hin'ta kaya pap-amu
1.343	headland, point	tɨ'pɨtpɨtu waaku
1.35	wave	c̷ukatu
1.352	tide	--
1.353	lowtide	--
1.354	hightide	--
1.36	river, stream, brook	namak
1.362	whirlpool	'wainči
1.37	spring, well	'yumigmat
1.38	swamp	paka kuča-k'čagmatu
1.39	waterfall	bɨc̷ahau
1.41	woods, forest	'ikam
1.42	tree (cf 08.600)	numi; kampu'ha
1.43	wood	numi
1.44	stone, rock	kaya
1.45	earthquake	u'ug-bau
1.51	sky	nayaim
1.52	sun	ɨc̷a
1.53	moon	nantu
1.54	star	yaya
1.55	lightning	čahip
1.56	thunder	ipamat pu'hut-amu
1.57	lightning (as striking)	pɨ'ɨm
1.58	storm	yumig'migmat dasɨ kɨ'nɨgtau
1.59	rainbow	pagki wahau
1.61	light (noun)	c̷aap-tin
1.62	darkness	suwɨ, kiyahu, kanči
1.63	shade, shadow	bikintu
1.64	dew	yumi c̷a'kigmitkamu
1.71	air	dasɨ
1.72	wind	dasɨ
1.73	cloud	yuhagkim
1.74	fog	yuhagkim uc̷anhau
1.75	rain (noun)	yumi
1.76	snow (noun)	muha piši
1.77	ice	yumi nanahu
1.78	weather	c̷a'wan
1.81	fire	hii kɨɨ'ku
1.82	flame (noun)	hii kɨɨ'ku
1.83	smoke (noun)	c̷aag buku'itimu
1.84	ashes	yuku
1.841	embers	hii ikapa'ag-bau; kapau
1.851	burn (vb trans)	apɨt
1.852	burn (vb intrans)	kɨɨt
1.86	light, kindle, ignite	ɨ'kɨmat
1.861	extinguish	i'kagnat
1.87	match (noun)	[puspura]
1.88	firewood	hii c̷u'pi-amu
1.89	charcoal	kayušik
2.1	person, human being	aɨnc̷
2.21	man (vs. woman)	'aišma-g
2.22	woman	nuwa
2.23	male	'aišma-g
2.24	female	nuwa
2.25	boy	'c̷akat
2.251	young man (adolescent)	
2.26	girl	nuwa-uč inatai
2.261	young woman (adolescent)	
2.27	child	uči
2.28	infant, baby	uči
2.31	husband	aiši
2.32	wife	nuwa-tk-amu
2.33	marry	nu'wɨn-at
2.34	marriage, wedding	nu'wɨn-bau
2.341	divorce	inai'nayat; a'hapnayat
2.35	father	apa-g
2.36	mother	duku
2.37	parents	apa-'hi du'ku-hihai
2.38	married man	'nuwɨn-tin
2.39	married woman	a'išin-tin
2.41	son	uči-g
2.42	daughter	nawanhi
2.43	offspring (son or daughter)	uči-g
2.44	brother	yac̷u-g
2.444	older brother	'yac̷ut ɨ'ɨmkau; u'ma ɨ'ɨmkau
2.445	younger brother	
2.45	sister	uba-g
2.454	older sister	yac̷u-g; uba-g
2.455	younger sister	
2.456	sibling	
2.458	twins	himagm-amu
2.46	grandfather	apa-č
2.461	old man	
2.47	grandmother	duku-č
2.471	old woman	nuwa 'muun-tuč
2.48	grandson	'tiha-g
2.49	granddaughter	'tiha-g
2.51	uncle	diič
2.511	mother's brother	'yac̷u-t
2.512	father's brother	apa-'hu yači
2.52	aunt	duku-g
2.521	mother's sister	u'ma; uma-yui
2.522	father's sister	apa-'hu uma-yi
2.53	nephew	'awɨ-t
2.54	niece	'awɨt
2.55	cousin	i'ka 'yac̷u-t
2.56	ancestors	u'či uyukau
2.57	descendants	nuu wɨantu; nuu pata
2.61	father-in-law (of a man)	wɨga-g; diič
2.611	father-in-law (of a woman)	wɨga-g; diič
2.62	mother-in-law (of a man)	c̷ac̷a-g; duku-g
2.621	mother-in-law (of a woman)	c̷ac̷a-g; duku-g
2.63	son-in-law (of a man)	awɨ-g
2.631	son-in-law (of a woman)	awɨ-g
2.64	daughter-in-law (of a man)	uči-'hi nuwɨ; awɨ-g
2.641	daughter-in-law (of a woman)	uči-'hi nuwɨ; nawan
2.71	stepfather	apa-'him-amu
2.72	stepmother	duku-'him-amu
2.73	stepson	uči-'him-amu
2.74	stepdaughter	na'wan-him-amu
2.75	orphan	witaik
2.76	widow	nuwa wahɨ
2.77	widower	'aišma-g wahɨ
2.81	relatives, kinsmen	pa'ta 'aidau
2.82	family	pa'ta
2.91	I	wi
2.92	you (singular)	amɨ
2.93	he/she/it	'atum
2.94	we	nii
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	hu'ti
2.96	they	dita
3.11	animal	kuntin
3.12	male (adj)	'aišma-g wɨantu
3.13	female (adj)	nuwa wɨantu
3.15	livestock	--
3.16	pasture	--
3.18	herdsman	--
3.19	stable, stall	tagku čimpi-tai
3.2	cattle (bovine)	--
3.21	bull	--
3.22	ox	--
3.23	cow	[baka]
3.24	calf	--
3.25	sheep	uwig
3.26	ram	--
3.28	ewe	uwig
3.29	lamb	--
3.32	boar	paki
3.34	sow	wapik; c̷umain
3.35	pig	[kuči]
3.36	goat	--
3.37	he-goat	--
3.38	kid	--
3.41	horse (equine)	--
3.42	stallion	[kawayu] apa-'hi
3.44	mare	[kawayu] nuwɨ
3.45	foal, colt	--
3.46	ass, donkey	--
3.47	mule	--
3.5	fowl	čigki
3.52	cock, rooster	ataš ayum
3.54	hen	ataš
3.55	chicken	ataš c̷akat
3.56	goose	apač [patu]
3.57	duck	[patu]
3.58	nest	
3.581	bird	'pišak
3.582	seagull	pa'pahau
3.583	heron	ima
3.584	eagle	ukukui
3.585	hawk	pinču
3.586	vulture	ukukui
3.591	bat	hi'inčam
3.592	parrot	kawau
3.593	crow	kaip
3.594	dove	paum
3.596	owl	'pumpuk
3.61	dog	ya'wa
3.614	rabbit	wapuhuš
3.62	cat	[bišu]
3.622	opossum	ku'hančam
3.63	mouse, rat	katip
3.65	fish	namak
3.652	fin (dorsal)	šihaptahi
3.653	fishscale	namak-'a saɨpɨ
3.654	gill	kayakma-tai
3.655	shell	c̷unc̷u ukun'či
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	uyu
3.72	lion	hapayua; hinta
3.73	bear	ča'yu
3.74	fox	'amič
3.75	deer	hapa
3.76	monkey	yakum
3.77	elephant	--
3.78	camel	--
3.81	insect	samig; kuntin piipič
3.811	louse	tɨma
3.812	nit (louse egg)	tɨma nuhin-hi
3.813	flea	sugku
3.814	centipede	
3.815	scorpion	titig
3.816	cockroach	tukahuš
3.817	ant	'wisut
3.818	spider	c̷ɨhɨ
3.819	spider web	'aagku
3.82	bee	dapa
3.821	beeswax	nuhi
3.822	beehive	dapa hɨɨ
3.823	wasp	ɨtɨ
3.83	fly	kaap
3.831	sandfly (midge), gnat	
3.832	mosquito	tɨtɨ
3.84	worm	nampič
3.85	snake	'pasug; dapi
3.91	firefly	taigkak
3.92	butterfly	'wampišuk
3.93	grasshopper	manči
3.94	snail	c̷unc̷u; kugku
3.95	frog	kuwau
3.96	lizard	šaampiu
3.97	crocodile, alligator	sɨmagkau
3.98	turtle	kugkuim
4.11	body	iyaš
4.12	skin, hide	duwap-ɨ pušihi
4.13	flesh	nɨhɨ
4.14	hair (head)	intaš
4.142	beard	intaš
4.144	body hair	susu
4.145	pubic hair	
4.146	dandruff	du'sɨ buuk
4.15	blood	numpa
4.151	vein, artery	num'pa hinti
4.16	bone	ukunč
4.162	rib	pagaɨ
4.17	horn	kaču
4.18	tail	uhu'kɨ
4.19	back	tuntup; maya-tai
4.191	spine	tagkihi
4.2	head	buuk
4.201	side of head, temple	kahašik
4.202	skull	buuk sakahu
4.203	brain	buc̷uk
4.204	face	yapi
4.205	forehead	tu'tupit
4.207	jaw	hagkɨ
4.208	cheek	yapi
