entry_id	trans_english	Yiddish_Phonemic
1.1	world	velt
1.21	earth, land	erd
1.212	earth=ground, soil	grunt
1.213	dust	štojb; porex
1.214	mud	blote
1.215	sand	zamd
1.22	mountain, hill	barg; bergl
1.222	cliff, precipice	feldz
1.23	plain, field	plejn; feld
1.24	valley	tol
1.25	island	indzl
1.26	mainland	jaboše
1.27	shore	breg
1.28	cave	hejl
1.31	water	vaser
1.32	sea	jam
1.322	calm (of sea)	ruik
1.323	rough (of sea)	umruik
1.324	foam	šam
1.329	ocean	o'kean
1.33	lake	'ozere
1.34	gulf, bay	ajngos
1.341	lagoon	la'gun
1.342	reef	rif
1.343	headland, point	jaboše-cung; kap
1.35	wave	xvalʸe
1.352	tide	jam-flejc
1.353	lowtide	onflejc
1.354	hightide	opflejc
1.36	river, stream, brook	tajx; box; ričke
1.362	whirlpool	keslgrub
1.37	spring, well	kval; brune(m); 'krenice
1.38	swamp	zump
1.39	waterfall	'vaserfal
1.41	woods, forest	vald
1.42	tree (cf 08.600)	bojm
1.43	wood	holc
1.44	stone, rock	štejn
1.45	earthquake	'erd-citerniš
1.51	sky	himl
1.52	sun	zun
1.53	moon	levone
1.54	star	štern
1.55	lightning	blic
1.56	thunder	duner
1.57	lightning (as striking)	blic
1.58	storm	šturem
1.59	rainbow	regn-bojgn
1.61	light (noun)	lixt
1.62	darkness	'fincterniš
1.63	shade, shadow	šotn, sotn
1.64	dew	rose; toj
1.71	air	luft
1.72	wind	vint
1.73	cloud	volkn; xmare
1.74	fog	nepl; tu'man
1.75	rain (noun)	regn
1.76	snow (noun)	šnej
1.77	ice	ajz
1.78	weather	veter
1.81	fire	fajer
1.82	flame (noun)	flam
1.83	smoke (noun)	rojx
1.84	ashes	aš
1.841	embers	holeveškes; žar
1.851	burn (vb trans)	farbrenen
1.852	burn (vb intrans)	brenen
1.86	light, kindle, ignite	(on)cindn
1.861	extinguish	(far)'lešn
1.87	match (noun)	'švebele; zaplke
1.88	firewood	brenholc
1.89	charcoal	holckojln
2.1	person, human being	menč
2.21	man (vs. woman)	mancbil; 'mansparšojn
2.22	woman	vajb; froj
2.23	male	zoxer
2.24	female	nekejve
2.25	boy	jingl, 'jingele
2.251	young man (adolescent)	boxer
2.26	girl	'mejdele, mejdl
2.261	young woman (adolescent)	mejdl
2.27	child	kind
2.28	infant, baby	'ejfele
2.31	husband	man
2.32	wife	vajb
2.33	marry	'xasene hobn
2.34	marriage, wedding	'xasene
2.341	divorce	get
2.35	father	tate; foter
2.36	mother	mame; muter
2.37	parents	tate-mame
2.38	married man	'xasene-gehater; bavajbter
2.39	married woman	'xasene-gehate; bamante
2.41	son	zun
2.42	daughter	toxter
2.43	offspring (son or daughter)	kind
2.44	brother	bruder
2.444	older brother	'elterer bruder
2.445	younger brother	'yingerer bruder
2.45	sister	švester
2.454	older sister	'eltere švester
2.455	younger sister	'yingere švester
2.456	sibling	bruder; švester; mitkind
2.458	twins	cviling
2.46	grandfather	zejde
2.461	old man	alter; zokn
2.47	grandmother	bobe
2.471	old woman	alte; skejne
2.48	grandson	'ejnikl
2.49	granddaughter	'ejnikl
2.51	uncle	feter
2.511	mother's brother	(der) mames bruder
2.512	father's brother	(dem) tatns bruder
2.52	aunt	mume
2.521	mother's sister	(der) mames švester
2.522	father's sister	(dem) tatns švester
2.53	nephew	plimenik; 'brudern-zun; 'švestern-zun
2.54	niece	pli'menice; 'brudern-toxter; 'švestern-toxter
2.55	cousin	(ge) švester'kind
2.56	ancestors	oves (-avojsejnu)
2.57	descendants	'kindskinder
2.61	father-in-law (of a man)	(a mans) šver
2.611	father-in-law (of a woman)	(a frojs) šver
2.62	mother-in-law (of a man)	(a mans) šviger
2.621	mother-in-law (of a woman)	(a frojs) šviger
2.63	son-in-law (of a man)	(a mans) ejdem
2.631	son-in-law (of a woman)	(a frojs) ejdem
2.64	daughter-in-law (of a man)	(a mans) šnur
2.641	daughter-in-law (of a woman)	(a frojs) šnur
2.71	stepfather	'štiftate, 'štiffoter
2.72	stepmother	'štifmame, 'štifmuter
2.73	stepson	štifzun
2.74	stepdaughter	'štiftoxter
2.75	orphan	josem, jesoyme
2.76	widow	almone
2.77	widower	almen
2.81	relatives, kinsmen	krojvim; frajnt (lex)
2.82	family	mišpoxe
2.91	I	ix
2.92	you (singular)	du
2.93	he/she/it	er/zi/es
2.94	we	mir
2.941	we (inclusive)	mir
2.942	we (exclusive)	mir
2.95	you (plural)	ir
2.96	they	zej
3.11	animal	xaje
3.12	male (adj)	menlex
3.13	female (adj)	vajblex
3.15	livestock	fix
3.16	pasture	paše
3.18	herdsman	pastex
3.19	stable, stall	štal
3.2	cattle (bovine)	fix; behejmes
3.21	bull	bik; buhaj
3.22	ox	oks
3.23	cow	ku
3.24	calf	kalb
3.25	sheep	šof; šeps
3.26	ram	baran
3.28	ewe	šof
3.29	lamb	lam
3.32	boar	'vald-xazer; ka'ban
3.34	sow	'xazerte; lʸoxe
3.35	pig	xazer
3.36	goat	cig; koze
3.37	he-goat	bok; cap
3.38	kid	'cikele
3.41	horse (equine)	ferd
3.42	stallion	oger
3.44	mare	škape; klʸače
3.45	foal, colt	lošik
3.46	ass, donkey	ejzl
3.47	mule	'mojlejzl
3.5	fowl	of
3.52	cock, rooster	hon
3.54	hen	hun
3.55	chicken	hindl
3.56	goose	gandz
3.57	duck	kačke
3.58	nest	nest
3.581	bird	fojgl
3.582	seagull	meve
3.583	heron	caplʸe
3.584	eagle	odler
3.585	hawk	falk
3.586	vulture	grif
3.591	bat	'fledermojz
3.592	parrot	papu'gaj
3.593	crow	kro; vorone
3.594	dove	tojb
3.596	owl	sove
3.61	dog	hunt
3.614	rabbit	kinigl; krolikl
3.62	cat	kac
3.622	opossum	o'pos
3.63	mouse, rat	mojz; ščur
3.65	fish	fiš
3.652	fin (dorsal)	'flusfeder
3.653	fishscale	šup
3.654	gill	žabre
3.655	shell	'mejer-kepl; 'jam-multerl; 'žabe-šisele
3.661	shark	hajfiš
3.662	porpoise, dolphin	'jam-xazer; delʸ'fin
3.663	whale	valfiš
3.664	stingray	'fišštexler
3.665	freshwater eel	'zisvaser-venger
3.71	wolf	volf
3.72	lion	lejb
3.73	bear	ber
3.74	fox	fuks
3.75	deer	hirš
3.76	monkey	malpe
3.77	elephant	helfand, helfant
3.78	camel	keml
3.81	insect	in'sekt
3.811	louse	lojz
3.812	nit (louse egg)	nisl
3.813	flea	floj
3.814	centipede	'sax-fisler
3.815	scorpion	egdiš; skorp'jon
3.816	cockroach	tara'kan
3.817	ant	muraške, 'mereške
3.818	spider	špin
3.819	spider web	špinvebs; povitiɲe
3.82	bee	bin
3.821	beeswax	'binenvaks
3.822	beehive	binštok
3.823	wasp	vesp
3.83	fly	flig
3.831	sandfly (midge), gnat	muk
3.832	mosquito	ko'mar
3.84	worm	vorem
3.85	snake	šlang
3.91	firefly	'glivorem
3.92	butterfly	flaterl; 'zumer-fejgele
3.93	grasshopper	špringer
3.94	snail	šnek; pojle-rojle
3.95	frog	žabe; froš
3.96	lizard	'jaščerke
3.97	crocodile, alligator	kroko'dil; aligator
3.98	turtle	čerepaxe
4.11	body	guf; kerper
4.12	skin, hide	hojt
4.13	flesh	flejš
4.14	hair (head)	hor
4.142	beard	bord
4.144	body hair	hor
4.145	pubic hair	'erve-hor
4.146	dandruff	šupn
4.15	blood	blut
4.151	vein, artery	oder; vene; arterje
4.16	bone	bejn
4.162	rib	rip
4.17	horn	horn
4.18	tail	ek; vejdl; švanc
4.19	back	rukn; plejce
4.191	spine	ruknbejn
4.2	head	kop
4.201	side of head, temple	šlejf
4.202	skull	šarbn
4.203	brain	mojex
4.204	face	ponem
4.205	forehead	štern
4.207	jaw	kajer; bordbejn
4.208	cheek	bak
4.209	chin	bord; gombe; morde
4.21	eye	ojg
4.212	eyebrow	brem
4.213	eyelid	oygn-lepl, oygn-ledl
4.214	eyelash	vije
4.215	blink	pintlen
4.22	ear	ojer
4.221	earlobe	lepl
4.222	earwax	'ojern-vaks
4.23	nose	noz
4.231	nostril	nozlox
4.232	mucus (nasal)	šlajm
4.24	mouth	mojl
4.241	beak	šnobl
4.25	lip	lip
4.26	tongue	cung
4.27	tooth	con
4.271	gums	jasles
4.272	molartooth	bakcon
4.28	neck	nakn; kark
4.281	nape of neck	pa'tilʸnice
4.29	throat	haldz; gorgl
4.3	shoulder	aksl
4.301	shoulderblade	'lopetke
4.302	collarbone	šlislbejn
4.31	arm	orem; hant
4.312	armpit	paxve
4.32	elbow	elnbojgn
4.321	wrist	'hantgelenk
4.33	hand	hant
4.331	palm of hand	dloɲe
4.34	finger	finger
4.342	thumb	grober finger
4.344	fingernail	nogl
4.345	claw	krel
4.35	leg	fus
4.351	thigh	polʸke
4.352	calf of leg	litke
4.36	knee	kni
4.37	foot	fus
4.371	ankle	knexl
4.372	heel	pjate
4.374	footprint	špur; fusdruk
4.38	toe	finger (fun fus)
4.392	wing	fligl
4.393	feather	feder
4.4	chest	brust (kastn)
4.41	breast (of woman)	brust
4.412	nipple, teat	(n) opl
4.42	udder	ajter
4.43	navel	nopl; pupik
4.44	heart	harc
4.441	lung	lung
4.45	liver	leber
4.451	kidney	nir
4.452	spleen	milc
4.46	stomach	mogn
4.461	intestines, guts	gederem; kiškes
4.462	waist	talʸe
4.463	hip	hift; lend; klub
4.464	buttocks	ge'zes; grob(e) flejš; toxes
4.47	womb	traxt
4.49	testicle	bejc(e); ej
4.492	penis	penis; 'menlexer ejver
4.51	breathe, breath	'otemen, otem
4.52	yawn, gape	'genecn; gafn; glocn
4.521	hiccough	'šluk(er)cn
4.53	cough	hus(t)n
4.54	sneeze	nisn
4.55	perspire	švicn
4.56	spit	špajen
4.57	vomit	brexn; 'mejkenen
4.58	bite	bajsn
4.59	lick	lekn
4.591	dribble	gavern
4.61	sleep	šlofn
4.612	snore	xropen
4.62	dream	'xolemen (zix)
4.63	wake up	ufxapn zix; ufvekn zix
4.64	break wind	farcn
4.65	urinate	uri'nirn; maštn zajn
4.66	defecate	ojsmaxn zix; hobn dem mogn
4.67	have sexual intercourse	šlofn (mit); hobn tašmeš-hamite
4.68	shiver	citern
4.69	bathe	bodn (zix)
4.71	beget (of father)	gebojrn
4.72	born (to be)	gebojrn vern
4.73	pregnant	trogedik
4.732	conceive	far'gejn in trogn
