entry_id	trans_english	Tai_Khuen_Phonemic
1.1	world	lo:k.4
1.21	earth, land	phɛn.2 lin.1
1.212	earth=ground, soil	ŋaj.4; lin.1
1.213	dust	kun.2 muk.5
1.214	mud	ŋaj.4 pəʔ.1; khi:.6 pəʔ.1
1.215	sand	tsa:j.1
1.22	mountain, hill	lɔ:j.1
1.222	cliff, precipice	cɔ:m.3 po:k.2
1.23	plain, field	na:.6 pha:.3
1.24	valley	tɔŋ.4; na:.1
1.25	island	naj.1 hoj.6
1.26	mainland	kɔ.1
1.27	shore	phɛn.2 lin.1 jaj.2
1.28	cave	phaŋ.2
1.31	water	tham.6
1.32	sea	nam.5
1.322	calm (of sea)	nam.5 ma.2-ha:.3-sa.2-mut.1
1.323	rough (of sea)	nam.5 nim.3
1.324	foam	nam.5 waj.3 paj.1 ma.1
1.329	ocean	phɔ:ŋ.1
1.33	lake	nam.5 ma.2- ha:.3- sa.2- mut.1
1.34	gulf, bay	nɔ:ŋ.3 lo:ŋ.3
1.341	lagoon	nam.5 bɔ:.2
1.342	reef	ma.2- ha:.3- sa.2- mut.1 ti:.4 lam.5 khaw.6 ma:.1 naj.1 phaŋ.2
1.343	headland, point	nam.5 bo:k.2
1.35	wave	hin.3 ca:.1 ti:.4 ju:.2 taj.6 nam.5 ti:.4 pen.3 ʔɔn.1-ta-la:j.1 kɛ:.2 lə:.1
1.352	tide	lɛ:m.3
1.353	lowtide	nam.5 waj.3 paj.1 ma:.1
1.354	hightide	nam.5 khɨn.6 nam.5 lɔŋ.1
1.36	river, stream, brook	nam.5 lɔŋ.1
1.362	whirlpool	nam.5 khɨn.6
1.37	spring, well	hoj.6
1.38	swamp	nam.5 pan.2 waj.3
1.39	waterfall	nam.5 puŋ.2
1.41	woods, forest	nɔ:ŋ.3
1.42	tree (cf 08.600)	nam.5 tɔk.1 ta:t.2
1.43	wood	pa:.2
1.44	stone, rock	tɔn.6 maj.5
1.45	earthquake	maj.5
1.51	sky	hin.3
1.52	sun	kɔn.6 hin.3 nɔ:j.6
