entry_id	trans_english	Hawaiian_Phonemic
1.1	world	ao; honua
1.21	earth, land	ao, honua; ʔāina
1.212	earth=ground, soil	lepo; lepo hānai; ʔeka; one
1.213	dust	ehu lepo; kuehu; ehu; ʔehu; uahi; lelehuna; lepo ʔaeʔae
1.214	mud	kele-kele; pālolo; lepo ʔūkele
1.215	sand	one; one-one
1.22	mountain, hill	mauna; kuahiwi; puʔu
1.222	cliff, precipice	pali; pali-paʔa
1.23	plain, field	ʔāina pālaha-laha; kīhāpai; kula; ʔāina pāpū
1.24	valley	awa-awa
1.25	island	moku; moku-puni; moku-ʔāina; ʔailana
1.26	mainland	ʔāina makua; ʔāina nui; loko
1.27	shore	kahakai; kahaone; papa kea; kapa kai; ʔae kai
1.28	cave	ana; lua; pao
1.31	water	wai
1.32	sea	kai; moana
1.322	calm (of sea)	
1.323	rough (of sea)	piki-pikiʔō; ʔālo-ʔaloʔa
1.324	foam	huʔa; ʔehu
1.329	ocean	moana; kai
1.33	lake	loko; loko wai
1.34	gulf, bay	kūʔono; kai-kūʔono; hono-; hana-
1.341	lagoon	kai kohola, loko kai; kuaʔau; loko wai; kiʔo wai
1.342	reef	kohola
1.343	headland, point	lae; maka; ʔoi-ʔoina
1.35	wave	nalu; ʔale
1.352	tide	au; kai
1.353	lowtide	kai make; kai maloʔo
1.354	hightide	kai nui; kai piha
1.36	river, stream, brook	kaha-wai; muli-wai; wai
1.362	whirlpool	wili-wai; mimilo
1.37	spring, well	puna; wai puna; wai māpuna; kumu wai; māpuna
1.38	swamp	pohō; naele; kele
1.39	waterfall	wai-lele
1.41	woods, forest	ulu lāʔau; nahele; wao nahele; uluaōʔa
1.42	tree (cf 08.600)	lāʔau; kumu-lāʔau; kumu
1.43	wood	lāʔau
1.44	stone, rock	pōhaku; ʔā; ʔili-ʔili; ʔalā; ʔaʔā; pā-hoehoe
1.45	earthquake	ʔōlaʔi; nā-ueue
1.51	sky	lani
1.52	sun	lā
1.53	moon	mahina
1.54	star	hōkū
1.55	lightning	uila
1.56	thunder	hekili
1.57	lightning (as striking)	lapa uila
1.58	storm	ʔino
1.59	rainbow	ānue-nue
1.61	light (noun)	ao; lama; malama; kukui; kukuna
1.62	darkness	pōʔele; pōʔeleʔele; pāʔele; uli; hāuli; lāuli; māuli; pouli;polohiwa
1.63	shade, shadow	malu; māmalu; aka; huaka; ʔūmalu
1.64	dew	kēhau; hau
1.71	air	ea, eaea; lewa
1.72	wind	puhi; pā; papā; pā makani
1.73	cloud	ao; ʔōpua; ʔōmalu-malu
1.74	fog	ʔohu; noe; ua noe; uhi-wai
1.75	rain (noun)	ua
1.76	snow (noun)	hau; hau kea
1.77	ice	hau
1.78	weather	ke ʔano o ka manawa
1.81	fire	ahi; pau ahi
1.82	flame (noun)	ula ahi; ula; lapa ahi
1.83	smoke (noun)	uahi
1.84	ashes	lehu; lehu ahi; lehu ane
1.841	embers	
1.851	burn (vb trans)	ʔā; ʔaʔā; hōʔā; puhi; kuni; puhi ahi
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	hōʔā; hoʔā; hōʔaʔā
1.861	extinguish	
1.87	match (noun)	kūkaepele
1.88	firewood	wahie
1.89	charcoal	lānahu; nānahu
2.1	person, human being	mea; kanaka; lāhui kanaka; kama
2.21	man (vs. woman)	kanaka; kāne
2.22	woman	wahine; haku wahine
2.23	male	kāne
2.24	female	wahine
2.25	boy	keiki; keiki kāne; kama kāne
2.251	young man (adolescent)	
2.26	girl	kaikamahine
2.261	young woman (adolescent)	
2.27	child	keiki
2.28	infant, baby	keiki; pēpē; kama-liʔi
2.31	husband	kāne; pilikua
2.32	wife	wahine; wahine male
2.33	marry	male; moe; hoʔāo; noho
2.34	marriage, wedding	male ʔana; moe; noho pū ʔana; hoʔāo
2.341	divorce	ʔoki; hōʔoki; ʔoki male
2.35	father	makua kāne; makua
2.36	mother	makuahine; māmā
2.37	parents	makua
2.38	married man	
2.39	married woman	
2.41	son	keiki kāne
2.42	daughter	kaikamahine
2.43	offspring (son or daughter)	keiki; hānau; pua; hua
2.44	brother	kaikuaʔana
2.444	older brother	kuaʔana
2.445	younger brother	kaikaina; kaina
2.45	sister	kaikuaʔana
2.454	older sister	
2.455	younger sister	kaikaina
2.456	sibling	
2.458	twins	māhoe; māhana
2.46	grandfather	kupuna kāne; tūtū; kūkū; kūkū kāne
2.461	old man	ʔelemakule
2.47	grandmother	kupuna wahine; tūtū; kūkū; kūkū wahine
2.471	old woman	luahine
2.48	grandson	moʔopuna
2.49	granddaughter	
2.51	uncle	makua-kāne; ʔanakala
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	makuahine; makuahine hanauna; ʔanakē
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	keiki
2.54	niece	kaikamahine
2.55	cousin	hoahānau; kaukini
2.56	ancestors	kupuna
2.57	descendants	mamo; pua; moʔopuna; keiki pula-pula
2.61	father-in-law (of a man)	makua-hūnōwai kāne
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	makua-hūnōwai wahine
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	hūnōna kāne
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	makua kāne kōlea
2.72	stepmother	makuahine kōlea
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	keiki makua ʔole
2.76	widow	wahine kāne make
2.77	widower	kāne wahine make
2.81	relatives, kinsmen	ʔohana; pili koko; pilikana
2.82	family	ʔohana
2.91	I	au
2.92	you (singular)	ʔoe
2.93	he/she/it	ia
2.94	we	
2.941	we (inclusive)	kā-kou; kā-ua
2.942	we (exclusive)	mā-kou; mā-ua
2.95	you (plural)	ʔou-kou; ʔo-lua
2.96	they	lā-kou; lā-ua
3.11	animal	holo-holona
3.12	male (adj)	kāne; hoʔo-kāne
3.13	female (adj)	
3.15	livestock	pūʔā; kumu; pūʔā pipi; holo-holona hānai
3.16	pasture	kula; pā holo-holona; kula holo-holona
3.18	herdsman	kahu hipa
3.19	stable, stall	
3.2	cattle (bovine)	pipi; pūʔā pipi; kumu pipi
3.21	bull	pipi kāne; pipi laho; pipi pulu; [pulu]
3.22	ox	
3.23	cow	pipi wahine; pipi waiū
3.24	calf	pipi keiki
3.25	sheep	hipa
3.26	ram	hipa kāne
3.28	ewe	
3.29	lamb	keiki hipa; hipa keiki; pua hipa
3.32	boar	
3.34	sow	
3.35	pig	puaʔa
3.36	goat	kao
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	lio
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	kēkake; ʔēkake
3.47	mule	hoki; [miula; piula]
3.5	fowl	moa; manu
3.52	cock, rooster	moa kāne
3.54	hen	moa wahine
3.55	chicken	moa
3.56	goose	nēnē
3.57	duck	kakā; koloa
3.58	nest	pūnana
3.581	bird	manu
3.582	seagull	nēnē-ʔau-kai
3.583	heron	ʔaukuʔu
3.584	eagle	
3.585	hawk	ʔio
3.586	vulture	
3.591	bat	ʔōpeʔa-peʔa
3.592	parrot	manu-aloha
3.593	crow	ʔalalā
3.594	dove	manu-kū; manu-nūnū; nūnū; kuhukukū
3.596	owl	pueo
3.61	dog	ʔīlio
3.614	rabbit	lāpaki; ʔiole lāpaki
3.62	cat	pōpoki; ʔowau; ʔoau
3.622	opossum	
3.63	mouse, rat	ʔiole
3.65	fish	iʔa
3.652	fin (dorsal)	lā
3.653	fishscale	unahi
3.654	gill	
3.655	shell	pū; ʔolē; ʔolē-ʔolē; pūpū; iwi
3.661	shark	manō; lālākea; niuhi
3.662	porpoise, dolphin	mahi-mahi; naiʔa
3.663	whale	koholā; palaoa
3.664	stingray	hāhālua; hīhī-manu; lupe
3.665	freshwater eel	puhi
3.71	wolf	ʔīlio hae; lupo
3.72	lion	[liona]
3.73	bear	
3.74	fox	
3.75	deer	
3.76	monkey	keko; mākinikā
3.77	elephant	[ʔelepane; ʔelepani]
3.78	camel	
3.81	insect	mū; puʔu; mea kolo
3.811	louse	ʔuku; ona; ʔuku liʔi
3.812	nit (louse egg)	liha; lia
3.813	flea	ʔuku-lele
3.814	centipede	
3.815	scorpion	moʔo-niho-ʔawa
3.816	cockroach	ʔelelū
3.817	ant	nao-nao
3.818	spider	lana-lana; nana-nana; kuʔu-kuʔu; pūnā-wele-wele
3.819	spider web	pūnāwele-wele; hihi puna-wele-wele; ʔupena nana-nana
3.82	bee	meli; nalo-meli
3.821	beeswax	
3.822	beehive	pahu meli; pūnana meli
3.823	wasp	hope-ʔō; kopena
3.83	fly	nalo
3.831	sandfly (midge), gnat	
3.832	mosquito	makika
3.84	worm	koʔe; ilo
3.85	snake	moʔo; naheka; nahesa
3.91	firefly	
3.92	butterfly	pulelehua; lepe-lepe-o-hina
3.93	grasshopper	ʔuhini; ʔūhini-ake-lika
3.94	snail	kama-loli; hīhī-wai; wī; pūpū
3.95	frog	poloka; lana
3.96	lizard	moʔo; moʔo kiha
3.97	crocodile, alligator	
3.98	turtle	honu
4.11	body	kino
4.12	skin, hide	ʔili
4.13	flesh	ʔiʔo
4.14	hair (head)	lau-oho; oho; hulu
4.142	beard	ʔumi-ʔumi
4.144	body hair	hulu; hulu-hulu; huhula
4.145	pubic hair	
4.146	dandruff	
4.15	blood	koko
4.151	vein, artery	aʔa; aʔa koko
4.16	bone	iwi
4.162	rib	iwi ʔao-ʔao
4.17	horn	kiwi; hao; pepeiaohao
4.18	tail	huelo; hiʔu; puapua/ pupua; pola
4.19	back	kua; hope
4.191	spine	iwi-kuamoʔo; kuamoʔo
4.2	head	poʔo; poʔo kanaka
4.201	side of head, temple	maha
4.202	skull	iwi poʔo; poʔo kanaka; pūniu
4.203	brain	lolo; lolo poʔo
4.204	face	maka; hele-helena; alo
4.205	forehead	lae
4.207	jaw	ā; papa niho; papa ʔauwae
4.208	cheek	papālina
4.209	chin	ʔauwae
4.21	eye	maka
4.212	eyebrow	kuʔe-maka; kuʔe-kuʔe-maka; hulu kuʔe-maka
4.213	eyelid	ʔūpoʔi maka; kuapoʔi-maka; lihi-lihi
4.214	eyelash	lihi-lihi
4.215	blink	ʔiʔimo; ʔōnini; hoʔolili; haʔalili; ʔamo
4.22	ear	pepeiao
