entry_id	trans_english	Hawaiian_Phonemic
4.221	earlobe	
4.222	earwax	
4.23	nose	ihu
4.231	nostril	puka-ihu
4.232	mucus (nasal)	hūpē; ʔūpē; hākelo; wale
4.24	mouth	waha
4.241	beak	nuku; ihu
4.25	lip	lehe; lehe-lehe
4.26	tongue	alelo; elelo
4.27	tooth	niho
4.271	gums	ʔiʔo pale niho
4.272	molartooth	
4.28	neck	ʔāʔī
4.281	nape of neck	
4.29	throat	puʔu; puʔu-moni
4.3	shoulder	poʔohiwi; hokua
4.301	shoulderblade	hoehoe; iwi hoehoe
4.302	collarbone	īwilei
4.31	arm	lima; uluna
4.312	armpit	pōʔaeʔae; kīpōʔaeʔae; napoʔo
4.32	elbow	kuʔe-kuʔe; kuʔe-kuʔe lima; kuʔe-lima
4.321	wrist	pūlima
4.33	hand	lima; mana-mana
4.331	palm of hand	poho; poho lima
4.34	finger	mana-mana lima
4.342	thumb	mana-mana lima nui
4.344	fingernail	mikiʔao; maiʔao
4.345	claw	mikiʔao; mānea; maiʔao
4.35	leg	wāwae
4.351	thigh	ʔūhā
4.352	calf of leg	ʔolo; ʔolo-ʔolo wāwae; ʔolo wae
4.36	knee	kuli
4.37	foot	wāwae
4.371	ankle	
4.372	heel	kuʔe-kuʔe wāwae
4.374	footprint	
4.38	toe	mana-mana wāwae
4.392	wing	ʔēheu
4.393	feather	hulu
4.4	chest	uma-uma
4.41	breast (of woman)	ū; wai-ū
4.412	nipple, teat	maka wai-ū; maka
4.42	udder	
4.43	navel	piko
4.44	heart	puʔuwai
4.441	lung	akemāmā; akemakani
4.45	liver	ake; ake-paʔa
4.451	kidney	puʔupaʔa; kōnāhua
4.452	spleen	
4.46	stomach	ʔōpū; hakualo
4.461	intestines, guts	naʔau; naʔa-naʔau
4.462	waist	
4.463	hip	kīkala; pāpākole
4.464	buttocks	lemu; ʔōkole; pāpā-kole; ʔēlemu; hope
4.47	womb	pūʔao; ʔōpū
4.49	testicle	hua; huahua; laho
4.492	penis	ule
4.51	breathe, breath	hanu; aho; ea; eaea
4.52	yawn, gape	
4.521	hiccough	mauliʔawa
4.53	cough	kunu; ʔehē; ʔahē
4.54	sneeze	kihe
4.55	perspire	hou
4.56	spit	kuha; hāʔae; ʔae; wale wai; pupuhi
4.57	vomit	luaʔi; puaʔi
4.58	bite	nahu; nanahu; ʔaki; ʔaʔaki; ʔakina
4.59	lick	palu
4.591	dribble	
4.61	sleep	moe; hiamoe; moe hoʔolana
4.612	snore	nonō; hohō; ʔolā-ʔolā ka ihu
4.62	dream	moe-ʔuhane
4.63	wake up	lana ka hiamoe; ala; makalahia; hoʔāla
4.64	break wind	
4.65	urinate	mimi
4.66	defecate	kūkae; kae; lepo
4.67	have sexual intercourse	ai; ei; hana maʔi; moe; piʔi; pani-pani; aina
4.68	shiver	haʔukeke; naka; hulilī
4.69	bathe	ʔauʔau
4.71	beget (of father)	
4.72	born (to be)	hānau; loaʔa; hanauna; hoʔohānau
4.73	pregnant	hāpai
4.732	conceive	
4.74	live, living, life	ola; ʔaoʔao
4.75	die, dead	make; make loa; moe-lepo
4.751	drowned	piholo; hoʔo-piholo; hoʔopalemo
4.76	kill	pepehi ā make; hoʔo-make; make; hana make
4.77	corpse	kupapaʔu; kino wailua; kino make; heana
4.78	bury (the dead)	kanu; kanu ʔana
4.79	grave, tomb	īlina; pā ilina; pā kupapaʔu
4.81	strong, mighty, powerful	ikaika; mana; lima ikaika; mahi; wīkani
4.82	weak	nāwali-wali
4.83	well, health	olakino; ola pono; ola
4.84	sick, sickness	maʔi; ʔōmaʔi-maʔi; nāwali-wali
4.841	fever	piwa; maʔi-kuni
4.842	goiter	
4.843	cold (catarrh)	anu; hanu paʔa
4.85	wound, sore	ʔeha; palapū
4.852	bruise	pohole; hoʔo-pohole; māhole; mōhole
4.853	swelling	pehu; hū
4.854	itch	maneʔo
4.855	blister	pōʔolopū; hōʔolopū; ʔolopū; ʔōwela
4.856	boil (noun)	maʔi hēhē; makalau; maka pala; palapū
4.857	pus	
4.858	scar	ʔālina; lina-lina
4.86	cure, heal	hoʔōla; lapaʔau; hoʔopola-pola; kōhi
4.87	physician	kauka
4.88	medicine, drug	lāʔau; lāʔau lapaʔau; wai lāʔau
4.89	poison	lāʔau make
4.91	tired, weary	luhi; māluhi-luhi
4.912	rest	maha; hoʔomaha; mahana
4.92	lazy	molowā
4.93	bald	ʔōhule
4.94	lame	ʔoʔopa; hapakuʔe; kīnā; kīʔopa; māʔulu-ʔulu
4.95	deaf	kuli; hoʔokuli; pepeiao kuli
4.96	mute	mumule
4.97	blind	maka-pō; maka-ʔalā
4.98	intoxicated	ʔona
4.99	naked, bare	kohana
5.11	eat	ʔai; ʔai iho; amu
5.12	food	ʔai; mea-ʔai
5.121	cooked	moʔa; pāpaʔa; pāpaʔapū
5.122	raw	maka; maka-maka; kole-kole
5.123	ripe	pala
5.124	green, unripe	uli-uli; maka
5.125	rotten	pilau; palahū; ʔino-ʔino; palahō; popopo
5.13	drink	inu; inu-mia; pā
5.14	hunger	pōloli; makeʔai
5.141	famine	wī; pōloli
5.15	thirst	make wai
5.16	suck	omo; omōmo; mūkī
5.18	chew	mama; nau
5.181	swallow	ale; moni
5.19	choke	ʔumi; laoa; puʔua; kalea
5.21	cook	hoʔomoʔa; kuke; ʔōlala
5.22	boil (vb)	
5.23	roast, fry	palai; ʔoma; loke; ʔōhinu
5.24	bake	kālua; hoʔomoʔa; ʔoma
5.25	oven	imu; umu; ʔoma
5.26	pot, cooking vessel	
5.27	kettle	ipu hao; kikila
5.28	pan	pā palai; pā hoʔolapa-lapa
5.31	dish	pā; ipu
5.32	plate	pā
5.33	bowl	ʔumeke; ipu; pola
5.34	pitcher, jug	ʔōmole waha nui; pika; kīʔaha; kīʔaha ʔoʔoma
5.35	cup, drinking vessel	pola; ipu; kīʔaha; kīʔoʔe
5.36	saucer	pā liʔi-liʔi
5.37	spoon	puna
5.38	knife	pahi
5.39	fork	ʔō
5.391	tongs	
5.41	meal (a)	ʔaina; pāʔina
5.42	breakfast	ʔaina kakahiaka
5.43	lunch	ʔaina awakea
5.44	dinner	ʔaina ahi-ahi; papa ʔaina; pāʔina
5.45	supper	ʔaina ahi-ahi; pāʔina ahi-ahi
5.46	peel	maʔihi; koli
5.47	sieve, strain	kānana; kālana
5.48	scrape	waʔu; wawaʔu; waʔu-waʔu; koe; kūai; kahi
5.49	stir, mix	hoʔohui; hoʔowali; ʔoni; kāwili
5.51	bread	palaoa; pelena
5.53	dough	palaoa hoʔowali ʔia; pelena moʔa ʔole
5.54	knead	kūpele; hoʔo-pele; pele; poho; ʔōpā; kaʔawili
5.55	meal, flour	palaoa maka
5.56	crush, grind	lomi; hoʔoūpē; hoʔopē; hoʔomaūi; pākī; wili; ʔuwī
5.57	mill	wili; hale wili
5.58	mortar	
5.59	pestle	
5.61	meat	ʔiʔo; ʔiʔo holo-holona; iʔa
5.63	sausage	naʔaukake
5.64	soup, broth	kai; kupa
5.65	vegetables	lau; lau ʔai ʔia
5.66	bean	
5.7	potato	ʔuala-kahiki
5.71	fruit	hua; hua-ʔai
5.712	bunch	ʔāhui; keʔa
5.75	fig	[piku]
5.76	grape	
5.77	nut	kukui-haole
5.78	olive	
5.79	oil	ʔaila; hinu
5.791	grease, fat	ʔaila; ʔaila hamo; hinu; ʔōhinu
5.81	salt	paʔakai
5.82	pepper	[pepa]; nīoi
5.821	chili pepper	nioi
5.84	honey	meli; wai meli; wai pua; pīlali
5.85	sugar	kōpaʔa
5.86	milk (noun)	wai-ū
5.87	milk (vb)	
5.88	cheese	
5.89	butter	waiūpaka; paka
5.9	beverage, drink	mea-inu; poi; ʔai
5.91	mead	
5.92	wine	[waina]
5.93	beer	pia; bia
5.94	fermented drink	wekeke; wai-keke
5.97	egg	hua; hua-moa
5.971	egg yolk	
6.11	put on (clothes)	komo; komo lole
6.12	clothing, clothes	lole; ʔaʔahu; kapa komo; lole komo
6.13	tailor	kela; kela lole
6.21	cloth	lole
6.22	wool	hulu; pili
6.23	linen, flax	
6.24	cotton	pulu; pulu-pulu; maʔo
6.25	silk	[kilika; kalika]
6.27	felt	
6.28	fur	hulu
6.29	leather	ʔili; ʔili holo-holona; ʔili pipi
6.31	spin	niniu; hoʔoniniu
6.32	spindle	
6.33	weave	
6.34	loom	
6.35	sew	humu-humu; hono; kuʔi
6.36	needle	kui; kui kele; kui humu-humu; mānai
6.37	awl	
6.38	thread	kaula; aho; ʔaha; lopi
6.39	dye	wai; wai-hoʔoluʔu; wai ʔele; wai ʔeleʔele
6.41	cloak	kīhei; ʔahu; kīpuka; koloka
6.411	poncho	
6.42	woman's dress	lole; ʔaʔahu
6.43	coat	kuka; ʔahu; lakeke
6.44	shirt	pālule; ʔahu
6.45	collar	ʔāʔī kala; kala
6.46	skirt	palekoki
6.461	grass-skirt	
6.48	trousers	lole wāwae; malo
6.49	stocking, sock	kākini
6.51	shoe	kāmaʔa; kāmaʔa hāwele; pale wāwae
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	kapu; pāpale kapu
6.57	belt, girdle	kuapo; ʔili kuapo; kuapo ʔōpū; kāʔai
6.58	glove	mikini lima; miki lima
6.59	veil	
6.61	pocket	pākeke; paʔeke; ʔeke-ʔeke; ʔeke
6.62	button	pihi
6.63	pin	
6.71	ornament, adornment	hoʔohiwahiwa; wehi; kāhiko; kīnohi;
6.72	jewel	pōhaku maka-mae; lako kula; mea hoʔonani kino
6.73	ring (for finger)	komo; apo
6.74	bracelet	kūpeʔe; kūpeʔe lima; apo, apo lima
6.75	necklace	lei
6.76	bead	
6.77	earring	kula-pepeiao
6.78	headband, headdress	
6.79	tattoo	kākau
6.81	handkerchief, rag	welu
6.82	towel	kāwele
6.91	comb	kahi
6.92	brush	palaki; hulu; palaki ʔānai
6.921	braid	hilo; hili; pahili; ulana
6.93	razor	pahi ʔumi-ʔumi
6.94	ointment	mea hamo; ʔaila hamo; lāʔau hamo; hinu
6.95	soap	kopa; kopa pauka
6.96	mirror	ani-ani; ani-ani kilohi
7.11	dwell, live	noho-na
7.12	house	hale; kau-hale
7.13	hut	pupupu hale; pāpaʔi; hale ʔuʔuku
7.131	garden-house	mahi; māla
7.14	tent	hale lole; hale peʔa
7.15	yard, court	pā
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	puka; puka hale; puka pā; puka komo; ʔīpuka; pani
7.221	doorpost, jamb	
7.23	lock (noun)	[laka]
7.231	latch, door-bolt	
7.24	key	[kī]
7.25	window	puka-ani-ani; puka hale
7.26	floor	papa-hele; papa keʔehina; papa
7.27	wall	pā; paia
7.31	fireplace	kapu-ahi
7.32	stove	kapuahi
7.33	chimney	
7.37	ladder	alapiʔi; alahaka; haka
7.42	bed	moe; moena; wahi moe
7.421	pillow	uluna; ʔaki; ʔope-ʔope
7.422	blanket	kapa moe; hulu-hulu; kapa hulu-hulu
7.43	chair	noho; noho lōʔihi; papa noho
7.44	table	pākaukau
7.45	lamp, torch	kukui; ipukukui; kukui pōhaku; lama; lamakū
7.46	candle	īhoiho; ihoiho kukui
7.47	shelf	haka; haka kau; papa
7.48	trough	holowaʔa
7.51	roof	kaupoku; kaupaku
7.52	thatch	ako; pili
7.53	ridgepole	kaupoku; kauhuhu
7.54	rafter	kua; oʔa
7.55	beam	
7.56	post, pole	pou; lāʔau; kia
7.57	board	papa; papa lāʔau
7.58	arch	piʔo; pāpiʔo; hoaka
7.61	mason	
7.62	brick	uwinihapa
7.63	mortar	
7.64	adobe	
8.11	farmer	mahiʔai
8.12	field (for cultivation)	
8.13	garden	
8.15	cultivate, till	mahi
8.16	fence	pā; pā lāʔau
8.17	ditch	ʔauwaha; hā; ʔāwaʔa; ʔau-wai
8.21	plow	ʔōʔō hao; ʔōʔō palau; ʔōʔō hou; palau
8.212	furrow	
8.22	dig	ʔeli
8.23	spade	ʔōʔō; peki
8.24	shovel	kopalā
8.25	hoe	
8.26	fork	mana
8.27	rake	kope; ʔōʔō kope
8.31	sow	
8.311	seed	ʔano-ʔano; hua
8.32	mow, reap	ʔoki
8.33	sickle, scythe	pahi kākiwi; pahi kekeʔe
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	loaʔa; wā ʔohi; mea hoʔoūlu
8.42	grain (barley, oats etc)	huna
8.43	wheat	huika; huapalaoa
8.44	barley	
8.45	rye	[lai; rai]
8.46	oats	
8.47	maize, corn	kūlina; kūlina ʔono
8.48	rice	[laiki]
8.51	grass	mauʔu; weu-weu
8.52	hay	
8.53	plant (noun)	lāʔau; mea ulu; lau nahele
8.531	plant (vb)	kanu
8.54	root	aʔa; mole; weli
8.55	branch	lālā; mana; ʔohā
8.56	leaf	lau
8.57	flower	pua
8.6	tree	lāʔau; kumu-lāʔau; kumu
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	lāʔau paina; paina
8.65	fir	
8.66	acorn	
8.67	vine	lāʔau hihi
8.68	tobacco	paka
8.69	smoke (tobacco)	puhi paka
8.691	pipe	ipu paka
8.72	tree stump	ʔōmuku
8.73	tree trunk	
8.74	forked branch	
8.75	bark	ʔili; ʔili lāʔau; ʔili luna
8.76	sap	kohu; wai; wale; wale hau; wai lāʔau
8.81	palm tree	pāma; pālama
8.82	coconut	niu
8.83	citrus fruit	[lemi]
8.84	banana tree	maiʔa
8.85	banyan	
8.91	sweet potato	ʔuala
8.912	yam	uhi
8.92	tapioca, manioc, cassava	manioka; kapioka
8.93	gourd	ʔumeke; ipu; pā ipu; hue; pōhue
8.931	pumpkin, squash	palaʔai; ipu-pū; pū
8.94	bamboo	ʔohe
8.941	sugar cane	kō
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	kūkaelio; māmalu
9.11	do, make	hana; lawe-lawe
9.12	work	hana
9.14	bend	pelu; hoʔopiʔo; hoʔokeʔe; hoʔokekeʔe
9.15	fold	ʔopi; pelu; ʔopi-ʔopi; pelu-pelu; ʔōwili
9.16	tie, bind	hīkiʔi; nīkiʔi; lawa; hele; hoa; paʔi; hīpuʔu; hana paʔa
9.161	untie	wehe; ʔuwehe; kala
9.18	chain	kaula; kaula hao
9.19	rope, cord	kaula
9.192	knot (noun)	hīpuʔu; kīpuʔu; nīpuʔu
9.21	strike (hit, beat)	pepehi; kuʔi; paʔi; hahau; kū; kā; pā
9.211	pound with fist	
9.22	cut	ʔoki; hōʔoki; moku; mō
9.221	cut down	
9.222	chop, hew	
9.223	stab	hou; ʔō; puka
9.23	knife	
9.24	scissors, shears	ʔūpā
9.25	ax	kipikua
9.251	adze	koʔi; lipi
9.26	break	
9.261	broken	
9.27	split	wahī
9.28	tear	hae; nahae; haehae
9.29	flay, skin	ʔili
9.31	rub, wipe	ʔānai; kuai; kuolo; hoana; kāwele; holoi; hāleu
9.32	stretch	kīkoʔo-koʔo
9.33	pull	ʔume; huki; ʔuʔu
9.34	spread out	hoʔopuehu; lū; lūlū
9.341	hang up	hoʔolewa-lewa; lewa-lewa; kau
9.342	press	
9.343	squeeze, wring	ʔuwī; ʔōpā; kaomi; lomi; ʔūmiʔi
9.35	pour	ninini
9.36	wash	holoi
9.37	sweep	pūlumi; kāhili
9.38	broom	pūlumi
9.422	tool	mea hana; mea paʔahana
9.43	carpenter	kamanā
9.44	build	kūkulu; hana; kāpili
9.46	bore	
9.461	hollow out	pūhā; haka-haka; ʔolohaka
9.48	saw	pahi olo; olo
9.49	hammer	[hāmale]
9.5	nail	kui; kui nao; kui hao
9.56	glue	kolū; mea hoʔopipili; pili
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	kula; gula
9.65	silver	kālā keʔo-keʔo; kālā
9.66	copper, bronze	
9.67	iron	hao
9.68	lead (noun)	kēpau; kēpau pōkā
9.69	tin, tinplate	kini; keleawe; piula
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	pālolo; lepo kāwili; lepo mānoanoa
9.74	glass	
9.75	weave, plait	
9.76	basket	ʔeke; ʔie; hīnaʔi; hīnaʔi poepoe
9.77	mat	moena
9.771	rug	moena weleweka; kāpeka
9.78	netbag	ʔaʔaha
9.79	fan (noun)	peʔahi
9.791	fan (vb)	
9.81	carve	kālai; kala-kalai; kuʔikepa
9.82	sculptor	
9.83	statue	kiʔi; kiʔi kālai ʔia
9.84	chisel	
9.88	paint (noun)	pena
9.89	paint (vb)	
10.11	move	ʔoni; au; neʔe mōkio
10.12	turn over	kakaʔa
10.13	turn around	kaʔapuni; kaʔa; pōniu
10.14	wind, wrap	wahī
10.15	roll	
10.16	drop (vb)	hāʔule
10.17	twist	wili; kaʔawili; lauwili; milo; wini
10.21	rise	piʔi; ala; aea; ea; kau; hoʔāla
10.22	raise, lift	hāpai; pai
10.23	fall	hāʔule; helelei
10.24	drip	kulu; kulu-kulu
10.25	throw	hoʔolei; nou; kiola; pehi; lū
10.252	catch (ball)	ʔapo
10.26	shake	naue; nāue-ue; lūlū; hōʔoni; hoʔoluli-luli; kapalili
10.32	flow	kahe
10.33	sink	palemo; piholo
10.34	float	lana
10.35	swim	ʔau
10.351	dive	luʔu
10.352	splash	
10.36	sail (vb)	holo; hoʔoholo; kele; holomoku
10.37	fly (vb)	lele
10.38	blow	puhi
10.41	creep, crawl	kolo
10.412	kneel	kukuli
10.413	crouch	
10.42	slide, slip	heʔe; paheʔe; holo; pakika; paholo; pahale; pakelo
10.43	jump, leap	lele; lelele
10.431	kick	peku; pekuna
