entry_id	trans_english	Cofán_Phonemic
1.1	world	ãde
1.21	earth, land	ãde
1.212	earth=ground, soil	ãde
1.213	dust	'ãdeʔsɨ kʰɨ'tʰopaʔsɨ
1.214	mud	c̷ʰipakʰɨ
1.215	sand	sisipa
1.22	mountain, hill	'kʰotʰaʔkʰo
1.222	cliff, precipice	Φatʰokʰo
1.23	plain, field	šošoβi ãde
1.24	valley	sĩhɨ̃kʰɨ
1.25	island	ã'tʰepoʔčo
1.26	mainland	ãde
1.27	shore	otaΦa
1.28	cave	Φatʰokʰo čãgo
1.31	water	c̷aʔkʰɨ
1.32	sea	rãde naʔe; [mar]
1.322	calm (of sea)	pʰĩpʰĩc̷ʰia naʔe
1.323	rough (of sea)	šaβepac̷ʰia naʔe
1.324	foam	tʰõtʰõʔba
1.329	ocean	[mar]; rãde naʔe
1.33	lake	'sĩgɨʔkʰɨ
1.34	gulf, bay	kataikʰɨ
1.341	lagoon	'sĩgɨʔkʰɨ
1.342	reef	--
1.343	headland, point	c̷ɨtʰoni
1.35	wave	šaβeʔpa
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	naʔe; naiʔki; aiʔhe
1.362	whirlpool	Φẽc̷ĩdakʰɨ
1.37	spring, well	c̷aʔkʰɨ sõboʔtʰi
1.38	swamp	c̷ɨtokʰɨ; sihɨ̃kʰɨ
1.39	waterfall	õtɨhɨ̃kʰɨ
1.41	woods, forest	c̷ãpi
1.42	tree (cf 08.600)	'kiniʔ-kʰo
1.43	wood	'kiniʔ-kʰo
1.44	stone, rock	patɨ
1.45	earthquake	ãde oya
1.51	sky	seΦakʰo; seΦani
1.52	sun	čiɣa; koehe čiɣa
1.53	moon	'koseʔsɨ čiɣa; kʰoβɨ
1.54	star	oʔΦe
1.55	lightning	c̷ãda βeyãẽ
1.56	thunder	c̷ãda
1.57	lightning (as striking)	c̷ãda de
1.58	storm	
1.59	rainbow	ɨtʰɨΦasi
1.61	light (noun)	aʔta; čʰãhieɲe; atʰiaɲe
1.62	darkness	sĩtʰio; siɲite
1.63	shade, shadow	tɨ̃biãkʰɨ
1.64	dew	[sɨrɨno]
1.71	air	kʰɨẽǰaʔpa
1.72	wind	Φĩgiã
1.73	cloud	'ɨ̃hĩʔba; sĩʔčotiʔo
1.74	fog	kʰɨ'tʰopaʔsi
1.75	rain (noun)	ɨ̃hĩ
1.76	snow (noun)	čã'disɨʔkʰo
1.77	ice	čã'disɨʔkʰo
1.78	weather	
1.81	fire	sĩʔge
1.82	flame (noun)	sĩʔge ãčãdaʔheʔčo
1.83	smoke (noun)	'õΦẽʔba
1.84	ashes	kɨsepa
1.841	embers	sĩ'ge-teʔčo; teʔčo
1.851	burn (vb trans)	okeye [okʸeye]; ãčãdãẽɲe
1.852	burn (vb intrans)	hɨʔrɨye; ãčãdaye
1.86	light, kindle, ignite	sec̷ãẽɲe
1.861	extinguish	Φiʔtʰi-ye
1.87	match (noun)	sĩ'ge-kʰɨ
1.88	firewood	siʔc̷i
1.89	charcoal	teʔčo; sĩge-teʔčo
2.1	person, human being	aʔi
2.21	man (vs. woman)	c̷ãdie
2.22	woman	pɨše-sɨ
2.23	male	kic̷aye
2.24	female	pɨše
2.25	boy	c̷ãdie dɨʔšɨ
2.251	young man (adolescent)	dɨšɨʔo
2.26	girl	pɨše-sɨ dɨʔšɨ
2.261	young woman (adolescent)	pɨše-sɨ čɨʔa
2.27	child	dɨʔšɨ
2.28	infant, baby	aipano; dɨʔšɨ
2.31	husband	c̷ãʔdɨ
2.32	wife	pɨše
2.33	marry	ãtʰiaɲe
2.34	marriage, wedding	ãtʰeʔčo
2.341	divorce	'katiye
2.35	father	kic̷a; yaya
2.36	mother	čã; mama
2.37	parents	
2.38	married man	pɨšepa
2.39	married woman	c̷ãdɨpa
2.41	son	dɨc̷ʰiʔye; hari-čo; ari
2.42	daughter	õkẽ; õkẽʔge
2.43	offspring (son or daughter)	dɨʔšɨ; haričopa
2.44	brother	
2.444	older brother	kĩǰa
2.445	younger brother	kĩši
2.45	sister	
2.454	older sister	šeʔše
2.455	younger sister	keʔtʰe [kʸeʔtʰe]
2.456	sibling	ãtia
2.458	twins	Φãẽʔge isɨʔčo
2.46	grandfather	yaya kʰašeʔye
2.461	old man	koẽd͜za 'kʰašeʔye; koẽ
2.47	grandmother	mama kʰaše
2.471	old woman	koẽd͜za 'kʰaše; kʰaše
2.48	grandson	dɨʔšɨ; haričo
2.49	granddaughter	dɨʔšɨ; õkẽ
2.51	uncle	tõʔto
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	čõgẽ
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	kĩši
2.54	niece	keʔtʰe
2.55	cousin	kĩši; keʔtʰe
2.56	ancestors	tayopiʔsɨ aʔi
2.57	descendants	õΦãde
2.61	father-in-law (of a man)	kic̷a kʰašeʔye
2.611	father-in-law (of a woman)	kic̷a kʰašeʔye
2.62	mother-in-law (of a man)	čã kʰaše
2.621	mother-in-law (of a woman)	čã kʰaše
2.63	son-in-law (of a man)	dɨʔsɨ
2.631	son-in-law (of a woman)	dɨʔsɨ
2.64	daughter-in-law (of a man)	čina
2.641	daughter-in-law (of a woman)	čina
2.71	stepfather	koeɲaʔsɨ kic̷a
2.72	stepmother	koeɲaʔsɨ čã
2.73	stepson	koẽʔčo
2.74	stepdaughter	koẽʔčo
2.75	orphan	
2.76	widow	c̷ãdɨ-pahẽʔčo
2.77	widower	pɨše-pahẽʔčo
2.81	relatives, kinsmen	ãtia
2.82	family	ãtia
2.91	I	ɲa; gi
2.92	you (singular)	ke [kʸe]
2.93	he/she/it	hoβa; tise; c̷a
2.94	we	ĩgi
2.941	we (inclusive)	--
2.942	we (exclusive)	--
2.95	you (plural)	keʔi [kʸeʔi]
2.96	they	'hõdekʰɨ; c̷ẽdekʰɨ
3.11	animal	--
3.12	male (adj)	kic̷aye
3.13	female (adj)	pɨše
3.15	livestock	ãĩɲãʔčo
3.16	pasture	šošoβekɨ
3.18	herdsman	ãĩɲãʔčoma koiraʔsɨ
3.19	stable, stall	
3.2	cattle (bovine)	βaɨra; βaɨgra
3.21	bull	βaɨra kic̷aye
3.22	ox	semaʔsɨ βaɨra
3.23	cow	βaɨra; βaɨgra
3.24	calf	βaɨgra dɨʔšɨ
3.25	sheep	[oβeha]
3.26	ram	[oβeha] kic̷aye
3.28	ewe	[oβeha] pɨše
3.29	lamb	[oβeha] dɨʔšɨ
3.32	boar	[kočʰi]; berakʰo
3.34	sow	[kočʰi] čã
3.35	pig	[kočʰi]
3.36	goat	[čiβo]
3.37	he-goat	[čiβo]
3.38	kid	[čiβõ]dɨʔšɨ
3.41	horse (equine)	[kaβayo]
