entry_id	trans_english	Spanish_Phonemic
1.1	world	mundo
1.21	earth, land	tierra
1.212	earth=ground, soil	suelo
1.213	dust	polvo
1.214	mud	lodo
1.215	sand	arena
1.22	mountain, hill	montaɲa; loma; cerro
1.222	cliff, precipice	acantilado; barranca
1.23	plain, field	pampa; llanura; campo
1.24	valley	valle
1.25	island	isla
1.26	mainland	continente; tierra firme
1.27	shore	ribera; playa; costa
1.28	cave	cueva; gruta
1.31	water	agua
1.32	sea	mar
1.322	calm (of sea)	calma
1.323	rough (of sea)	agitado (mar); borrascoso
1.324	foam	espuma
1.329	ocean	océano
1.33	lake	lago
1.34	gulf, bay	golfo; bahía
1.341	lagoon	laguna
1.342	reef	arrecife
1.343	headland, point	promontorio; punta
1.35	wave	ola
1.352	tide	marea
1.353	lowtide	bajamar
1.354	hightide	pleamar
1.36	river, stream, brook	río; corriente; arroyo
1.362	whirlpool	remolino
1.37	spring, well	manantial; pozo
1.38	swamp	pantano
1.39	waterfall	cascada; salto
1.41	woods, forest	bosque; selva
1.42	tree (cf 08.600)	árbol
1.43	wood	madera
1.44	stone, rock	piedra; roca
1.45	earthquake	terremoto; temblor
1.51	sky	cielo
1.52	sun	sol
1.53	moon	luna
1.54	star	estrella
1.55	lightning	relámpago
1.56	thunder	trueno
1.57	lightning (as striking)	rayo
1.58	storm	tempestad; tormenta
1.59	rainbow	arco iris
1.61	light (noun)	luz
1.62	darkness	oscuridad; tinieblas
1.63	shade, shadow	sombra
1.64	dew	rocío
1.71	air	aire
1.72	wind	viento
1.73	cloud	nube
1.74	fog	neblina; niebla
1.75	rain (noun)	lluvia
1.76	snow (noun)	nieve
1.77	ice	hielo
1.78	weather	tiempo
1.81	fire	fuego
1.82	flame (noun)	llama
1.83	smoke (noun)	humo
1.84	ashes	cenizas
1.841	embers	brasas
1.851	burn (vb trans)	quemar, quemarse
1.852	burn (vb intrans)	arder
1.86	light, kindle, ignite	encender
1.861	extinguish	apagar; extinguir
1.87	match (noun)	fósforo; cerilla
1.88	firewood	leɲa
1.89	charcoal	carbón
2.1	person, human being	persona
2.21	man (vs. woman)	hombre
2.22	woman	mujer
2.23	male	varón; macho
2.24	female	hembra
2.25	boy	muchacho
2.251	young man (adolescent)	el joven
2.26	girl	muchacha
2.261	young woman (adolescent)	la joven
2.27	child	niɲo
2.28	infant, baby	niɲo; bebé; nene
2.31	husband	marido; esposo
2.32	wife	esposa
2.33	marry	casarse
2.34	marriage, wedding	casamiento; boda
2.341	divorce	divorcio
2.35	father	padre
2.36	mother	madre
