entry_id	trans_english	Yagua_Phonemic
3.84	worm	toto; čapinu
3.85	snake	kodi
3.91	firefly	nimi mimi; hanũ
3.92	butterfly	kuyõtu; nuwutu
3.93	grasshopper	ruwa
3.94	snail	kapityu; rũdari
3.95	frog	sikyutu; hũtu
3.96	lizard	hapya; sunumĩ; numi
3.97	crocodile, alligator	nurutu
3.98	turtle	hnityu hũnutyu hũdityu
4.11	body	-bi; wũ
4.12	skin, hide	-hay; hasĩ-hay
4.13	flesh	sawi
4.14	hair (head)	ra- diway; -hasi
4.142	beard	hũmuruso; mudi-hasi
4.144	body hair	
4.145	pubic hair	tačihyasi
4.146	dandruff	
4.15	blood	n(u)da; nda-hã
4.151	vein, artery	
4.16	bone	-du
4.162	rib	wihã
4.17	horn	tũyuro; tũyuwũ; -wũ
4.18	tail	mũsiy
4.19	back	runu; rudi
4.191	spine	ru
4.2	head	h(ũ)nõ
4.201	side of head, temple	musi
4.202	skull	h(ũ)nõ-si
4.203	brain	hũnõ-riča
4.204	face	mõ
4.205	forehead	mõ; mõtãsa
4.207	jaw	mudi
4.208	cheek	maya
4.209	chin	mudi
4.21	eye	h(ũ)nũtyã; nĩsityadi
4.212	eyebrow	nubaɲu
4.213	eyelid	nĩsihe
4.214	eyelash	nĩsiryo
4.215	blink	mãčiryuya
4.22	ear	-hay; -hĩ; tuwãy
4.221	earlobe	
4.222	earwax	
4.23	nose	nurũ
4.231	nostril	wũnrũhũ; nurũhũ
4.232	mucus (nasal)	paryedyi; dapa
4.24	mouth	hũ; hũto
4.241	beak	hãda
4.25	lip	hiduy; hũday
4.26	tongue	dači
4.27	tooth	-ho; hãda
4.271	gums	hãdnãy; hãnnãy
4.272	molartooth	hariwyitu
4.28	neck	hũtunuwũ
4.281	nape of neck	hũtunuwũ
4.29	throat	pi; pisi
4.3	shoulder	numutõ
4.301	shoulderblade	-pay; numutõ-pãy
4.302	collarbone	
4.31	arm	hase; n(u)čã
