entry_id	trans_english	Yagua_Phonemic
12.352	pointed	mõ; n(u)ro; do; hĩčitiryaki
12.353	edge	ramirya; ramurya
12.36	side	himučõ; himunu; tunu
12.37	middle, center	-paruda; -hače; -kabiwa; -kabimu
12.41	right (side)	ntityuday
12.42	left (side)	mĩday
12.43	near (adv)	nũhi; di
12.44	far (adv)	ripya
12.45	east	hiɲĩ mũtĩho
12.46	west	hiɲĩ puryehyo
12.47	north	rawitãsamu
12.48	south	hidyewitãsamu
12.53	grow	hãwye
12.54	measure	saranu
12.541	span, fathom	hũričara
12.55	large, big	hãmu-; -ki
12.56	small, little	pasi-; -de; wamiri-
12.57	long	hãmukã-; -ki
12.58	tall	nãway; -ki; hãmuki
12.59	short	hapu-; wapu-
12.61	wide, broad	-kõ; hãmu-
12.62	narrow	pasi-
12.63	thick (in dimension)	watanu
12.65	thin (in dimension)	miriyũ-; muryiyũ-; wata-
12.67	deep	watanu; nučãri
12.68	shallow	wata
12.71	flat	-pãy; -padye; paniyõ
12.73	straight	wase-
12.74	crooked	wakamyu-; waruyu-
12.75	hook	kã
12.76	corner	numare
12.77	cross	[kurisi]
12.78	square	watatu
12.81	round	watatõ; waturi-
12.82	circle	watatõ
12.83	sphere, ball	waturi-; -ho
12.84	line	nũčara
12.85	hole	wata-hũ
12.92	like, similar	nũtyu; darya
12.93	change	tĩtuy
13.0	zero, nothing	mitya; mutya
13.1	one	taraki
13.2	two	-hũy; darahũy
13.3	three	mumurĩ
13.4	four	daryahũyu
13.5	five	tadahyo
13.6	six	tarakinihyate
13.7	seven	nãnũhũɲihyatec̷
13.8	eight	mumurĩ-nihyate
13.9	nine	daryahũyunihyate
13.10	ten	taraki wũyahũy
13.101	eleven	
13.102	twelve	darahũy wũyahũ rančahũ
13.103	fifteen	
13.104	twenty	d/narahũy wũyahũy
13.105	hundred	pača; taraki pača
13.106	thousand	taraki waranka
13.107	count	saranu; suranu
13.14	every, all	tĩtãhũ
13.15	much, many	haryi; -hu; rahu
13.16	more	rančahũ
13.17	little (quantity), few	-de; pasi-; -derĩ
13.18	enough	-dete; -hu; hãwiɲu; sãrã
13.181	some	tara; derĩ
13.19	multitude, crowd	-hu; -tu; -way
13.21	full	miryanu; panuho
13.22	empty	-kukõ; mitya
13.23	part, piece	we; tera; -hũwe
13.24	half	-we; -hũwe; -tãsa; -taday
13.33	alone, only	mityanuma; hasikita
13.34	first	hõttã; munatya
13.35	last	tamitya
13.36	second	darahũhyũ
13.37	pair	
13.38	two times	d/narahũhyũ
13.42	third	mumurĩ-hũ
13.44	three times	mumurĩ-hũ
14.11	time	runda; hũnda
14.12	age	nihyã; hnda
14.13	new	wadi-
14.14	young	waderõ-
14.15	old	tãrihẽ; rimityu
14.16	early	tãrimyusidera
14.17	late	hiɲuway
14.18	now	diwye; diye
14.19	immediately	waričãrãhũ
14.21	swift, fast, quick	haryuwe; wanira; warenu
14.22	slow	tapi
14.23	hasten, hurry	haryuwũy
14.24	retard, delay	riče
14.25	begin, beginning	hõta; hõtãda
14.252	last, endure	surũy
14.26	end (temporal)	kãsiyada; baryĩhada
14.27	finish	kãsi; parita; baryĩ-(mũy)
14.28	cease, stop	rani; ndasani
14.29	ready	hdutyasara
14.31	always	sara; -hayãsara
14.32	often	hapiči
14.33	sometimes	tarade
14.331	soon	warenu; waɲuma
14.332	long-time (for a)	tãripyu(hũ)
14.34	never	netaramũy
14.35	again	-nti
14.41	day	hnda; hũda; runda
14.42	night	nupora
14.43	dawn	rãsačara
14.44	morning	tãrimyusi
14.45	noon, midday	wasenumanĩ hiɲi
14.451	afternoon	hidye
14.46	evening	rĩɲupuy
14.47	today	diwye; diyerunda; hasi
14.48	tomorrow	tãrimyusi
14.481	day-after-tomorrow	rurundamu
14.49	yesterday	-hay
14.491	day-before-yesterday	rurundamu
14.51	hour	[hora]; [wora]
14.53	clock, timepiece	hũda sarantã
14.61	week	[simyanu]
14.62	Sunday	[tumikyu] runda
14.63	Monday	hwayada hõtada runda
14.64	Tuesday	[martisi]
14.65	Wednesday	[myerkudi]
14.66	Thursday	[huewesi]
14.67	Friday	[byernesi]
14.68	Saturday	[sawaru]
14.71	month	harimyunĩ
14.73	year	nihyã; wata
14.74	winter	nihyã
14.75	spring	
14.76	summer	windya
14.77	autumn	
14.78	season	runda; hũda
15.21	smell (vb intrans)	nari
15.212	sniff	nari
15.22	smell (vb trans)	hiri; hũsi
15.25	fragrant, good smelling	hũru-
15.26	stinking, bad smelling	hũtiryapo; puryapo
15.31	taste	hantya
15.35	sweet	sabo-
15.36	salty	tiwyihyũ-
15.37	bitter	hiwya-
15.38	acid, sour	hnda-; huda-
15.39	brackish	
15.41	hear	tuwãču
15.42	listen	tuwãču
15.44	sound, noise	hansãda; surya
15.45	loud	
15.46	quiet, silence	wapu-; ndasa
15.51	see	di; hũnũy
15.52	look, look at	hũnũy; hũnũču
15.55	show	dityanu
15.56	shine	danũ; nũya; widay
15.57	bright	wanda-
15.61	color	nũčara
15.62	light (in color)	-po
15.63	dark (in color)	-di
15.64	white	haparu-; pupa-; waparu-
15.65	black	wadaku-; wanuku-
15.66	red	runay-; warada-
15.67	blue	sunũ-; wasunũ-
15.68	green	hatya-; wasunũ-
15.69	yellow	wasunũdi
15.71	touch	hãtya; hwayi
15.712	pinch	tamuri; tamuri-čuy
15.72	feel	hiriyã
15.74	hard	kuway-; sura-; hakuway
15.75	soft	sipudi-; wanadi-; wasada-
15.76	rough	wariwyunu-
15.77	smooth	wasidya
15.78	sharp	mõtara; himyura
15.79	blunt, dull	ne mõtara; mõtadi; ne hmyunusara
15.81	heavy	saransara; hinra wadačũ
15.82	light (in weight)	mityadačũ
15.83	wet, damp	paroni; paruy; pupo
15.84	dry	pũy; sisã; ridye
15.85	hot	wanuki-
15.851	warm	wanõ-
15.86	cold	kanuwũ-; sudo-
15.87	clean	tuse; susã; pũy
15.88	dirty, soiled	kansi-; mĩ-
15.89	wrinkled	riɲihyuwačara
16.11	soul, spirit	bayantu; bayanu hnutu
16.15	surprised, astonished	tĩta
16.18	good fortune, luck	mũtye
16.19	misfortune, bad luck	hũwatadoda
16.23	joyful, glad, happy	nĩra; hčanãɲu
16.25	laugh	todi
16.251	smile	todi
16.26	play	tĩsa; tiyĩsa
16.27	love	-wãta; wãtã-da
16.29	kiss	siɲu
16.3	embrace	mari
16.31	pain	nuwada; hũnura; nuwayada
16.32	grief, sorrow, sadness	nuwayada; yiweda; nuwatyãda
16.33	anxiety, worry	nuwayada; haryi hačipiyahada
16.34	regret, be sorry	parũy; yiwatya
16.35	pity	hantyutyãda
16.37	cry, weep	hnãy; hũnãy
16.38	tear (noun)	nĩsihyã
16.39	groan	hũnãy; tiɲã
16.41	hate	hawatya; mirye
16.42	anger	miryãda; nikyẽyada
16.44	envy, jealousy	rãtyãda
16.45	shame (noun)	hanãda
16.48	proud	nunuwãɲu
16.51	dare	hantya
16.52	brave	suwũyasã
16.53	fear, fright	suwũyada; hnuteda
16.54	danger	suwũčara
16.62	desire, want	nĩrũyada; wãtãda
16.622	choose	haryeta
16.63	hope	nutuyada
16.65	faithful	sityera; sĩtenu
16.66	true	sĩtenu
16.67	lie, tell lies	kiwũy; kiwũyada
16.68	deceit	kiwũčara; kiwũyada
16.69	forgive	rami mitya; hantyuy
16.71	good	samĩ; wase-; sami-
16.72	bad	nikyarãy-; ne sami-
16.73	right, correct	wase-
16.74	wrong	ne wase; karačara
16.76	fault	hiyasačara
16.77	mistake, error	karayada
16.78	blame	hiyasay; yasay; bayã
16.79	praise	hĩčanãtya
16.81	beautiful	sami-; samuy-
16.82	ugly	nikyarãy
16.83	greedy	hũbarya-
16.84	clever	wanĩra
17.11	mind	hačipiyãhada
17.13	think (= reflect)	hačipiyãhada; hũtay
17.14	think (= be of the opinion)	-hta; -nta; -ta
17.15	believe	datya; hũtay; tuwãču
17.16	understand	datya
17.17	know	datya
17.171	guess	hũtay
17.172	imitate	hantya; hičanu
17.18	seem	nĩča; nta
17.19	idea, notion	hačipiyãhada
17.21	wise	datyara
17.22	foolish, stupid	datyĩsã
17.23	insane, crazy	kawiyanĩ; hatačara
17.24	learn	sa- datya; niyũy; sara
17.242	study	datya
17.25	teach	datya-nu
17.26	pupil	sisã datyĩ
17.27	teacher	datya-nũ
17.28	school	katera nũhyo
17.31	remember	hačipitya
17.32	forget	hačipu
17.34	clear, plain	wada-
17.35	obscure	hrurya
17.36	secret	dutyasara
17.37	sure, certain	sĩtenu
17.38	explain	datya-nu; ditya-nu
17.41	intention, purpose	hačipiyãhada
17.42	cause	-tani; -su; -niy; -nu
17.43	doubt	
17.44	suspect	hũtay
17.441	betray	mityasi
17.45	need, necessity	nĩrũy; sũtye; wãta
17.46	easy	ne hwadatyĩsara
17.47	difficult	hwadatyĩsara
17.48	try, attempt	hantya
17.49	way, manner	wičaničara
17.51	and	harye; -nti
17.52	because	daryahũ; tapi
17.53	if	-ti
17.54	or	warimyata
17.55	yes, affirmative	honu; sĩtenu; ho
17.56	no, negative	ne; -witya; rãy; hnãy
17.61	how?	nũtyuramusi
17.62	how many?	nurĩ; naryara; nuryara
17.63	how much?	nurirya
17.64	what?	nũtyara; tã
17.65	when?	nũtyeriwye
17.66	where?	te; nũti
17.67	which?	mi-; mĩ-
17.68	who?	čĩ
17.69	why?	nũtyara; tãriwa
18.11	voice	nikyehada
18.12	sing	murãy
18.13	shout, cry out	sãɲẽyã; hũbuy
18.15	whisper	kukutya; kutya
18.16	mumble	kukuyẽ
18.17	whistle	sičarãy
18.18	shriek, screech	sãɲẽyãhada
18.19	howl	hũbuy
18.21	speak, talk	nikyetta; nikye
18.211	stutter, stammer	yisanu
18.22	say	htay
18.221	tell story	tũču
18.222	speech (make a)	nikye
18.23	silent (be)	ndasa
18.24	language	nikyehada
18.26	word	nikyehada
18.28	name	hĩtya
18.31	ask (question, inquire)	hitahãnu
18.32	answer	hmotyõ; hmutyã
18.33	admit, confess	tũču
18.34	deny	rãy; rayada
18.35	ask, request	hačiɲũy
18.36	promise	hũtay; sĩtenu
18.37	refuse	hũbay
18.38	forbid	hũbay
18.39	rebuke, scold	nikyẽtya
18.41	call (=summon)	natuy; nikyeta
18.42	call (=name)	hũtay
18.43	announce	tũču
18.44	threaten	hiyarõnu
18.45	boast	nunuwãy; nuwãy; hnunuwãy
18.51	write	nũy
18.52	read	hũnũy; tũčunu
18.56	paper	-wĩ; katera-wĩ
18.57	pen	katera nũtyã
18.61	book	katera padye
18.67	poet	
18.71	flute	dudu; rudidyu
18.72	drum	ričĩnu
18.73	horn, trumpet	natutyã
18.74	rattle	susãtu
19.11	country	mukadi
19.12	one's native country	ra-myukadi
19.15	city, town	hãmu-wičãda
19.16	village	wičãda; rori-wyiɲu
19.17	boundary	
19.21	people (populace)	nihyãmĩ; nihyãnway
19.23	tribe, clan	-hũrirya
19.24	chief, chieftain	[hapu; kuraka]
19.25	staff, walking stick	ruwese
19.31	rule, govern	nsũy; nusũy
19.32	king, ruler	nusũɲu; hãmu nutityũ; [hapu]
19.33	queen	hãmu nutityoda
19.36	noble, nobleman	
19.37	citizen, subject	-hãmĩ; tenu; tenuwičĩ
19.41	master	hãmĩ; nutityũ
19.42	slave	kumude; [mučeči]
19.43	servant	[mučeči; mučečityu]
19.44	freeman	
19.45	command, order	hũteda; nusũyada
19.46	obey	tuwãču; sitye
19.47	let, permit	parũy
19.51	friend, companion	-datyĩ; sisã wičĩ; [hamyi]
19.52	enemy	mityasi; mutyasi
19.54	neighbor	tunuwičĩ
19.55	stranger	mãy
19.56	guest	haɲũɲu
19.57	host	rori-hyãmĩ
19.58	help, aid	hmũtya; hũmũtya
19.59	hinder, prevent	tuta
19.61	custom	wičeničãda
19.62	strife, quarrel	nikyẽyada
19.63	conspiracy, plot	hãsuyada
19.65	meet	sarye
19.72	prostitute	kadnatu
20.11	fight (vb)	hũway; tapũy
20.13	war, battle	hũweda
20.14	peace	samirya wičãda
20.15	army	
20.17	soldier	hũwĩ; tapũɲu; [sũtaru]
20.21	weapons, arms	hũwatyã
20.22	club	hũmũy
20.222	battle-ax	hũmũy
20.23	sling	
20.24	bow	kãnũ
20.25	arrow	hačityã; ruwe; ruwero
20.26	spear	hĩčityityã; -ro
20.27	sword	hičtityã
20.28	gun, cannon	dudasi; dunu
20.31	armor (defensive)	
20.33	helmet	tunuwũ
20.34	shield	ramityahay
20.35	fortress	wanũtyaho
20.36	tower	rori-wyũki
20.41	victory	[kãnã]yada
20.42	defeat	wudoda
20.43	attack	sirĩhada
20.44	defend	rãy
20.45	retreat	sitye; hintye
20.46	surrender	saboničãda
20.47	captive, prisoner	tanuwũnusĩ
20.471	guard, sentinel	nikyẽrya hnũtyĩ
20.48	booty, spoils	hwadi; sõwačara
20.49	ambush	nĩnũyada
20.51	fisherman	rikyanu
20.52	fishhook	toya
20.53	fishing line	toyahũ
20.54	fishnet	rikya; hãmu-rikya
20.55	fish trap	
20.56	bait	puryũtyã; piryũtyã (?)
20.61	hunt	dapuy; du
20.62	shoot	du
20.63	miss (target)	rupã
20.64	trap (noun)	tãnũ
20.65	trap (vb)	tamũy
21.11	law	nikyehada
21.15	court	
21.16	judge (vb)	dityanu hiyasaɲu
21.17	judgment	
21.18	judge (noun)	kadnadu
21.21	plaintiff	tũčutĩ
21.22	defendant	tũčutasĩ
21.23	witness	tučutĩ
21.24	swear	
21.25	oath	
21.31	accuse	tučuta
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	hiyasaɲu
21.36	innocent	
21.37	penalty, punishment	muričedoda
21.38	fine	wãča hwayada muričirya
21.39	prison, jail	nupoku rori
21.42	murder	hũweda
21.43	adultery	rupi; rupiyada tĩ waturũsã
21.44	rape	
21.46	arson	
21.47	perjury	kiwũyada
21.51	steal	paranu
21.52	thief	paranu-nĩ
22.11	religion	
22.12	God	wũhẽ; [risu]
22.13	temple, church	[pãtiri] rori; hũdenu rori
22.14	altar	
22.15	sacrifice, offering	hnutatyasara
22.16	worship	hačipiyãhada sanihyũ
22.17	pray	[resay; horay; horayanu]
22.18	priest	[kaserdote]; [pãtiri]
22.19	holy, sacred	hintyasara
22.22	preach	tũču
22.23	bless	
22.24	curse	dayẽ
22.26	fast (vb)	nura
22.31	heaven	hariču
22.32	hell	hidatyõ
22.35	demon (evil spirit)	bayantu
22.37	idol	hiputera hwačĩ
22.42	magic, witchcraft, sorcery	duwoda; nuwoda; rimyuyada
22.43	sorcerer, witch	rimyara; rimyura
22.44	fairy, elf	
22.45	ghost, phantom	bayantu
22.47	omen, portent	hũwatadoda
