entry_id	trans_english	Epena_Phonemic
1.1	world	na 'euhã
1.21	earth, land	'euhã
1.212	earth=ground, soil	'yooro
1.213	dust	'yooro 'pʰora
1.214	mud	'yooro su'sua
1.215	sand	'ipu
1.22	mountain, hill	'ee
1.222	cliff, precipice	kʰõo'tʰari
1.23	plain, field	hewe'daa ewa'raa
1.24	valley	
1.25	island	'tʰɨɨ-da
1.26	mainland	
1.27	shore	i; to i
1.28	cave	'mau te
1.31	water	pa'nia
1.32	sea	'pʰusa
1.322	calm (of sea)	
1.323	rough (of sea)	'pʰusa tʰo nɨ'bɨ
1.324	foam	kʰõpʰe'pʰee
1.329	ocean	'pʰusa
1.33	lake	'tʰɨ-da to
1.34	gulf, bay	to 'tʰai i hoobai-
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	'pʰusa
1.352	tide	to-'piru
1.353	lowtide	to-'piru hi'ra-tɨ hõ-
1.354	hightide	to-'piru i'puru-
1.36	river, stream, brook	to; to 'čakʰe
1.362	whirlpool	to pʰëre'bai
1.37	spring, well	
1.38	swamp	'euhã su'sua
1.39	waterfall	
1.41	woods, forest	'mee
1.42	tree (cf 08.600)	pa'kʰuru
1.43	wood	pa'kʰuru
1.44	stone, rock	'mau
1.45	earthquake	a'wẽra 'čai
1.51	sky	'pa-hã; a'kʰõre 'hã
1.52	sun	a'kʰõre 'hĩru
1.53	moon	a'tane
1.54	star	[lu'sero]
1.55	lightning	pa-'baai
1.56	thunder	pa; pa hĩ'waa
1.57	lightning (as striking)	pa 'tau 'pʰore
1.58	storm	nau-'mia
1.59	rainbow	'euma
1.61	light (noun)	ɨ̃'daa
1.62	darkness	pʰã'riu
1.63	shade, shadow	pa'kʰuru kʰũra'sãa e'kʰari
1.64	dew	
1.71	air	
1.72	wind	'nau
1.73	cloud	hɨ̃a'rara
1.74	fog	hɨ̃a'rara tʰa'waa
1.75	rain (noun)	'kʰoi
1.76	snow (noun)	
1.77	ice	
1.78	weather	'eu
1.81	fire	'tʰɨpɨ 'tau
1.82	flame (noun)	'tʰɨpɨ 'tau u'rua
1.83	smoke (noun)	'nari
1.84	ashes	itʰa'bar̃e 'pʰora
