entry_id	trans_english	Catuquina_Phonemic
1.1	world	šaβa
1.21	earth, land	mai
1.212	earth=ground, soil	mai
1.213	dust	mai poto
1.214	mud	paras
1.215	sand	mači
1.22	mountain, hill	maṣ̌i
1.222	cliff, precipice	
1.23	plain, field	[kampo]
1.24	valley	mispã
1.25	island	mai toʔõ
1.26	mainland	
1.27	shore	waka kɨso
1.28	cave	
1.31	water	waka
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	βakoš
1.329	ocean	
1.33	lake	iã
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	waka rɨškɨ-
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	noa; waka; tɨã
1.362	whirlpool	nɨmĩ
1.37	spring, well	yočĩ-ni hato
1.38	swamp	mispã
1.39	waterfall	
1.41	woods, forest	niʔi
1.42	tree (cf 08.600)	hiwi
1.43	wood	hiwi kaškɨ
1.44	stone, rock	mički
1.45	earthquake	mai tatĩ-
1.51	sky	nai
1.52	sun	βari
1.53	moon	ošɨ
1.54	star	hiči
1.55	lightning	kana
1.56	thunder	nai i-
1.57	lightning (as striking)	kana-pa
1.58	storm	oi hawɨ-ʔã-tiʔo-ka
1.59	rainbow	nawã βaʔi
1.61	light (noun)	amo
1.62	darkness	βakič
1.63	shade, shadow	βari pãtɨ-ʔɨ; βari-ma
1.64	dew	hasɨ
1.71	air	
1.72	wind	niwɨ
1.73	cloud	nai koʔĩ
1.74	fog	hičiniβi
1.75	rain (noun)	oi
1.76	snow (noun)	
1.77	ice	
1.78	weather	nai roʔa-pa; nai ičṣ̌a-pa
1.81	fire	ṣ̌iʔi
1.82	flame (noun)	ṣ̌iʔi
1.83	smoke (noun)	koʔĩ
1.84	ashes	ṣ̌iʔi mapo
1.841	embers	rɨkɨ̃
1.851	burn (vb trans)	koʔa-
1.852	burn (vb intrans)	koʔo-t-
1.86	light, kindle, ignite	kawa-
1.861	extinguish	namɨ-
1.87	match (noun)	ṣ̌iʔi-ti
1.88	firewood	karo
1.89	charcoal	ṣ̌iʔi tɨstɨ
2.1	person, human being	nokɨ
2.21	man (vs. woman)	honi
2.22	woman	aĩ-βo
2.23	male	βɨnɨ
2.24	female	aĩ
2.25	boy	honi βakɨ
2.251	young man (adolescent)	βɨrona
2.26	girl	aĩ βakɨ
2.261	young woman (adolescent)	šoma-ya
2.27	child	yomɨ-pičṣ̌a
2.28	infant, baby	yomɨ maško
2.31	husband	βɨnɨ
2.32	wife	aĩ
2.33	marry	βɨnɨ-ya-; aĩ-ya
2.34	marriage, wedding	βɨnɨ-ya-ti; aĩ-ya-ti
2.341	divorce	hɨnɨ-
2.35	father	papa
2.36	mother	ɨwa
2.37	parents	papa-βos
2.38	married man	aĩ-ya
2.39	married woman	βɨnɨ-ya
2.41	son	yomɨ
2.42	daughter	ini
2.43	offspring (son or daughter)	yomɨ-βo
2.44	brother	wɨc̷a; takɨ
2.444	older brother	hoṣ̌i
2.445	younger brother	anaka
2.45	sister	wɨc̷a; takɨ
2.454	older sister	ṣ̌iṣ̌o
2.455	younger sister	ṣ̌ipo-a
2.456	sibling	wɨc̷a; takɨ
2.458	twins	yomɨ papi
2.46	grandfather	ṣ̌aʔiṣ̌o
2.461	old man	šɨni-ra
2.47	grandmother	iča
2.471	old woman	yoša-βo
2.48	grandson	βaβa
2.49	granddaughter	βaβa
2.51	uncle	βakɨ-ṣ̌oʔo
2.511	mother's brother	koka
2.512	father's brother	βakɨ-ṣ̌oʔo
2.52	aunt	ɨwa; naṣ̌i
2.521	mother's sister	ɨwa
2.522	father's sister	naṣ̌i
2.53	nephew	pia; βaki-ṣ̌oʔo
2.54	niece	ɨwa šoko; inĩ takɨ
2.55	cousin	hoṣ̌i-ṣ̌oʔo
2.56	ancestors	šɨni-pa-βo
2.57	descendants	yomɨ-βo
2.61	father-in-law (of a man)	rayos
2.611	father-in-law (of a woman)	βaβã
2.62	mother-in-law (of a man)	rayos
2.621	mother-in-law (of a woman)	βaβã
2.63	son-in-law (of a man)	rayos
2.631	son-in-law (of a woman)	rayos
2.64	daughter-in-law (of a man)	βaβã
2.641	daughter-in-law (of a woman)	βaβã
2.71	stepfather	papa wɨc̷a
2.72	stepmother	ɨwa wɨc̷a
2.73	stepson	yomɨ
2.74	stepdaughter	ini
2.75	orphan	papa-ʔoma
2.76	widow	ronaʔata aĩ-βo
2.77	widower	ronaʔata honi
2.81	relatives, kinsmen	hawɨ-βo
2.82	family	hawɨ-βo
2.91	I	ɨa; ɨã; ɨ̃
2.92	you (singular)	mia; miã; mĩ
2.93	he/she/it	haa; hatõ; hãwɨ̃
2.94	we	nokɨ; nokɨ̃; nõ
2.941	we (inclusive)	nokɨ; nokɨ̃; nõ
2.942	we (exclusive)	nokɨ; nokɨ̃; nõ
2.95	you (plural)	mato; matõ; mã
2.96	they	hato-βo; hatoβão; -βo
3.11	animal	yoʔina
3.12	male (adj)	βɨnɨ
3.13	female (adj)	aĩ
3.15	livestock	ina
3.16	pasture	[kampo]
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	[βoi]
3.21	bull	[βoi] βɨnɨ
3.22	ox	[βoi]
3.23	cow	[βoi] aĩ
3.24	calf	[βoi] βakɨ
3.25	sheep	ina ṣ̌ašo
3.26	ram	ina ṣ̌ašo βɨnɨ
3.28	ewe	ina ṣ̌ašo aĩ
3.29	lamb	ina ṣ̌ašo βakɨ
3.32	boar	pisi hono βɨnɨ
3.34	sow	pisi hono aĩ
3.35	pig	pisi hono
3.36	goat	ṣ̌ašo kɨniya
3.37	he-goat	ṣ̌ašo kɨniya βakɨ
3.38	kid	ṣ̌ašo kɨniya βakɨ
3.41	horse (equine)	ina
3.42	stallion	ina βɨnɨ
3.44	mare	ina aĩ
3.45	foal, colt	ina βakɨ
3.46	ass, donkey	ina
3.47	mule	ina
3.5	fowl	
3.52	cock, rooster	takara βɨnɨ
3.54	hen	takara aĩ
3.55	chicken	takara
3.56	goose	
3.57	duck	nonõ
3.58	nest	naʔa
3.581	bird	čai
3.582	seagull	
3.583	heron	hošo
3.584	eagle	
3.585	hawk	tɨtɨ
3.586	vulture	šɨtɨ
3.591	bat	kãči
3.592	parrot	βawa
3.593	crow	isko
3.594	dove	čori
3.596	owl	popo
3.61	dog	kamã
3.614	rabbit	maka pãṣ̌o-ya
3.62	cat	kɨc̷ĩ
3.622	opossum	pisi mačo
3.63	mouse, rat	makõ; maka
3.65	fish	c̷ac̷a
3.652	fin (dorsal)	pakɨβo
3.653	fishscale	pɨsa
3.654	gill	tãpɨka
3.655	shell	...šaka
3.661	shark	--
3.662	porpoise, dolphin	kočo
3.663	whale	--
3.664	stingray	iwi
3.665	freshwater eel	koni
3.71	wolf	--
3.72	lion	--
3.73	bear	--
3.74	fox	hono kamã
3.75	deer	ṣ̌ašo
3.76	monkey	mɨβi-ya-βo
3.77	elephant	--
3.78	camel	--
3.81	insect	
3.811	louse	ia
3.812	nit (louse egg)	ia c̷iwa
3.813	flea	kamã šoa
3.814	centipede	siri
3.815	scorpion	niβo
3.816	cockroach	mãpa
3.817	ant	hima
3.818	spider	wasno
3.819	spider web	wasnõ hopo
3.82	bee	šara
3.821	beeswax	mãčã
3.822	beehive	šara šoi
3.823	wasp	βina
3.83	fly	napɨ
3.831	sandfly (midge), gnat	čiʔo
3.832	mosquito	βii
3.84	worm	noʔĩ
3.85	snake	rono
3.91	firefly	tapi
3.92	butterfly	šaʔɨ pɨro
3.93	grasshopper	ṣ̌ãpo
3.94	snail	noβo
3.95	frog	hɨo
3.96	lizard	šaβo
3.97	crocodile, alligator	kapɨ
3.98	turtle	tãko
4.11	body	yorã kãyã
4.12	skin, hide	hɨšβi
4.13	flesh	nami
4.14	hair (head)	βoo
4.142	beard	kɨni
4.144	body hair	rani
4.145	pubic hair	šani
4.146	dandruff	mapis
4.15	blood	himi
4.151	vein, artery	pono
4.16	bone	šao
4.162	rib	piči šao
4.17	horn	mãčoĩ
4.18	tail	ina
4.19	back	pɨmana
4.191	spine	kašo
4.2	head	mapo
4.201	side of head, temple	ispara-ti
4.202	skull	mapo šao
4.203	brain	mapo rɨso
4.204	face	βɨso
4.205	forehead	βɨmana
4.207	jaw	koi
4.208	cheek	tamo
4.209	chin	koi
4.21	eye	βɨro
4.212	eyebrow	βɨšpi rani
4.213	eyelid	βɨro hɨšβi
4.214	eyelash	βɨro kɨšni
4.215	blink	βɨro pɨri-
4.22	ear	pãṣ̌o
4.221	earlobe	pãṣ̌o ṣ̌ičpi
4.222	earwax	paβɨš
4.23	nose	rɨkĩ
4.231	nostril	rɨkĩ c̷ɨwɨ
4.232	mucus (nasal)	rɨwã
4.24	mouth	hana
4.241	beak	šɨta
4.25	lip	kɨša
4.26	tongue	hana
4.27	tooth	šɨta
4.271	gums	šɨta tao
4.272	molartooth	šɨta maṣ̌a
4.28	neck	tɨpo
4.281	nape of neck	tɨšo
4.29	throat	tɨpõ
4.3	shoulder	pɨšo
4.301	shoulderblade	pɨ̃si
4.302	collarbone	tɨšaβa šao
4.31	arm	põyã
4.312	armpit	pički
4.32	elbow	wapoško
4.321	wrist	mɨroško
4.33	hand	mɨβi
4.331	palm of hand	mɨβi napaš
4.34	finger	mɨβi-βõs
4.342	thumb	mɨβĩ kãyã
4.344	fingernail	mɨ̃c̷is
4.345	claw	mɨ̃c̷is
4.35	leg	hiṣ̌aš
4.351	thigh	kiči
4.352	calf of leg	hiṣ̌aš posto
4.36	knee	raβošo
4.37	foot	taʔɨ
4.371	ankle	tapoško
4.372	heel	taʔɨ ṣ̌ipošo
4.374	footprint	noni
4.38	toe	taʔɨ-βõs
4.392	wing	pɨʔi
4.393	feather	pɨʔi
4.4	chest	šoṣ̌i
4.41	breast (of woman)	šoma
4.412	nipple, teat	šoma βɨro
4.42	udder	šoma
4.43	navel	tõpi
4.44	heart	hoĩti
4.441	lung	tãsã
4.45	liver	taka
4.451	kidney	wašpã
4.452	spleen	tarati
4.46	stomach	hato
4.461	intestines, guts	poko
4.462	waist	šakĩ
4.463	hip	istõko
4.464	buttocks	ṣ̌ičo
4.47	womb	posto
4.49	testicle	oβo
4.492	penis	ina
4.51	breathe, breath	hoĩ-
4.52	yawn, gape	šaβa-
4.521	hiccough	c̷ɨko-
4.53	cough	oko i-
4.54	sneeze	atɨš-
4.55	perspire	niskã-
4.56	spit	kɨmo miṣ̌o-
4.57	vomit	hanãni i-
4.58	bite	nača-
4.59	lick	siro-
4.591	dribble	kɨmo βakoš i-
4.61	sleep	oša-
4.612	snore	nɨ̃a-
4.62	dream	nama-
4.63	wake up	βɨso-
4.64	break wind	c̷ipis-
4.65	urinate	hisõ-
4.66	defecate	poʔi i-
4.67	have sexual intercourse	βɨnɨ̃ aĩ akaʔi
4.68	shiver	sakõ-na-
4.69	bathe	nači-
4.71	beget (of father)	toʔo i-ma
4.72	born (to be)	pakɨ-t-
4.73	pregnant	toʔoʔa-
4.732	conceive	toʔoʔa-raʔoka-
4.74	live, living, life	βopi-ʔama; čĩnã
4.75	die, dead	βopi-
4.751	drowned	hɨnɨ-ki i-
4.76	kill	βopi-ma-
4.77	corpse	yora
4.78	bury (the dead)	mai a-
4.79	grave, tomb	šanɨ̃
4.81	strong, mighty, powerful	mɨstɨ̃
4.82	weak	mɨstɨ̃-ma
4.83	well, health	roʔa-s-i ni-
4.84	sick, sickness	βopiʔa-; yama-ti
4.841	fever	yona-t-
4.842	goiter	kõtõ
4.843	cold (catarrh)	paʔɨ̃ i-
4.85	wound, sore	ṣ̌ɨwɨ
4.852	bruise	šona
4.853	swelling	hoɨ̃-
4.854	itch	šoa-
4.855	blister	mɨšβõ-
4.856	boil (noun)	poči
4.857	pus	koʔo
4.858	scar	naβa
4.86	cure, heal	roʔa-
4.87	physician	['mɨdiko]
4.88	medicine, drug	raʔõ-ti
4.89	poison	raʔo
4.91	tired, weary	pini-paʔi i-
4.912	rest	tɨnɨ-
4.92	lazy	ṣ̌ikič-
4.93	bald	mãko
4.94	lame	šao koči-ma-ʔ i ni-yama-i
4.95	deaf	pasto
4.96	mute	βana-ʔoma
4.97	blind	βɨšo
4.98	intoxicated	mapo nisõ-
4.99	naked, bare	šaro-s-ka
5.11	eat	pi-
5.12	food	pi-ti
5.121	cooked	waʔa-ʔata
5.122	raw	paša
5.123	ripe	hõčĩ
5.124	green, unripe	šoʔo
5.125	rotten	payo
5.13	drink	waka a-ka-
5.14	hunger	pi-tĩ tɨnã-
5.141	famine	
5.15	thirst	wakã tɨnã-
5.16	suck	koko-
5.18	chew	ṣ̌ako-
5.181	swallow	šɨa-
5.19	choke	tɨyo-t-
5.21	cook	pi-ti waʔa-
5.22	boil (vb)	toko a-; toko i-
5.23	roast, fry	c̷oi-
5.24	bake	šoʔi-
5.25	oven	
5.26	pot, cooking vessel	mapo yoʔa
5.27	kettle	yoʔa
5.28	pan	yoʔa
5.31	dish	kɨ̃ṣ̌a
5.32	plate	kɨ̃ṣ̌a
5.33	bowl	kɨspo
5.34	pitcher, jug	waka wɨʔa-ti
5.35	cup, drinking vessel	[kopo]
5.36	saucer	kɨ̃ṣ̌a-pič̣sa
5.37	spoon	c̷ano
5.38	knife	roɨ šɨta
5.39	fork	hanõ pi-ti koṣ̌a
5.391	tongs	hanõ aṣ̌i-ti
5.41	meal (a)	
5.42	breakfast	[kebra ǰeǰum] (?)
5.43	lunch	
5.44	dinner	[almoso]
5.45	supper	[ǰanta] (?) [yanta] (?)
5.46	peel	šoka-
5.47	sieve, strain	toʔa-
5.48	scrape	wɨša-
5.49	stir, mix	moc̷a-
5.51	bread	[pão]
5.53	dough	ṣ̌aka
5.54	knead	
5.55	meal, flour	poto
5.56	crush, grind	tii a-
5.57	mill	βimi tii a-ti
5.58	mortar	βimi tii a-ti rõkɨ
5.59	pestle	tii a-ti
5.61	meat	nami
5.63	sausage	--
5.64	soup, broth	pasa
5.65	vegetables	mɨʔɨ βana
5.66	bean	[čičão]
5.7	potato	kari
5.71	fruit	βimi
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	[kastãya]
5.78	olive	--
5.79	oil	pi-ti šɨni
5.791	grease, fat	šɨni
5.81	salt	[sao]
5.82	pepper	--
5.821	chili pepper	yoṣ̌i
5.84	honey	šara rɨ c̷õ
5.85	sugar	[asoka]
5.86	milk (noun)	βoi šoma
5.87	milk (vb)	poc̷i-
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	waka; maṣ̌o
5.91	mead	
5.92	wine	--
5.93	beer	
5.94	fermented drink	kaṣ̌a
5.97	egg	βaṣ̌i
5.971	egg yolk	βaṣ̌i nac̷ã
6.11	put on (clothes)	sawɨ-
6.12	clothing, clothes	tari
6.13	tailor	--
6.21	cloth	tari kato-ta
6.22	wool	ina ṣ̌ašo rani tari
6.23	linen, flax	--
6.24	cotton	wašmɨ
6.25	silk	--
6.27	felt	--
6.28	fur	yoʔina šaka
6.29	leather	βoi hɨšβi
6.31	spin	wašmɨ sɨβi-
6.32	spindle	oti
6.33	weave	šɨwa
6.34	loom	
6.35	sew	šɨwa-
6.36	needle	šomoš
6.37	awl	
6.38	thread	risis
6.39	dye	
6.41	cloak	
6.411	poncho	
6.42	woman's dress	aĩ-βão tari
6.43	coat	--
6.44	shirt	tari pɨšo-ki-ri
6.45	collar	tɨwɨ-ti
6.46	skirt	yanɨšɨ-ti
6.461	grass-skirt	--
6.48	trousers	tari taʔɨ-ki-ri
6.49	stocking, sock	[meia]
6.51	shoe	taʔɨ šaka
6.52	boot	[bota]
6.54	shoemaker, cobbler	--
6.55	hat, cap	mai-ti
6.57	belt, girdle	[sĩtorão]
6.58	glove	--
6.59	veil	--
6.61	pocket	ṣ̌orã
6.62	button	tari βɨro
6.63	pin	tari osõ-ti
6.71	ornament, adornment	
6.72	jewel	--
6.73	ring (for finger)	mɨβi narĩ-ti
6.74	bracelet	mɨtaš-kɨ-ti
6.75	necklace	tɨwɨ
6.76	bead	βononi
6.77	earring	paβi
6.78	headband, headdress	nokɨ̃ mai-ti
6.79	tattoo	c̷ic̷a
6.81	handkerchief, rag	tari šatɨ
6.82	towel	toško-ti
6.91	comb	βoo-č-ti
6.92	brush	nisa-ti
