entry_id	trans_english	Ninam_Shirishana_Phonemic
1.1	world	
1.21	earth, land	ilihi; mašithak
1.212	earth=ground, soil	mašithak
1.213	dust	popoši
1.214	mud	mašithak ãhi
1.215	sand	lãkak
1.22	mountain, hill	olina
1.222	cliff, precipice	
1.23	plain, field	ilihi hõši
1.24	valley	
1.25	island	ilihi makoko
1.26	mainland	
1.27	shore	palahi; kasi
1.28	cave	maamak paka
1.31	water	maup
1.32	sea	
1.322	calm (of sea)	si-utiti
1.323	rough (of sea)	payik-payik-mo
1.324	foam	popoši
1.329	ocean	
1.33	lake	yokoto
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	pola
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	u; ma u
1.362	whirlpool	šĩmoli-a wei
1.37	spring, well	maup paka
1.38	swamp	yokoto
1.39	waterfall	
1.41	woods, forest	ilihi
1.42	tree (cf 08.600)	wiitihi
1.43	wood	wiitihi
1.44	stone, rock	maama
1.45	earthquake	
1.51	sky	yãn-paluk
1.52	sun	mothok
1.53	moon	wilipo
1.54	star	põlemahuk
1.55	lightning	wake yãli mu wei
1.56	thunder	šiukawe
1.57	lightning (as striking)	
1.58	storm	watoli
1.59	rainbow	yãnomano
1.61	light (noun)	wakala ma wei
1.62	darkness	tutu thehe
1.63	shade, shadow	lõlap
1.64	dew	
1.71	air	hušiampək
1.72	wind	watoli
1.73	cloud	wakiši
1.74	fog	wakiši
1.75	rain (noun)	ma
1.76	snow (noun)	--
1.77	ice	
1.78	weather	
1.81	fire	wake
1.82	flame (noun)	wake
1.83	smoke (noun)	wakiši
1.84	ashes	yupušupu
1.841	embers	ãnahu
1.851	burn (vb trans)	ĩšia ma
1.852	burn (vb intrans)	ĩšia
1.86	light, kindle, ignite	wake hola
1.861	extinguish	lã la ma
1.87	match (noun)	pole-wake
1.88	firewood	thalukuk
1.89	charcoal	
2.1	person, human being	ninam
2.21	man (vs. woman)	wãlo
2.22	woman	thuwe
2.23	male	wãlo
2.24	female	thuwe
2.25	boy	wãlo oše
2.251	young man (adolescent)	huya
2.26	girl	thuwe oše
2.261	young woman (adolescent)	moko
2.27	child	ulu
2.28	infant, baby	ulu thai
2.31	husband	pĩyalop-e
2.32	wife	pithiop-e
2.33	marry	thuwe yia
2.34	marriage, wedding	
2.341	divorce	thuwe šiye
2.35	father	popa-ye
2.36	mother	naa-ye
2.37	parents	
2.38	married man	thuwe hipo wei
2.39	married woman	wãlo hipo wei
2.41	son	ulu-ye
2.42	daughter	thee-ye
2.43	offspring (son or daughter)	
2.44	brother	
2.444	older brother	awe-ye
2.445	younger brother	šĩa-ye
2.45	sister	
2.454	older sister	ami-ye
2.455	younger sister	šĩa-ye
2.456	sibling	
2.458	twins	thala hoolo wei kup
2.46	grandfather	šoa-ye
2.461	old man	wãlo pata
2.47	grandmother	yaa-ye
2.471	old woman	thuwe lepi
2.48	grandson	thãlesi-ye
2.49	granddaughter	yiha-ye
2.51	uncle	
2.511	mother's brother	šoa-ye
2.512	father's brother	popa-ye
2.52	aunt	
2.521	mother's sister	naa-ye
2.522	father's sister	yaa-ye
2.53	nephew	thãlesi-ye
2.54	niece	yiha-ye
2.55	cousin	heli-ye
2.56	ancestors	pata pək
2.57	descendants	pulup-e pək ehetole
2.61	father-in-law (of a man)	šoa-ye
2.611	father-in-law (of a woman)	šoa-ye
2.62	mother-in-law (of a man)	yaa-ye
2.621	mother-in-law (of a woman)	yaa-ye
2.63	son-in-law (of a man)	thãlesi-ye
2.631	son-in-law (of a woman)	thãlesi-ye
2.64	daughter-in-law (of a man)	yiha-ye
2.641	daughter-in-law (of a woman)	yiha-ye
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	ulu watili
2.76	widow	thuwe watili
2.77	widower	
2.81	relatives, kinsmen	ipa pək
2.82	family	ipa pək
2.91	I	kami-ye; ya
2.92	you (singular)	kahowa; wa
2.93	he/she/it	kama; (zero)
2.94	we	
2.941	we (inclusive)	kahowamak; wamak
2.942	we (exclusive)	kamiyamak; yamak
2.95	you (plural)	kahowamak; wamak
2.96	they	pək
3.11	animal	yalo
3.12	male (adj)	wãlo
3.13	female (adj)	thuwe
3.15	livestock	hipo wei yalo
3.16	pasture	
3.18	herdsman	thẽlema wei
3.19	stable, stall	
3.2	cattle (bovine)	[paka]
3.21	bull	[paka] wãlo
3.22	ox	
3.23	cow	[paka]
3.24	calf	[paka] ulup
3.25	sheep	[kahneilu]
3.26	ram	[kahneilu] wãlo
3.28	ewe	[kahneilu] thuwe
