entry_id	trans_english	Tlingit_Phonemic
1.1	world	lingitˀaaní
1.21	earth, land	tlˀátk
1.212	earth=ground, soil	tlˀéx̣ˀkʷ; tlˀáx̣ˀkʷ
1.213	dust	kadánǰaa
1.214	mud	ḳútlˀkʷ; ḳootlˀ
1.215	sand	lˀéiw; lˀéiw yátxˀi
1.22	mountain, hill	šaa; šaa yadaa; šaa šaakée; šaa seiyí; gooč
1.222	cliff, precipice	g̣ílˀ
1.23	plain, field	
1.24	valley	šaanáx̣
1.25	island	xˀáatˀ
1.26	mainland	tleiyán
1.27	shore	yán; neeč; éeḳ; xákʷ
1.28	cave	tatóok; katóok
1.31	water	héen; ḳéesˀ
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	x̣eel, x̣eil; x̣eeš
1.329	ocean	éilˀ
1.33	lake	áa
1.34	gulf, bay	g̣eey; g̣eiy
1.341	lagoon	áakˀʷ
1.342	reef	eeč; hintu eeǰí; šaltláax̣
1.343	headland, point	xˀaa; xˀaa luká; taxˀaayí; lˀéiw xˀaayí
1.35	wave	teet; teet tlénxˀ
1.352	tide	haat; xˀóolˀ
1.353	lowtide	léin
1.354	hightide	
1.36	river, stream, brook	kanaadaayi héen; naadaayi heen; héen šú, hinšú; héen wantú; taašuká; héen šáak; héen táak; héen wát; héen tˀiká
1.362	whirlpool	haat kool
1.37	spring, well	goon
1.38	swamp	šáčk
1.39	waterfall	xˀáas; eey
1.41	woods, forest	aas gutú; at gutú
1.42	tree (cf 08.600)	
1.43	wood	lˀóowú, lˀeiwú; kaxˀásˀti
1.44	stone, rock	eeč; té; té x̣áaxˀ; éečˀ; ḳaadí, dakaadí
1.45	earthquake	yoo aan ka.á
1.51	sky	xáatsˀ; góosˀ
1.52	sun	g̣agaan
1.53	moon	dís
1.54	star	ḳutx̣ ayanahá
1.55	lightning	xeitl lˀúkgu, xeitl lˀíkgu
1.56	thunder	
1.57	lightning (as striking)	
1.58	storm	a-ya-di-tee; a-ya-g̣eet
1.59	rainbow	kičx̣ anagaat
1.61	light (noun)	kagán
1.62	darkness	kag̣ít; g̣eet; ka-ǰi-g̣eet
1.63	shade, shadow	čéx̣ˀi; čeix̣ˀ; -yahaayí
1.64	dew	
1.71	air	
1.72	wind	óoxǰaa; kˀeelǰáa; xóon; dákde át; lˀag̣akáx̣; yánde át; sáanáx̣; tˀaaḳú
1.73	cloud	ḳugóosˀ; góosˀ
1.74	fog	ḳu-gʷáasˀ, ḳugáasˀ
1.75	rain (noun)	séew, sóow
1.76	snow (noun)	dleit; kaklahéen, kalahéen; dleit kakétsk; dleit g̣éedi, dletgéedi
1.77	ice	tˀéexˀ; ka-xʷaan; kadásˀ
1.78	weather	ḳutí; ḳusa.áatˀ; ḳuxaak
1.81	fire	x̣ˀaan
1.82	flame (noun)	ganyalˀóotˀ
1.83	smoke (noun)	sˀeeḳ, sˀeiḳ
1.84	ashes	gán eetí; kélˀtˀ; xóoštˀ
1.841	embers	
1.851	burn (vb trans)	si-gaan; si-gántˀ; ši-keilˀ; x̣ˀeix̣ˀ
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	a-ka-li-gaan
1.861	extinguish	ya-ka-li-.oox; ka-li-keesˀ; ya-ka-li-keesˀ
1.87	match (noun)	ux̣ganḳáasˀ
1.88	firewood	gán; gán tuxoogú; gán láx̣ˀi; at kaayí
1.89	charcoal	tˀoočˀ; tˀoočˀ té
2.1	person, human being	lingít, leengít; yanwáat
2.21	man (vs. woman)	ḳáa
2.22	woman	šaawát
2.23	male	
2.24	female	
2.25	boy	yadakˀʷác̷kˀu
2.251	young man (adolescent)	yadákˀʷ; yées ḳu.oo
2.26	girl	šaatkˀác̷kˀu
2.261	young woman (adolescent)	šaatkˀ
2.27	child	-yádi; at kˀác̷kˀu
2.28	infant, baby	tˀukanéiyi
2.31	husband	-x̣úx̣; -x̣án.aa
2.32	wife	-šát
2.33	marry	šaa; ya-šaa
2.34	marriage, wedding	
2.341	divorce	
2.35	father	-éeš
2.36	mother	-tláa
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	-yéet
2.42	daughter	-sée
2.43	offspring (son or daughter)	
2.44	brother	-éekˀ
2.444	older brother	-húnx̣ʷ
2.445	younger brother	-kéekˀ
2.45	sister	-dlaakˀ
2.454	older sister	-šátx̣
2.455	younger sister	-kéekˀ
2.456	sibling	
2.458	twins	wooč kik yátxˀee
