entry_id	trans_english	Shipibo-Conibo_Phonemic
3.664	stingray	iwi
3.665	freshwater eel	koni; konĩ ɨwa
3.71	wolf	
3.72	lion	[riõ]
3.73	bear	
3.74	fox	maṣ̌o
3.75	deer	čaṣ̌o
3.76	monkey	šoni
3.77	elephant	irihãti
3.78	camel	[kamičo]
3.81	insect	
3.811	louse	ia
3.812	nit (louse egg)	ia-hɨṣ̌ɨ
3.813	flea	iki
3.814	centipede	ṣ̌ako
3.815	scorpion	niβo
3.816	cockroach	
3.817	ant	βona
3.818	spider	yotã
3.819	spider web	wasnõ
3.82	bee	βona; ṣ̌ara
3.821	beeswax	βoi
3.822	beehive	βoya-βona
3.823	wasp	βina
3.83	fly	hošinaka
3.831	sandfly (midge), gnat	naka; sɨβɨ
3.832	mosquito	βii
3.84	worm	ṣ̌ɨna; noĩ
3.85	snake	rono
3.91	firefly	kõkiš; poitɨrɨ
3.92	butterfly	pɨ̃pɨ̃
3.93	grasshopper	
3.94	snail	
3.95	frog	tokoro; toa
3.96	lizard	ṣ̌ãβo; kapɨ
3.97	crocodile, alligator	kapɨ
3.98	turtle	ṣ̌awɨ
4.11	body	yora
4.12	skin, hide	βiči; ṣ̌aka
4.13	flesh	nami; piti
4.14	hair (head)	βoo; βo-
4.142	beard	kɨ-ni; kɨspo; kɨni-kɨni
4.144	body hair	rani
4.145	pubic hair	βošti
4.146	dandruff	matapo
4.15	blood	himi
4.151	vein, artery	pono
4.16	bone	ṣ̌ao
4.162	rib	pi-ši; pi-
4.17	horn	mãčã
4.18	tail	hina
4.19	back	pɨka; kaṣ̌o; pɨ-
4.191	spine	kaṣ̌o; kaṣ̌aṣ̌ao; ka-
4.2	head	maṣ̌po; ma-po; βo-
4.201	side of head, temple	ĩpɨiti; ĩ-
4.202	skull	mapo-ṣ̌ao
4.203	brain	manapo
4.204	face	βɨ-manã; βɨ-
4.205	forehead	βɨtõko; βɨ-ma-nã
4.207	jaw	koi
4.208	cheek	tamo
4.209	chin	koi; ko-
4.21	eye	βɨ-ro
4.212	eyebrow	βɨrani; βɨro-karani
4.213	eyelid	
4.214	eyelash	βɨ-rani; βɨro-kɨṣ̌ni
4.215	blink	βɨriiti; βɨṣ̌niti
4.22	ear	pa-βiki; pa-
4.221	earlobe	
4.222	earwax	
4.23	nose	rɨ-kĩ; rɨ-
4.231	nostril	
4.232	mucus (nasal)	rɨ-šo
4.24	mouth	kɨṣ̌a
4.241	beak	ṣ̌ɨta; rɨ-
4.25	lip	kɨṣ̌a; kɨβi
4.26	tongue	hana
4.27	tooth	ṣ̌ɨta; maka
4.271	gums	ṣ̌ɨšpi
4.272	molartooth	maka; maka-čipõ; ṣ̌ɨta
4.28	neck	tɨ-ṣ̌o; tɨ-
4.281	nape of neck	tɨṣ̌o
4.29	throat	tɨ-ṣ̌o
4.3	shoulder	pɨ-
4.301	shoulderblade	pɨṣ̌o
4.302	collarbone	
4.31	arm	po-yã
4.312	armpit	βaṣ̌ka; βa-
4.32	elbow	põtõko
4.321	wrist	mɨ-tɨki
4.33	hand	mɨ-kɨ̃
4.331	palm of hand	mɨ-kɨ-napaṣ̌
4.34	finger	mɨ-toti; mɨ-βi
4.342	thumb	mɨ-kɨ-mapo
4.344	fingernail	mɨ̃-c̷is
4.345	claw	mɨ̃-c̷is
4.35	leg	witaṣ̌; kiši; wi-
4.351	thigh	kiši
4.352	calf of leg	wipoko
4.36	knee	rã-βoṣ̌o; rã-tõko; rã-
4.37	foot	taɨ
4.371	ankle	taɨ patõko
4.372	heel	taɨ-čipõ
4.374	footprint	hama
4.38	toe	taɨ-mɨβi
4.392	wing	pɨi
4.393	feather	pɨi; rani
4.4	chest	ṣ̌oči
4.41	breast (of woman)	ṣ̌o-ma; ṣ̌o-
4.412	nipple, teat	
4.42	udder	
4.43	navel	poko-tɨṣ̌ɨ; no-
4.44	heart	hoĩti
4.441	lung	βõṣ̌ã
4.45	liver	taka
4.451	kidney	karɨko
4.452	spleen	
4.46	stomach	poko; poro; no-
4.461	intestines, guts	poko
4.462	waist	
4.463	hip	
4.464	buttocks	čiṣ̌o; či-
4.47	womb	čiṣ̌ana; βakɨ-nanɨti
4.49	testicle	hõ-; hoβoṣ̌ko
4.492	penis	βoši; hina; hĩ
4.51	breathe, breath	hoĩ-ti
4.52	yawn, gape	ṣ̌aβa-ti
4.521	hiccough	
4.53	cough	oko-ti
4.54	sneeze	hatišaniti
4.55	perspire	niskã-ti
4.56	spit	mičoti; tošβaati; kɨ-yõ
4.57	vomit	kinã-ti
4.58	bite	natɨṣ̌-ti
4.59	lick	ta-ṣ̌o-ti
4.591	dribble	kɨyõ βoti
4.61	sleep	oṣ̌a-ti
4.612	snore	rãṣ̌iti
4.62	dream	nama-ti; oṣ̌a
4.63	wake up	hištɨ̃hati; ratɨti
4.64	break wind	c̷ipis
4.65	urinate	hisõ-ti
4.66	defecate	poi-ti
4.67	have sexual intercourse	
4.68	shiver	onic̷ati
4.69	bathe	našima-ti; naši-ti
4.71	beget (of father)	βakɨ-ati
4.72	born (to be)	pikoti
4.73	pregnant	tooya
4.732	conceive	
4.74	live, living, life	nɨtɨ; hiri-a; hati
4.75	die, dead	mawa-ti; hirioma
4.751	drowned	
4.76	kill	rɨtɨ-ti
4.77	corpse	
4.78	bury (the dead)	miĩti
4.79	grave, tomb	
4.81	strong, mighty, powerful	koši; moka; kɨṣ̌to
4.82	weak	paṣ̌na; yosma
4.83	well, health	
4.84	sick, sickness	isĩti; isĩ
4.841	fever	yona
4.842	goiter	roo
4.843	cold (catarrh)	
4.85	wound, sore	βiško; c̷ɨwɨ; pɨkɨ
4.852	bruise	tonã
4.853	swelling	ɨstɨ
4.854	itch	ṣ̌oa
4.855	blister	šomõ; toṣ̌βa
4.856	boil (noun)	noβɨ
4.857	pus	koo
4.858	scar	toa; kɨṣ̌ɨti
4.86	cure, heal	βɨ̃ṣ̌o-ati; βɨ̃ṣ̌oti
4.87	physician	[rokotoro]
4.88	medicine, drug	rao
4.89	poison	moka
4.91	tired, weary	piniti
4.912	rest	tãti-ti
4.92	lazy	
4.93	bald	mayɨ̃; mapo-yɨ̃kɨ̃
4.94	lame	
