entry_id	trans_english	Shipibo-Conibo_Phonemic
12.62	narrow	hɨstɨati; kɨrɨṣ̌
12.63	thick (in dimension)	kɨṣ̌to
12.65	thin (in dimension)	ako; oši
12.67	deep	nɨmĩ
12.68	shallow	
12.71	flat	pãča
12.73	straight	kaya
12.74	crooked	
12.75	hook	wɨki
12.76	corner	
12.77	cross	[koros]
12.78	square	paro; paroya; rasɨnɨ̃
12.81	round	ratõrõ; ramaya
12.82	circle	toro
12.83	sphere, ball	tõrõ
12.84	line	siõ; sɨrɨ
12.85	hole	čipɨkɨ; kini
12.92	like, similar	
12.93	change	βaneti; kãpiãti
13.0	zero, nothing	yamakɨ
13.1	one	wɨstiora; haβičo
13.2	two	ra-βɨ
13.3	three	kimiša
13.4	four	
13.5	five	pičika
13.6	six	sokota
13.7	seven	kãčis
13.8	eight	posaka
13.9	nine	iskõ
13.10	ten	čõka
13.101	eleven	
13.102	twelve	[rosina]
13.103	fifteen	
13.104	twenty	
13.105	hundred	pača
13.106	thousand	warãka
13.107	count	topõ-ti
13.14	every, all	-tiiβi; hatiβi
13.15	much, many	iča
13.16	more	
13.17	little (quantity), few	haβičo; wɨsti
13.18	enough	-yõ
13.181	some	-ča
13.19	multitude, crowd	
13.21	full	βočo-ti; poto
13.22	empty	ako; natati
13.23	part, piece	kaṣ̌kɨ; pakɨṣ̌; tɨsɨ
13.24	half	βɨ̃kɨṣ̌; napõβɨkõ; počinikõ
13.33	alone, only	-βičo; -rɨs; -βiṣ̌
13.34	first	rɨ-kɨ̃; -a; βɨβõ; -pari
13.35	last	či-ni
13.36	second	rɨkɨna pɨkao
13.37	pair	raβɨtia
13.38	two times	
13.42	third	
13.44	three times	
14.11	time	-nõtiã
14.12	age	
14.13	new	βɨna
14.14	young	homo
14.15	old	yosi; payo; yosi-šoko
14.16	early	yamɨ-kiri
14.17	late	βasi; yãtã
14.18	now	rama
14.19	immediately	-pari
14.21	swift, fast, quick	išto
14.22	slow	ištoma
14.23	hasten, hurry	ištõti
14.24	retard, delay	βasiti
14.25	begin, beginning	pɨokooti; pɨoti
14.252	last, endure	βasi iti
14.26	end (temporal)	
14.27	finish	kɨyo-ti
14.28	cease, stop	c̷asimati; yatãti
14.29	ready	
14.31	always	hatiβitiã; -pačo
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	moatiã; ramama
14.34	never	hawɨtiãβi
14.35	again	
14.41	day	nɨtɨ
14.42	night	yamɨ
14.43	dawn	nɨtɨ ṣ̌aβati
14.44	morning	βakiš; -ya
14.45	noon, midday	βari-manikɨtiã
14.451	afternoon	
14.46	evening	yamɨ-ti; yãtã-ti
14.47	today	rama nɨtɨ̃
14.48	tomorrow	βakiš
14.481	day-after-tomorrow	
14.49	yesterday	βakiš; iβa
14.491	day-before-yesterday	wɨc̷a βakiš
14.51	hour	[ora]
14.53	clock, timepiece	[riros]
14.61	week	[simanã]
14.62	Sunday	
14.63	Monday	[ronis]-nɨtɨ
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	oṣ̌ɨ
14.73	year	βari-tia
14.74	winter	mac̷i; hɨnɨtia
14.75	spring	
14.76	summer	βari-tia
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	ṣ̌ɨtɨti; pɨṣ̌ɨti
15.212	sniff	ṣ̌ɨtɨ
15.22	smell (vb trans)	
15.25	fragrant, good smelling	inĩ
15.26	stinking, bad smelling	hãṣ̌o; pisi; ɨc̷ɨ
15.31	taste	tana
15.35	sweet	βata; kõhiti
15.36	salty	
15.37	bitter	moka
15.38	acid, sour	βatiria hɨnɨ; paɨ; mokati
15.39	brackish	
15.41	hear	nĩka-ti
15.42	listen	nĩka-ti
15.44	sound, noise	roõ
15.45	loud	
15.46	quiet, silence	nɨtɨšoko
15.51	see	oĩ-ti; histi
15.52	look, look at	oĩ-ti
15.55	show	
15.56	shine	hoɨti; pɨnɨ-ti
15.57	bright	paṣ̌na; pɨnɨ; ṣ̌ɨna
15.61	color	
15.62	light (in color)	
15.63	dark (in color)	
15.64	white	hoṣ̌o
15.65	black	čɨṣ̌ɨ; nikoro; wiso
15.66	red	hošĩ
15.67	blue	yãkõ
15.68	green	yãkõ paṣ̌na; šɨpa
15.69	yellow	pãšĩ
15.71	touch	mɨɨti; tiati
15.712	pinch	otɨṣ̌ti
15.72	feel	masa šinãti
15.74	hard	čoriš
15.75	soft	βaka; wačo; pači; yɨ̃kɨ̃
15.76	rough	bɨṣ̌a; ṣ̌aṣ̌a
15.77	smooth	
15.78	sharp	kɨ̃-šo
15.79	blunt, dull	
15.81	heavy	iwɨ
15.82	light (in weight)	ṣ̌apo
15.83	wet, damp	mɨča-ati
15.84	dry	c̷osĩti; tanoti; taraṣ̌ti
15.85	hot	ṣ̌ana; βari ṣ̌ana-ti
15.851	warm	ṣ̌ana; yooti
15.86	cold	mac̷i
15.87	clean	oro-ti; kɨrasma
15.88	dirty, soiled	ošta; kɨras; taro
15.89	wrinkled	čore; sipõ; βɨsipõ
16.11	soul, spirit	kaya; yošĩ
16.15	surprised, astonished	
16.18	good fortune, luck	
16.19	misfortune, bad luck	masa-ti
16.23	joyful, glad, happy	βɨnɨ-; hakõresi
16.25	laugh	osã-ti
16.251	smile	osã
16.26	play	c̷initi
16.27	love	noi-ti; kɨɨ̃ti; -kas
16.29	kiss	βɨc̷oa-ti; βɨṣ̌ɨ-ti
16.3	embrace	ikoti
16.31	pain	čɨṣ̌a
16.32	grief, sorrow, sadness	onis-ti; masa šinãti
16.33	anxiety, worry	
16.34	regret, be sorry	
16.35	pity	onis-ati
16.37	cry, weep	wini-ti; βɨõ-ti
16.38	tear (noun)	βɨõ-ti
16.39	groan	ɨniti; išiiti
16.41	hate	omisti
16.42	anger	sina-ti
16.44	envy, jealousy	noc̷iti
16.45	shame (noun)	raβĩ
16.48	proud	
16.51	dare	
16.52	brave	sinati
16.53	fear, fright	rakɨ-ati; ratɨ-
16.54	danger	
16.62	desire, want	kɨɨ̃-ti; kɨɨ̃
16.622	choose	katoti
16.63	hope	
16.65	faithful	
16.66	true	ikõ; kikini
16.67	lie, tell lies	hãsoti
16.68	deceit	parã-ti
16.69	forgive	
16.71	good	hakõ; hɨɨ
16.72	bad	-koma; hakoma; mɨčo
16.73	right, correct	põtɨ
16.74	wrong	
16.76	fault	oča-ti
16.77	mistake, error	ramia-ti
16.78	blame	
16.79	praise	raβiti
16.81	beautiful	hakõšoko; mɨc̷a; c̷iri
16.82	ugly	mɨčo
16.83	greedy	
16.84	clever	
17.11	mind	šinã
17.13	think (= reflect)	šinã-ti
17.14	think (= be of the opinion)	ikõhati
17.15	believe	
17.16	understand	nĩkati; onãti
17.17	know	onãti
17.171	guess	kikĩhati
17.172	imitate	ikai kɨskaati
17.18	seem	maĩ
17.19	idea, notion	
17.21	wise	onã
17.22	foolish, stupid	šinãhoma; onama-šoko
17.23	insane, crazy	βɨyos-ti
17.24	learn	aṣ̌ɨti; onãti
17.242	study	kirika ati
17.25	teach	aṣ̌ɨati; onamati
17.26	pupil	βakɨ
17.27	teacher	
17.28	school	[iscoira]
17.31	remember	šinãti
17.32	forget	βɨno-ti
17.34	clear, plain	
17.35	obscure	
17.36	secret	honɨšoko
17.37	sure, certain	
17.38	explain	yoiti
17.41	intention, purpose	
17.42	cause	kopi; -ma; -n
17.43	doubt	raβɨ šinãya
17.44	suspect	
17.441	betray	
17.45	need, necessity	yorõti
17.46	easy	
17.47	difficult	atikoma; -koma
17.48	try, attempt	tana-ti
17.49	way, manner	nɨskataṣ̌
17.51	and	
17.52	because	-aĩ; aitiã; -anã; kopi
17.53	if	-aĩ; -aitiã; -anã; -kɨ̃
17.54	or	
17.55	yes, affirmative	ɨ̃hɨ̃; hɨ̃; iki; hɨ̃-hɨ̃
17.56	no, negative	-ma; -yama
17.61	how?	hawɨ-kɨska
17.62	how many?	hawɨ-tii
17.63	how much?	
17.64	what?	hawɨ
17.65	when?	-aĩ; -aitiã; -anã; -aṣ̌; -i; -kɨtiã
17.66	where?	hawɨ-rano
17.67	which?	hawɨ-rato
17.68	who?	c̷oa
17.69	why?	
18.11	voice	hoi
18.12	sing	βɨwa; βɨwa-ti
18.13	shout, cry out	saiiti
18.15	whisper	βaṣ̌ɨṣ̌-
18.16	mumble	
18.17	whistle	ṣ̌oõ iti; ṣ̌õṣ̌ĩ iti; wisati
18.18	shriek, screech	
18.19	howl	kɨoti
18.21	speak, talk	ati; yoyo; yoi-; toto iti
18.211	stutter, stammer	hoi-koma; yošĩβakɨ
18.22	say	ati; iti; yoi-ti
18.221	tell story	
18.222	speech (make a)	
18.23	silent (be)	nɨtɨšoko; nɨtɨti
18.24	language	hoi
18.26	word	hoi; yoia
18.28	name	hanɨ
18.31	ask (question, inquire)	yoka-ti; pirikõta ati
18.32	answer	kɨwĩti
18.33	admit, confess	
18.34	deny	
18.35	ask, request	yoka-ti; yono-ti
18.36	promise	yoia
18.37	refuse	wašiti
18.38	forbid	čitɨti
18.39	rebuke, scold	
18.41	call (=summon)	kɨna-ti
18.42	call (=name)	
18.43	announce	kɨšãti
18.44	threaten	rakɨati
18.45	boast	raβikaati
18.51	write	wišati
18.52	read	kirika yoyo-ati
18.56	paper	kirika
18.57	pen	
18.61	book	kirika
18.67	poet	
18.71	flute	kina
18.72	drum	[tãpora; βõpo]
18.73	horn, trumpet	
18.74	rattle	
19.11	country	nɨtɨ
19.12	one's native country	
19.15	city, town	hɨma
19.16	village	hɨma
19.17	boundary	
19.21	people (populace)	honi
19.23	tribe, clan	
19.24	chief, chieftain	koraka; apo; koši
19.25	staff, walking stick	kɨkoti
19.31	rule, govern	
19.32	king, ruler	apo
19.33	queen	aĩβo-apo
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	iβo
19.42	slave	
19.43	servant	
19.44	freeman	
19.45	command, order	
19.46	obey	kasoati; yoiti iti
19.47	let, permit	-ma; potati; arɨsti
19.51	friend, companion	rarɨβokɨska; raɨnanai
19.52	enemy	rawi
19.54	neighbor	
19.55	stranger	nawa
19.56	guest	
19.57	host	
19.58	help, aid	akĩti; kĩ
19.59	hinder, prevent	
19.61	custom	aṣ̌ɨ
19.62	strife, quarrel	
19.63	conspiracy, plot	
19.65	meet	nokoti
19.72	prostitute	c̷iniaĩβo
20.11	fight (vb)	rɨtɨti; sina
20.13	war, battle	
20.14	peace	
20.15	army	
20.17	soldier	[sõtaro]
20.21	weapons, arms	
20.22	club	wino
20.222	battle-ax	
20.23	sling	
20.24	bow	ka-noti
20.25	arrow	pia
20.26	spear	c̷ac̷itaṣ̌o
20.27	sword	[ispara]
20.28	gun, cannon	tooati
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	[iskoro]; kɨɨti
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	
20.44	defend	paranã iti
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	mɨča
20.52	fishhook	miškiti
20.53	fishing line	
20.54	fishnet	rikãti; ani-rika
20.55	fish trap	
20.56	bait	
20.61	hunt	yomɨra-ti; mɨča
20.62	shoot	tooati
20.63	miss (target)	mɨčiti
20.64	trap (noun)	
20.65	trap (vb)	
21.11	law	ese
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	yoiti
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	očaoma
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	[karasira]
21.42	murder	
21.43	adultery	tɨamis
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	yo-mɨ-c̷o-ti
21.52	thief	yo-mɨ-c̷o
22.11	religion	
22.12	God	[rios]; iβo
22.13	temple, church	[ikirisia]; haĩ rios raβiti ṣ̌oβo
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	risãti
22.18	priest	paɨri
22.19	holy, sacred	
22.22	preach	riosɨ̃ hoi yoiti
22.23	bless	[βinirisĩ]-ti
22.24	curse	hakomati; ramiati
22.26	fast (vb)	sama-
22.31	heaven	nai
22.32	hell	
22.35	demon (evil spirit)	yošĩ
22.37	idol	
22.42	magic, witchcraft, sorcery	yoβɨti; kopiti; onãyati
22.43	sorcerer, witch	roa; yoβɨ; onãya
22.44	fairy, elf	
22.45	ghost, phantom	yošĩ
22.47	omen, portent	roa
