entry_id	trans_english	Negerhollands_Phonemic
1.1	world	wərən
1.21	earth, land	adu
1.212	earth=ground, soil	gron
1.213	dust	
1.214	mud	baba ~ boba ~ buba
1.215	sand	san
1.22	mountain, hill	bɛrgi ~ bergə ~ berge
1.222	cliff, precipice	grot sten
1.23	plain, field	saban; gras-pis
1.24	valley	faləi
1.25	island	
1.26	mainland	
1.27	shore	
1.28	cave	
1.31	water	watu
1.32	sea	se ~ ze
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	
1.329	ocean	se ~ ze ~ zɛ
1.33	lake	
1.34	gulf, bay	bai
1.341	lagoon	
1.342	reef	klip
1.343	headland, point	
1.35	wave	strom
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	riva
1.362	whirlpool	
1.37	spring, well	pit ~ pɛt
1.38	swamp	swampi
1.39	waterfall	
1.41	woods, forest	bus
1.42	tree (cf 08.600)	bom
1.43	wood	houtu ~ hautu
1.44	stone, rock	sten
1.45	earthquake	ot-kwek
1.51	sky	hɛwun ~ hewun ~ himul ~ himun ~ hiwun
1.52	sun	son
1.53	moon	man
1.54	star	stɛre
1.55	lightning	wilik ~ wɛrlik
1.56	thunder	tondu ~ dondu
1.57	lightning (as striking)	wilik ~ wɛrlik
1.58	storm	
1.59	rainbow	
1.61	light (noun)	lɛ
1.62	darkness	duŋku
1.63	shade, shadow	
1.64	dew	dou
1.71	air	
1.72	wind	win ~ wɛn
1.73	cloud	wolk
1.74	fog	
1.75	rain (noun)	rɛgən ~ regon ~ regun
1.76	snow (noun)	
1.77	ice	
1.78	weather	
1.81	fire	fi
1.82	flame (noun)	fi
1.83	smoke (noun)	smok
1.84	ashes	(h)ašiši
1.841	embers	
1.851	burn (vb trans)	bran
1.852	burn (vb intrans)	bran
1.86	light, kindle, ignite	
1.861	extinguish	it
1.87	match (noun)	lusifer
1.88	firewood	houtu
1.89	charcoal	kol
2.1	person, human being	folək
2.21	man (vs. woman)	nom; man
2.22	woman	frau
2.23	male	man-
2.24	female	frou-
2.25	boy	yuŋ-kin
2.251	young man (adolescent)	yuŋ-(man) ~ yoŋ
2.26	girl	mɛnši
2.261	young woman (adolescent)	mɛnši
2.27	child	kin
2.28	infant, baby	kin
2.31	husband	man; (hou)-nom
2.32	wife	frou; wif
2.33	marry	trou
2.34	marriage, wedding	trou
2.341	divorce	
2.35	father	fadə; popa ~ pupa; ta(i) ~ tita
2.36	mother	ma(ma) ~ muma
2.37	parents	
2.38	married man	
2.39	married woman	frou
2.41	son	so
2.42	daughter	mɛnši
2.43	offspring (son or daughter)	kin
2.44	brother	bru ~ buči
2.444	older brother	
2.445	younger brother	
2.45	sister	šiši
2.454	older sister	
2.455	younger sister	
2.456	sibling	
2.458	twins	
2.46	grandfather	gro(t)-pupa; gro-ta
2.461	old man	
2.47	grandmother	grani; grot-muma ~ grot-ma; gaŋ-gaŋ
2.471	old woman	
2.48	grandson	grot-kin
2.49	granddaughter	grot-kin
2.51	uncle	nom
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	mui
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	
2.54	niece	
2.55	cousin	gizin ~ kizin ~ kuzin
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	skon-pupa; skon-ta
2.611	father-in-law (of a woman)	skon-pupa; skon-ta
