entry_id	trans_english	Komi_Phonemic
1.1	world	enköla; mu
1.21	earth, land	mu
1.212	earth=ground, soil	musin; pod; poduv
1.213	dust	bus
1.214	mud	nyayt
1.215	sand	lɩa
1.22	mountain, hill	ker̃ös; nör̃ɩs
1.222	cliff, precipice	kɩr̃ta
1.23	plain, field	tšötškösin; er̃d, er̃d vɩv
1.24	valley	kovtɩs
1.25	island	di
1.26	mainland	mater̃ik
1.27	shore	vador̃
1.28	cave	gor̃s
1.31	water	va
1.32	sea	sar̃idz
1.322	calm (of sea)	lönʸ
1.323	rough (of sea)	gɩa; gɩzʸöm
1.324	foam	bɩg
1.329	ocean	okean
1.33	lake	tɩ; vad
1.34	gulf, bay	kur̃ya
1.341	lagoon	- -
1.342	reef	va kɩr̃ta
1.343	headland, point	ködž; kötšas
1.35	wave	gɩ
1.352	tide	va tuöm; va sodöm; va usʸöm
1.353	lowtide	va usʸöm
1.354	hightide	va sodöm
1.36	river, stream, brook	yu; vizuv; šor̃
1.362	whirlpool	vaber̃gač
1.37	spring, well	öšmös; yukmös
1.38	swamp	nyur̃
1.39	waterfall	bor̃gan
1.41	woods, forest	vör̃
1.42	tree (cf 08.600)	pu
1.43	wood	vör̃; ker̃
1.44	stone, rock	iz; kɩr̃ta
1.45	earthquake	mu vör̃öm
1.51	sky	enež
1.52	sun	šondi
1.53	moon	tölɩsʸ
1.54	star	kodzuv
1.55	lightning	vir̃d
1.56	thunder	gɩm
1.57	lightning (as striking)	gɩmnʸöv
1.58	storm	tövnɩr̃; buškov
1.59	rainbow	öškamöška
1.61	light (noun)	yugɩd; bi
1.62	darkness	pemɩd
1.63	shade, shadow	vudžör̃
1.64	dew	lɩsva
1.71	air	sɩnöd
1.72	wind	töv
1.73	cloud	kɩmör̃
1.74	fog	r̃u
1.75	rain (noun)	zer̃
1.76	snow (noun)	lɩm
1.77	ice	yi
1.78	weather	povoddya
1.81	fire	bi
1.82	flame (noun)	nyala bi
1.83	smoke (noun)	tšɩn
1.84	ashes	pöim
1.841	embers	ögɩr̃
1.851	burn (vb trans)	sotnɩ
1.852	burn (vb intrans)	sotčɩnɩ
1.86	light, kindle, ignite	öztɩnɩ
1.861	extinguish	kusödnɩ
1.87	match (noun)	istög tuv
1.88	firewood	pes
1.89	charcoal	šom
2.1	person, human being	mor̃t
2.21	man (vs. woman)	mužik; mužik mor̃t
2.22	woman	nɩvbaba; anʸ
2.23	male	ay
2.24	female	enʸ
2.25	boy	zon; zonka
2.251	young man (adolescent)	zon; tom mor̃t
2.26	girl	nɩv; nɩvka
2.261	young woman (adolescent)	nɩv
2.27	child	kaga; čelyadʸ; nɩv-či
2.28	infant, baby	kaga
2.31	husband	ver̃ös
2.32	wife	götɩr̃
2.33	marry	götr̃asʸnɩ; ver̃ös sayo munnɩ (petnɩ)
2.34	marriage, wedding	ver̃ös sayö munöm; kölɩsʸ
2.341	divorce	yuksʸöm
2.35	father	batʸ; ay
2.36	mother	mam
2.37	parents	ay-mam; batʸ-mam
2.38	married man	götɩr̃a
2.39	married woman	ver̃ös sayɩn
2.41	son	pi
2.42	daughter	nɩv
2.43	offspring (son or daughter)	yɩlöm
2.44	brother	vok
2.444	older brother	ɩdžɩd vok
2.445	younger brother	ičötdžɩk vok
2.45	sister	čoy
2.454	older sister	ɩdžɩd čoy
2.455	younger sister	ičötdžɩk čoy
2.456	sibling	čoya-voka
2.458	twins	dvöyni
2.46	grandfather	ɩdžɩd ay; pölʸ
2.461	old man	pör̃ɩsʸ mor̃t
2.47	grandmother	pöč; ɩdžɩd mam
2.471	old woman	pör̃ɩsʸ nɩvbaba
2.48	grandson	pölʸön šuɩsʸ; pögön šuɩsʸ
2.49	granddaughter	pölʸön šuɩsʸ; pögön šuɩsʸ
2.51	uncle	dyadʸ; čož
2.511	mother's brother	čož
2.512	father's brother	dyadʸ
2.52	aunt	tʸöt
2.521	mother's sister	ičinʸ
2.522	father's sister	ob
2.53	nephew	plemyannik
2.54	niece	plemyannic̷a
2.55	cousin	voga vok; bratan; voga čoy
2.56	ancestors	pöč-pölʸ
2.57	descendants	kotɩr̃; yɩlöm
2.61	father-in-law (of a man)	ayka
2.611	father-in-law (of a woman)	testʸ
2.62	mother-in-law (of a man)	enʸka; inʸka
2.621	mother-in-law (of a woman)	tʸöšʸa
2.63	son-in-law (of a man)	zyatʸ
2.631	son-in-law (of a woman)	zyatʸ
2.64	daughter-in-law (of a man)	monʸ; kev
2.641	daughter-in-law (of a woman)	monʸ; kev
2.71	stepfather	dyadʸ
2.72	stepmother	tʸötka; ičinʸ
2.73	stepson	tʸöttom pi; dyadʸvodz pi
2.74	stepdaughter	tʸötpom nɩv; dyadʸvodz nɩv
2.75	orphan	batʸ-mamtöm kaga
2.76	widow	döva
2.77	widower	döveč
2.81	relatives, kinsmen	r̃ödvuž; r̃öd
2.82	family	semʸa; kotɩr̃
2.91	I	me
2.92	you (singular)	te
2.93	he/she/it	siyö
2.94	we	mi
2.941	we (inclusive)	mi
2.942	we (exclusive)	mi
2.95	you (plural)	ti
2.96	they	nayö
3.11	animal	pemös; vör̃sa pemös
3.12	male (adj)	ay
3.13	female (adj)	enʸ
3.15	livestock	vöv-mös; gor̃tsa pemös
3.16	pasture	yir̃syanin
3.18	herdsman	sköt vidzɩsʸ; penösʸ vidzɩsʸ
3.19	stable, stall	kar̃ta; gid
3.2	cattle (bovine)	vöv-mös; gor̃tsa pemös
3.21	bull	öš
3.22	ox	öš
3.23	cow	mös
3.24	calf	kuk; kukanʸ
3.25	sheep	ɩž; balya
3.26	ram	mež; megö
3.28	ewe	ɩž
3.29	lamb	balyapi; ɩžpi
3.32	boar	vör̃ por̃sʸ
3.34	sow	por̃sʸ
3.35	pig	por̃sʸpi
3.36	goat	köza
3.37	he-goat	ay köza
3.38	kid	közapi
3.41	horse (equine)	vöv
3.42	stallion	už
3.44	mare	köbɩla
3.45	foal, colt	čanʸ; čibö
3.46	ass, donkey	osyol
3.47	mule	- -
3.5	fowl	čipan
3.52	cock, rooster	petuk
3.54	hen	kur̃ög
3.55	chicken	čipanpi; kur̃öčpi
3.56	goose	dzodzög
3.57	duck	utka; čöž
3.58	nest	poz
3.581	bird	lebač; kay; pötka
3.582	seagull	kalya
3.583	heron	c̷aplya
3.584	eagle	kutš
3.585	hawk	var̃ɩš
3.586	vulture	- -
3.591	bat	bor̃dya šɩr̃; nyabor̃dya šɩr̃
3.592	parrot	pöpugay
3.593	crow	r̃aka
3.594	dove	gulyu
3.596	owl	syuzʸ
3.61	dog	pon
3.614	rabbit	kr̃olik; seč
3.62	cat	kanʸ
3.622	opossum	opossum
3.63	mouse, rat	šɩr̃; kr̃ɩsa
3.65	fish	čer̃i
3.652	fin (dorsal)	bor̃d
3.653	fishscale	sʸöm
3.654	gill	nyokčim
3.655	shell	r̃akpanʸ
3.661	shark	akula
3.662	porpoise, dolphin	delʸfin
3.663	whale	kit
3.664	stingray	skat
3.665	freshwater eel	yun; nyugley
3.71	wolf	köin
3.72	lion	lev
3.73	bear	oš
3.74	fox	r̃uč
3.75	deer	kör̃
3.76	monkey	öbezʸyana
3.77	elephant	slön
3.78	camel	ver̃blyud
3.81	insect	čag; gut-gas
3.811	louse	toy
3.812	nit (louse egg)	ser̃ov
3.813	flea	pɩtš
3.814	centipede	syokoka
3.815	scorpion	skor̃pion
3.816	cockroach	gör̃d tör̃ökan
3.817	ant	kodzuvkot
3.818	spider	čer̃anʸ
3.819	spider web	čer̃anʸ vez
3.82	bee	mazi; malyazi; malyamuš
3.821	beeswax	masisʸ
3.822	beehive	mazipoz
3.823	wasp	guškanzi; zi
3.83	fly	gut
3.831	sandfly (midge), gnat	nom; geb
3.832	mosquito	nom
3.84	worm	nomɩr̃; lyolʸö
3.85	snake	už; kɩy
3.91	firefly	šɩr̃bi
3.92	butterfly	bobuv
3.93	grasshopper	čir̃k
3.94	snail	lyolʸö
3.95	frog	lyaguša
3.96	lizard	lyokgag; čodzuv
3.97	crocodile, alligator	kr̃okodil
3.98	turtle	čer̃epaxa
4.11	body	mɩgör̃; vɩvtɩr̃
4.12	skin, hide	ku; kučik
4.13	flesh	yay
4.14	hair (head)	yur̃si; si
4.142	beard	toš
4.144	body hair	lovgön; gön
4.145	pubic hair	manyan gön
4.146	dandruff	kilʸ
4.15	blood	vir̃
4.151	vein, artery	vir̃ sön
4.16	bone	lɩ
4.162	rib	or̃dlɩ
4.17	horn	syur̃
4.18	tail	böž
4.19	back	mɩšku
4.191	spine	syur̃sa lɩ
4.2	head	yur̃
4.201	side of head, temple	kösiča; pelʸ din
4.202	skull	yur̃ lɩ
4.203	brain	vem
4.204	face	čužöm; čužöm ban
4.205	forehead	kɩmös
4.207	jaw	čer̃lɩ
4.208	cheek	ban; bandzib
4.209	chin	tšöka
4.21	eye	sin
4.212	eyebrow	sinkɩm
4.213	eyelid	sin lap
4.214	eyelash	sin lɩs
4.215	blink	lapyödlɩnɩ; kunʸtɩr̃avnɩ
4.22	ear	pelʸ
4.221	earlobe	pelʸ nyonʸ
4.222	earwax	pelʸ sit
4.23	nose	nɩr̃
4.231	nostril	nɩr̃ r̃ozʸ
4.232	mucus (nasal)	zɩr̃ɩm
4.24	mouth	vom
4.241	beak	nɩr̃
4.25	lip	vom dor̃; par̃
4.26	tongue	kɩv
4.27	tooth	pinʸ
4.271	gums	pinʸ an
4.272	molartooth	yur̃ pinʸ
4.28	neck	sʸɩli; golya
4.281	nape of neck	balyaböž
4.29	throat	gor̃š
4.3	shoulder	pelʸpom
4.301	shoulderblade	pulɩpom
4.302	collarbone	votšlɩ
4.31	arm	ki
4.312	armpit	kɩnyauv
4.32	elbow	gɩr̃ddza
4.321	wrist	kilutš
4.33	hand	ki
4.331	palm of hand	ki pɩdös
4.34	finger	gunʸ
4.342	thumb	pev
4.344	fingernail	gɩž
4.345	claw	kok gɩž
4.35	leg	kok
4.351	thigh	kok gum; lyadʸvey lɩ
4.352	calf of leg	kok pök
4.36	knee	pidzös
4.37	foot	kok lapa
4.371	ankle	kok šeg
4.372	heel	koklyabör̃
4.374	footprint	kok tuy
4.38	toe	kok čunʸ
4.392	wing	bor̃d
4.393	feather	gön
4.4	chest	mor̃ös; mor̃ös kud
4.41	breast (of woman)	mör̃ös; nyonʸ
4.412	nipple, teat	nyonʸ; nyonʸ yur̃
4.42	udder	vör̃a
4.43	navel	gög
4.44	heart	sʸölöm
4.441	lung	tɩ
4.45	liver	mus
4.451	kidney	vör̃k
4.452	spleen	log
4.46	stomach	kɩnöm
4.461	intestines, guts	tɩ-mus
4.462	waist	kos
4.463	hip	bek
4.464	buttocks	sitan; sitan bek
4.47	womb	matka
4.49	testicle	kolʸk
4.492	penis	kay; tyutʸ; kolʸk
4.51	breathe, breath	lolavnɩ; lov šɩ
4.52	yawn, gape	ogsavnɩ
4.521	hiccough	sutšiktɩnɩ
4.53	cough	kɩznɩ; kɩzödnɩ
4.54	sneeze	nesyavnɩ
4.55	perspire	pösyavnɩ
4.56	spit	sʸölavnɩ
4.57	vomit	vosnɩ
4.58	bite	kur̃čgavnɩ
4.59	lick	nyuvnɩ
4.591	dribble	voytavnɩ
4.61	sleep	uzʸnɩ; un; uzʸöm
4.612	snore	škor̃gɩnɩ
4.62	dream	vöt
4.63	wake up	sadvmödnɩ
4.64	break wind	sur̃tɩvnɩ
4.65	urinate	kudzasʸnɩ
4.66	defecate	sit; sitasʸnɩ
4.67	have sexual intercourse	kayasʸnɩ; tyutyasʸnɩ
4.68	shiver	tir̃avnɩ
4.69	bathe	kupaytčɩnɩ
4.71	beget (of father)	čužtɩnɩ; čelyadyasʸnɩ
4.72	born (to be)	čužnɩ
4.73	pregnant	sʸökɩd
4.732	conceive	sʸöktɩnɩ
4.74	live, living, life	ovnɩ; olöm
4.75	die, dead	kuvnɩ; kulöm
4.751	drowned	vöyöm mor̃t
4.76	kill	vinɩ
4.77	corpse	šoy
4.78	bury (the dead)	guavnɩ
4.79	grave, tomb	gu
4.81	strong, mighty, powerful	yon; vɩna; ɩdžɩd
4.82	weak	žeb; omölʸ
4.83	well, health	dzonʸvidza; dzonʸvidzalun
4.84	sick, sickness	visʸɩsʸ; visʸöm
4.841	fever	kɩntan visʸöm
4.842	goiter	zob
4.843	cold (catarrh)	kɩnmöm
4.85	wound, sore	doy
4.852	bruise	löz
4.853	swelling	pɩkös
4.854	itch	ludöm; ludan visʸöm
4.855	blister	va gadʸ
4.856	boil (noun)	mɩlʸ; doy
4.857	pus	or̃
4.858	scar	vur̃ɩs
4.86	cure, heal	bur̃dödnɩ
4.87	physician	vr̃ač; bur̃dödčɩsʸ
4.88	medicine, drug	lekar̃stvo
4.89	poison	yad kulan zellya
4.91	tired, weary	mudz; mudzöm
4.912	rest	šoyččɩnɩ
4.92	lazy	dɩš
4.93	bald	kuš yur̃a
4.94	lame	koktöm
4.95	deaf	pelʸtöm; sʸökɩd pelya
4.96	mute	čemöy; kɩvtöm
4.97	blind	sintöm
4.98	intoxicated	kod yur̃a
4.99	naked, bare	pasʸtöm
5.11	eat	syoynɩ
5.12	food	syoyan-yuan
5.121	cooked	puöm
5.122	raw	votöm; kɩn
5.123	ripe	kisʸmöm; voöm
5.124	green, unripe	votöm; kisʸmɩtöm; kɩn
5.125	rotten	sisʸ
5.13	drink	yunɩ
5.14	hunger	tšɩglun
5.141	famine	tšɩgyalöm
5.15	thirst	gor̃š kosʸmöm
5.16	suck	nyonyavnɩ
5.18	chew	nyamlyavnɩ; r̃ömidztɩnɩ
5.181	swallow	nʸɩlavnɩ
5.19	choke	pödnɩ; dzagödnɩ
5.21	cook	punɩ
5.22	boil (vb)	punɩ
5.23	roast, fry	žar̃itnɩ; pr̃ažitnɩ
5.24	bake	pöžavnɩ; pöžasʸnɩ
5.25	oven	pač; gor̃
5.26	pot, cooking vessel	gɩr̃nič
5.27	kettle	pör̃t
