entry_id	trans_english	Ese_Ejja_Phonemic
1.1	world	
1.21	earth, land	meši
1.212	earth=ground, soil	
1.213	dust	meši-hahi
1.214	mud	wašapa; -wawa
1.215	sand	meši-hahi
1.22	mountain, hill	e(y)iyo
1.222	cliff, precipice	epawakiɓo; ekʷiwewi
1.23	plain, field	haha-haha
1.24	valley	
1.25	island	nasi; meši-nani
1.26	mainland	
1.27	shore	ena-oxosawa; meši-hahi
1.28	cave	xani
1.31	water	ena
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	e-wapa
1.329	ocean	
1.33	lake	ɓai
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	ena-šaho
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	ena; ena-oxo; kʷei
1.362	whirlpool	
1.37	spring, well	xani; čixoko; eteoxi
1.38	swamp	ačewi; čixoko
1.39	waterfall	ɓo'wa
1.41	woods, forest	eɓio
1.42	tree (cf 08.600)	akʷi
1.43	wood	
1.44	stone, rock	me(y)i; emei
1.45	earthquake	meši weweaka-nahe
1.51	sky	eya
1.52	sun	išeki ~ ešeki
1.53	moon	ɓaʔi
1.54	star	mahameta
1.55	lightning	poxexi
1.56	thunder	kʷehi ~ kʷehe
1.57	lightning (as striking)	poxexi poa-nahe
1.58	storm	
1.59	rainbow	sihiani
1.61	light (noun)	heahaʔa-
1.62	darkness	-apo
1.63	shade, shadow	e-šawa; e-axaɲa
1.64	dew	mahametana; eši'o
1.71	air	
1.72	wind	ɓeni
1.73	cloud	ɓo; -haʔa
1.74	fog	wohaɓo
1.75	rain (noun)	ena, pwehi ?
1.76	snow (noun)	
1.77	ice	
1.78	weather	-še
1.81	fire	kʷa-ki
1.82	flame (noun)	
1.83	smoke (noun)	wičača
1.84	ashes	kʷaki-maxo; kʷaki-powi
1.841	embers	koxaša
1.851	burn (vb trans)	kiyo-
1.852	burn (vb intrans)	hihi-
1.86	light, kindle, ignite	hihi-; košo-; ɗeʔɗo-
1.861	extinguish	čiyo-; kixoyo-; čiʔ-
1.87	match (noun)	
1.88	firewood	kʷa-ki, eši
1.89	charcoal	kʷaki-powi; koxašae
2.1	person, human being	-dexa; -pona
2.21	man (vs. woman)	e-ɗexa
2.22	woman	e-pona; e-wanasia
2.23	male	e-yawe
2.24	female	
2.25	boy	e-šoʔi-dexa
2.251	young man (adolescent)	ešoʔi; ošoʔi-yawe
2.26	girl	e-šoʔi-pona
2.261	young woman (adolescent)	ešoʔipona
2.27	child	e-ɓakʷa; e-šoʔinee
2.28	infant, baby	ešoʔi
2.31	husband	e-yawe ~ e-yawi
2.32	wife	e-wanase; činani
2.33	marry	xawanaki-; xawiaki-
2.34	marriage, wedding	
