entry_id	trans_english	Itonama_Phonemic
3.817	ant	uʔwabɨs
3.818	spider	wɨlɨbɨbɨ
3.819	spider web	
3.82	bee	wununuya; mɨwara
3.821	beeswax	o-woʔwo
3.822	beehive	
3.823	wasp	kaʔtʸororo; wununuya
3.83	fly	kapara; o-čˀese; pururu
3.831	sandfly (midge), gnat	wamumu; nuʔpulu
3.832	mosquito	o-nihko; nuʔpulu
3.84	worm	u-watˀu
3.85	snake	biluwa
3.91	firefly	
3.92	butterfly	poleʔpole
3.93	grasshopper	
3.94	snail	u-tˀuʔdu
3.95	frog	watʸoko; o-wečˀe
3.96	lizard	waʔtaʔta; waroʔyane
3.97	crocodile, alligator	a-mɨspa; warača
3.98	turtle	wanalɨ
4.11	body	uh-buwaʔtʸahkˀe
4.12	skin, hide	poʔroma
4.13	flesh	
4.14	hair (head)	uh-suwa; uh-tʸasuwa
4.142	beard	uh-waʔsuwa
4.144	body hair	uh-suwa; uh-maʔsuwa
4.145	pubic hair	
4.146	dandruff	
4.15	blood	u-nasto
4.151	vein, artery	
4.16	bone	čɨdɨkɨ
4.162	rib	uh-wara-wara
4.17	horn	uh-čaraʔra
4.18	tail	oh-mobi
4.19	back	uh-pačačano
4.191	spine	uh-wasčočono
4.2	head	uh-ču
4.201	side of head, temple	
4.202	skull	
4.203	brain	oh-čowi
4.204	face	uh-kačɨ; uh-kaču
4.205	forehead	uh-wačakakano
4.207	jaw	uh-wanino
4.208	cheek	uh-wamusčačano
4.209	chin	uh-wanino
4.21	eye	uh-kˀururu
4.212	eyebrow	
4.213	eyelid	uh-kačapitˀi
4.214	eyelash	uh-kačapitˀi
4.215	blink	
4.22	ear	oh-mostˀoʔdo
4.221	earlobe	
4.222	earwax	
4.23	nose	uh-nu
4.231	nostril	
4.232	mucus (nasal)	o-tˀone
4.24	mouth	uh-waʔpara; uh-kˀasno
4.241	beak	
4.25	lip	uh-wapɨkɨ
4.26	tongue	oh-počosnila
