entry_id	trans_english	Mulam_Phonemic
3.28	ewe	ći.1 tai.3
3.29	lamb	ći.1 mai.4
3.32	boar	ći.1
3.34	sow	ŋan.6
3.35	pig	ʔja:p.7
3.36	goat	tan.1
3.37	he-goat	nɔk.7
3.38	kid	jeu.6
3.41	horse (equine)	kɔ.1
3.42	stallion	jin.5 wu.1
3.44	mare	ka.1
3.45	foal, colt	nɔk.8 kau.2
3.46	ass, donkey	nɔk.8 pɛk.8 hop.8
3.47	mule	kau.1
3.5	fowl	nɔk.8 jɛn.5
3.52	cock, rooster	ŋa.1
3.54	hen	thu.5
3.55	chicken	na:n.4 ći.3
3.56	goose	mam.4 piu.5
3.57	duck	mam.4
3.58	nest	mja:u.4
3.581	bird	nɔ.3
3.582	seagull	mam.6
3.583	heron	mam.6 hi.5
3.584	eagle	kɣan.5
3.585	hawk	fop.7
3.586	vulture	ljai.6
3.591	bat	ńɔ.2
3.592	parrot	ńö.6
3.593	crow	la:ŋ.6
3.594	dove	sI.5 tu.3
3.596	owl	jɔŋ.2
3.61	dog	wa:ŋ.4 kəu.3 po.6
3.614	rabbit	soŋ.5 sü.3
3.62	cat	min.3
3.622	opossum	lok.8
3.63	mouse, rat	u.2
3.65	fish	tja:ŋ.4
3.652	fin (dorsal)	fan.1 tja:ŋ.4
3.653	fishscale	kɣa.1
3.654	gill	sat.7; sat.7
3.655	shell	kai.5 sat.7
3.661	shark	mat.7
3.662	porpoise, dolphin	ki.1 khap.7
3.663	whale	khe.6 cI.1
3.664	stingray	ʔɣəp.7
3.665	freshwater eel	mat.8
3.71	wolf	tən.1 ńɔŋ.2
3.72	lion	nit.8 tən.1 ńɔŋ.2
3.73	bear	tam.6 leŋ.2
3.74	fox	peŋ.3
3.75	deer	tan.1 lu.1
3.76	monkey	mat.8 pa:k.8
3.77	elephant	ńuŋ.2; ńuŋ.2 thau.5 fan.1
3.78	camel	ńuŋ.2; ńuŋ.2 thau.5 mu.2
3.81	insect	kɣa.1 cü.5 mai.4
3.811	louse	kɣa.1 pan.1
3.812	nit (louse egg)	kɣa.1
3.813	flea	kɣa.1
3.814	centipede	kwa:i.4 ci.5 ca.5
3.815	scorpion	ći.1 tɔ.5
3.816	cockroach	miŋ.2
3.817	ant	tui.2
3.818	spider	tui.2 lo.4
3.819	spider web	miŋ.3
3.82	bee	wa.3
3.821	beeswax	śak.7
3.822	beehive	lau.5
3.823	wasp	kap.7 (big); kwai.3 (small)
3.83	fly	tui.2 ti.5 tin.1
3.831	sandfly (midge), gnat	kui.1
3.832	mosquito	hɣən.1
3.84	worm	ŋɣa.2
3.85	snake	sik.8
3.91	firefly	fja.1; pom.1 ko.3
3.92	butterfly	mut.8
3.93	grasshopper	tam.1
3.94	snail	ha:n.6
3.95	frog	phɔt.7
3.96	lizard	mɛk.8
3.97	crocodile, alligator	ćan.1
3.98	turtle	hɣa:k.7
4.11	body	hɣa:k.7 ŋui.2
4.12	skin, hide	hɣa:k.7 sɛk.7
4.13	flesh	ku.1
4.14	hair (head)	khat.7
4.142	beard	u.1 la:i.2 lən.2 la:i.2
4.144	body hair	ko.3
4.145	pubic hair	ko.3 kha:k.7
4.146	dandruff	ko.3 ŋui.2
4.15	blood	na.3
4.151	vein, artery	na.6 pɣa:k.7
4.16	bone	la.3
4.162	rib	na.3
4.17	horn	ŋa.2 ka:u.5
4.18	tail	la.1
4.19	back	pən.1 la.1
4.191	spine	ŋa.5 la.1
4.2	head	cən.1 la.1 nam.4
4.201	side of head, temple	jap.7 la.1
4.202	skull	khɣa.1
4.203	brain	khɣa.1 neŋ.5
4.204	face	ćɛ.3 khɣa.1
4.205	forehead	naŋ.1
4.207	jaw	naŋ.1 luŋ.1
4.208	cheek	muk.8
4.209	chin	pa:k.7
4.21	eye	pa:k.7 nɔk.8
4.212	eyebrow	sən.2 pa:k.7
4.213	eyelid	ma.2
4.214	eyelash	fan.1
4.215	blink	fan.1 tja:ŋ.4; fan.1 sən.2
4.22	ear	fan.1 lo.4
4.221	earlobe	te.3 lan.3
4.222	earwax	u.1 lan.3
4.23	nose	te.3 hu.1
4.231	nostril	u.1 ha.1
4.232	mucus (nasal)	hɣa:k.7 pan.2 si.2
4.24	mouth	nja.2 puŋ.4
4.241	beak	te.3 ha.5
4.25	lip	nja.2 ńau.1
4.26	tongue	nja.2 hjau.5
4.27	tooth	nja.2
4.271	gums	kwa.3 nja.2
4.272	molartooth	nja.2 la:k.8
4.28	neck	nja.2 mai.4
4.281	nape of neck	nja.2 nap.7
4.29	throat	ca:u.4
4.3	shoulder	tan.1
4.301	shoulderblade	tan.1 lo.4
4.302	collarbone	tan.1 niŋ.5
4.31	arm	ko.6 ko.5
4.312	armpit	tin.1
4.32	elbow	tin.1 nɔk.7
4.321	wrist	tin.1 khɔŋ.1
4.33	hand	jan.5 tin.1
4.331	palm of hand	tin.1 la:k.8
4.34	finger	hi.5
4.342	thumb	cən.1 hi.5
4.344	fingernail	tak.7 pu.2
4.345	claw	me.6
4.35	leg	ko.3 me.6
4.351	thigh	lɔŋ.2 lwa.1
4.352	calf of leg	tam.1
4.36	knee	fe.5
4.37	foot	tap.7
4.371	ankle	ʔjeu.1
4.372	heel	mɔ.5
4.374	footprint	lɔŋ.2 po.6
4.38	toe	tu.3
4.392	wing	khɣəi.3
4.393	feather	ʔjeu.1
4.4	chest	khən.3
4.41	breast (of woman)	khɔn.3
4.412	nipple, teat	khɔŋ.3 luŋ.1
4.42	udder	kɣa:i.5
4.43	navel	nɛŋ.4
4.44	heart	pɛ.6
4.441	lung	chop.7 khi.5
4.45	liver	cha.1 pi.2 lam.2
4.451	kidney	lak.7 lət.7
4.452	spleen	khö.1
4.46	stomach	hat.7 chiu.1
4.461	intestines, guts	uk.7 ha:n.6; ha:n.6 le.6
4.462	waist	ńö.2; muk.8
4.463	hip	thü.1 ńö.2; thü.1 muk.8
4.464	buttocks	hök.7
4.47	womb	cat.8
4.49	testicle	lö.5 ma.2
4.492	penis	mat.7
4.51	breathe, breath	le.6 ńö.2
4.52	yawn, gape	nan.2
4.521	hiccough	cha.3 hau.1
4.53	cough	mɔŋ.6
4.54	sneeze	hö.1
4.55	perspire	teŋ.3
4.56	spit	uk.7 khat.7
4.57	vomit	nja:u.5
4.58	bite	uk.7 ćɛ.3
4.59	lick	la:n.5hən.2 khau.5
4.591	dribble	suk.7 hɣən.1
4.61	sleep	sɛŋ.1; ta:ŋ.4
4.612	snore	sɛŋ.1
4.62	dream	sɛŋ.1
4.63	wake up	mɛ.2 wat.8
4.64	break wind	mɛ.2 wat.8
4.65	urinate	ńa:u.6; sɛŋ.1
4.66	defecate	tai.1
4.67	have sexual intercourse	tam.5 tai.1
4.68	shiver	li.2
4.69	bathe	sən.1 tai.1
4.71	beget (of father)	mok.7
4.72	born (to be)	fan.2
4.73	pregnant	mɛ.2 lik.8; jɔŋ.2
4.732	conceive	ma.3; mai.3
4.74	live, living, life	jɔk.8; ćɔŋ.3
4.75	die, dead	peŋ.6; mɛ.2 peŋ.6
4.751	drowned	fat.8 sa.1
4.76	kill	khɔ.5
4.77	corpse	sja:ŋ.1
4.78	bury (the dead)	nam.2
4.79	grave, tomb	fau.2; lam.6
4.81	strong, mighty, powerful	lam.6 lo.4; ńin.3
4.82	weak	tan.4 po.1
4.83	well, health	choŋ.1
4.84	sick, sickness	hɣak.7
4.841	fever	kɨŋ.3
4.842	goiter	i.1
4.843	cold (catarrh)	i.1 sɛŋ.1
4.85	wound, sore	kɣa.2
4.852	bruise	kɣa.2 tɔk.8
4.853	swelling	tɔ.4 tɔk.8
4.854	itch	mɛ.5
4.855	blister	hjet.7
4.856	boil (noun)	la:n.4
4.857	pus	ko.3 kja:ŋ.4
4.858	scar	pa:i.5
4.86	cure, heal	lak.7
4.87	physician	ŋa.3
4.88	medicine, drug	kha.1
4.89	poison	mɛ.2; khə.5 mɛ.2
4.91	tired, weary	laŋ.6 kja:ŋ.4
4.912	rest	ca:n.1
4.92	lazy	jaŋ.6 ca:n.1
4.93	bald	sɔk.8
4.94	lame	sɛŋ.1
4.95	deaf	ŋa:n.3
4.96	mute	śau.1
4.97	blind	ɣam.2; la:n.6
4.98	intoxicated	hop.7
4.99	naked, bare	ŋa.6
5.11	eat	ŋa.6 hɔŋ.1
5.12	food	kha:t.7
5.121	cooked	hɔt.7
5.122	raw	ńa:i.5
5.123	ripe	lan.3
5.124	green, unripe	tak.7
5.125	rotten	tuŋ.1
5.13	drink	tuŋ.1 nam.4
5.14	hunger	cha:u.3
5.141	famine	pu:i.5
5.15	thirst	lu.2
5.16	suck	kwən.5
5.18	chew	ćhik.7
5.181	swallow	won.3
5.19	choke	pon.2
5.21	cook	won.3
5.22	boil (vb)	hu.2
5.23	roast, fry	cɔŋ.1
5.24	bake	tjep.8
5.25	oven	sat.8 kɛŋ.1
5.26	pot, cooking vessel	mit.8
5.27	kettle	cha.1
5.28	pan	kjap.8
5.31	dish	hu.3
5.32	plate	hu.3 hat.7
5.33	bowl	hu.3 fan.1
5.34	pitcher, jug	hu.3 tan.5
5.35	cup, drinking vessel	hu.3 mu.2
5.36	saucer	hjet.7
5.37	spoon	swa:i.1; lö.6
5.38	knife	kwa:t.8
5.39	fork	la:u.1
5.391	tongs	mian.6 hoi.1
5.41	meal (a)	toi.5
5.42	breakfast	njen.3; lan.2; mwa.6
5.43	lunch	fan.5
5.44	dinner	hoi.5 mwa.6
5.45	supper	toi.5
5.46	peel	toi.5
5.47	sieve, strain	sik.8
5.48	scrape	khəi.3
5.49	stir, mix	hwo.5
5.51	bread	ma.1
5.53	dough	tau.6 kak.7
5.54	knead	ɣɔ.2
5.55	meal, flour	thɔŋ.1
5.56	crush, grind	la:k.8 lja:n.6
5.57	mill	jəu.6 ma.2
5.58	mortar	hiŋ.1
5.59	pestle	kwa.1
5.61	meat	ća.6
5.63	sausage	man.2
5.64	soup, broth	hui.1
5.65	vegetables	chön.5; kɔŋ.6
5.66	bean	la:k.8 üt.7
5.7	potato	hui.1 tə.0 lit.8
5.71	fruit	jau.2
5.712	bunch	man.2
5.75	fig	pi.2
5.76	grape	te.3
5.77	nut	kwa.1
5.78	olive	ta:ŋ.2
5.79	oil	ne.6
5.791	grease, fat	ŋan.3
5.81	salt	kai.5
5.82	pepper	kai.5 ŋa:n.3
5.821	chili pepper	tan.3
5.84	honey	kuk.7
5.85	sugar	kɨt.7
5.86	milk (noun)	ja.1
5.87	milk (vb)	mian.2
5.88	cheese	cau.2
5.89	butter	ŋɣa.2
5.9	beverage, drink	tam.3 pɔn.6
5.91	mead	tam.3 ja.1
5.92	wine	phi.5 so.1
5.93	beer	cha.1 kuk.7
5.94	fermented drink	cham.1
5.97	egg	cui.1
5.971	egg yolk	pɔn.6
6.11	put on (clothes)	kuk.7 uk.7
6.12	clothing, clothes	kuk.7 ho.3
6.13	tailor	lan.3 kuk.7
6.21	cloth	kwan.2
6.22	wool	hwa.5
6.23	linen, flax	ma:t.8
6.24	cotton	śa:i.1
6.25	silk	mɔ.6
6.27	felt	pha.5 ko.3
6.28	fur	puŋ.6 tai.6
6.29	leather	khau.5
6.31	spin	ku.3
6.32	spindle	ćem.2
6.33	weave	lan.3 khwan.1
6.34	loom	la:k.8 cü.1
6.35	sew	nɛŋ.5
6.36	needle	pha.5 ko.3
6.37	awl	can.1; so.3 ćan.1
6.38	thread	ćan.1 na.3; so.3 ćan.1 na.3
6.39	dye	ćhi.1
6.41	cloak	ćhi.1
6.411	poncho	swa:t.7
6.42	woman's dress	fja.1 (v. & n.)
6.43	coat	the.5 tɔ.1
6.44	shirt	ja:ŋ.2 kjɛn.3
6.45	collar	keŋ.5
6.46	skirt	ńa:u.6
6.461	grass-skirt	ɣən.2
6.48	trousers	ɣən.5(2) niŋ.5
6.49	stocking, sock	ljeŋ.2 teŋ.2
6.51	shoe	ta.5 khɣa.1
6.52	boot	kun.5 tɔ.5
6.54	shoemaker, cobbler	khɔŋ.5 ɣən.2
6.55	hat, cap	tɔ.1; tɔ.1 lo.4
6.57	belt, girdle	twa.3
6.58	glove	son.5 tɔ.1
6.59	veil	la:k.8 śi.2
6.61	pocket	luŋ.1 choŋ.1
6.62	button	te.5 pi.2
6.63	pin	tja:ŋ.2
6.71	ornament, adornment	lu.2
6.72	jewel	kö.3; lau.2
6.73	ring (for finger)	tho.5
6.74	bracelet	ko.3 mun.1
6.75	necklace	tha:m.3
6.76	bead	i.3
6.77	earring	kon.2
6.78	headband, headdress	fi.1 taŋ.1
6.79	tattoo	la:p.8
6.81	handkerchief, rag	ća.5
6.82	towel	u.1 ɣən.2
6.91	comb	ka:i.5 u.1 ɣən.2
6.92	brush	śa.1
6.921	braid	ljɛŋ.2
6.93	razor	cön.6 ćak.7
6.94	ointment	ljɛŋ.2
6.95	soap	chɔk.7 tjau.2; cö.4
6.96	mirror	pjeŋ.3
7.11	dwell, live	tja:ŋ.6 tui.2
7.12	house	cön.1
7.13	hut	tja:ŋ.1
7.131	garden-house	cön.1 na:m.6
7.14	tent	nuŋ.2 min.2
7.15	yard, court	ɣa.5
7.16	men's house	ɣai.5
7.17	cookhouse	fjen.1
7.18	meeting house	tɔ.4
7.21	room	wai.6 jön.1
7.22	door, gate	thɛŋ.3 kui.3
7.221	doorpost, jamb	khai.1
7.23	lock (noun)	khai.1 lu.2
7.231	latch, door-bolt	wa:t.7
7.24	key	cha:n.3
7.25	window	cha:n.3
7.26	floor	kwa:t.7; ćɔk.7
7.27	wall	cha.1 ŋa.1
7.31	fireplace	pa.2
7.32	stove	pɔ.4
7.33	chimney	pan.1
7.37	ladder	sau.1
7.42	bed	ljem.4
7.421	pillow	sau.1 hu.3; kui.5 hu.3
7.422	blanket	ti.6 tɛŋ.2
7.43	chair	sau.1 sən.2
7.44	table	hu.3
7.45	lamp, torch	mɛk.8 niŋ.5
7.46	candle	mɛk.8 lo.4
7.47	shelf	mɛk.8 nam.1
7.48	trough	mɛk.8 tam.5 tja.1
7.51	roof	jau.6 mɛ.4
7.52	thatch	hu.3
7.53	ridgepole	hu.3
7.54	rafter	hu.3; hu.3 kɣa.3
7.55	beam	kwa.6 hu.3
7.56	post, pole	maŋ.1
7.57	board	kwa:ŋ.3
