entry_id	trans_english	Ese_Ejja_Huarayo_Phonemic
3.98	turtle	dati
4.11	body	
4.12	skin, hide	e-hee
4.13	flesh	e-yami
4.14	hair (head)	e-'ɲa
4.142	beard	e-kwaša
4.144	body hair	e-'ɲa
4.145	pubic hair	
4.146	dandruff	
4.15	blood	e'na
4.151	vein, artery	e-hao-na
4.16	bone	e-'sa
4.162	rib	doxo xanixi
4.17	horn	šedana
4.18	tail	e-'wi
4.19	back	e-daa-sa
4.191	spine	e-daa-sa
4.2	head	e-sapa
4.201	side of head, temple	
4.202	skull	e-kipa-wexa
4.203	brain	
4.204	face	
4.205	forehead	e-bakwa
4.207	jaw	e-šemo-sa
4.208	cheek	e-šemo-yami
4.209	chin	
4.21	eye	e-koxa
4.212	eyebrow	e-koxa-sa-ɲa
4.213	eyelid	e-koxa-hee
4.214	eyelash	e-koxa-ɲa
4.215	blink	
4.22	ear	e-šaxa
4.221	earlobe	
4.222	earwax	
4.23	nose	
4.231	nostril	
4.232	mucus (nasal)	wiši
4.24	mouth	e-naba
4.241	beak	e-'wi
4.25	lip	e-kwasa
4.26	tongue	e-yana
4.27	tooth	e-'se
4.271	gums	e-sekwe ono-xi
4.272	molartooth	yamaxa
4.28	neck	e-piki
4.281	nape of neck	
4.29	throat	e-naa
4.3	shoulder	e-beoxo
4.301	shoulderblade	
4.302	collarbone	e-se-pexa-sa
4.31	arm	yaa
4.312	armpit	
4.32	elbow	
4.321	wrist	e-me šoši-xi
4.33	hand	e-'me
4.331	palm of hand	
4.34	finger	e-'me sisi
4.342	thumb	e-'me sisi
4.344	fingernail	e-'me kiši
4.345	claw	e-'me
4.35	leg	e-'sa
4.351	thigh	e-kise
4.352	calf of leg	
4.36	knee	e-kwiʔo
4.37	foot	e-hio-xi
4.371	ankle	e-šoši-xi
4.372	heel	
4.374	footprint	e-hio-xi
4.38	toe	e-hio-xi
4.392	wing	e-kwičo
4.393	feather	e-'ɲa
4.4	chest	e-seʔo
4.41	breast (of woman)	e-toxo
4.412	nipple, teat	e-toxo
4.42	udder	e-toxo
4.43	navel	soo
4.44	heart	e-kihi-xi
4.441	lung	e-šaho
4.45	liver	e-kakwa
4.451	kidney	e-yopi
4.452	spleen	
4.46	stomach	e-see
4.461	intestines, guts	e-see
4.462	waist	
4.463	hip	e-kaxete
4.464	buttocks	e-'wi
4.47	womb	
4.49	testicle	e-biɲaxa
4.492	penis	e-kwii
4.51	breathe, breath	
4.52	yawn, gape	
4.521	hiccough	
4.53	cough	oho-kwe
4.54	sneeze	
4.55	perspire	wiši-kwe
4.56	spit	kwičo-hea-kwe
4.57	vomit	boii-kwe
4.58	bite	šoi-kwe
4.59	lick	sio-kwe
4.591	dribble	kwii-kwii-kwe
4.61	sleep	kawi-kwe
4.612	snore	
4.62	dream	e-kawi
4.63	wake up	
4.64	break wind	e-kwiši
4.65	urinate	wiya-kwe
4.66	defecate	see-kwe
4.67	have sexual intercourse	toxo-kwe
4.68	shiver	pio-pio-kwe
4.69	bathe	ša-kwe
4.71	beget (of father)	
4.72	born (to be)	kwaya-kwe
4.73	pregnant	
4.732	conceive	
4.74	live, living, life	ani-kwe
4.75	die, dead	mano-kwe
4.751	drowned	wiʔi-kwe
4.76	kill	kekwa-kwe
4.77	corpse	dexa waxii
4.78	bury (the dead)	moʔio-kwe
4.79	grave, tomb	
4.81	strong, mighty, powerful	kia-kaʔa
4.82	weak	e-šibio
4.83	well, health	
4.84	sick, sickness	kia-nee
4.841	fever	kio-kio
4.842	goiter	
4.843	cold (catarrh)	oho-oho
4.85	wound, sore	čihi
4.852	bruise	
4.853	swelling	e-šexe
4.854	itch	
4.855	blister	čihi
4.856	boil (noun)	
4.857	pus	
4.858	scar	
4.86	cure, heal	
4.87	physician	e-yami tekwa
4.88	medicine, drug	
4.89	poison	
4.91	tired, weary	kia-mano
4.912	rest	mano-kwe; tawi-kwe
4.92	lazy	kia-mano
4.93	bald	sapa sio
4.94	lame	hio-xi
4.95	deaf	šaxa-'ma
4.96	mute	soi-'ma
4.97	blind	toxa-'ma
