entry_id	trans_english	Tokharian_B_Phonemic
1.1	world	śaiṣṣe
1.21	earth, land	keṃ
1.212	earth=ground, soil	keṃ
1.213	dust	tweye, taur
1.214	mud	
1.215	sand	waraɲce
1.22	mountain, hill	ṣale
1.222	cliff, precipice	yast
1.23	plain, field	[mīṣe]; warśo
1.24	valley	lenke
1.25	island	prenke
1.26	mainland	ścomaɲ
1.27	shore	manarko; totte
1.28	cave	
1.31	water	war, wranta
1.32	sea	lyam
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	
1.329	ocean	[samuttär]
1.33	lake	
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	cake
1.362	whirlpool	
1.37	spring, well	ālme
1.38	swamp	kärkkālle
1.39	waterfall	
1.41	woods, forest	karāś
1.42	tree (cf 08.600)	stām
1.43	wood	or
1.44	stone, rock	kärweɲe
1.45	earthquake	
1.51	sky	eprer ~ iprer
1.52	sun	kauṃ
1.53	moon	meɲe
1.54	star	ścirye
1.55	lightning	
1.56	thunder	
1.57	lightning (as striking)	[waśīr], [wājrä]
1.58	storm	praściye
1.59	rainbow	
1.61	light (noun)	lyūke
1.62	darkness	orkamɲe
1.63	shade, shadow	skiyo
1.64	dew	
1.71	air	eprer ~ iprer
1.72	wind	yente
1.73	cloud	tarkär
1.74	fog	
1.75	rain (noun)	swese
1.76	snow (noun)	śiɲcatstse
1.77	ice	
1.78	weather	
1.81	fire	puwar
1.82	flame (noun)	sleme
1.83	smoke (noun)	
1.84	ashes	tweye, taur
1.841	embers	
1.851	burn (vb trans)	tsäk-
1.852	burn (vb intrans)	tsäk-
1.86	light, kindle, ignite	twās-
1.861	extinguish	käs-
1.87	match (noun)	
1.88	firewood	ārwa
1.89	charcoal	
2.1	person, human being	śaumo
2.21	man (vs. woman)	enkwe
2.22	woman	śana, klīye
2.23	male	enkwaɲɲe
2.24	female	klaiɲɲe; kùleɲci
2.25	boy	śamaśke
2.251	young man (adolescent)	maiwe
2.26	girl	śamɲãṃśka
2.261	young woman (adolescent)	
2.27	child	śamaśke
2.28	infant, baby	
2.31	husband	petso
2.32	wife	śana
2.33	marry	
2.34	marriage, wedding	
2.341	divorce	
2.35	father	pācer
2.36	mother	mācer
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	soy
2.42	daughter	tkācer
2.43	offspring (son or daughter)	säsuwerṣke
2.44	brother	procer
2.444	older brother	
2.445	younger brother	
2.45	sister	ṣer
2.454	older sister	
2.455	younger sister	
2.456	sibling	
2.458	twins	
2.46	grandfather	orotstse-pācer
2.461	old man	śrān-, moko
2.47	grandmother	
2.471	old woman	
2.48	grandson	
2.49	granddaughter	
2.51	uncle	
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	
2.54	niece	
2.55	cousin	
2.56	ancestors	āppo
2.57	descendants	
2.61	father-in-law (of a man)	
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	
2.76	widow	
2.77	widower	
2.81	relatives, kinsmen	ṣɲaṣṣi
2.82	family	B[ kottär]
2.91	I	ɲäś, ɲiś
2.92	you (singular)	tuwe
2.93	he/she/it	--
2.94	we	wes
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	yes
2.96	they	--
3.11	animal	luwo
3.12	male (adj)	enkwaɲɲe
3.13	female (adj)	klaiɲɲe
3.15	livestock	koraiɲ
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	kaùrṣe
3.22	ox	okso
3.23	cow	keu
3.24	calf	
3.25	sheep	śaiyye, eye
3.26	ram	yriye
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	suwo
3.36	goat	aṣiye
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	yakwe
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	kercapo
3.47	mule	
3.5	fowl	
3.52	cock, rooster	
3.54	hen	
3.55	chicken	kranko
3.56	goose	yamuttsi (?)
3.57	duck	yamuttsi (?)
3.58	nest	lesto
3.581	bird	ṣalamo luwo
3.582	seagull	
3.583	heron	
3.584	eagle	[kurār]
3.585	hawk	
3.586	vulture	
3.591	bat	arśakärśa
3.592	parrot	
3.593	crow	wrauɲa
3.594	dove	[ekṣinek]
3.596	owl	[uluke]
3.61	dog	ku
3.614	rabbit	[ṣaṣe]
3.62	cat	[mārjāre]
3.622	opossum	
3.63	mouse, rat	mäścītsi; [ākhu]
3.65	fish	laks, läkṣi
3.652	fin (dorsal)	
3.653	fishscale	
3.654	gill	läksaɲɲe klautso
3.655	shell	lyɲā-
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	walkwe
3.72	lion	ṣecake
3.73	bear	
3.74	fox	
3.75	deer	karse
3.76	monkey	mokoṃśke
3.77	elephant	onkolme
3.78	camel	partāktaɲɲe
3.81	insect	peṣele (?)
3.811	louse	pärśeri (?)
3.812	nit (louse egg)	
3.813	flea	
3.814	centipede	
3.815	scorpion	
3.816	cockroach	
3.817	ant	warme
3.818	spider	yape
3.819	spider web	wpelme
3.82	bee	kroṅkśe, kroṅśe
3.821	beeswax	śeriye (?)
3.822	beehive	
3.823	wasp	
3.83	fly	tanaulyko
3.831	sandfly (midge), gnat	
3.832	mosquito	
3.84	worm	yel
3.85	snake	auk, arṣāklo
3.91	firefly	
3.92	butterfly	
3.93	grasshopper	[śalāp]
3.94	snail	
3.95	frog	
3.96	lizard	
3.97	crocodile, alligator	
3.98	turtle	[kaccāp]
4.11	body	kektseɲe
4.12	skin, hide	yetse, ewe
4.13	flesh	misa
4.14	hair (head)	matsi
4.142	beard	traksiɲ (?)
4.144	body hair	yok
4.145	pubic hair	to
4.146	dandruff	
4.15	blood	yasar
4.151	vein, artery	auloɲ
4.16	bone	āy, āsta
4.162	rib	pauṣke
4.17	horn	krorīya
4.18	tail	päkā-
4.19	back	sark
4.191	spine	
4.2	head	āśce
4.201	side of head, temple	naitwe
4.202	skull	
4.203	brain	
4.204	face	särwāna
4.205	forehead	ānte
4.207	jaw	wicūko
4.208	cheek	wicūko
4.209	chin	
4.21	eye	ek
4.212	eyebrow	pärwāne
4.213	eyelid	
4.214	eyelash	
4.215	blink	
4.22	ear	klautso
4.221	earlobe	
4.222	earwax	
4.23	nose	meli
4.231	nostril	
4.232	mucus (nasal)	[leśp]
4.24	mouth	koyn
4.241	beak	
4.25	lip	lymine
4.26	tongue	kantwo
4.27	tooth	keme
4.271	gums	
4.272	molartooth	
4.28	neck	
4.281	nape of neck	krāɲi
4.29	throat	ṣankw, kor
4.3	shoulder	āntse
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	pokai
4.312	armpit	
4.32	elbow	
4.321	wrist	āto (?)
4.33	hand	ṣar
4.331	palm of hand	alyiye
4.34	finger	prāri
4.342	thumb	
4.344	fingernail	mekwa
4.345	claw	
4.35	leg	ckācko
4.351	thigh	märkwace, mlyuwe
4.352	calf of leg	ckācko
4.36	knee	keni
4.37	foot	paiyye
4.371	ankle	porsno (?)
4.372	heel	kuke (?)
4.374	footprint	ṣiko
4.38	toe	
4.392	wing	
4.393	feather	parwa
4.4	chest	canke, pratsāko
4.41	breast (of woman)	piśpik (?), päścane
4.412	nipple, teat	piśpik (?)
4.42	udder	
4.43	navel	kele
4.44	heart	araɲce
4.441	lung	
4.45	liver	wästarye
4.451	kidney	
4.452	spleen	
4.46	stomach	kātso
4.461	intestines, guts	
4.462	waist	
4.463	hip	
4.464	buttocks	[śroɲi]
4.47	womb	kaläl
4.49	testicle	erkatstse
4.492	penis	tso
4.51	breathe, breath	anāsk-
4.52	yawn, gape	kāy-
4.521	hiccough	
4.53	cough	kosi
4.54	sneeze	
4.55	perspire	si-, syelme
4.56	spit	pitke
4.57	vomit	ankaiṃ yām-
4.58	bite	tsāk-
4.59	lick	
4.591	dribble	
4.61	sleep	klänts-, ṣpane
4.612	snore	
4.62	dream	
4.63	wake up	āks-
4.64	break wind	
4.65	urinate	miśo
4.66	defecate	weṃṣiye
4.67	have sexual intercourse	yäs-
4.68	shiver	
4.69	bathe	nāsk-
4.71	beget (of father)	täm-
4.72	born (to be)	täm-
4.73	pregnant	prentsa
4.732	conceive	
