entry_id	trans_english	Muisca_Phonemic
1.1	world	kɨka-ɣua ac̷̣onuka
1.21	earth, land	kɨka
1.212	earth=ground, soil	ieɣi
1.213	dust	βuske
1.214	mud	isua
1.215	sand	ɣua-nc̷̣a
1.22	mountain, hill	ɣua
1.222	cliff, precipice	
1.23	plain, field	mɨkɨk pkuao
1.24	valley	
1.25	island	
1.26	mainland	
1.27	shore	
1.28	cave	ta
1.31	water	sie
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	
1.329	ocean	
1.33	lake	si-ua
1.34	gulf, bay	
1.341	lagoon	si-ua
1.342	reef	
1.343	headland, point	
1.35	wave	simke
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	sie; sie-toke
1.362	whirlpool	
1.37	spring, well	hiṣɨkɨ
1.38	swamp	
1.39	waterfall	
1.41	woods, forest	kɨe
1.42	tree (cf 08.600)	kɨe
1.43	wood	
1.44	stone, rock	hɨka
1.45	earthquake	ie c̷̣ami-skua
1.51	sky	ɣuat-kɨka
1.52	sun	sua
1.53	moon	ṣie
1.54	star	βaɣua
1.55	lightning	hikaβimɨ
1.56	thunder	kɨka-c̷̣ a-tinan-suka
1.57	lightning (as striking)	pkahac̷̣a
1.58	storm	
1.59	rainbow	ṣukɨ
1.61	light (noun)	ṣie
1.62	darkness	umc̷̣a-k a-ɣekua
1.63	shade, shadow	ii
1.64	dew	
1.71	air	
1.72	wind	βiβa
1.73	cloud	βaoa
1.74	fog	βaoa
1.75	rain (noun)	siu
1.76	snow (noun)	hiṣu
1.77	ice	
1.78	weather	
1.81	fire	ɣata
1.82	flame (noun)	
1.83	smoke (noun)	ie
1.84	ashes	βuske; sukta
1.841	embers	ɣatɨ-moke
1.851	burn (vb trans)	βɣai pkua-suka
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	βɣɨna-suka
1.861	extinguish	
1.87	match (noun)	
1.88	firewood	ia
1.89	charcoal	ɣac̷̣pkua
2.1	person, human being	mɨska
2.21	man (vs. woman)	mɨska
2.22	woman	mɨska βuṣa
2.23	male	ṣa
2.24	female	βuhuṣa; βuṣa
2.25	boy	ɣuasɣua ṣa
2.251	young man (adolescent)	
2.26	girl	ɣuasɣua βuṣa
2.261	young woman (adolescent)	
2.27	child	ɣuasɣua ṣa
2.28	infant, baby	hic̷̣ɨka
2.31	husband	sahaoa; saoa
2.32	wife	ɣi
2.33	marry	c̷̣ɨ-ɣi-ɣo-skua
2.34	marriage, wedding	
2.341	divorce	
2.35	father	paβa; paβi
2.36	mother	ɣuaia
2.37	parents	
2.38	married man	a-ɣi-ɣe
2.39	married woman	a-sahaoa-ɣe
2.41	son	ṣuta
2.42	daughter	ṣuta
2.43	offspring (son or daughter)	ṣuta
2.44	brother	nɨkɨ
2.444	older brother	ɣuia
2.445	younger brother	kuhuβa
2.45	sister	ɣuaha c̷̣a
2.454	older sister	ɣuia
2.455	younger sister	kuhuβa
2.456	sibling	ɣuia-s kuhuβa-sa
2.458	twins	
2.46	grandfather	ɣuesika
2.461	old man	tɨβa-ṣa
2.47	grandmother	kaka
2.471	old woman	ṣutkua
2.48	grandson	ṣune
2.49	granddaughter	ṣune
2.51	uncle	
2.511	mother's brother	c̷̣-ue-ṣa
2.512	father's brother	c̷̣ɨ-paβa
2.52	aunt	
2.521	mother's sister	c̷̣-uaia
2.522	father's sister	c̷̣ɨ-paβa βuṣa
2.53	nephew	ɣuaβsie
2.54	niece	ɣuaβsie
2.55	cousin	
2.56	ancestors	sasβic̷̣a
2.57	descendants	
2.61	father-in-law (of a man)	ṣika
2.611	father-in-law (of a woman)	ɣuaka
2.62	mother-in-law (of a man)	ɣɨi
2.621	mother-in-law (of a woman)	ṣa-s-uaia
2.63	son-in-law (of a man)	ṣika
2.631	son-in-law (of a woman)	ɣuaka
2.64	daughter-in-law (of a man)	ɣɨi
2.641	daughter-in-law (of a woman)	ɣɨeka
2.71	stepfather	c̷̣ɨ-kɨhɨk-pkuaia c̷̣ɨ-paβa
2.72	stepmother	c̷̣ɨ-kɨhɨk-pkuaia c̷̣-uaia
2.73	stepson	c̷̣ɨ-kɨhɨ-k pkua ia i-ṣuta
2.74	stepdaughter	c̷̣ɨ-kɨhɨ-k pkua ia i-ṣuta
2.75	orphan	
2.76	widow	asahaoa βɣɨe
2.77	widower	aɣɨ βɣɨe
2.81	relatives, kinsmen	uake
2.82	family	
2.91	I	hɨṣa
2.92	you (singular)	mue
2.93	he/she/it	asɨ
2.94	we	ṣie
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	mie
2.96	they	asɨ
3.11	animal	
3.12	male (adj)	ṣa
3.13	female (adj)	βuhuṣa
3.15	livestock	
3.16	pasture	mɨkɨ
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	
3.23	cow	
3.24	calf	
3.25	sheep	
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	[hɨkaβai]
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	
3.5	fowl	sue
3.52	cock, rooster	supkua-ɣi ṣa
3.54	hen	supkua-ɣi βuṣa
3.55	chicken	
3.56	goose	
3.57	duck	sumne
3.58	nest	uc̷̣e
3.581	bird	sue
3.582	seagull	
3.583	heron	βuhupkua
3.584	eagle	tɨɣua
3.585	hawk	umpa
3.586	vulture	
3.591	bat	supkua
3.592	parrot	
3.593	crow	
3.594	dove	sumɣui
3.596	owl	simte
3.61	dog	to
3.614	rabbit	ṣuen-ɣi
3.62	cat	
3.622	opossum	
3.63	mouse, rat	ṣuhuka
3.65	fish	ɣua
3.652	fin (dorsal)	
3.653	fishscale	c̷̣inɣua
3.654	gill	
3.655	shell	
3.661	shark	
3.662	porpoise, dolphin	
