entry_id	trans_english	Siona_Phonemic
2.26	girl	tˀomi sˀĩ waʔkˀo
2.261	young woman (adolescent)	tˀõmi sˀĩkˀo
2.27	child	mami
2.28	infant, baby	
2.31	husband	ʔɨ̃hɨ̃; hɨ̃hɨ
2.32	wife	tˀɨ̃ho
2.33	marry	weha-hi
2.34	marriage, wedding	
2.341	divorce	
2.35	father	taita; haʔkɨ
2.36	mother	haʔko; pɨʔka-kˀo
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	mami; sˀĩ
2.42	daughter	mami
2.43	offspring (son or daughter)	sˀĩkoʔa
2.44	brother	
2.444	older brother	haʔyɨ; maʔyɨ
2.445	younger brother	yoʔhe-kˀɨ
2.45	sister	
2.454	older sister	haʔyo; maʔyo
2.455	younger sister	yoʔhe-kˀo
2.456	sibling	
2.458	twins	
2.46	grandfather	kʷˀe-kˀɨ; [awero]
2.461	old man	itˀakˀɨ; [awero]
2.47	grandmother	kʷˀe-kˀo [awera]
2.471	old woman	itˀakˀo; [awera]
2.48	grandson	nahe-kˀɨ
2.49	granddaughter	nahe-kˀo
2.51	uncle	hõta-kˀɨ; kʷˀã-kˀɨ
2.511	mother's brother	
2.512	father's brother	itˀa pɨʔka-kˀɨ; itˀa taita
2.52	aunt	pɨʔko
2.521	mother's sister	itˀa pɨʔka-kˀo; itˀa mama
2.522	father's sister	
2.53	nephew	wau; wiʔya-kˀɨ
2.54	niece	wau; wiʔya-kˀo
2.55	cousin	wiʔya-kˀɨ; wiʔya-kˀo
2.56	ancestors	itˀa pˀaĩ
2.57	descendants	sˀĩ tuʔu
2.61	father-in-law (of a man)	
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	soʔo taita
2.72	stepmother	soʔo mama
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	yɨwihi
2.76	widow	waʔhe-kˀo
2.77	widower	waʔhe-kˀɨ
2.81	relatives, kinsmen	
2.82	family	
2.91	I	yɨʔɨ
2.92	you (singular)	mɨ̃ʔɨ̃
2.93	he/she/it	pˀa-kˀɨ; pˀakˀo; pˀakˀu
2.94	we	
2.941	we (inclusive)	mai
2.942	we (exclusive)	yɨkɨna
2.95	you (plural)	mɨ̃ʔɨ̃-sa-koʔa; mɨ̃sakʷa
2.96	they	pˀakʷa
3.11	animal	waʔ-nã; waʔi
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	[waka]
3.16	pasture	taya
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	[waka]
3.21	bull	
3.22	ox	
3.23	cow	[waka]
3.24	calf	
3.25	sheep	[oveha]
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	kuči
3.36	goat	[čivo]
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	
3.5	fowl	ʔãka
3.52	cock, rooster	kutˀa
3.54	hen	kutˀa
3.55	chicken	kutˀa; pˀɨʔhe kutˀa
3.56	goose	
3.57	duck	pete; pˀete
3.58	nest	sˀiatˀo; tˀoʔtˀotˀo
3.581	bird	pˀiʔã; ka waʔi waʔna
3.582	seagull	
3.583	heron	kʷɨtˀɨ; heʔwa
3.584	eagle	
3.585	hawk	wiwe; kutˀa wiwe
3.586	vulture	pˀɨʔpˀɨtˀi; kˀao
3.591	bat	ʔoyo; pˀaĩ oyo
3.592	parrot	weko
3.593	crow	
3.594	dove	hutˀe; pˀoʔõ hutˀe
3.596	owl	pˀau; kˀukˀu; yuyu kˀukˀu
3.61	dog	hoʔya yai
3.614	rabbit	kuki
3.62	cat	miči
3.622	opossum	ʔɨ̃to sɨ̃ʔsɨ
3.63	mouse, rat	sɨ̃ʔsɨ
3.65	fish	waʔi; sˀiaya waʔi
3.652	fin (dorsal)	
3.653	fishscale	soʔko
3.654	gill	pˀaʔũ
3.655	shell	kˀaʔni; sˀaʔãko
3.661	shark	
3.662	porpoise, dolphin	kʷˀise
3.663	whale	
3.664	stingray	haname
3.665	freshwater eel	
3.71	wolf	yai (?)
3.72	lion	yai; ma yai; emu yai
3.73	bear	
3.74	fox	kopˀe
3.75	deer	yãmã; weko yãmã
3.76	monkey	nãso
3.77	elephant	
3.78	camel	
3.81	insect	
3.811	louse	kˀɨʔɨ̃
3.812	nit (louse egg)	
3.813	flea	sˀĩʔkˀa; sɨ̃kˀɨ; sˀɨ̃ʔkˀɨ
3.814	centipede	
3.815	scorpion	pˀuni
3.816	cockroach	satˀi
3.817	ant	yãta; mẽã
3.818	spider	hɨ̃hɨ̃
3.819	spider web	
3.82	bee	oʔa; pˀaĩ oʔa; wi
3.821	beeswax	mãhã
3.822	beehive	maha-kʷˀɨ
3.823	wasp	uti; wi; hamu uti
3.83	fly	miʔa; miʔa uwatˀa
3.831	sandfly (midge), gnat	mĩʔã
3.832	mosquito	mɨte
3.84	worm	yaʔhi
3.85	snake	e; aya
3.91	firefly	
3.92	butterfly	mumutˀo; pautˀa
3.93	grasshopper	
3.94	snail	čutˀu
3.95	frog	hoho; yai hoho
3.96	lizard	toʔtˀo
3.97	crocodile, alligator	pˀɨʔɨ
3.98	turtle	tatˀi; kˀoɨ; ma kˀoɨ
4.11	body	kˀaʔni; toʔkowɨ; sˀɨkʷˀɨ
4.12	skin, hide	kˀãʔni-wɨ
4.13	flesh	waʔi
4.14	hair (head)	tˀãyã; tˀayapˀa
4.142	beard	sei-wɨ
4.144	body hair	seiwɨ
4.145	pubic hair	
4.146	dandruff	
4.15	blood	sˀie
4.151	vein, artery	sitame; sˀie sitame
4.16	bone	kˀoʔã; kˀuʔã
4.162	rib	kotˀipˀa
4.17	horn	[kaču; kˀaču]
4.18	tail	ʔĩko-yo
4.19	back	kˀɨtˀɨpˀɨ
4.191	spine	
4.2	head	sĩho; sĩhopˀɨ; sˀĩ-hõ
4.201	side of head, temple	
4.202	skull	sĩho
4.203	brain	hopˀɨ
4.204	face	sˀia
4.205	forehead	tɨʔtˀipˀɨ
4.207	jaw	yutikˀu
4.208	cheek	wayo
4.209	chin	
4.21	eye	yãko-ka
4.212	eyebrow	ʔɨo; yãko ɨo
4.213	eyelid	
4.214	eyelash	yãko ʔɨo
4.215	blink	
4.22	ear	kˀãho-tˀo
4.221	earlobe	
4.222	earwax	kˀãho kʷˀɨta
4.23	nose	ũkʷepˀɨ; sɨowɨ
4.231	nostril	sɨwe
4.232	mucus (nasal)	ẽso; sãpˀɨ
4.24	mouth	yiʔo
4.241	beak	kotˀowɨ; ũkʷepˀɨ
4.25	lip	yiʔome
4.26	tongue	sˀemeyo
4.27	tooth	kˀũhi
4.271	gums	
4.272	molartooth	kˀũhi
4.28	neck	yãhẽ; yãhẽ tɨka
4.281	nape of neck	yãhẽ; yãhẽ tɨka; yãhẽ-mo
4.29	throat	
4.3	shoulder	tãta kabˀɨ; tãtawa
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	ɨ̃tɨ; ɨ̃tɨ satˀa
4.312	armpit	koʔtˀetˀa
4.32	elbow	sĩʔki
4.321	wrist	
4.33	hand	ʔɨ̃tɨpˀɨ; kˀã hopˀɨ
4.331	palm of hand	ʔapˀɨ
4.34	finger	mɨoyo
4.342	thumb	
4.344	fingernail	ko-wɨ
4.345	claw	ko-wɨ; ko
4.35	leg	kˀɨ̃so
4.351	thigh	kˀɨ̃so
4.352	calf of leg	
4.36	knee	sĩʔki; sĩʔki-pˀa
4.37	foot	kˀɨõ
4.371	ankle	hɨo pˀeto
4.372	heel	kˀɨõ sɨtˀi seiwɨ
4.374	footprint	
4.38	toe	
4.392	wing	kapˀɨ; tɨʔa
4.393	feather	
4.4	chest	ohepˀɨ; oheyo
4.41	breast (of woman)	čučupˀɨ; ohepˀɨ; oheyo
4.412	nipple, teat	ohewɨ
4.42	udder	
