entry_id	trans_english	Aramaic_Ancient_Phonemic
1.1	world	ʁālmā
1.21	earth, land	ʔarʁā
1.212	earth=ground, soil	ʔarʁā; medrā; [ʔadāmtā]
1.213	dust	ʁaprā
1.214	mud	ṭīnā
1.215	sand	χālā
1.22	mountain, hill	ṭūrā
1.222	cliff, precipice	šḳīpā
1.23	plain, field	mēšrā; špālā
1.24	valley	beḳʁtā; χalltā; ʁumḳā
1.25	island	nagwā; gzirtā
1.26	mainland	yabbeštā
1.27	shore	gēpā; kēpā
1.28	cave	gubbā; mʁartā
1.31	water	mayyā
1.32	sea	yammā
1.322	calm (of sea)	--
1.323	rough (of sea)	rgūšyā
1.324	foam	ḳūpyā
1.329	ocean	yammā rabbā
1.33	lake	yammā
1.34	gulf, bay	ʔu/ednā (dyammā); leššānā (dyammā)
1.341	lagoon	--
1.342	reef	--
1.343	headland, point	--
1.35	wave	gallā
1.352	tide	--
1.353	lowtide	--
1.354	hightide	--
1.36	river, stream, brook	nahrā
1.362	whirlpool	gpīpā [dmayyā]
1.37	spring, well	ʁaynā; mabbūʁā
1.38	swamp	ʔagmā
1.39	waterfall	šepʁā
1.41	woods, forest	χuršā; ʁābā
1.42	tree (cf 08.600)	ʔīlānā
1.43	wood	ʔaʁā
1.44	stone, rock	ʔabnā; kēpā
1.45	earthquake	nawdā; zyāʁā
1.51	sky	šmayyā
1.52	sun	s̄emšā
1.53	moon	sahrā; zihrā
1.54	star	kawkbā
1.55	lightning	barḳā
1.56	thunder	raʁmā
1.57	lightning (as striking)	--
1.58	storm	zīqā
1.59	rainbow	ḳešṭǎ
1.61	light (noun)	nuhrā ̃ nhōrā
1.62	darkness	χeškā
1.63	shade, shadow	ṭlālǟ
1.64	dew	ṭallǟ
1.71	air	[ʔawwīrā; ʔāʔar]
1.72	wind	rūχā
1.73	cloud	ʁnānā
1.74	fog	ʁarplā
1.75	rain (noun)	meṭrā
1.76	snow (noun)	talgā
1.77	ice	glīdā
1.78	weather	--
1.81	fire	nūrā
1.82	flame (noun)	delḳā; lahbā; šalhebïtā
1.83	smoke (noun)	tennānā ̃ tannənā
1.84	ashes	ḳeṭmā
1.841	embers	šïχōrā; gmūrtā
1.851	burn (vb trans)	yḳad; χrak; ḳlā
1.852	burn (vb intrans)	ʔetḳallï
1.86	light, kindle, ignite	yḳad
1.861	extinguish	kwā
1.87	match (noun)	--
