entry_id	trans_english	Ignaciano_Phonemic
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	kahe
14.73	year	[aɲu]; ['aɲu]pa
14.74	winter	
14.75	spring	
14.76	summer	
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	-hiuka; -hiukaʔaka
15.212	sniff	
15.22	smell (vb trans)	-hiuka; -hiukaʔaka
15.25	fragrant, good smelling	-'ihiyewa; 'tihiyeča
15.26	stinking, bad smelling	ti-heče; 'tihane
15.31	taste	
15.35	sweet	'titiwe
15.36	salty	
15.37	bitter	tisukare
15.38	acid, sour	tikac̷i
15.39	brackish	
15.41	hear	-sama
15.42	listen	-sama; -sama-rairika
15.44	sound, noise	taʔu
15.45	loud	
15.46	quiet, silence	timatina
15.51	see	-'imaʔa
15.52	look, look at	-'imaʔa
15.55	show	-'imeča; -'imereka
15.56	shine	-hanunuka; -hanunukawa
15.57	bright	
15.61	color	'taimaʔi
15.62	light (in color)	
15.63	dark (in color)	
15.64	white	tihapu
15.65	black	tikisa
15.66	red	tic̷i
15.67	blue	kawararu; 'hanarame
15.68	green	were
15.69	yellow	tiyakaka; enaʔame
15.71	touch	-'emamaka; -kumaʔa
15.712	pinch	-c̷ematuka
15.72	feel	-sama
15.74	hard	'čakeru; ičakeru
15.75	soft	tihimuya; timahu
15.76	rough	'sesuki; 'sesume
15.77	smooth	timahu
15.78	sharp	tikasiriʔi
15.79	blunt, dull	
15.81	heavy	tihitakare
15.82	light (in weight)	
15.83	wet, damp	-nanahi
15.84	dry	-'ahihika; -'ahaʔa
15.85	hot	'tihuruʔi
15.851	warm	'tihure; 'tihurarama
15.86	cold	tikasaraʔi
15.87	clean	-'epačinača; -'ahaʔa
15.88	dirty, soiled	tičipeʔa; 'maeperahi
15.89	wrinkled	
16.11	soul, spirit	-'ačanewa
16.15	surprised, astonished	
16.18	good fortune, luck	
16.19	misfortune, bad luck	ehere
16.23	joyful, glad, happy	ti'urisamure
16.25	laugh	-'ekawa
16.251	smile	-'ekawawa'mira
16.26	play	-kawiharu; -'uc̷eru
16.27	love	-'e-muna-ka; -waraʔa; -muna
16.29	kiss	-'ec̷erareka
16.3	embrace	
16.31	pain	tikati; -'atahiwa
16.32	grief, sorrow, sadness	-kahapanurawa
16.33	anxiety, worry	
16.34	regret, be sorry	-katiekeneʔa
16.35	pity	-ʔačanesamure
16.37	cry, weep	-'iyaʔa
16.38	tear (noun)	-c̷era
16.39	groan	-'umitiča
16.41	hate	-katianaka; -katiča
16.42	anger	-semawa
16.44	envy, jealousy	'tetearaʔi
16.45	shame (noun)	'mapikaurairaʔa
16.48	proud	-kasiɲawawaika
16.51	dare	
16.52	brave	tume; 'tumesa'rera
16.53	fear, fright	'tiɲeʔiča; -pika
16.54	danger	tipikakare; 'tiɲeʔi
16.62	desire, want	-hamurača
16.622	choose	-nerehika
16.63	hope	
16.65	faithful	'ti'tauraʔi
16.66	true	'taitaurewakeneʔi
16.67	lie, tell lies	-'epiyara; -wayuaka
16.68	deceit	
16.69	forgive	-[perdonača]
16.71	good	tiuri; -uri
16.72	bad	'wainarahikene
16.73	right, correct	tatupiru
16.74	wrong	
16.76	fault	-tapirawa
16.77	mistake, error	
16.78	blame	
16.79	praise	
16.81	beautiful	ti'urina
16.82	ugly	'tiɲemaʔi
16.83	greedy	
16.84	clever	-'itupahihiakawa
17.11	mind	
17.13	think (= reflect)	-panereka
17.14	think (= be of the opinion)	
17.15	believe	-suapa
17.16	understand	-kaikutiara
17.17	know	-'imati; -eča; -'imatiaka
17.171	guess	-harauki; -'emeteaka
17.172	imitate	-'ikuti'emača
17.18	seem	
17.19	idea, notion	-panereru
17.21	wise	
17.22	foolish, stupid	apačararaema
17.23	insane, crazy	'mauriši
17.24	learn	-karawaʔu
17.242	study	-karawaʔu
17.25	teach	-'imituka
17.26	pupil	[eskwele]-ru
17.27	teacher	
17.28	school	
17.31	remember	-'ečawa; -'ečapa
17.32	forget	-'emitisika
17.34	clear, plain	tihararaka
17.35	obscure	
17.36	secret	-'aɲaurewa
17.37	sure, certain	
17.38	explain	
17.41	intention, purpose	
17.42	cause	
17.43	doubt	waʔi -'e'meteaka
17.44	suspect	
17.441	betray	
17.45	need, necessity	-kamunu
17.46	easy	'maeherare
17.47	difficult	tikahera
17.48	try, attempt	-'ic̷amareka
17.49	way, manner	
17.51	and	
17.52	because	apaesa; pasa; taiča
17.53	if	te
17.54	or	
17.55	yes, affirmative	ti'uri; heʔe; ha'ʔa; ʔmm
17.56	no, negative	waʔi; wai; -hina
17.61	how?	
17.62	how many?	
17.63	how much?	'ayana
17.64	what?	'tahaʔa
17.65	when?	'tahamuʔu
17.66	where?	'tawiʔa; 'tawiʔapuka
17.67	which?	ayeta; 'tahaʔa
17.68	who?	'nahaʔa
17.69	why?	
18.11	voice	-aʔu
18.12	sing	-hira
18.13	shout, cry out	-piaraka
18.15	whisper	
18.16	mumble	
18.17	whistle	-'isisika
18.18	shriek, screech	
18.19	howl	
18.21	speak, talk	-'ečahika; -'ečehika
18.211	stutter, stammer	
18.22	say	-kaʔe; -'iča; -metaka
18.221	tell story	-tupača; -tupareka
18.222	speech (make a)	
18.23	silent (be)	-matina
18.24	language	-'ečahiriruwa
18.26	word	'ečahirirukawa
18.28	name	-'ihare; -'iharu
18.31	ask (question, inquire)	-yasereka
18.32	answer	-'anarača; -hikapa
18.33	admit, confess	-'imati
18.34	deny	
18.35	ask, request	-yaseaka
18.36	promise	
18.37	refuse	
18.38	forbid	
18.39	rebuke, scold	
18.41	call (=summon)	-'ičuʔa
18.42	call (=name)	-'i'mihareča
18.43	announce	-metatararaka
18.44	threaten	
18.45	boast	
18.51	write	-'ahuča; -'ahureka
18.52	read	-'imamereka
18.56	paper	ahumeruka
18.57	pen	
18.61	book	
18.67	poet	
18.71	flute	siwiwire
18.72	drum	[tampura]
18.73	horn, trumpet	
18.74	rattle	-wiri
19.11	country	-'awapairu; -'awasa
19.12	one's native country	
19.15	city, town	ičape awasare
19.16	village	awasare; -'awasa
19.17	boundary	
19.21	people (populace)	ačaneana
19.23	tribe, clan	
19.24	chief, chieftain	akenuka; -'a'kenumuri
19.25	staff, walking stick	-c̷ukurupa; yupairiki
19.31	rule, govern	-waneka
19.32	king, ruler	akenuka
19.33	queen	
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	-'akenu; ema tikayeʔe
19.42	slave	-hireča; -kahire
19.43	servant	-waneru; -wanara
19.44	freeman	
19.45	command, order	-waneka; -kawanairipi
19.46	obey	-suapa
19.47	let, permit	-'isapa
19.51	friend, companion	-'emunakasare
19.52	enemy	
19.54	neighbor	-parapeana; -čamuri
19.55	stranger	apawasahueku
19.56	guest	-čimaraka
19.57	host	
19.58	help, aid	-'imikataka
19.59	hinder, prevent	
19.61	custom	
19.62	strife, quarrel	
19.63	conspiracy, plot	
19.65	meet	
19.72	prostitute	
20.11	fight (vb)	-'eʔakaka; -'eʔarareka
20.13	war, battle	
20.14	peace	
20.15	army	
20.17	soldier	
20.21	weapons, arms	
20.22	club	-'epučiriki
20.222	battle-ax	
20.23	sling	sirinka
20.24	bow	-'ec̷iparaku ~ ic̷iparaku
20.25	arrow	takirikire
20.26	spear	-'ečuʔi
20.27	sword	
20.28	gun, cannon	
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	
20.44	defend	-katiuča
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	-'unaka
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	'tenikaraʔi
20.52	fishhook	enirawe
20.53	fishing line	
20.54	fishnet	-yutaʔe
20.55	fish trap	
20.56	bait	sewa
20.61	hunt	-pairirika
20.62	shoot	-yuka; -yureka
20.63	miss (target)	
20.64	trap (noun)	uwereku; -'iwereku
20.65	trap (vb)	
21.11	law	
21.15	court	
21.16	judge (vb)	
21.17	judgment	ekuɲaraki
21.18	judge (noun)	[hues]
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	[-hurača]
21.25	oath	
21.31	accuse	-metauča; -'eteaka
21.32	condemn	-kaekaʔi
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	matapirawa; matapiraware
21.37	penalty, punishment	-'ikuɲa; -'emečaraʔi
21.38	fine	
21.39	prison, jail	
21.42	murder	
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	-'ameča; -'amereka
21.52	thief	-'ameraʔi
22.11	religion	-'awakure
22.12	God	
22.13	temple, church	[ilesia]
22.14	altar	[altare ~ antare]
22.15	sacrifice, offering	-'iharakasiru
22.16	worship	
22.17	pray	-yaseučawa; -kaiture
22.18	priest	[paʔi]
22.19	holy, sacred	
22.22	preach	-kametarairu
22.23	bless	
22.24	curse	-'ewahiriaka
22.26	fast (vb)	[-ayuna]ča
22.31	heaven	
22.32	hell	
22.35	demon (evil spirit)	'ereana
22.37	idol	
22.42	magic, witchcraft, sorcery	-naka eta itirihi
22.43	sorcerer, witch	i'apemare
22.44	fairy, elf	
22.45	ghost, phantom	kunare
22.47	omen, portent	
