entry_id	trans_english	Ignaciano_Phonemic
3.821	beeswax	'mapa-hi
3.822	beehive	-mapa-pena; mapa
3.823	wasp	hane
3.83	fly	čuʔe; hiki
3.831	sandfly (midge), gnat	pac̷irisi
3.832	mosquito	čupi
3.84	worm	učepi
3.85	snake	epačepare; pačepare
3.91	firefly	
3.92	butterfly	sipačača
3.93	grasshopper	
3.94	snail	kiya
3.95	frog	čiriri; asame
3.96	lizard	semu; 'wekuaki
3.97	crocodile, alligator	mera-mera
3.98	turtle	sipu; samaya
4.11	body	-'akeʔe
4.12	skin, hide	-'umama; paruma
4.13	flesh	-eče
4.14	hair (head)	-čuti-maka
4.142	beard	-mama
4.144	body hair	-i-hiyaʔa
4.145	pubic hair	
4.146	dandruff	-mahasi
4.15	blood	iti; -'iti-ne
4.151	vein, artery	
4.16	bone	yape; hiape
4.162	rib	-hirumane
4.17	horn	tahiʔu
4.18	tail	'taihiki
4.19	back	-keku; -čepa
4.191	spine	-mic̷uki
4.2	head	-čuti
4.201	side of head, temple	
4.202	skull	čutire; -'aperasi
4.203	brain	-yawasi; -kuyarasi
4.204	face	-mira
4.205	forehead	-naʔu
4.207	jaw	-pani
4.208	cheek	-puku; -c̷unumira
4.209	chin	
4.21	eye	-'ukiʔa
4.212	eyebrow	-čaʔu
4.213	eyelid	-'ukiharame
4.214	eyelash	-mac̷i
4.215	blink	-'umac̷i-ka
4.22	ear	-čaka
4.221	earlobe	
4.222	earwax	
4.23	nose	-siri
4.231	nostril	
4.232	mucus (nasal)	-mučuhi
4.24	mouth	-haka
4.241	beak	
4.25	lip	-čeya
4.26	tongue	-nene
4.27	tooth	-aʔe
4.271	gums	-'aʔerepi
4.272	molartooth	-'esawakiaʔe
4.28	neck	-pikenu
4.281	nape of neck	-pikenu
4.29	throat	-'erena; -hirikarapi
4.3	shoulder	-hiʔu
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	-pawaki
4.312	armpit	-sikeku
4.32	elbow	-c̷uc̷u
4.321	wrist	-pisikiwaʔu
4.33	hand	-waʔu
4.331	palm of hand	
4.34	finger	-wauki
4.342	thumb	
4.344	fingernail	-hipaɲa
4.345	claw	
4.35	leg	-paike
4.351	thigh	-paʔe
4.352	calf of leg	
4.36	knee	-puyu
4.37	foot	-'i-wape
4.371	ankle	-piki
4.372	heel	
4.374	footprint	-'iwa'paekene
4.38	toe	-'iwaki
4.392	wing	tapawa
4.393	feather	tahiyaʔa
4.4	chest	-tupa
4.41	breast (of woman)	
4.412	nipple, teat	-čene
4.42	udder	ta-čene-hi
4.43	navel	-tuyu; -tuyu-rupi
4.44	heart	-samure
4.441	lung	-haha
4.45	liver	-'upana
4.451	kidney	
4.452	spleen	
4.46	stomach	-ami
4.461	intestines, guts	-turupi
4.462	waist	-ɲaʔe
4.463	hip	-ɲaʔe
4.464	buttocks	-ʔiwu; taɲaʔe
4.47	womb	-huʔe; -ami
4.49	testicle	'takima
4.492	penis	-yaki
4.51	breathe, breath	-'amiča; -tumewa
4.52	yawn, gape	-'ahahairiʔi
4.521	hiccough	-sutusira
4.53	cough	-'unukawa
4.54	sneeze	-'ac̷ic̷aka
4.55	perspire	-'epac̷uka
4.56	spit	-'atuture; -'atutu'ika
4.57	vomit	-'aʔika; 'aʔiruʔa
4.58	bite	-nihuraka; -nika
4.59	lick	-'ahahaka
4.591	dribble	-karapaha
4.61	sleep	-'imaka
4.612	snore	-kačarana
4.62	dream	-kawapure
