entry_id	trans_english	Seri_Phonemic
1.1	world	ʔant
1.21	earth, land	ʔant
1.212	earth=ground, soil	ʔant, ʔamt
1.213	dust	'xoænæ
1.214	mud	
1.215	sand	ʔamt k-ōχp
1.22	mountain, hill	ʔast; 'ʔoinax
1.222	cliff, precipice	k-ōšax; ʔast īšk < ʔast i-ašk
1.23	plain, field	
1.24	valley	ʔast kiʔ 'ikot
1.25	island	ʔant 'χæpæ 'imak kīx
1.26	mainland	ʔan't-ākox
1.27	shore	'χæpæ i-'tǣɬ
1.28	cave	šāx
1.31	water	ʔaχ
1.32	sea	'χæpæ
1.322	calm (of sea)	-ōχp
1.323	rough (of sea)	-'ʔopatx
1.324	foam	ʔa'tasim
1.329	ocean	'χæpæ
1.33	lake	ʔaχ 'k-ākox
1.34	gulf, bay	i'nōʔkʷ
1.341	lagoon	
1.342	reef	χatx
1.343	headland, point	ʔant 'iyat
1.35	wave	'ʔopatx
1.352	tide	
1.353	lowtide	'ʔaχox 'kʷkōtix
1.354	hightide	'χæpæ 'k-pokatox
1.36	river, stream, brook	'ʔasox; ʔant īpšχ
1.362	whirlpool	'χæpæ toī k-pot
1.37	spring, well	ʔant 'ipot ʔaχ
1.38	swamp	ʔant k-o-'nopix
1.39	waterfall	
1.41	woods, forest	
1.42	tree (cf 08.600)	'ʔæʔæ ʔant 'k-iti
1.43	wood	'ʔæʔæ
1.44	stone, rock	ʔast
1.45	earthquake	ʔant i'siīxim; ʔant yakʷš
1.51	sky	ʔa'mīmæ
1.52	sun	šāʔ
1.53	moon	'īšaχ
1.54	star	'ašox
1.55	lightning	'æamxʷ
1.56	thunder	īnx
1.57	lightning (as striking)	i'šāʔoχ i'noΦtx; šāʔ i-'tæmsax
1.58	storm	ʔant 'kipoχ
1.59	rainbow	χta'mapkʷ
1.61	light (noun)	i'šāʔoχ
1.62	darkness	i'ʔamok
1.63	shade, shadow	ʔa'kǣši
1.64	dew	'χǣɬæ ʔant k-oit
1.71	air	ʔai
1.72	wind	ʔai
1.73	cloud	'ʔokaχ; 'ʔokaɬa
1.74	fog	'χǣɬæ
1.75	rain (noun)	'īpka
1.76	snow (noun)	--
1.77	ice	ʔaχ i'χapš
1.78	weather	
1.81	fire	ʔa'mak
1.82	flame (noun)	ʔa'mak 'īnox
1.83	smoke (noun)	ʔam'kāχat
1.84	ashes	ʔant 'imak
1.841	embers	tal
