entry_id	trans_english	Movima_Phonemic
1.1	world	[mundo]
1.21	earth, land	
1.212	earth=ground, soil	ɬakam̉-ɓa
1.213	dust	βus-kʷa
1.214	mud	ɓuɓun̉-kʷa
1.215	sand	wiʔwis
1.22	mountain, hill	ɗuɗuʔ-kʷa
1.222	cliff, precipice	ɬaβaɬ-kʷa
1.23	plain, field	ɓen̉-ʔi
1.24	valley	--
1.25	island	pai-ɬim
1.26	mainland	--
1.27	shore	ɓih-ra
1.28	cave	siɬ-kʷa
1.31	water	tomi
1.32	sea	--
1.322	calm (of sea)	tah-poh
1.323	rough (of sea)	
1.324	foam	taβa-kʷa
1.329	ocean	--
1.33	lake	pou-lo
1.34	gulf, bay	wala-čo
1.341	lagoon	
1.342	reef	--
1.343	headland, point	
1.35	wave	papau-ɬa
1.352	tide	
1.353	lowtide	osni-wanas
1.354	hightide	
1.36	river, stream, brook	in̉-wa
1.362	whirlpool	
1.37	spring, well	lu-βe
1.38	swamp	ɓeteɬ-kʷa
1.39	waterfall	--
1.41	woods, forest	čaʔ-mo
1.42	tree (cf 08.600)	koʔo
1.43	wood	koʔo
1.44	stone, rock	čam-pa
1.45	earthquake	
1.51	sky	ɓen̉-ra
1.52	sun	tinno
1.53	moon	yeh-čo
1.54	star	ɗiɗin-kʷa
1.55	lightning	yam-pa
1.56	thunder	wurul-čeɬ
1.57	lightning (as striking)	tapel-čeɬ
1.58	storm	luʔ-waʔa
1.59	rainbow	koʔo-čaʔa
1.61	light (noun)	hel-ra
1.62	darkness	payaʔ-ni
1.63	shade, shadow	laɓa-yas
1.64	dew	ɓeɬ-lo
1.71	air	--
1.72	wind	pou-muh
1.73	cloud	ɓe-yas
1.74	fog	βu-ɓuh-ni
1.75	rain (noun)	luʔluʔu
1.76	snow (noun)	--
1.77	ice	--
1.78	weather	--
1.81	fire	βeʔe
1.82	flame (noun)	βeʔe
1.83	smoke (noun)	ɓuh-ru
1.84	ashes	βeʔe-βus
1.841	embers	ɗe-la-kʷa
1.851	burn (vb trans)	is-na
1.852	burn (vb intrans)	ta-leles
1.86	light, kindle, ignite	ɓa-ta-les
1.861	extinguish	ros-na
1.87	match (noun)	pah-wela
1.88	firewood	koʔo
1.89	charcoal	ɗe-la-kʷa
2.1	person, human being	huye-ni
2.21	man (vs. woman)	iti-la-kʷa
2.22	woman	kʷeya
2.23	male	
2.24	female	
2.25	boy	ɗiči-ye
2.251	young man (adolescent)	oβeni-wankʷa
2.26	girl	ɗiči-ye
2.261	young woman (adolescent)	tol-kosya
2.27	child	ɗiči-ye
2.28	infant, baby	tami-ɓa
2.31	husband	al-wah
2.32	wife	al-wah
2.33	marry	na-ye
2.34	marriage, wedding	na-ye-wanas
2.341	divorce	--
2.35	father	paʔa
2.36	mother	maʔa
2.37	parents	ɓihaha-wa
2.38	married man	na-ye-wanne
2.39	married woman	na-ye-wanne
2.41	son	mah-ni
2.42	daughter	mah-ni
2.43	offspring (son or daughter)	mah-ni
2.44	brother	al-lakʷa
2.444	older brother	a-kai
2.445	younger brother	a-na
2.45	sister	al-kʷeya
2.454	older sister	a-kai
2.455	younger sister	a-na
2.456	sibling	al-len
2.458	twins	
2.46	grandfather	nonoʔo
2.461	old man	ɓitoʔo
2.47	grandmother	nonoʔo
2.471	old woman	ɓitoʔo
2.48	grandson	ona-čo
2.49	granddaughter	ona-čo
2.51	uncle	yayaʔa
2.511	mother's brother	yayaʔa
2.512	father's brother	yayaʔa
2.52	aunt	aiku
2.521	mother's sister	aiku
2.522	father's sister	aiku
2.53	nephew	yani-kai
2.54	niece	yani-kai
2.55	cousin	--
2.56	ancestors	hei-ɬe
2.57	descendants	mah-ni
2.61	father-in-law (of a man)	ul-čaɬ
2.611	father-in-law (of a woman)	ul-čaɬ
2.62	mother-in-law (of a man)	ul-čaɬ
2.621	mother-in-law (of a woman)	ul-čaɬ
2.63	son-in-law (of a man)	ul-čaɬ
2.631	son-in-law (of a woman)	ul-čaɬ
2.64	daughter-in-law (of a man)	ul-čaɬ
2.641	daughter-in-law (of a woman)	ul-�aɬ
2.71	stepfather	--
2.72	stepmother	--
2.73	stepson	--
2.74	stepdaughter	--
2.75	orphan	ɓata-yah
2.76	widow	kaini-ɓeɬ
2.77	widower	kaini-ɓeɬ
2.81	relatives, kinsmen	al-kaka-ye
2.82	family	--
2.91	I	inɬa
2.92	you (singular)	ul-kʷan̉
2.93	he/she/it	us-ko; is-ne; as-ko
2.94	we	--
2.941	we (inclusive)	i-ɗe
2.942	we (exclusive)	iʔ-ɬi
2.95	you (plural)	i-ɓi
2.96	they	is-ko
3.11	animal	popoi-kʷa
3.12	male (adj)	--
3.13	female (adj)	--
3.15	livestock	nono-wam-poi
3.16	pasture	--
3.18	herdsman	βela-poi-pa
3.19	stable, stall	[kawayo]-wanɗi
3.2	cattle (bovine)	[waka]
3.21	bull	[toro]
3.22	ox	[weye]
3.23	cow	[waka]
3.24	calf	--
3.25	sheep	[masa]
3.26	ram	--
