entry_id	trans_english	Selknam_Phonemic
3.82	bee	
3.821	beeswax	
3.822	beehive	
3.823	wasp	pòhsan
3.83	fly	
3.831	sandfly (midge), gnat	
3.832	mosquito	teʔl
3.84	worm	č-è-apl
3.85	snake	
3.91	firefly	
3.92	butterfly	k-hòlèlʔ; te èṣ
3.93	grasshopper	
3.94	snail	č-è-awitṣ
3.95	frog	
3.96	lizard	ḳˀèlpl
3.97	crocodile, alligator	
3.98	turtle	
4.11	body	čou
4.12	skin, hide	hòl
4.13	flesh	yèpr
4.14	hair (head)	ahle
4.142	beard	ʔahṣ čèx
4.144	body hair	čèx
4.145	pubic hair	
4.146	dandruff	
4.15	blood	wàʔr
4.151	vein, artery	xam
4.16	bone	ḳˀoʔ
4.162	rib	parèn
4.17	horn	hòʔṣ ḳˀoʔ
4.18	tail	ʔoš
4.19	back	hàtèṣḳn
4.191	spine	m-è-ayin
4.2	head	ahle-tˀàʔ
4.201	side of head, temple	ḳˀehl
4.202	skull	ahle k-ʔàlpˀ
4.203	brain	kˀoyeʔri
4.204	face	kˀoš
4.205	forehead	ʔòhsr
4.207	jaw	ʔahšl
4.208	cheek	h-è-onḳˀn
4.209	chin	ṣèḳˀn
4.21	eye	otr
4.212	eyebrow	hemṣḳʔn
4.213	eyelid	hem
4.214	eyelash	ʔòyi čèx
4.215	blink	
4.22	ear	sin
4.221	earlobe	
4.222	earwax	
4.23	nose	ul
4.231	nostril	ul ḳˀèl
4.232	mucus (nasal)	ṣètl
4.24	mouth	k-àṣ-ḳn
4.241	beak	ur
4.25	lip	sim
4.26	tongue	čal
4.27	tooth	hor
4.271	gums	hòrṣḳn
4.272	molartooth	
4.28	neck	òhtˀ
4.281	nape of neck	kˀotiḳn
4.29	throat	ič
4.3	shoulder	kˀòyin
4.301	shoulderblade	tˀeuḳˀ-n
4.302	collarbone	
4.31	arm	ṣel
4.312	armpit	ḳˀòlṣḳn
4.32	elbow	tˀeyštr
4.321	wrist	čin k-pˀax
4.33	hand	čin
4.331	palm of hand	čeyi
4.34	finger	tèr
4.342	thumb	tèr kohrḳa
4.344	fingernail	kˀaw
4.345	claw	
4.35	leg	hali
4.351	thigh	is
4.352	calf of leg	tòhḳˀn
4.36	knee	ḳˀahči
4.37	foot	hal-yeʔn
4.371	ankle	hal-yeʔn k-pˀax
4.372	heel	tˀehr
4.374	footprint	yu
4.38	toe	tèr
4.392	wing	s-è-ètr ḳˀeyin
4.393	feather	s-è-ètr
4.4	chest	ḳˀèytˀ
4.41	breast (of woman)	čètˀen
4.412	nipple, teat	ṣèʔntm
4.42	udder	
4.43	navel	ḳèl
4.44	heart	tol
4.441	lung	xàmi
4.45	liver	ḳàʔyi
4.451	kidney	àʔtˀu
4.452	spleen	xam
4.46	stomach	x-è-ètˀ
4.461	intestines, guts	pˀàni; čòʔwl
4.462	waist	pˀàtiḳn
4.463	hip	kòyn
4.464	buttocks	čohntenn; pˀ-è-àl
4.47	womb	ḳˀòʔy
4.49	testicle	èl
4.492	penis	šèʔ
4.51	breathe, breath	xòxè
4.52	yawn, gape	č-è-àsè
4.521	hiccough	š-è-àkerte
4.53	cough	tane
4.54	sneeze	čòhw w-ye
4.55	perspire	pèotxe
4.56	spit	pèotˀè
4.57	vomit	kòri-čè
4.58	bite	so
4.59	lick	ʔàxetˀe
4.591	dribble	welxè
4.61	sleep	miṣteʔ
4.612	snore	ul yer
4.62	dream	ṣ-kˀohr
4.63	wake up	kˀohčè
4.64	break wind	xòʔ
4.65	urinate	ašn
4.66	defecate	ṣàʔ
4.67	have sexual intercourse	košn
4.68	shiver	tˀentèr
4.69	bathe	ʔòčè
4.71	beget (of father)	
4.72	born (to be)	ṣ-arè
