entry_id	trans_english	Araona_Phonemic
1.1	world	ewa; eowa
1.21	earth, land	ewa; eowa
1.212	earth=ground, soil	mezizo
1.213	dust	poc̷ac̷a-i
1.214	mud	a-bela-bela
1.215	sand	mezizo
1.22	mountain, hill	ewašokʷe
1.222	cliff, precipice	pilika
1.23	plain, field	zei; paša
1.24	valley	
1.25	island	piwiwineti
1.26	mainland	
1.27	shore	patatahapo
1.28	cave	talale; lala
1.31	water	e-na; eowi
1.32	sea	c̷eiɲena
1.322	calm (of sea)	
1.323	rough (of sea)	c̷oma
1.324	foam	moba
1.329	ocean	
1.33	lake	bai
1.34	gulf, bay	
1.341	lagoon	wac̷a
1.342	reef	
1.343	headland, point	
1.35	wave	
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	šašo-kʷe; mano
1.362	whirlpool	
1.37	spring, well	sipia
1.38	swamp	waza-waza
1.39	waterfall	
1.41	woods, forest	eiye
1.42	tree (cf 08.600)	akʷi
1.43	wood	amaha
1.44	stone, rock	mahana
1.45	earthquake	
1.51	sky	baepa
1.52	sun	zeti
1.53	moon	badi
1.54	star	
1.55	lightning	popa
1.56	thunder	tili-tili
1.57	lightning (as striking)	popa
1.58	storm	
1.59	rainbow	walibao
1.61	light (noun)	ode
1.62	darkness	a-apo; hamomoneti
1.63	shade, shadow	zeti šama
1.64	dew	šalada
1.71	air	
1.72	wind	beni
1.73	cloud	boso; mozizi-bade
1.74	fog	baepa mozizi
1.75	rain (noun)	nai
1.76	snow (noun)	--
1.77	ice	
1.78	weather	mala
1.81	fire	kʷa-ti
1.82	flame (noun)	aweo
1.83	smoke (noun)	hodo
1.84	ashes	timo
1.841	embers	tezi
1.851	burn (vb trans)	oc̷o; oc̷o-a
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	weta
1.861	extinguish	sami; šenono
1.87	match (noun)	[fosforo]
1.88	firewood	kʷa-ti
1.89	charcoal	tezi
2.1	person, human being	e-kʷiča; c̷edapo
2.21	man (vs. woman)	dea
2.22	woman	pona; mama
2.23	male	dea; hoho
2.24	female	pona
2.25	boy	tadada, tolo
2.251	young man (adolescent)	waezakʷa; šakʷa
2.26	girl	bakʷe-pona
2.261	young woman (adolescent)	noehaha
2.27	child	'bakʷa
2.28	infant, baby	bakʷa; ezoe
2.31	husband	e-awe
2.32	wife	wane; mama
2.33	marry	wane-i
2.34	marriage, wedding	
2.341	divorce	
2.35	father	kʷiča-po; tadi
2.36	mother	kʷala; wadi
2.37	parents	
2.38	married man	wane-i
2.39	married woman	
2.41	son	bakʷe-dea; todi
2.42	daughter	anodi; bakʷa
2.43	offspring (son or daughter)	
2.44	brother	zao
2.444	older brother	mama, no
2.445	younger brother	mama-zao; no-lipi
2.45	sister	dodo
2.454	older sister	dodo
2.455	younger sister	e-doe; zana
2.456	sibling	
2.458	twins	pele-i
2.46	grandfather	baba-šodi
2.461	old man	esi; poisa
2.47	grandmother	ano
2.471	old woman	ano
2.48	grandson	oc̷e
2.49	granddaughter	oc̷e
2.51	uncle	
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	wawa; nene
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	
2.54	niece	wawa
2.55	cousin	wawa
2.56	ancestors	
2.57	descendants	šipa podeatipokana
2.61	father-in-law (of a man)	
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	kʷala-doe
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	
2.72	stepmother	kʷala-doe
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	
2.76	widow	awe mawe; ho pewe
2.77	widower	wane mawe
2.81	relatives, kinsmen	doe-mec̷e
2.82	family	
2.91	I	ema; yama
2.92	you (singular)	mi; mi-ǰa; mi-ǰa-ha
2.93	he/she/it	da; hoda; homa; oho
2.94	we	kʷada
2.941	we (inclusive)	kʷada; kʷada-ha
2.942	we (exclusive)	kʷama; kʷama-ha
2.95	you (plural)	mikana; mikana-ha
2.96	they	kana; naeda
3.11	animal	
3.12	male (adj)	dea
3.13	female (adj)	pona
3.15	livestock	
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	
3.23	cow	[waka]
3.24	calf	
3.25	sheep	
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	koc̷i
3.36	goat	[čiba]
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	
3.5	fowl	
3.52	cock, rooster	walipa
3.54	hen	walipa
3.55	chicken	walipa
3.56	goose	
3.57	duck	hohe
3.58	nest	hahi
3.581	bird	boni
3.582	seagull	
3.583	heron	babasata; lao
3.584	eagle	
3.585	hawk	tawata
3.586	vulture	hamani; šoatai
3.591	bat	biɲa
3.592	parrot	holakʷa; pawi-pawi
3.593	crow	
3.594	dove	wai; wodoho
3.596	owl	popo; leo
3.61	dog	nio
3.614	rabbit	
3.62	cat	misi
3.622	opossum	
3.63	mouse, rat	hike; bakʷe hike
3.65	fish	hae
3.652	fin (dorsal)	wahei
3.653	fishscale	
3.654	gill	tamo
3.655	shell	bewe
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	babi
3.665	freshwater eel	ešoli
3.71	wolf	
3.72	lion	zoto selena
3.73	bear	
3.74	fox	c̷amao
3.75	deer	dokʷe-i; šaha
3.76	monkey	
3.77	elephant	--
3.78	camel	--
3.81	insect	
3.811	louse	iɲakʷa
3.812	nit (louse egg)	
3.813	flea	
3.814	centipede	bakʷa-piɲoli
3.815	scorpion	ahi
3.816	cockroach	boatiki; zomama
3.817	ant	bototo; loso
3.818	spider	kaleši
3.819	spider web	lewa-lewa-i
3.82	bee	a-ize
3.821	beeswax	wiɲi
3.822	beehive	
3.823	wasp	bia
3.83	fly	wele-wele-i
3.831	sandfly (midge), gnat	c̷ani; pehihi
3.832	mosquito	dihi
3.84	worm	hoto; c̷ena
3.85	snake	ba'kʷa
3.91	firefly	kʷiɲa-hola-hola-i; kʷiɲa-boze
3.92	butterfly	hababa-i; hapo-i
3.93	grasshopper	c̷a-i; c̷ekele
3.94	snail	zemo
3.95	frog	ano-bololo
3.96	lizard	banakʷa; pisoso
3.97	crocodile, alligator	matoa
3.98	turtle	dati
4.11	body	kʷiča
4.12	skin, hide	biki
4.13	flesh	emi
4.14	hair (head)	šoa-iɲa
4.142	beard	kʷesa
4.144	body hair	noho-noho
4.145	pubic hair	
4.146	dandruff	
4.15	blood	ami
4.151	vein, artery	haona
4.16	bone	e-c̷oa
4.162	rib	pe-ac̷a
4.17	horn	dana
4.18	tail	siča
4.19	back	be-bakʷa; be-sese
4.191	spine	besese; pihono
4.2	head	e-šoa
4.201	side of head, temple	
4.202	skull	
4.203	brain	doboso
4.204	face	e-bo
