entry_id	trans_english	Gününa_Küne_Phonemic
1.1	world	atek
1.21	earth, land	atek
1.212	earth=ground, soil	
1.213	dust	gap-gap; xɨyɨm
1.214	mud	čɨgaxa
1.215	sand	c̷ˀɨxɨy
1.22	mountain, hill	atek
1.222	cliff, precipice	ayawk
1.23	plain, field	čamɨl
1.24	valley	kac̷ˀac̷; kapkya (?)
1.25	island	tagčɨn; 'tagɨčɨn (?)
1.26	mainland	
1.27	shore	c̷ˀagɨč; c̷ˀɨwac̷ (?)
1.28	cave	awgɨk
1.31	water	yagɨp
1.32	sea	kɨlɨla
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	sɨpɨt-pɨt
1.329	ocean	kɨlɨla
1.33	lake	ɨyiken
1.34	gulf, bay	
1.341	lagoon	ɨyiken
1.342	reef	
1.343	headland, point	
1.35	wave	
1.352	tide	
1.353	lowtide	ɨsc̷alma
1.354	hightide	
1.36	river, stream, brook	aɬkac̷
1.362	whirlpool	
1.37	spring, well	aptiač; awc̷ayɨk
1.38	swamp	čɨgaxa
1.39	waterfall	awc̷ayɨk
1.41	woods, forest	ɨpuk
1.42	tree (cf 08.600)	ɨpuk
1.43	wood	ɨpuk
1.44	stone, rock	c̷uyi
1.45	earthquake	
1.51	sky	awxɨ
1.52	sun	amaxa
1.53	moon	apyuxuk
1.54	star	c̷ˀakalɨl
1.55	lightning	ananɨgɨnɨtɨn (?)
1.56	thunder	axasčɨk; gastřɨk (?)
1.57	lightning (as striking)	ananɨgɨnɨ-tɨn
1.58	storm	yatɨṣɨ
1.59	rainbow	yakak
1.61	light (noun)	kɨna-kɬa-xamal
1.62	darkness	tɨm-tɨm
1.63	shade, shadow	sɨkɨl
1.64	dew	
1.71	air	ɨ'yey
1.72	wind	ɨyeyɨ; ɨ'yey
1.73	cloud	sagɨt
1.74	fog	maṣc̷ɨn
1.75	rain (noun)	sɨnan
1.76	snow (noun)	yaxaw
1.77	ice	kumuwan
1.78	weather	
1.81	fire	axwakɨk
1.82	flame (noun)	
1.83	smoke (noun)	amtɨgɨx
1.84	ashes	tˀap-tˀap
1.841	embers	ɨnɬayɨk
1.851	burn (vb trans)	-wɨlexpɨ
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	-nac̷kɨnɨ
1.861	extinguish	-wuc̷aktɨnɨ
1.87	match (noun)	
1.88	firewood	ɨpuk
1.89	charcoal	
2.1	person, human being	kɨnna
2.21	man (vs. woman)	pasčay
2.22	woman	yamkankɨ
2.23	male	kɨmayɨ (?)
2.24	female	
2.25	boy	agač
2.251	young man (adolescent)	agač
2.26	girl	
2.261	young woman (adolescent)	c̷ɨgan
2.27	child	gɨsčɨx (?)
2.28	infant, baby	
2.31	husband	pasčay
2.32	wife	yamkankɨ; yam'kank
2.33	marry	-xway-wɨnɨ
2.34	marriage, wedding	
2.341	divorce	
2.35	father	yawʔge-xna
2.36	mother	mama
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	agač; kaya kɨnnɨ (?)
2.42	daughter	c̷ɨgan
2.43	offspring (son or daughter)	agač
2.44	brother	ukɨčɨ
2.444	older brother	kasac̷ɨn; kal̥ačɨn (?)
2.445	younger brother	c̷awne-xna
2.45	sister	ugɨpa-c̷ɨm
2.454	older sister	
2.455	younger sister	
2.456	sibling	
2.458	twins	
2.46	grandfather	baya
2.461	old man	saʔčɨ
2.47	grandmother	deʔe
2.471	old woman	yax'mawk
2.48	grandson	pake-xna
2.49	granddaughter	pake-xna-c̷ɨm
2.51	uncle	
2.511	mother's brother	apgɨṣɨ
2.512	father's brother	anamɨn
2.52	aunt	
2.521	mother's sister	apɨṣɨ-c̷ɨm
2.522	father's sister	anamɨn-c̷ɨm
2.53	nephew	gala
2.54	niece	gala-c̷ɨm
2.55	cousin	kɨnɨ; wɨkɨna
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	čaxakɨn
2.611	father-in-law (of a woman)	čaxakɨn
2.62	mother-in-law (of a man)	čaxakɨn-c̷ɨm
2.621	mother-in-law (of a woman)	čaxakɨn-c̷ɨm
2.63	son-in-law (of a man)	yɨna
2.631	son-in-law (of a woman)	yɨna
2.64	daughter-in-law (of a man)	yɨc̷akṣa
2.641	daughter-in-law (of a woman)	yɨc̷akṣa
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	gala
2.76	widow	
2.77	widower	
2.81	relatives, kinsmen	
2.82	family	kɨnnɨ
2.91	I	k-wa
2.92	you (singular)	kɨ-ma-w
2.93	he/she/it	ṣa-ṣa
2.94	we	kɨ-ṣa-n
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	kɨ-ma-n
2.96	they	ṣa-ṣa
3.11	animal	
3.12	male (adj)	kɨmayɨ
3.13	female (adj)	-c̷ɨm
3.15	livestock	axmay
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	axmay
3.21	bull	[toro]
3.22	ox	--
3.23	cow	čˀeʔye
3.24	calf	mexnan; yee
3.25	sheep	[uusa]
3.26	ram	[kanɨsa]
3.28	ewe	[uusa]
3.29	lamb	
3.32	boar	[kuc̷a]
3.34	sow	
3.35	pig	[kuc̷a]
3.36	goat	[kapɨsa]
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	[kawal]
3.42	stallion	c̷ilakadɨk
3.44	mare	[yewɨlnɨc̷]
3.45	foal, colt	geyna
3.46	ass, donkey	--
3.47	mule	--
3.5	fowl	
3.52	cock, rooster	piyawu
3.54	hen	piyawu
3.55	chicken	
3.56	goose	--
3.57	duck	kayawa
3.58	nest	
3.581	bird	c̷ˀɨgɨ
3.582	seagull	kalaxk
3.583	heron	kelxa
3.584	eagle	sɨkc̷al
3.585	hawk	kɨlel
3.586	vulture	xanana; kanana (?)
3.591	bat	
3.592	parrot	yagɨlka
3.593	crow	
3.594	dove	tu'wul-wula
3.596	owl	dak-dak
3.61	dog	dasɨ
3.614	rabbit	yamɨskɨl (?)
3.62	cat	[gatu]
3.622	opossum	alkaka (?)
3.63	mouse, rat	sɨčɨ
3.65	fish	gɨtc̷al
3.652	fin (dorsal)	
3.653	fishscale	
3.654	gill	
3.655	shell	kɨsc̷aw
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	
3.72	lion	xayʔna
3.73	bear	--
3.74	fox	yɨsgay
3.75	deer	ṣɨṣgɨ
3.76	monkey	
3.77	elephant	--
3.78	camel	--
3.81	insect	šahwu (?)
3.811	louse	c̷ˀɨčɨ
3.812	nit (louse egg)	c̷ˀič-aɬu
3.813	flea	tukayɨ
3.814	centipede	
3.815	scorpion	tamɨsga
3.816	cockroach	
3.817	ant	c̷ˀawačɨgɨ
3.818	spider	tɨska
3.819	spider web	
3.82	bee	
3.821	beeswax	
3.822	beehive	
3.823	wasp	
3.83	fly	ṣaxwu
3.831	sandfly (midge), gnat	ṣaxwu
3.832	mosquito	
3.84	worm	kaʔčɨ
3.85	snake	yasc̷a
3.91	firefly	
3.92	butterfly	kululu
3.93	grasshopper	c̷ˀɨtan
