entry_id	trans_english	Aymara_Phonemic
3.813	flea	kˀuti
3.814	centipede	warisana
3.815	scorpion	
3.816	cockroach	
3.817	ant	kˀusiwalʸu
3.818	spider	kusi-kusi
3.819	spider web	lʸika
3.82	bee	wayrunḳu
3.821	beeswax	mapˀa
3.822	beehive	
3.823	wasp	pankataya
3.83	fly	čʰičʰilʸankʰa
3.831	sandfly (midge), gnat	čˀuspi
3.832	mosquito	
3.84	worm	silʸḳˀu
3.85	snake	asiru
3.91	firefly	
3.92	butterfly	pilpintu
3.93	grasshopper	tˀixu-tˀixu
3.94	snail	čˀuru
3.95	frog	kˀayra
3.96	lizard	sutuwalʸu xararankʰu
3.97	crocodile, alligator	[ḳuḳutrilʸu]
3.98	turtle	[turtuka]
4.11	body	xanči
4.12	skin, hide	lipˀiči
4.13	flesh	ayča
4.14	hair (head)	ɲikˀuta
4.142	beard	sunkʰa
4.144	body hair	tˀarwa
4.145	pubic hair	čˀina tˀarwa; alʸu tˀarwa
4.146	dandruff	
4.15	blood	wila
4.151	vein, artery	sirka
4.16	bone	čˀakʰa
4.162	rib	xarapi
4.17	horn	waχra
4.18	tail	wičˀinkʰa
4.19	back	ati
4.191	spine	xikʰani
4.2	head	pˀiḳi
4.201	side of head, temple	
4.202	skull	
4.203	brain	liχwi
4.204	face	axanu
4.205	forehead	para
4.207	jaw	aankʰa
4.208	cheek	[mixilʸa]
4.209	chin	
4.21	eye	nayra
4.212	eyebrow	nayra pʰičʰu
4.213	eyelid	nayra lipˀiči
4.214	eyelash	čˀipʰuḳu
4.215	blink	čˀipʰuḳi-ɲa
4.22	ear	xinču
4.221	earlobe	
4.222	earwax	
4.23	nose	nasa
4.231	nostril	pˀiya
4.232	mucus (nasal)	xurma
4.24	mouth	laka
4.241	beak	suru
4.25	lip	ispilʸu
4.26	tongue	laχra
4.27	tooth	laka čˀakʰa
4.271	gums	
4.272	molartooth	aḳu
4.28	neck	kunka
4.281	nape of neck	ati
4.29	throat	tˀulʸu
4.3	shoulder	kalʸači
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	ampara
4.312	armpit	čʰiḳʰanḳara
4.32	elbow	muxlʸi
4.321	wrist	
4.33	hand	ampara
4.331	palm of hand	ampara tˀaχlʸi
4.34	finger	lukˀana
4.342	thumb	tayka lukˀana
4.344	fingernail	silʸu
4.345	claw	
4.35	leg	čara
4.351	thigh	čara
4.352	calf of leg	tˀusu
4.36	knee	ḳunḳuri
4.37	foot	kayu
4.371	ankle	kayu muḳu
4.372	heel	kayu wintu
4.374	footprint	
4.38	toe	kayu lukˀana
4.392	wing	čʰiḳʰa
4.393	feather	pʰuyu
4.4	chest	ɲuɲu
4.41	breast (of woman)	ɲuɲu
4.412	nipple, teat	ɲuɲu
4.42	udder	ɲuɲu
4.43	navel	kururu
4.44	heart	lʸuḳu
4.441	lung	čuyma
4.45	liver	kˀiwča
4.451	kidney	maymuru
4.452	spleen	xačˀa xankʰara
4.46	stomach	pʰatanka
4.461	intestines, guts	xipʰilʸa
4.462	waist	čˀilʸa
4.463	hip	tʰiχni
4.464	buttocks	čˀina
4.47	womb	xakaɲa
4.49	testicle	ḳˀuruta
4.492	penis	alʸu
4.51	breathe, breath	
4.52	yawn, gape	aysa-ɲa
4.521	hiccough	xikˀu
4.53	cough	čˀuχu-ɲa
4.54	sneeze	xačˀista-ɲa
4.55	perspire	xumpˀi-ɲa
4.56	spit	tʰusa-ɲa
4.57	vomit	waḳˀaḳi-ɲa
4.58	bite	ačuḳa-ɲa
4.59	lick	xalʸḳˀa-ɲa
4.591	dribble	čˀaḳa-ɲa
4.61	sleep	iki-ɲa
4.612	snore	ḳʰurḳʰu-ɲa
4.62	dream	iki
4.63	wake up	sartχa-ɲa
4.64	break wind	sira
4.65	urinate	čʰuχu-ɲa
4.66	defecate	xama-ɲa; yaḳˀa-ɲa
4.67	have sexual intercourse	aniɲa; anisiɲa
4.68	shiver	kʰatʰati-ɲa
4.69	bathe	xarisi-ɲa
4.71	beget (of father)	katu-ɲa
4.72	born (to be)	yuri-ɲa
4.73	pregnant	walʸḳˀi
4.732	conceive	
4.74	live, living, life	xaka-ɲa
4.75	die, dead	xiwata; xiwa-ɲa
4.751	drowned	
4.76	kill	xiwaya-ɲa
4.77	corpse	xiwata; amaya
4.78	bury (the dead)	imanta-ɲa
4.79	grave, tomb	amaya
4.81	strong, mighty, powerful	čˀamani
4.82	weak	lʸaytʰa
4.83	well, health	kˀumara
4.84	sick, sickness	usuta; usu
4.841	fever	čʰuxčʰu
4.842	goiter	ḳˀutu
4.843	cold (catarrh)	
4.85	wound, sore	usučata
4.852	bruise	
4.853	swelling	pˀusu
4.854	itch	xasi
4.855	blister	pukulʸu
4.856	boil (noun)	xinḳˀi
4.857	pus	
4.858	scar	tˀiri
4.86	cure, heal	ḳulʸa-ɲa
4.87	physician	ḳulʸiri
4.88	medicine, drug	ḳulʸa
4.89	poison	ḳulʸa
4.91	tired, weary	ḳarita; ḳari-ɲa
4.912	rest	samara-ɲa
4.92	lazy	xayra
4.93	bald	ḳˀara
4.94	lame	wiχču
4.95	deaf	uḳara
4.96	mute	amutu
4.97	blind	xuykʰu
4.98	intoxicated	umata
4.99	naked, bare	ḳˀalanču
5.11	eat	manḳˀa-ɲa
5.12	food	manḳˀa
5.121	cooked	pʰayata
5.122	raw	čˀuḳi
5.123	ripe	puḳuta
5.124	green, unripe	čˀuχ-ɲa
5.125	rotten	ɲusata
5.13	drink	uma-ɲa
5.14	hunger	manḳˀata awtxaɲa
5.141	famine	
5.15	thirst	umata awtxaaɲa
5.16	suck	čˀamu-ɲa
5.18	chew	kʰistʰu-ɲa
5.181	swallow	malʸχtaya-ɲa
5.19	choke	
5.21	cook	pʰaya-ɲa
5.22	boil (vb)	walʸaḳi-ɲa
5.23	roast, fry	kanka-ɲa; tʰiχi-ɲa
5.24	bake	[xurnu]-ɲa
5.25	oven	[xurnu]
5.26	pot, cooking vessel	pʰukʰu
5.27	kettle	čatu
5.28	pan	[kasirula]
5.31	dish	čuwa
5.32	plate	[platu]
5.33	bowl	
5.34	pitcher, jug	yuru
5.35	cup, drinking vessel	[tasa]
5.36	saucer	
5.37	spoon	wislʸa
5.38	knife	tumi
5.39	fork	
5.391	tongs	[tinasa]
5.41	meal (a)	manḳˀa
5.42	breakfast	manḳˀa
5.43	lunch	manḳˀa
5.44	dinner	manḳˀa
