entry_id	trans_english	Aymara_Phonemic
13.33	alone, only	sapa; sapaki
13.34	first	nayriiri
13.35	last	ḳʰipiiri
13.36	second	payiiri
13.37	pair	paya
13.38	two times	paakuti
13.42	third	kimsiiri
13.44	three times	kimsakuti
14.11	time	-pača
14.12	age	wiɲa
14.13	new	mačaḳa
14.14	young	lʸulʸu
14.15	old	ačači
14.16	early	arumirxa
14.17	late	xaypˀu
14.18	now	xičʰa
14.19	immediately	ančʰičpača
14.21	swift, fast, quick	laḳa
14.22	slow	kˀačata
14.23	hasten, hurry	naakʰi
14.24	retard, delay	ḳʰipʰara-ɲa
14.25	begin, beginning	ḳalʸta-ɲa
14.252	last, endure	
14.26	end (temporal)	tuku
14.27	finish	tuku-ɲa
14.28	cease, stop	saytˀa-ɲa
14.29	ready	
14.31	always	-puni
14.32	often	
14.33	sometimes	
14.331	soon	laḳa
14.332	long-time (for a)	xayapača
14.34	never	
14.35	again	maampi
14.41	day	uru
14.42	night	aruma
14.43	dawn	ḳʰantati
14.44	morning	arumantʰi
14.45	noon, midday	čika uru
14.451	afternoon	xaypˀu
14.46	evening	
14.47	today	xičʰuuru
14.48	tomorrow	arumirxa
14.481	day-after-tomorrow	xurpanmantʰi
14.49	yesterday	wasuru
14.491	day-before-yesterday	waluuru; waruuru
14.51	hour	
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	pʰaχsi
14.73	year	mara
14.74	winter	tʰaapača
14.75	spring	awti
14.76	summer	xalʸupača
14.77	autumn	ḳasiwi
14.78	season	
15.21	smell (vb intrans)	mukʰi-ɲa
15.212	sniff	
15.22	smell (vb trans)	
15.25	fragrant, good smelling	
15.26	stinking, bad smelling	tʰuxsa
15.31	taste	
15.35	sweet	muχsa
15.36	salty	xayukˀara
15.37	bitter	xaχu
15.38	acid, sour	kˀalʸkˀu
15.39	brackish	
15.41	hear	istˀa-ɲa
15.42	listen	istˀa-ɲa; isčˀuki-ɲa
15.44	sound, noise	
15.45	loud	ḳʰuypʰi
15.46	quiet, silence	čˀuxu
15.51	see	uɲxa-ɲa
15.52	look, look at	uɲta-ɲa
15.55	show	uɲačtˀaya-ɲa
15.56	shine	ḳʰana-ɲa
15.57	bright	ḳʰaniri
15.61	color	sami
15.62	light (in color)	ḳʰana
15.63	dark (in color)	čˀamaka
15.64	white	xanḳˀu
15.65	black	čˀiyara
15.66	red	čupika
15.67	blue	larama
15.68	green	čˀuχ-ɲa
15.69	yellow	ḳˀilʸu
15.71	touch	lʸamkʰtˀa-ɲa
15.712	pinch	kˀiči-ɲa
15.72	feel	
15.74	hard	čˀulʸḳʰi; ḳʰulu
15.75	soft	xasa
15.76	rough	čʰankʰa
15.77	smooth	ḳuɲa (?)
15.78	sharp	ari
15.79	blunt, dull	
15.81	heavy	xatʰi
15.82	light (in weight)	pʰisna
15.83	wet, damp	čˀarana
15.84	dry	waɲa
15.85	hot	xuntˀu
15.851	warm	ačʰixu
15.86	cold	tʰaya; alala
15.87	clean	ḳˀuma
15.88	dirty, soiled	ḳˀaɲu
15.89	wrinkled	ḳˀuptʰapita
16.11	soul, spirit	axayu
16.15	surprised, astonished	
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	kusisita
16.25	laugh	laru-ɲa
16.251	smile	laru-ɲa
16.26	play	anata-ɲa
16.27	love	muna-ɲa
16.29	kiss	xampˀati-ɲa
16.3	embrace	walʸḳˀipta-ɲa
16.31	pain	
16.32	grief, sorrow, sadness	lʸaki
16.33	anxiety, worry	
16.34	regret, be sorry	
16.35	pity	kʰuyapaya-ɲa
16.37	cry, weep	xača-ɲa
16.38	tear (noun)	xača
16.39	groan	kˀaɲa-ɲa
16.41	hate	uɲisi-ɲa
16.42	anger	xačxa-ɲa
16.44	envy, jealousy	
16.45	shame (noun)	pˀinḳa
16.48	proud	
16.51	dare	
16.52	brave	
16.53	fear, fright	aχsara-ɲa
16.54	danger	čixi
16.62	desire, want	
16.622	choose	axlʸi-ɲa
16.63	hope	
16.65	faithful	
16.66	true	čiḳa
16.67	lie, tell lies	kˀarisi-ɲa
16.68	deceit	
16.69	forgive	pampača-ɲa
16.71	good	suma
16.72	bad	ḳʰuru
16.73	right, correct	čiḳa
16.74	wrong	
16.76	fault	xuča
16.77	mistake, error	panta-ɲa
16.78	blame	xuča
16.79	praise	
16.81	beautiful	kˀača; xiwaki
16.82	ugly	aχta-ɲa
16.83	greedy	
16.84	clever	čˀikʰi
17.11	mind	amuyu
17.13	think (= reflect)	lupˀi-ɲa
17.14	think (= be of the opinion)	
17.15	believe	
17.16	understand	amuya-ɲa
17.17	know	yati-ɲa
17.171	guess	xamu-ɲa
17.172	imitate	yatχapaya-ɲa
17.18	seem	
17.19	idea, notion	amuyu
17.21	wise	amawtˀa
17.22	foolish, stupid	ipi
17.23	insane, crazy	luḳʰi
17.24	learn	yatiḳa-ɲa
17.242	study	yatχata-ɲa
17.25	teach	yatiča-ɲa
17.26	pupil	yatiḳiri
17.27	teacher	yatičiri
17.28	school	yatiɲuta
17.31	remember	amta-ɲa
17.32	forget	arma-ɲa
17.34	clear, plain	ḳʰana
17.35	obscure	čˀamaka
17.36	secret	imantata
17.37	sure, certain	
17.38	explain	yatičtˀa-ɲa
17.41	intention, purpose	
17.42	cause	
17.43	doubt	
17.44	suspect	amuya-ɲa
17.441	betray	salʸḳxa-ɲa
17.45	need, necessity	
17.46	easy	
17.47	difficult	čˀama
17.48	try, attempt	uɲstaya-ɲa
17.49	way, manner	
17.51	and	-mpi
17.52	because	
17.53	if	
17.54	or	-ča
17.55	yes, affirmative	xiisa
17.56	no, negative	xaniwa
17.61	how?	kumasa
17.62	how many?	ḳawḳʰanaksa
17.63	how much?	ḳawḳʰsa
17.64	what?	kunasa
17.65	when?	kunarsa
17.66	where?	kawkinsa
17.67	which?	kawkisa
17.68	who?	kʰitisa
17.69	why?	kunatsa
18.11	voice	aru
18.12	sing	xaylʸi-ɲa
18.13	shout, cry out	arnaḳa-ɲa
18.15	whisper	xinčuru arχaya-ɲa
18.16	mumble	
18.17	whistle	kʰuyu-ɲa
18.18	shriek, screech	kˀaɲa-ɲa
18.19	howl	[awulʸi]-ɲa
18.21	speak, talk	aru-ɲa; arsu-ɲa
18.211	stutter, stammer	kʰakʰa-ɲa
18.22	say	sa-ɲa
18.221	tell story	xawari-ɲa
18.222	speech (make a)	arstˀa-ɲa
18.23	silent (be)	amuktˀa-ɲa
18.24	language	aru
18.26	word	aru
18.28	name	suti
18.31	ask (question, inquire)	xiskʰi-ɲa
18.32	answer	xaysa-ɲa
18.33	admit, confess	
18.34	deny	xaniča-ɲa
18.35	ask, request	mayi-ɲa
18.36	promise	
18.37	refuse	
18.38	forbid	
18.39	rebuke, scold	
18.41	call (=summon)	xawsa-ɲa
18.42	call (=name)	xawsasi-ɲa
18.43	announce	yatiya-ɲa
18.44	threaten	
18.45	boast	
18.51	write	ḳilʸḳa-ɲa
18.52	read	uɲa-ɲa
18.56	paper	
18.57	pen	
18.61	book	panka
18.67	poet	yarḳwiku
18.71	flute	ḳina
18.72	drum	wankara
18.73	horn, trumpet	
18.74	rattle	
19.11	country	marka
19.12	one's native country	
19.15	city, town	marka
19.16	village	marka
19.17	boundary	ḳurpa
19.21	people (populace)	marka-čiri
19.23	tribe, clan	
19.24	chief, chieftain	kuraka
19.25	staff, walking stick	tʰuxru
19.31	rule, govern	
19.32	king, ruler	
19.33	queen	ḳuya
19.36	noble, nobleman	
19.37	citizen, subject	marka-čiri
19.41	master	
19.42	slave	
19.43	servant	
19.44	freeman	
19.45	command, order	
19.46	obey	iyawaa-ɲa
19.47	let, permit	-ya
19.51	friend, companion	masi
19.52	enemy	awḳa
19.54	neighbor	xakˀasina
19.55	stranger	
19.56	guest	xawsata
19.57	host	ḳurpačuta
19.58	help, aid	yanapa-ɲa
19.59	hinder, prevent	
19.61	custom	
19.62	strife, quarrel	čˀaχwa
19.63	conspiracy, plot	
19.65	meet	xiki-ɲa
19.72	prostitute	pampa warmi
20.11	fight (vb)	nuwasi-ɲa
20.13	war, battle	čˀaχwa
20.14	peace	
20.15	army	
20.17	soldier	palʸa-palʸa
20.21	weapons, arms	
20.22	club	
20.222	battle-ax	
20.23	sling	ḳˀurawa
20.24	bow	
20.25	arrow	mičˀi
20.26	spear	
20.27	sword	
20.28	gun, cannon	
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	pukara
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	
20.44	defend	tuwa-ɲa
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	paḳuma
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	ḳʰamiya-ɲa
20.51	fisherman	kuturi
20.52	fishhook	
20.53	fishing line	
20.54	fishnet	saḳaɲa
20.55	fish trap	
20.56	bait	likˀi
20.61	hunt	katu-ɲa
20.62	shoot	
20.63	miss (target)	panta-ɲa
20.64	trap (noun)	sipita
20.65	trap (vb)	katxa-ɲa
21.11	law	kamači
21.15	court	
21.16	judge (vb)	taripa-ɲa
21.17	judgment	
21.18	judge (noun)	taripiri
21.21	plaintiff	tumpiri
21.22	defendant	tumpata
21.23	witness	uɲxiri
21.24	swear	
21.25	oath	
21.31	accuse	čˀata-ɲa
21.32	condemn	taripa-ɲa
21.33	convict (vb)	xuča-ča-ɲa
21.34	acquit	
21.35	guilty	xučani
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	paḳuma
21.42	murder	xiwaya(...)
21.43	adultery	wačuḳa
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	luntʰata-ɲa
21.52	thief	luntʰata
22.11	religion	
22.12	God	pačamama; wakˀa
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	luḳta
22.16	worship	
22.17	pray	
22.18	priest	tata [kura]
22.19	holy, sacred	ḳulʸaana
22.22	preach	
22.23	bless	
22.24	curse	nanḳʰa-ɲa
22.26	fast (vb)	
22.31	heaven	alaχpača
22.32	hell	
22.35	demon (evil spirit)	supaya
22.37	idol	wakˀa
22.42	magic, witchcraft, sorcery	
22.43	sorcerer, witch	layḳa
22.44	fairy, elf	
22.45	ghost, phantom	
22.47	omen, portent	
