entry_id	trans_english	Nivaclé_Phonemic
1.1	world	naɬu
1.21	earth, land	naɬu; koc̷xaʔt
1.212	earth=ground, soil	koc̷xaʔt
1.213	dust	kˀim; kˀok
1.214	mud	ayisxan
1.215	sand	xosɔx
1.22	mountain, hill	ute-yuk
1.222	cliff, precipice	tčimčˀe
1.23	plain, field	ɔyak
1.24	valley	tčimčˀe
1.25	island	
1.26	mainland	koc̷xaʔt
1.27	shore	ɬ-tako
1.28	cave	tin-xokeʔ
1.31	water	inɔʔt
1.32	sea	ɬkac̷ˀi towkoyc̷a
1.322	calm (of sea)	is-in
1.323	rough (of sea)	us-čˀe
1.324	foam	štutax
1.329	ocean	towkoyc̷a
1.33	lake	ɬkačiʔ; faš ayiš
1.34	gulf, bay	c̷itex
1.341	lagoon	wišini
1.342	reef	
1.343	headland, point	
1.35	wave	us-čˀe
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	towɔk; ɬɔxɔyiš
1.362	whirlpool	
1.37	spring, well	tˀic̷ec̷
1.38	swamp	towok
1.39	waterfall	tˀɔʔy
1.41	woods, forest	itˀa
1.42	tree (cf 08.600)	akxiyuk
1.43	wood	yeklɔʔ
1.44	stone, rock	utex
1.45	earthquake	na'yuʔy-na'yuʔy-'čˀe
1.51	sky	wɔʔs
1.52	sun	xunkuklaʔy
1.53	moon	xiweʔkla
1.54	star	katiʔs
1.55	lightning	tačin
1.56	thunder	kuukten
1.57	lightning (as striking)	fčinax
1.58	storm	tačat; ɬawiʔm
1.59	rainbow	fasc̷ˀaklec̷
1.61	light (noun)	kxumxes
1.62	darkness	ni kxumc̷ex-a; tuɬ; tuɬitax
1.63	shade, shadow	-xpik
1.64	dew	yiyaʔs
1.71	air	yaɬ
1.72	wind	ɬawiʔm
1.73	cloud	wɔseʔ; wɔsei
1.74	fog	šnakxay
1.75	rain (noun)	tčanu
1.76	snow (noun)	yekleše
1.77	ice	yekleši
1.78	weather	
1.81	fire	itɔx
1.82	flame (noun)	ɬ-čˀakleč; tˀa-
1.83	smoke (noun)	ɬ-axut
1.84	ashes	šnomax
1.841	embers	fɔyxok
1.851	burn (vb trans)	x-apˀaɬ; x-apxun; xa-wutuyan
1.852	burn (vb intrans)	-xa-yapˀaɬxan; yi-wutun
1.86	light, kindle, ignite	-ɬɔn
1.861	extinguish	-amkat; -makxat
1.87	match (noun)	itɔtax
1.88	firewood	wat-kaxuy
1.89	charcoal	fayxoʔ
2.1	person, human being	niwakle; -ɬeč; -'waʔča
2.21	man (vs. woman)	niwakle
2.22	woman	niwak-če
2.23	male	yic̷ˀux
2.24	female	ɔkxeklɔ
2.25	boy	nikxɔʔk
2.251	young man (adolescent)	nɔkteč
2.26	girl	naʔne; nikxɔk-e
2.261	young woman (adolescent)	ɬuc̷xa
2.27	child	taɔklax
2.28	infant, baby	tanklax
2.31	husband	-čˀakfa
2.32	wife	-čˀakfa
2.33	marry	-tčˀakfay; txaʔyaʔi
2.34	marriage, wedding	-wata-čˀakfayaš
2.341	divorce	watwɔʔm
2.35	father	-tata
2.36	mother	-mimi
2.37	parents	-ftewot
2.38	married man	wakxaʔy
2.39	married woman	wakxay-če
2.41	son	-aɔs
2.42	daughter	-ɔs-e
2.43	offspring (son or daughter)	-kles
2.44	brother	
2.444	older brother	-čeklaʔ
2.445	younger brother	-onax
2.45	sister	
2.454	older sister	-čitaʔ
2.455	younger sister	-sunxa
2.456	sibling	
2.458	twins	napuxi
2.46	grandfather	-ktˀeʔč
2.461	old man	kˀuc̷aʔx
2.47	grandmother	-ktˀe
2.471	old woman	kˀuc̷xaʔ
2.48	grandson	-ntakšičˀa; -nɔʔc̷ičˀa
2.49	granddaughter	-ntakliščˀe; -nɔc̷ˀɔxkee
2.51	uncle	-txoʔk
2.511	mother's brother	-txoʔk
2.512	father's brother	-txoʔk
2.52	aunt	-tˀox
2.521	mother's sister	-tˀox
2.522	father's sister	-tˀox
2.53	nephew	-faklaʔ
2.54	niece	-fak-čeʔ
2.55	cousin	-čˀiniš; -čeklaʔ
2.56	ancestors	napi pˀaɬak
2.57	descendants	napi tɔɬšaʔm
2.61	father-in-law (of a man)	-kaktˀeč
2.611	father-in-law (of a woman)	-kaktˀeč
2.62	mother-in-law (of a man)	-kaktˀe
2.621	mother-in-law (of a woman)	-kaktˀe
2.63	son-in-law (of a man)	-tɔmitaʔ
2.631	son-in-law (of a woman)	-tɔmitaʔ
2.64	daughter-in-law (of a man)	-tɔmteʔ
2.641	daughter-in-law (of a woman)	-tɔmteʔ
2.71	stepfather	-nxayɔsˀa
2.72	stepmother	-nxayc̷oʔa
2.73	stepson	-ac̷anač
2.74	stepdaughter	-ac̷an-če
2.75	orphan	ɔfteʔk; afte-kle
2.76	widow	ɔsčˀak-če
2.77	widower	ɔsčˀaklax
2.81	relatives, kinsmen	-weɬawot; -fteiwot
2.82	family	-weɬawot
2.91	I	yi-'waača
2.92	you (singular)	a-'waača
2.93	he/she/it	ɬa-'waača
2.94	we	kaswaača
2.941	we (inclusive)	kas-'waača
2.942	we (exclusive)	yi-'waača-eɬ
2.95	you (plural)	a-'waača-eɬ
2.96	they	ɬa-waača
3.11	animal	yakkisit
3.12	male (adj)	yic̷uʔx
3.13	female (adj)	ɔkxeklɔ
3.15	livestock	wata-klɔy
3.16	pasture	itxatax
3.18	herdsman	ɬ-woʔ
3.19	stable, stall	[wɔkɔ] tašinšatas ɬ-kˀɔʔwat
3.2	cattle (bovine)	[wɔkɔ]k
3.21	bull	[wɔkɔ] ɬaʔyanax
3.22	ox	[wɔkɔ] namkˀeɬkɔnšiyis
3.23	cow	[wɔkɔ]
3.24	calf	[waka]-ɬaɔs
3.25	sheep	tašinša-tax
3.26	ram	tašinša-tax ɬxaʔyanax
3.28	ewe	tašinša-tax ɔkxeklɔ
3.29	lamb	tašinša-tax
3.32	boar	woxotax; awokc̷ex; xokonoxo
3.34	sow	woxo-tax ɔkxeklɔ
3.35	pig	woxo-taxɔkxeklɔ
3.36	goat	tašinštay-če
3.37	he-goat	tašinštay-če yic̷uʔx
3.38	kid	tašinštay-če-ɬaɔs yic̷uʔx
3.41	horse (equine)	[kuwɔyu]
3.42	stallion	xaʔyanax
3.44	mare	[kuwɔyu] ɔkxeklɔ
3.45	foal, colt	[kuwɔyu]-ɬaɔs
3.46	ass, donkey	[kuwɔyu]-tax
3.47	mule	makliko
3.5	fowl	ɔxɔklɔs wataklɔy
3.52	cock, rooster	wotɔxɔx yic̷uʔx
3.54	hen	wotɔxɔx
3.55	chicken	wotɔxɔx-ɬɔs
3.56	goose	ano-tax
3.57	duck	ano; xokxayex; sɔʔyi
3.58	nest	ɬuʔp
3.581	bird	ɔxɔklɔ
3.582	seagull	
3.583	heron	wɔsxɔs
3.584	eagle	wačwač; axtitˀa; towok ɬawonɔx
3.585	hawk	šeyanɔx; c̷imaxa tˀoʔt
3.586	vulture	kˀafok
3.591	bat	šeyɔ; fakliʔs
3.592	parrot	ekle
3.593	crow	kˀafok; stawuʔn
