entry_id	trans_english	Breton_Phonemic
13.18	enough	a-walh; trawalh
13.181	some	eun tamm; eun bannah, eun banne
13.19	multitude, crowd	engroez; foul
13.21	full	leun
13.22	empty	goullo; vid
13.23	part, piece	tamm
13.24	half	hanter
13.33	alone, only	hep-ken
13.34	first	kentaɲ
13.35	last	diwezaɲ
13.36	second	eil
13.37	pair	koublad
13.38	two times	diou wech
13.42	third	trived; trede; teirved
13.44	three times	teir gwech
14.11	time	amzer
14.12	age	oad
14.13	new	nevez
14.14	young	yaouank
14.15	old	koz
14.16	early	abred
14.17	late	diwezad
14.18	now	bremaɲ
14.19	immediately	dioustu
14.21	swift, fast, quick	buan
14.22	slow	gorreg
14.23	hasten, hurry	hastaɲ
14.24	retard, delay	daleaɲ
14.25	begin, beginning	komaɲsamant
14.252	last, endure	padoud
14.26	end (temporal)	diwez; fin
14.27	finish	achuiɲ; finisaɲ
14.28	cease, stop	paouez; chom a-zao
14.29	ready	prest
14.31	always	bepred; atao
14.32	often	aliez
14.33	sometimes	a-wechou
14.331	soon	prestig
14.332	long-time (for a)	pell
14.34	never	biskoaz; birviken; jamez; morse
14.35	again	adarre
14.41	day	deiz
14.42	night	noz
14.43	dawn	goulou-deiz; tarz an deiz
14.44	morning	beure; mintin
14.45	noon, midday	kreisteiz
14.451	afternoon	enderv; goude-kreisteiz
14.46	evening	abardaez
14.47	today	hizio; hirio; feteiz; fenoz
14.48	tomorrow	arhoaz; warhoaz
14.481	day-after-tomorrow	benn daou devez
14.49	yesterday	deh
14.491	day-before-yesterday	an deiz-araog-deh
14.51	hour	eur
14.53	clock, timepiece	horolaj; pandulenn; montr
14.61	week	sizun; sun
14.62	Sunday	sul; disul
14.63	Monday	lun; dilun
14.64	Tuesday	meurz; dimeurz
14.65	Wednesday	merher; dimerher
14.66	Thursday	yaou; diziou; diriaou
14.67	Friday	gwener; dirgwener, digwener
14.68	Saturday	sadorn; disadorn
14.71	month	miz
14.73	year	bloaz
14.74	winter	goaɲv
14.75	spring	nevez-amzer; beg-an-haɲv
14.76	summer	haɲv
14.77	autumn	diskar-amzer; dilost-haɲv
14.78	season	koulz
15.21	smell (vb intrans)	kaoud c’hwez
15.212	sniff	c’hwesa
15.22	smell (vb trans)	santoud c’hwez
15.25	fragrant, good smelling	c’hwez-vad
15.26	stinking, bad smelling	flaeriuz; c’hwez-fall
15.31	taste	taɲva
15.35	sweet	c’hweg; dous
15.36	salty	sall
15.37	bitter	c’hwero
15.38	acid, sour	trenk
15.39	brackish	
15.41	hear	kleved
15.42	listen	selaou; chilaou
15.44	sound, noise	trouz
15.45	loud	kreɲv
15.46	quiet, silence	sioul
15.51	see	gweled
15.52	look, look at	selled ouz
15.55	show	diskouez
15.56	shine	lugerniɲ; skediɲ; luhaɲ
15.57	bright	sklaer; skeduz; lugernuz
15.61	color	liou
15.62	light (in color)	sklaer
15.63	dark (in color)	teɲval
15.64	white	gwenn
15.65	black	du
15.66	red	ruz, ru
15.67	blue	glaz
15.68	green	gwer, ver; glaz
15.69	yellow	melen
15.71	touch	touch; steki, stokaɲ
15.712	pinch	piɲsad
15.72	feel	santoud; tastonad
15.74	hard	kaled
15.75	soft	dous
15.76	rough	rust
15.77	smooth	flour
15.78	sharp	lemm
15.79	blunt, dull	dall
15.81	heavy	ponner; lourd
15.82	light (in weight)	skaɲv; lijer
15.83	wet, damp	gleb; leiz; umid
15.84	dry	seh
15.85	hot	tomm
15.851	warm	klouar
15.86	cold	yen; riou; anoued
15.87	clean	prob; net
15.88	dirty, soiled	louz
15.89	wrinkled	ridet
16.11	soul, spirit	ene; spered
16.15	surprised, astonished	souezet; estonet
16.18	good fortune, luck	eurvad; chaɲs
16.19	misfortune, bad luck	maleur; dichaɲs
16.23	joyful, glad, happy	laouen; joauz
16.25	laugh	c’hoarzin
16.251	smile	c’hoarzin; mousc’hoarzin
16.26	play	c’hoari
16.27	love	kared; karantez
16.29	kiss	pokad; bouchad
16.3	embrace	briata
16.31	pain	poan; droug
16.32	grief, sorrow, sadness	glahar; poan-galon
16.33	anxiety, worry	neh
16.34	regret, be sorry	kaoud keuz; kaoud desped
16.35	pity	truez
16.37	cry, weep	gouelaɲ; ouela; garmad
16.38	tear (noun)	daeraouenn; daelaouenn; dour
16.39	groan	grognal
16.41	hate	kasaad; kaoud kaz ouz
16.42	anger	koler; droug
16.44	envy, jealousy	gwarizi; gourvenn; jalousi
16.45	shame (noun)	mez
16.48	proud	fier; lorhuz
16.51	dare	krediɲ
16.52	brave	kaloneg; kourajuz
16.53	fear, fright	aon; doan; neh
16.54	danger	daɲjer
16.62	desire, want	c’hoantaad; kaoud c’hoant
16.622	choose	choaz
16.63	hope	spi; esper
16.65	faithful	feal; fidel
16.66	true	gwir
16.67	lie, tell lies	kontaɲ gevier
16.68	deceit	touellerez
16.69	forgive	pardoniɲ
16.71	good	mad
16.72	bad	fall; droug
16.73	right, correct	gwir; just
16.74	wrong	falz
16.76	fault	fazi; faot
16.77	mistake, error	fazi; faot
16.78	blame	tamall
16.79	praise	meuleudi
16.81	beautiful	kaer; brao
16.82	ugly	divalo; vil
16.83	greedy	gourmant
16.84	clever	fin
17.11	mind	spered; soɲj
17.13	think (= reflect)	soɲjal
17.14	think (= be of the opinion)	krediɲ
17.15	believe	krediɲ
17.16	understand	kompren; intent
17.17	know	gouzoud
17.171	guess	divinoud
17.172	imitate	difrêz
17.18	seem	seblantoud
17.19	idea, notion	ide
17.21	wise	fur; disket
17.22	foolish, stupid	diod; sod
17.23	insane, crazy	sod; diskiant
17.24	learn	deskiɲ
17.242	study	studial
17.25	teach	deskiɲ; kelenn
17.26	pupil	skoliad; bugel
17.27	teacher	mestr; skolaer
17.28	school	skol
17.31	remember	kaoud soɲj
17.32	forget	ankounac'haad, ankouaad; dizoɲjal
17.34	clear, plain	sklaer
17.35	obscure	diez da gompren
17.36	secret	kuzed; sekred
17.37	sure, certain	sur
17.38	explain	diskleriaɲ; esplikoud
17.41	intention, purpose	pal
17.42	cause	bezaɲ kaoz
17.43	doubt	kaoud douetaɲs
17.44	suspect	kaoud disfi
17.441	betray	traisaɲ
17.45	need, necessity	ezomm; afer
17.46	easy	êz; êzed
17.47	difficult	diêz
17.48	try, attempt	êsa
17.49	way, manner	stumm; doare
17.51	and	hag, ha
17.52	because	peogwir; abalamour
17.53	if	ma; mar
17.54	or	pe
17.55	yes, affirmative	ya
17.56	no, negative	nann
17.61	how?	penaoz? peseurt mod?
17.62	how many?	ped?
17.63	how much?	pegement?
17.64	what?	petra?
17.65	when?	pegoulz? peur? pevare? pedavare?
17.66	where?	peleh?
17.67	which?	pehini?
17.68	who?	piou?
17.69	why?	perag? abelamour de betra?
18.11	voice	mouez
18.12	sing	kanaɲ
18.13	shout, cry out	krial
18.15	whisper	chuchuiɲ
18.16	mumble	draillaɲ; balbouzad
18.17	whistle	c’hwitellad; c’hwistellad
18.18	shriek, screech	youhal
18.19	howl	houal; hudal
18.21	speak, talk	komz; kozeal; savar; preg; precha
18.211	stutter, stammer	saoznegiɲ; beza aretet da gaozeal
18.22	say	lavared, lared
18.221	tell story	kontaɲ
18.222	speech (make a)	kozeadenn (ober eur)
18.23	silent (be)	tevel
18.24	language	yez; langaj
18.26	word	ger; komz; poz
18.28	name	hano
18.31	ask (question, inquire)	goulenn; goull
18.32	answer	respont
18.33	admit, confess	anzao; kouzantiɲ
18.34	deny	nah
18.35	ask, request	goulenn, goull
18.36	promise	prometiɲ
18.37	refuse	nah
18.38	forbid	divenn
18.39	rebuke, scold	ober trouz
18.41	call (=summon)	gervel, gelver
18.42	call (=name)	bezaɲ anvet
18.43	announce	kemenn; embann
18.44	threaten	gourdrouz
18.45	boast	fougeal
18.51	write	skrivaɲ
18.52	read	lenn
18.56	paper	paper
18.57	pen	pluenn
18.61	book	levr
18.67	poet	barz
18.71	flute	fleüt
18.72	drum	taboulin
18.73	horn, trumpet	trompill
18.74	rattle	
19.11	country	bro
19.12	one's native country	bro
19.15	city, town	ker vraz
19.16	village	keriadenn; bilajenn
19.17	boundary	harzou; bordou
19.21	people (populace)	tud; pobl
19.23	tribe, clan	
19.24	chief, chieftain	
19.25	staff, walking stick	baz; penn-baz
19.31	rule, govern	ren
19.32	king, ruler	roue
19.33	queen	rouanez
19.36	noble, nobleman	nobl
19.37	citizen, subject	
19.41	master	mestr; aotrou
19.42	slave	sklav
19.43	servant	mevel; matez
19.44	freeman	
19.45	command, order	gourhemenn; komandiɲ
19.46	obey	sentiɲ
19.47	let, permit	lezel
19.51	friend, companion	mignon; kamarad
19.52	enemy	enebour
19.54	neighbor	amezeg
19.55	stranger	estren; den-diavez
19.56	guest	ostiz
19.57	host	ostiz
19.58	help, aid	sikour
19.59	hinder, prevent	herzel; mired; ampich
19.61	custom	boaz; giz; kustum
19.62	strife, quarrel	bazad; chikan
19.63	conspiracy, plot	
19.65	meet	en em gavoud gand
19.72	prostitute	gast
20.11	fight (vb)	en em gannaɲ
20.13	war, battle	brezel
20.14	peace	peoh
20.15	army	arme
20.17	soldier	soudard
20.21	weapons, arms	armou
20.22	club	penn-baz
20.222	battle-ax	
20.23	sling	batalm; talm
20.24	bow	gwareg
20.25	arrow	bir; saez
20.26	spear	goaf
20.27	sword	kleze
20.28	gun, cannon	fuzuill; kanol, kanon
20.31	armor (defensive)	
20.33	helmet	tok-houarn; kask
20.34	shield	skoed
20.35	fortress	kastell
20.36	tower	tour
20.41	victory	treh
20.42	defeat	
20.43	attack	atakiɲ
20.44	defend	divenn; stourm ouz
20.45	retreat	kilaɲ; souzaɲ
20.46	surrender	en em rentaɲ
20.47	captive, prisoner	prizonier
20.471	guard, sentinel	gardian
20.48	booty, spoils	preiz
20.49	ambush	
20.51	fisherman	pesketaer
20.52	fishhook	higenn
20.53	fishing line	linenn
20.54	fishnet	roued
20.55	fish trap	
20.56	bait	boued
20.61	hunt	chaseal
20.62	shoot	tennaɲ
20.63	miss (target)	c’hwitoud
20.64	trap (noun)	pech; trap
20.65	trap (vb)	tapoud en eur pech; tapoud en eur trap
21.11	law	lezenn, lezennou
21.15	court	lez-varn
21.16	judge (vb)	barn
21.17	judgment	barn; barnedigez
21.18	judge (noun)	barner
21.21	plaintiff	
21.22	defendant	
21.23	witness	test
21.24	swear	touiɲ
21.25	oath	le
21.31	accuse	tamall
21.32	condemn	barn; kondaoniɲ
21.33	convict (vb)	kavoud kabluz
21.34	acquit	didamall
21.35	guilty	kabluz; koupabl
21.36	innocent	
21.37	penalty, punishment	pinijenn
21.38	fine	amant
21.39	prison, jail	prizon
21.42	murder	muntr
21.43	adultery	avoultriez
21.44	rape	
21.46	arson	tan-gwall
21.47	perjury	le faos
21.51	steal	laerez
21.52	thief	laer
22.11	religion	relijion
22.12	God	doue
22.13	temple, church	templ; iliz
22.14	altar	aoter
22.15	sacrifice, offering	sakrifis; ofrant
22.16	worship	azeuli; adoriɲ
22.17	pray	pediɲ
22.18	priest	beleg
22.19	holy, sacred	sakr; santel
22.22	preach	prezeg
22.23	bless	binnigaɲ
22.24	curse	milligaɲ
22.26	fast (vb)	ober yun
22.31	heaven	neɲv, neɲvou
22.32	hell	ifern; ivern
22.35	demon (evil spirit)	diaoul
22.37	idol	idol
22.42	magic, witchcraft, sorcery	strobinell; breou; hud
22.43	sorcerer, witch	sorser; sorserez
22.44	fairy, elf	korriganez
22.45	ghost, phantom	teuz
22.47	omen, portent	diougan; seblant
