entry_id	trans_english	Breton_Phonemic
4.55	perspire	c’hwezaɲ; c’hweziɲ
4.56	spit	skopad; tufad; krachad
4.57	vomit	dislonkaɲ; bomisaɲ
4.58	bite	krigiɲ
4.59	lick	lipad
4.591	dribble	babouzad
4.61	sleep	kousked
4.612	snore	rohal; dirohal
4.62	dream	huɲvreal
4.63	wake up	dihunaɲ; divuniɲ
4.64	break wind	brammaɲ; brommaɲ
4.65	urinate	staota; troazaɲ; pised
4.66	defecate	kahad
4.67	have sexual intercourse	en em bara; c’hwilaɲ
4.68	shiver	krenaɲ
4.69	bathe	neuial
4.71	beget (of father)	
4.72	born (to be)	bezaɲ ganet
4.73	pregnant	brazez; dougerez
4.732	conceive	genel
4.74	live, living, life	bevaɲ; beo; buhez
4.75	die, dead	mervel; maro
4.751	drowned	beuzet
4.76	kill	lazaɲ, lahaɲ
4.77	corpse	korv-maro
4.78	bury (the dead)	interi
4.79	grave, tomb	bez
4.81	strong, mighty, powerful	kréɲv; galloudeg
4.82	weak	gwan; feb
4.83	well, health	yehed; yah
4.84	sick, sickness	klaɲv; kleɲved
4.841	fever	terzien
4.842	goiter	gouzouzed
4.843	cold (catarrh)	sivern
4.85	wound, sore	gloaz; gouli
4.852	bruise	bloɲs
4.853	swelling	bos
4.854	itch	debron, drebon
4.855	blister	pemoh-bihan
4.856	boil (noun)	gor
4.857	pus	pu
4.858	scar	kleizenn
4.86	cure, heal	pareaɲ
4.87	physician	medesin
4.88	medicine, drug	louzou; medikamaɲchou
4.89	poison	kontamm; poezon
4.91	tired, weary	skuiz
4.912	rest	diskuizaɲ
4.92	lazy	lezireg; feneant; didalvez
4.93	bald	moal; disto
4.94	lame	kamm
4.95	deaf	bouzar
4.96	mute	mud
4.97	blind	dall
4.98	intoxicated	mezo
4.99	naked, bare	noaz
5.11	eat	dibriɲ, drebi
5.12	food	boued
5.121	cooked	poaz
5.122	raw	kriz
5.123	ripe	daro, dare; azo
5.124	green, unripe	glaz
5.125	rotten	brein
5.13	drink	evaɲ
5.14	hunger	naon
5.141	famine	kernez; naonegez
5.15	thirst	sehed
5.16	suck	suna; hutad
5.18	chew	chaokad, chaogad
5.181	swallow	lonkaɲ
5.19	choke	mougaɲ
5.21	cook	poazad, poahad
5.22	boil (vb)	birviɲ
5.23	roast, fry	rostaɲ; fritaɲ
5.24	bake	poba
5.25	oven	forn
5.26	pot, cooking vessel	kaoter; pod-houarn
5.27	kettle	kaoter
5.28	pan	kastorolenn; kasolorenn
5.31	dish	plad
5.32	plate	asied
5.33	bowl	bolenn; skudell
5.34	pitcher, jug	brog
5.35	cup, drinking vessel	tas
5.36	saucer	asied vihan
5.37	spoon	loa
5.38	knife	kontell
5.39	fork	fourchetezenn
5.391	tongs	piɲsetezom
5.41	meal (a)	pred; maɲjer
5.42	breakfast	dijuniɲ; lein
5.43	lunch	lein; merenn
5.44	dinner	koan
5.45	supper	adkoan
5.46	peel	peillad
5.47	sieve, strain	silaɲ
5.48	scrape	skrapad
5.49	stir, mix	meskaɲ
5.51	bread	bara
5.53	dough	toaz
5.54	knead	merad
5.55	meal, flour	bleud
5.56	crush, grind	malaɲ; frika
5.57	mill	milin, meill
5.58	mortar	morter
5.59	pestle	pilouer
5.61	meat	kig
5.63	sausage	silzig; chaosis
5.64	soup, broth	soubenn
5.65	vegetables	legumach
5.66	bean	ariko
5.7	potato	aval-douar; patatezenn
5.71	fruit	frouezenn
5.712	bunch	bod; torkad
5.75	fig	figezenn
5.76	grape	rezin
5.77	nut	kraonenn
5.78	olive	
5.79	oil	eol, ioul
5.791	grease, fat	druzoni
5.81	salt	holen, halen; c’hoalen
5.82	pepper	pebr
5.821	chili pepper	
5.84	honey	mel
5.85	sugar	sukr
5.86	milk (noun)	laez, lêz
5.87	milk (vb)	goro
5.88	cheese	fromaj
5.89	butter	amann
5.9	beverage, drink	evaj
5.91	mead	chouchenn; chufere; chupere
5.92	wine	gwin
5.93	beer	bier
5.94	fermented drink	boeson
5.97	egg	vi; u
5.971	egg yolk	melen-u; melen-vi
6.11	put on (clothes)	gwiskaɲ
6.12	clothing, clothes	dillad; gwiskamant
6.13	tailor	kemener
6.21	cloth	danvez
6.22	wool	gloan
6.23	linen, flax	lin
6.24	cotton	kotoɲs, koton
6.25	silk	seiz
6.27	felt	feltr
6.28	fur	feur; foulinenn
6.29	leather	ler
6.31	spin	nezaɲ
6.32	spindle	gwerzid
6.33	weave	gweaɲ
6.34	loom	stern
6.35	sew	gwriad
6.36	needle	nadoz
6.37	awl	minaoued
6.38	thread	neud
