entry_id	trans_english	Wichí_Phonemic
1.1	world	ni'ɬokeh hoh'nat
1.21	earth, land	hoh'nat
1.212	earth=ground, soil	tˀen-'tah
1.213	dust	hohnat-'muk
1.214	mud	ih'ɲot
1.215	sand	hu'lu
1.22	mountain, hill	tače'nah
1.222	cliff, precipice	is'tak-čo
1.23	plain, field	a'ɬu; aɬu-'tah
1.24	valley	tačeh'na-s kawah'ɲi
1.25	island	inot-'wet
1.26	mainland	tˀen-'tas
1.27	shore	tewuk-'ɬip
1.28	cave	-ɬu'kʷeʔ
1.31	water	i'not
1.32	sea	i'not-li'tak
1.322	calm (of sea)	--
1.323	rough (of sea)	--
1.324	foam	-la-khuh
1.329	ocean	--
1.33	lake	lawu'mek
1.34	gulf, bay	-la-le'nek
1.341	lagoon	teykʷi'tah
1.342	reef	
1.343	headland, point	tače'nah
1.35	wave	komok-'tah
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	te'wuk
1.362	whirlpool	tewuk-le'nek
1.37	spring, well	inot-c̷i'hʷik
1.38	swamp	ih'ɲot
1.39	waterfall	inot-no'yih
1.41	woods, forest	tah'ɲi
1.42	tree (cf 08.600)	haʔ'loʔ
1.43	wood	
1.44	stone, rock	ten'teʔ
1.45	earthquake	hohnat-'wahiʔ
1.51	sky	pe'leʔ
1.52	sun	hʷa'laʔ
1.53	moon	weʔ'laʔ
1.54	star	ka'tes
1.55	lightning	yokʷ-lep
1.56	thunder	peɬa-'čˀe
1.57	lightning (as striking)	peɬay-'yip
1.58	storm	pe'ɬay
1.59	rainbow	la-'wuʔ
1.61	light (noun)	i'siʔ
1.62	darkness	hona-'tah
1.63	shade, shadow	hipeɬ
1.64	dew	i'yas
1.71	air	leyaɬ
1.72	wind	inhʷokʷ
1.73	cloud	pe'leʔ
1.74	fog	tec̷e-'tah
1.75	rain (noun)	i-wuʔm-'čoʔ
1.76	snow (noun)	
1.77	ice	hʷi'yet
1.78	weather	le'hʷoy
1.81	fire	i'toh
1.82	flame (noun)	itohʷak
1.83	smoke (noun)	te'c̷ah
1.84	ashes	itoh-'muk
1.841	embers	i'toh hʷi'hɲo
1.851	burn (vb trans)	hipˀoʔ
1.852	burn (vb intrans)	yuʔ
1.86	light, kindle, ignite	iweneh
1.861	extinguish	yu-'met
1.87	match (noun)	itoh-'ɬu
1.88	firewood	-'ɬet
1.89	charcoal	hʷih'ɲo
2.1	person, human being	wi'či
2.21	man (vs. woman)	hiʔ'nuʔ
2.22	woman	ac̷ih'naʔ
2.23	male	as'nak
2.24	female	ac̷ih'naʔ
2.25	boy	hano'hʷah
2.251	young man (adolescent)	mam'seʔ
2.26	girl	hano'hʷah
2.261	young woman (adolescent)	ɬe'c̷aʔ
2.27	child	hano'hʷah
2.28	infant, baby	hano-'hʷah 'ɬomsah
2.31	husband	-če-'hʷaʔ
2.32	wife	-če-'hʷaʔ
2.33	marry	ta-hʷa-'ye-y
2.34	marriage, wedding	hʷa-yen-ah
2.341	divorce	i-wuʔm-le-če'hʷa
2.35	father	-hʷ'ča
2.36	mother	-ku
2.37	parents	-hʷča-'lis
2.38	married man	hiʔ'nuʔ-toh ta-hʷa-'yey
2.39	married woman	ac̷ih'naʔ-toh ta-hʷa-'yey
2.41	son	-ɬos
2.42	daughter	-ɬo's-e
2.43	offspring (son or daughter)	
2.44	brother	
2.444	older brother	-či'laʔ
2.445	younger brother	-čˀinih
2.45	sister	
2.454	older sister	-či'ta
2.455	younger sister	-čˀih'no
2.456	sibling	-pun'hʷaʔ
2.458	twins	tokʷsi-'lis
2.46	grandfather	-čo'ti
2.461	old man	hiʔ'nu-we'mek
2.47	grandmother	-kate'la
2.471	old woman	ac̷ih'naʔ we'mek
2.48	grandson	-če'yo-s
2.49	granddaughter	-če'yo-ʔ
2.51	uncle	-withuk
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	-witˀuh
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	-waʔ'laʔ
2.54	niece	-waʔlaʔ-'ni
2.55	cousin	
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	-čo'ti
2.611	father-in-law (of a woman)	-čo'ti
2.62	mother-in-law (of a man)	-kate'la
2.621	mother-in-law (of a woman)	-kate'la
2.63	son-in-law (of a man)	-hʷa-ye'n-ek
2.631	son-in-law (of a woman)	-hʷa-ye'n-ek
2.64	daughter-in-law (of a man)	-ti'čeʔ
2.641	daughter-in-law (of a woman)	-ti'čeʔ
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	wah'c̷iʔ
2.76	widow	te'saʔ
2.77	widower	hiʔ'nuʔ te'saʔ
2.81	relatives, kinsmen	
2.82	family	ɬam'iɬ toh ih'ɲoh
2.91	I	oɬam
2.92	you (singular)	am
2.93	he/she/it	ɬam
2.94	we	
2.941	we (inclusive)	oɬam-iɬ
2.942	we (exclusive)	nam-iɬ
2.95	you (plural)	am-iɬ
2.96	they	ɬam-iɬ
3.11	animal	c̷o'wet
3.12	male (adj)	as'nak
3.13	female (adj)	ac̷ih'naʔ
3.15	livestock	to-'lo-y
3.16	pasture	hep
3.18	herdsman	c̷ona-'tah-wu
3.19	stable, stall	to-'loy-'hi
3.2	cattle (bovine)	to-'loy
3.21	bull	[tu'lu]
3.22	ox	[we'y]is
3.23	cow	[tu'lu] toh ac̷ih'naʔ
3.24	calf	[teyne'lu]
3.25	sheep	c̷una-'tah
3.26	ram	čˀi'nak
3.28	ewe	
3.29	lamb	c̷una'tah ɬos
3.32	boar	ni'c̷ah
3.34	sow	nic̷e-tah toh ac̷ih'na
3.35	pig	nic̷e-tah
3.36	goat	[kay'la]
3.37	he-goat	[kay'la]
3.38	kid	[kay'la] ɬos
3.41	horse (equine)	yeʔla-'tah
3.42	stallion	
3.44	mare	yeʔla-tah-c̷ih'na
3.45	foal, colt	yeʔla-tah ɬos
3.46	ass, donkey	[as'nu]
3.47	mule	[mu'la]
3.5	fowl	ahʷen'če
3.52	cock, rooster	huʔuʔ
3.54	hen	huʔuʔ toh ac̷ih'na
3.55	chicken	huʔuʔ ɬos
3.56	goose	c̷ehis-'tah
3.57	duck	huʔ'yah
3.58	nest	-ɬep
3.581	bird	ahʷenče
3.582	seagull	
3.583	heron	mo'pˀi
3.584	eagle	čilehna-tah
3.585	hawk	eɬ-kut
3.586	vulture	
3.591	bat	a'ses
3.592	parrot	e'le
3.593	crow	c̷et'wu
3.594	dove	hukʷina'tah
3.596	owl	amyo'loʔ
3.61	dog	asi'noh
3.614	rabbit	no'teʔ
3.62	cat	[mi'c̷i]
3.622	opossum	lap'ʔi
3.63	mouse, rat	a'maʔ
3.65	fish	wa'hat
3.652	fin (dorsal)	
3.653	fishscale	-la-hʷin-čuʔ
3.654	gill	-la-kˀay'si
3.655	shell	la'nek
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	puh'ɬin
3.665	freshwater eel	ih'ɲaʔ
3.71	wolf	mawu-'tah
3.72	lion	pˀuwa'ɬah
3.73	bear	se'lah
3.74	fox	ma'wu
3.75	deer	čiwa'se
3.76	monkey	hoto'ni
3.77	elephant	we'tah
3.78	camel	--
3.81	insect	
3.811	louse	ɬaʔ
3.812	nit (louse egg)	ɬaʔ ɬeč'eɬ
3.813	flea	mawu-'wu
3.814	centipede	aɬe-po'set
3.815	scorpion	či'c̷on
3.816	cockroach	nahu'luh
3.817	ant	siwah'nas
3.818	spider	ču'hut
3.819	spider web	-ɬa-ka-ni-hyey
3.82	bee	nakuwu-'tah
3.821	beeswax	nakuwu-'tah-ɬes
3.822	beehive	
3.823	wasp	la-'wus
3.83	fly	a'tak
3.831	sandfly (midge), gnat	hʷina'tak
3.832	mosquito	yapi'hna
3.84	worm	hohnat-'wu
3.85	snake	ahʷe'c̷ah
3.91	firefly	hʷito'nah
3.92	butterfly	čukuk
3.93	grasshopper	po'noʔ
3.94	snail	naho'kʷeʔ
3.95	frog	tot'nah
3.96	lizard	čaʔ'laʔ
3.97	crocodile, alligator	aɬe-'tah
3.98	turtle	čita'niʔ
4.11	body	-tˀi'san
4.12	skin, hide	-tˀoh
4.13	flesh	-tˀi'san
4.14	hair (head)	-wu'le-y
4.142	beard	-po'se-y
4.144	body hair	wu'ley
4.145	pubic hair	-wu'le-y
4.146	dandruff	-ɬe'tek-'muk
4.15	blood	-wu'yis
4.151	vein, artery	-wu'yis no'yih
4.16	bone	-ɬi'le
4.162	rib	-sih-ɬi'le
4.17	horn	-čeɬ
4.18	tail	-čos
4.19	back	-hʷapu-ɬ
4.191	spine	-hʷu-ɬi'le
4.2	head	-ɬe'tek
4.201	side of head, temple	-tˀasiʔ
4.202	skull	-ɬe'tek ku'c̷uʔ
4.203	brain	-kahneʔ
4.204	face	-te-'pe
4.205	forehead	-tiʔɬoʔ
4.207	jaw	-čay-ɬi'le
4.208	cheek	-čˀa'lu
4.209	chin	-ku'lun
4.21	eye	-teʔ
4.212	eyebrow	-taču-'sey
4.213	eyelid	-teʔ-tˀoh
4.214	eyelash	-teʔ-hʷis
4.215	blink	
4.22	ear	-čˀu'te
4.221	earlobe	-čˀute-'pes
