entry_id	trans_english	Khamuang_of_Chiang_Mai_Phonemic
1.1	world	lo:k.4
1.21	earth, land	pɨ:n.6 din.2
1.212	earth=ground, soil	khi:.5 din.2
1.213	dust	khi:.5 fun.3
1.214	mud	khi:.5 pɣ.6
1.215	sand	khi:.5 sa:i.2
1.22	mountain, hill	dɔ:i.2
1.222	cliff, precipice	cɔ:m.2 pu:ak.3
1.23	plain, field	na:.5 pha:.1
1.24	valley	toŋ.4
1.25	island	hup.7 khau.1
1.26	mainland	kɔ.7
1.27	shore	pɨ:n.6 din.2 ńai.3
1.28	cave	ta.7 faŋ.3
1.31	water	tham.5
1.32	sea	na:m.6
1.322	calm (of sea)	tha.6 le:.2
1.323	rough (of sea)	khɨ:n.4 sa.7 ńop.6
1.324	foam	mi:.2 khɨ:n.4
1.329	ocean	fo:ŋ.2
1.33	lake	ma.6 ha:.1 sa.7 mut.6
1.34	gulf, bay	tha.6 le:.2 sa:p.3
1.341	lagoon	na:m.6 bɔ:.3
1.342	reef	ʔa:u.3
1.343	headland, point	tha.6 le:.2 sa:p.3 him.2 faŋ.3 tha.6 le:.2
1.35	wave	hin.1 so:.1 kho:k.4
1.352	tide	lɛ:m.1
1.353	lowtide	khɨ:n.4
1.354	hightide	na:m.6 khum.5 na:m.6 loŋ.2
1.36	river, stream, brook	na:m.6 loŋ.2
1.362	whirlpool	na:m.6 khum.5
1.37	spring, well	huai.5
1.38	swamp	na:m.6 won.2
1.39	waterfall	na:m.6 phu.6
1.41	woods, forest	nɔ:ŋ.1
1.42	tree (cf 08.600)	na:m.6 tok.7
1.43	wood	pa:.3
1.44	stone, rock	ton.5 mai.6
1.45	earthquake	mai.6
1.51	sky	ba.7 hin.1
1.52	sun	ba.7 hin.1 nɔ:i.6
1.53	moon	phɛ:n.3 din.2 wai.1
1.54	star	fa:.6
1.55	lightning	ta.7 wan.2
1.56	thunder	dɨ:an.2
1.57	lightning (as striking)	da:u.2
1.58	storm	fa:.6 mɛ:p.4
1.59	rainbow	fa:.6 hɔ:ŋ.6
1.61	light (noun)	fa:.4 hɔ:ŋ.6
1.62	darkness	fa:.6 pha:.3
1.63	shade, shadow	pha:.2 ju.6
1.64	dew	luŋ.6
1.71	air	dɛ:t.3
1.72	wind	mɨ:t.4
1.73	cloud	ŋau.2
1.74	fog	na:m.6 kha:ŋ.6
1.75	rain (noun)	ʔa:.2 ka:t.3
1.76	snow (noun)	lom.2
1.77	ice	me:k.4
1.78	weather	mɣ:i.1
1.81	fire	fon.1
1.82	flame (noun)	hi.7 ma.6
1.83	smoke (noun)	na:m.6 khɛ:ŋ.1
1.84	ashes	ba.7 hep.7
1.841	embers	ʔa:.2 ka:t.3
1.851	burn (vb trans)	fai.2
1.852	burn (vb intrans)	pe:u.2 fai.2
1.86	light, kindle, ignite	khwan.2
1.861	extinguish	khi:.5 tau.5
1.87	match (noun)	tha:n.3 hɔ:n.6
1.88	firewood	mai.5
1.89	charcoal	luk.6
2.1	person, human being	daŋ.2 fai.2
2.21	man (vs. woman)	dap.7
2.22	woman	si:.4 kap.7 fai.2
2.23	male	lua.1
2.24	female	tha:n.3 mai.6
2.25	boy	khon.2
2.251	young man (adolescent)	pɔ:.4 ca:i.2
2.26	girl	mɛ:.4 ńiŋ.1
2.261	young woman (adolescent)	pɔ:.4 ca:i.2
2.27	child	mɛ:.4 ńiŋ.1
2.28	infant, baby	la.6 ʔɔ:n.3 pɔ:.4 ca:i.2
2.31	husband	la.6 ʔɔ:n.3 num.3
2.32	wife	la.6 ʔɔ:n.3 mɛ:.4 ńiŋ.1
2.33	marry	mɛ:.4 ńiŋ.1 sa:u.1
2.34	marriage, wedding	la.6 ʔɔ:n.3
2.341	divorce	la.6 ʔɔ:n.3 nɔ:i.6
2.35	father	phua.1
2.36	mother	mi:a.2
2.37	parents	tɛ:ŋ.3 ŋa:n.2
2.38	married man	ka:n.2 tɛ:ŋ.3 ŋa:n.2
2.39	married woman	la.6
2.41	son	pɔ:.4
2.42	daughter	mɛ:.4
2.43	offspring (son or daughter)	pɔ:.4 mɛ:.4
2.44	brother	pɔ:.4 hɨ:an.2
2.444	older brother	mɛ:.4 hɨ:an.2
2.445	younger brother	lu:k.4 ba:u.3
2.45	sister	lu:k.4 sa:u.1
2.454	older sister	lu:k.4
2.455	younger sister	ʔa:i.5
2.456	sibling	ʔa:i.5 kau.6
2.458	twins	nɔ:ŋ.6 ba:u.3
2.46	grandfather	pi:.4 sa:u.1
2.461	old man	pi:.4 kau.6
2.47	grandmother	nɔ:ŋ.6 sa:u.1
2.471	old woman	pi:.4 nɔ:ŋ.6
2.48	grandson	fɛ:t.3
2.49	granddaughter	ʔui.6
2.51	uncle	to.7 ʔui.6
2.511	mother's brother	ʔui.6
2.512	father's brother	mɛ:.4 ʔui.6
2.52	aunt	la:n.1 ba:u.3
2.521	mother's sister	la:n.1 ńiŋ.1
2.522	father's sister	luŋ.2
2.53	nephew	na:.6
2.54	niece	ʔa:.2
2.55	cousin	pa:.5
2.56	ancestors	na:.6
2.57	descendants	ʔa:.2
2.61	father-in-law (of a man)	la:n.1 ba:u.3
2.611	father-in-law (of a woman)	la:n.1 sa:u.1
2.62	mother-in-law (of a man)	pi:.4 nɔ:ŋ.6
2.621	mother-in-law (of a woman)	kau.6 ŋau.5
2.63	son-in-law (of a man)	lu:k.4 la:n.1
2.631	son-in-law (of a woman)	pɔ:.4 phua.1
2.64	daughter-in-law (of a man)	pɔ:.4 mi:a.6
2.641	daughter-in-law (of a woman)	mɛ:.4 phua.1
2.71	stepfather	mɛ:.4 mi:a.6
2.72	stepmother	lu:k.4 khɣ:i.1
2.73	stepson	lu:k.4 khɣ:i.1
2.74	stepdaughter	lu:k.4 pai.6
2.75	orphan	lu:k.4 pai.6
2.76	widow	pɔ:.4 li:aŋ.6
2.77	widower	mɛ:.4 li:aŋ.6
2.81	relatives, kinsmen	lu:k.4 li:aŋ.6
2.82	family	lu:k.4 li:aŋ.6
2.91	I	la.6 ʔɔ:n.3 kam.2 pha:.6
2.92	you (singular)	mɛ:.4 ma:i.5
2.93	he/she/it	pɔ:.4 ma:i.5
2.94	we	pi:.4 nɔ:ŋ.6
2.941	we (inclusive)	khɔ:p.4 khua.2
2.942	we (exclusive)	ha:.2
2.95	you (plural)	kiŋ.2
2.96	they	mɨŋ.2
3.11	animal	hau.2
3.12	male (adj)	hau.2
3.13	female (adj)	mu:.3 hau.2
3.15	livestock	hau.2; hau.2
3.16	pasture	mu:.3 kiŋ.2
3.18	herdsman	tɨŋ.2 ku:.4
3.19	stable, stall	mu:.3 khau.1
3.2	cattle (bovine)	sat.7
3.21	bull	tua.2 pu:.6
3.22	ox	tua.2 mɛ:.4
3.23	cow	toŋ.4
3.24	calf	khon.2 li:aŋ.2
