entry_id	trans_english	Shan_Phonemic
1.1	world	lɔ:.1-ka.5; lum.2 pha:.5
1.21	earth, land	phjɛ:n.2 lin.3
1.212	earth=ground, soil	li:n.3
1.213	dust	phun.2; phun.2 muk.5
1.214	mud	ko:m.2; ʔuŋ.3
1.215	sand	sa:j.1
1.22	mountain, hill	lɔ:j.3
1.222	cliff, precipice	lun.3 po:k.2
1.23	plain, field	na:.4 pha:.3
1.24	valley	thuŋ.5
1.25	island	ho:j.4; hoj.4 lɔ:j.4; hoj.4 hɔ:ŋ.4
1.26	mainland	ku:n.3; kun.3 ka:ŋ.3
1.27	shore	phɛ:n.2 lin.3; phɛ:n.2 lin.3 jaj.2
1.28	cave	can.1; phaŋ.2; him.1 phaŋ.2
1.31	water	tham.5
1.32	sea	nam.5
1.322	calm (of sea)	pa:ŋ.2 la:j.2
1.323	rough (of sea)	khɨn.5 nim.3 nim.3
1.324	foam	mi:.1 khɨn.5
1.329	ocean	pun.1 po:k.2
1.33	lake	nam.5 sa.2-muk.2-ta.2-la:.2 lo:ŋ.3
1.34	gulf, bay	kha:j.1 ʔuŋ.3 lo:ŋ.3
1.341	lagoon	nam.5 mɔ:.2; ʔa:ŋ.2 nam.5
1.342	reef	nɔ:ŋ.3 lo:ŋ.3
1.343	headland, point	nam.5 cem.1; ʔəŋ.2 nam.5 cem.1
1.35	wave	ma:k.2 hin.3 ha:ŋ.4 woj.2
1.352	tide	ljɛ:m.3
1.353	lowtide	khɨn.5 pen.3 pɔ:k.4
1.354	hightide	nam.5 khɨn.5 nam.5 loŋ.1; hɛ:ŋ.1 nam.5
1.36	river, stream, brook	nam.5 jop.5 nam.5 jɔ:m.1
1.362	whirlpool	nam.5 khɨn.5
1.37	spring, well	mɛ:.4 nam.5; nam.5 hoj.4
1.38	swamp	nam.5 pan.2
1.39	waterfall	nam.5 puŋ.4
1.41	woods, forest	nɔ:ŋ.3; nam.5 nɔ:ŋ.3
1.42	tree (cf 08.600)	nam.5 tok.1
1.43	wood	thə:n.2
1.44	stone, rock	ton.4 maj.5
1.45	earthquake	maj.5
1.51	sky	ma:k.2 hin.3
1.52	sun	met.5 hin.3
1.53	moon	phɛn.2 lin.3 san.2
1.54	star	pha:.5; tɔ:ŋ.5 pha:.5
1.55	lightning	ka:ŋ.3 wan.1; luk.4 ka:ŋ.3 wan.1
1.56	thunder	lə:n.3; puŋ.1 pa:ŋ.1 lə:n.3
1.57	lightning (as striking)	la:w.3
1.58	storm	pha:.5 mjɛp.4
1.59	rainbow	pha:.5 laŋ.3
1.61	light (noun)	laŋ.3 to:.4 kwa:.2 se:ŋ.4
1.62	darkness	pha:.5 pha:.2
1.63	shade, shadow	lom.1 phi:.3 huŋ.3
1.64	dew	hoŋ.1-haj.1; hoŋ.1-haj.1 tok.1 kin.3 nam.5
1.71	air	ŋaw.1; ŋaw.1 lɛ:t.2
1.72	wind	ti:.4 lap.1 siŋ.2
1.73	cloud	ŋaw.1
1.74	fog	nam.5 na:j.1
1.75	rain (noun)	ʔa:.2-ka:.2-sa.5
1.76	snow (noun)	lom.1
1.77	ice	pha:.5 saw.4
1.78	weather	mɔ:k.2 kum.4
1.81	fire	phon.3
1.82	flame (noun)	nam.5 na:j.1
1.83	smoke (noun)	nam.5 kɔ:n.4
1.84	ashes	ma:k.2 hep.1
1.841	embers	phɔ:ŋ.1 ja:m.1 phon.3 lom.1
1.851	burn (vb trans)	phaj.1
1.852	burn (vb intrans)	piaw.3 phaj.1
1.86	light, kindle, ignite	kwan.1
1.861	extinguish	xi:.4 taw.4
1.87	match (noun)	tha:n.2 phaj.1
1.88	firewood	phaw.3; maj.4
1.89	charcoal	luk.5; maj.4
2.1	person, human being	cap.1 phaj.1; cut.2 phaj.1; saj.2 phaj.1
2.21	man (vs. woman)	mɔ:t.5; mɔ:t.5 phaj.1
2.22	woman	maj.5 phaj.1 khi:t.2
2.23	male	phɨn.1
2.24	female	tha:n.2 phaj.1
