entry_id	trans_english	Proto_Polynesian_Phonemic
1.1	world	
1.21	earth, land	PPN *ʔuta; *nuku; *fanua; *kele
1.212	earth=ground, soil	PPN *kele; *fanua; *kau; *ta(a)kaŋa; PEP *repo
1.213	dust	PPN *efu; PNP *pu(u)-efu; *(r)efu; *lefu; *pUefu
1.214	mud	PPN *(ʔ)oru; *(q)oru; *pela; *kele; *repo; *Lepo; *taʔe
1.215	sand	PPN *ʔone; *qone; *'one; *oneone; *kili-kili
1.22	mountain, hill	PPN *maʔuŋa; *maquŋa; *siwi; *afu; *tuqasiwi
1.222	cliff, precipice	*PPN *mato; *pari; *paLi; *kala
1.23	plain, field	PPN *papa
1.24	valley	
1.25	island	PPN *motu
1.26	mainland	
1.27	shore	PPN *quta
1.28	cave	PPN *ʔana; *qana
1.31	water	PPN *vai; *wai; *wari; *waLi; *suu; *sū; *su-a; *lanu
1.32	sea	PPN *wasa; *tahi; *tasi; *miti; *moano; *lau
1.322	calm (of sea)	
1.323	rough (of sea)	PPN *sou; *lepu; *lili
1.324	foam	PPN *pusa; *fiho; *fuka; *huka; PEP *fuka
1.329	ocean	
1.33	lake	PPN *loto; *namo; *rano; *lano; *ʔano
1.34	gulf, bay	PPN *fana; *faŋa; *mana
1.341	lagoon	PPN *loto; *nama
1.342	reef	PPN *awa; *hakau; *moana; *ʔulu-ʔulu; *feo; *puŋa; *lase
1.343	headland, point	PPN *mata; *la(q)e; *siku
1.35	wave	PPN *peau; *pali; *ŋalu; *(ṅ)-alu; PEP *kale
1.352	tide	
1.353	lowtide	PPN *(ma)masa
1.354	hightide	PPN *huʔa; *huqa; *ua
1.36	river, stream, brook	PPN *wai-tafe; *pihi; *sali; *tafe
1.362	whirlpool	PPN *lipo; *Lipo
1.37	spring, well	PPN *puna; *pun-a; *fun-a; *tupu
1.38	swamp	PPN *rano; *fusi; *(q)oru; *lepu; *lepo
1.39	waterfall	PPN *safu; *hafu
1.41	woods, forest	PPN *wao; *ŋaheze; *ŋaheLe; PEP *ŋahele
1.42	tree (cf 08.600)	PPN *kau; *kai; *fuʔu; *fuqu; *waqakau; *qakau; *raʔa
1.43	wood	PPN *kai; *kau; *raʔakau; *raqakau; *(ra)ʔakau
1.44	stone, rock	PPN *maka; *kala; *kalaa; *ʔutu; *fatu; *koofatu; *poofatu; *teko
1.45	earthquake	
1.51	sky	PPN *laŋi; *laṅi
1.52	sun	PPN *ʔaho <qaho>; *laqa(a); *laʔA; *laʔa(a)
1.53	moon	PPN *maasina; *ma-sina; *ma-lama; *kawake
1.54	star	PPN *fetuʔu; *fetuqu; *fetu'u; *fetū
1.55	lightning	PPN *ʔuhila; *quhila; *(u)hila
1.56	thunder	PPN *fatitili
1.57	lightning (as striking)	PPN *suwelo
1.58	storm	PPN *afaa; *'afaa(t); *'afā(t)
1.59	rainbow	PPN *ʔumata; *(a)nuanua; PNP *nua-nua
1.61	light (noun)	PPN *rama; *lama; *ʔama; *'ama; *marama; *maarama; *hina; *sina; *sulu; *su sulu; *huelo
1.62	darkness	PPN *kele; *po(o)ʔuli. *po(o)quli; *matuke; *kiwa; *liko; PEP *kele
1.63	shade, shadow	PPN *malu; *qata; *ʔata; *ata
1.64	dew	PPN *sau; *sasau; *sa'u; *afu afu
1.71	air	PPN *saʔu
1.72	wind	PPN *muLe; *muze; *mataŋi; *mat-aṅi; *sau; *sau-sau; *sawili; *ti(q)u; *tiu
1.73	cloud	PPN *ao; *ʔao; <qao>; *kapua; *puulefu
1.74	fog	PPN *hau; *kofu; *k(a, o)fu; *puulefu
1.75	rain (noun)	PPN *ʔuha <*quha>; *timu
1.76	snow (noun)	
1.77	ice	
1.78	weather	
