entry_id	trans_english	Páez_Phonemic
1.1	world	kiwe
1.21	earth, land	kiwe
1.212	earth=ground, soil	kiwe
1.213	dust	tuhd
1.214	mud	tʸitʸ
1.215	sand	muse
1.22	mountain, hill	βic̷ wala; thãʔh
1.222	cliff, precipice	[penʸa]
1.23	plain, field	tʸak
1.24	valley	ukwe kiwe
1.25	island	
1.26	mainland	
1.27	shore	yuʔ-puka
1.28	cave	kaΦ
1.31	water	yuʔ
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	buʔč
1.329	ocean	
1.33	lake	ĩkh wala
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	yuʔ tũčha-'sa
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	yuʔ-wala
1.362	whirlpool	
1.37	spring, well	yuʔ-[pusu]
1.38	swamp	tʸitʸ wala
1.39	waterfall	kiʔna
1.41	woods, forest	yuʔkh wala
1.42	tree (cf 08.600)	Φtũũ taš
1.43	wood	Φtũũ
1.44	stone, rock	kwet
1.45	earthquake	ehd
1.51	sky	ẽẽ c̷ẽy
1.52	sun	sek
1.53	moon	aʔte
1.54	star	ãʔ
1.55	lightning	kpiʔš
1.56	thunder	kpiʔš
1.57	lightning (as striking)	kpiʔš kwehne-
1.58	storm	
1.59	rainbow	kythũũs
1.61	light (noun)	eenaʔ
1.62	darkness	čhiʔdʸ wala
1.63	shade, shadow	p-šũũ; p-naasa
1.64	dew	sud yuʔ
1.71	air	wexʸa
1.72	wind	wexʸa
1.73	cloud	tããph
1.74	fog	tããph
1.75	rain (noun)	nus
1.76	snow (noun)	yãdʸ
1.77	ice	yuʔ-kwet
1.78	weather	en
1.81	fire	ipy
1.82	flame (noun)	ipy kleeči
1.83	smoke (noun)	ah
1.84	ashes	khuuc̷
1.841	embers	čhãʔ-čha
1.851	burn (vb trans)	beh-
1.852	burn (vb intrans)	čhaβy-
1.86	light, kindle, ignite	pkiʔta-
1.861	extinguish	Φĩčha-
1.87	match (noun)	
1.88	firewood	eʔkxʸ
1.89	charcoal	čhãʔ-čha
2.1	person, human being	nasa
2.21	man (vs. woman)	pic̷-thẽʔh
2.22	woman	uʔy
2.23	male	pihc̷
2.24	female	uʔy
2.25	boy	kwẽ
2.251	young man (adolescent)	pic̷-taky
2.26	girl	wesa-kwẽ
2.261	young woman (adolescent)	knaʔsa
2.27	child	luuč
2.28	infant, baby	luuč-kwẽ
2.31	husband	n-yu
2.32	wife	n-miʔ
2.33	marry	ptamu-
2.34	marriage, wedding	ptamu en
2.341	divorce	n-yu-ʔs wããtãh-ni
2.35	father	tata; ney
2.36	mother	mama
2.37	parents	tata-weʔš
2.38	married man	iiyuu
2.39	married woman	iimiʔ
2.41	son	n-čiʔk
2.42	daughter	niisa
2.43	offspring (son or daughter)	yaʔ-luč
2.44	brother	yakh-thẽʔh
2.444	older brother	
2.445	younger brother	
2.45	sister	yakh-thẽʔh
2.454	older sister	
2.455	younger sister	
2.456	sibling	yakh-thẽʔh
2.458	twins	[melʸisu]
2.46	grandfather	tata-wala
2.461	old man	thẽʔh
2.47	grandmother	mama-wala
2.471	old woman	pež
2.48	grandson	c̷un
2.49	granddaughter	c̷un
2.51	uncle	['tio]
2.511	mother's brother	kahka
2.512	father's brother	yũũkwe
2.52	aunt	['tia]
2.521	mother's sister	pee-yũkwe
2.522	father's sister	pee-c̷uhc̷
2.53	nephew	[sobrinu]
2.54	niece	[sobrina]
2.55	cousin	yakh-thẽʔh
2.56	ancestors	yac̷-ɣa-thẽʔh-weʔš
2.57	descendants	hiʔh
2.61	father-in-law (of a man)	kahka-thẽʔh
2.611	father-in-law (of a woman)	kahka-thẽʔh
2.62	mother-in-law (of a man)	uʔy-thẽʔh
2.621	mother-in-law (of a woman)	uʔy-thẽʔh
2.63	son-in-law (of a man)	duh
2.631	son-in-law (of a woman)	duh
2.64	daughter-in-law (of a man)	kwẽ-miyu
2.641	daughter-in-law (of a woman)	kwẽ-miyu
2.71	stepfather	ney n-paa-sa
2.72	stepmother	n-hĩʔh n-paa-sa
2.73	stepson	n-čiʔk n-paa-sa
2.74	stepdaughter	niisa n-paa-sa
2.75	orphan	[wakča]
2.76	widow	eč uʔy
2.77	widower	eč pihc̷
2.81	relatives, kinsmen	n-weʔš
2.82	family	yat-te-weʔš
2.91	I	adʸ (m.); ũʔkwe (f.)
2.92	you (singular)	idʸ (m.); iʔkwe (f.)
2.93	he/she/it	tʸãã
2.94	we	kweʔš
2.941	we (inclusive)	kweʔš
2.942	we (exclusive)	kweʔš
