entry_id	trans_english	Chácobo_Phonemic
3.821	beeswax	ṣ̌ɨto; βoi; βoičo
3.822	beehive	
3.823	wasp	βina
3.83	fly	ṣ̌aβina; naka
3.831	sandfly (midge), gnat	sɨβɨ
3.832	mosquito	βii
3.84	worm	ṣ̌ɨna
3.85	snake	rono
3.91	firefly	koki
3.92	butterfly	hotoro
3.93	grasshopper	čapo
3.94	snail	kosɨ
3.95	frog	βɨṣ̌ko
3.96	lizard	ṣ̌aβa
3.97	crocodile, alligator	kapɨ-; kapɨ-tɨ
3.98	turtle	nɨṣ̌o
4.11	body	yora
4.12	skin, hide	βiči
4.13	flesh	nami
4.14	hair (head)	βoo
4.142	beard	kɨni
4.144	body hair	rani; koβo
4.145	pubic hair	ṣ̌ani
4.146	dandruff	ma-βɨṣ̌pɨ
4.15	blood	himi
4.151	vein, artery	pono
4.16	bone	ṣ̌ao
4.162	rib	piši
4.17	horn	mawi
4.18	tail	hina
4.19	back	ka-tɨ
4.191	spine	kaṣ̌o
4.2	head	ma-po
4.201	side of head, temple	ispara
4.202	skull	mapo-ṣ̌ao
4.203	brain	mapi
4.204	face	βɨ-mana
4.205	forehead	βɨ-mana
4.207	jaw	kɨwi
4.208	cheek	ta-mo
4.209	chin	kɨwi
4.21	eye	βɨ-ro; wɨro
4.212	eyebrow	wɨško
4.213	eyelid	βɨšti
4.214	eyelash	βɨṣ̌pɨ; wɨšpi
4.215	blink	βɨri-
4.22	ear	paʔoki
4.221	earlobe	paʔoki-c̷irɨso
4.222	earwax	paβɨṣ̌a
4.23	nose	rɨ-ṣ̌aki
4.231	nostril	rɨ-kini
4.232	mucus (nasal)	siiʔaka-
4.24	mouth	ha-na
4.241	beak	ṣ̌ɨta
4.25	lip	kɨ-βiči
4.26	tongue	ha-; ha-na
4.27	tooth	ṣ̌ɨ-ta
4.271	gums	ṣ̌ɨta-katɨ
4.272	molartooth	mača
4.28	neck	tɨ-poko
4.281	nape of neck	tɨ-pata; tɨṣ̌o
4.29	throat	tɨ-poko
4.3	shoulder	pipati; βac̷isto
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	po-ya-mɨ
4.312	armpit	piškini
4.32	elbow	βaṣ̌-poto
4.321	wrist	mɨ-poto
4.33	hand	mɨ; mɨ-kɨ-nɨ
4.331	palm of hand	mɨ-kɨ para
4.34	finger	mɨ-či
4.342	thumb	
4.344	fingernail	mɨ-c̷isi
4.345	claw	mɨ-c̷isi
4.35	leg	wiko
4.351	thigh	kiši
4.352	calf of leg	wipoko
4.36	knee	ra-poto
4.37	foot	ta-ʔɨ
4.371	ankle	ho-poto
4.372	heel	c̷iposto
4.374	footprint	hawɨ-taʔɨ
4.38	toe	ho-či
4.392	wing	pɨ-ʔi
4.393	feather	pɨ-ʔi
4.4	chest	šipati
4.41	breast (of woman)	ṣ̌oma
4.412	nipple, teat	čočo
4.42	udder	
4.43	navel	noro
4.44	heart	ho[w]iti
4.441	lung	taša
4.45	liver	taka
4.451	kidney	katoko; tika
4.452	spleen	tasi
4.46	stomach	takɨpɨ
4.461	intestines, guts	poko
4.462	waist	
4.463	hip	čipoto
4.464	buttocks	čikaṣ̌a
4.47	womb	ṣ̌anɨ
4.49	testicle	hoβo βači
4.492	penis	hina
4.51	breathe, breath	ṣ̌aka-; ṣ̌ɨo-
4.52	yawn, gape	hao-
4.521	hiccough	c̷ɨko-
4.53	cough	oko-
4.54	sneeze	atiša-
4.55	perspire	niska-
4.56	spit	kɨyono
4.57	vomit	hana-
4.58	bite	tɨṣ̌a-
4.59	lick	taṣ̌o-
4.591	dribble	
4.61	sleep	oṣ̌a-
4.612	snore	raska-
4.62	dream	nama-
4.63	wake up	βɨpɨke; βɨpɨka-
4.64	break wind	c̷ipisi
4.65	urinate	hiso-
4.66	defecate	moa-; poʔi-
4.67	have sexual intercourse	čota-
4.68	shiver	saki saki
4.69	bathe	aši-
4.71	beget (of father)	
4.72	born (to be)	ko-
4.73	pregnant	toʔoya
4.732	conceive	haya-ti
4.74	live, living, life	βɨso
4.75	die, dead	na-; rɨ-so-
4.751	drowned	hɨtɨkɨ
4.76	kill	kaka-; tɨpas-; a-
4.77	corpse	
4.78	bury (the dead)	maiwa-
4.79	grave, tomb	hawɨ-mai
4.81	strong, mighty, powerful	čama
4.82	weak	čama-yama
4.83	well, health	hɨnima
4.84	sick, sickness	anoma
4.841	fever	iki-
4.842	goiter	
4.843	cold (catarrh)	nati
4.85	wound, sore	βono; isi-
4.852	bruise	nato
4.853	swelling	noβa-; noβoko-
4.854	itch	ṣ̌oa; ṣ̌oa-ṣ̌ɨni
4.855	blister	čošo-; roho-
4.856	boil (noun)	βiši; toko
4.857	pus	koo
4.858	scar	wišiki
4.86	cure, heal	sinomis
4.87	physician	
4.88	medicine, drug	raoti
4.89	poison	kapi
4.91	tired, weary	hoβi-; paki-
4.912	rest	hoi-
4.92	lazy	čikiš
4.93	bald	maβa'ra
4.94	lame	taški
4.95	deaf	patoši
4.96	mute	haro
4.97	blind	βɨko-
4.98	intoxicated	paʔɨ-
4.99	naked, bare	c̷oβo-ko
5.11	eat	pi-
5.12	food	ṣ̌ɨpɨpoi
5.121	cooked	šɨrɨha
5.122	raw	paṣ̌a
5.123	ripe	šini-
5.124	green, unripe	ṣ̌oo; ṣ̌atɨ ṣ̌oo
5.125	rotten	βoaṣ̌a; pisi
5.13	drink	a-
5.14	hunger	paṣ̌na-; βinia-
5.141	famine	βiniatiya
5.15	thirst	tɨ-šina-
5.16	suck	c̷opaʔa-
5.18	chew	naka-; tao-
5.181	swallow	ṣ̌ɨʔa-
5.19	choke	tɨ-mos
5.21	cook	hoosi-
5.22	boil (vb)	kohno
5.23	roast, fry	ima-
5.24	bake	ṣ̌oʔi-
5.25	oven	
5.26	pot, cooking vessel	paiti; oria
5.27	kettle	
5.28	pan	
5.31	dish	
5.32	plate	[rata]
5.33	bowl	pitɨṣ̌ti
5.34	pitcher, jug	čomo
5.35	cup, drinking vessel	
5.36	saucer	
5.37	spoon	wɨṣ̌-ti
5.38	knife	manɨ
5.39	fork	
5.391	tongs	
5.41	meal (a)	orikiti
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	raṣ̌o; ṣ̌oka-
5.47	sieve, strain	toa-ti
5.48	scrape	čoro
5.49	stir, mix	roi-a-
5.51	bread	mapari
5.53	dough	nɨmos-ati
5.54	knead	nɨmos-
5.55	meal, flour	ac̷a moto
5.56	crush, grind	rɨnɨ-
5.57	mill	
5.58	mortar	ṣ̌aṣ̌o
5.59	pestle	timati; čapi
5.61	meat	nami
5.63	sausage	
5.64	soup, broth	βɨtɨmɨ
5.65	vegetables	βimi
5.66	bean	
5.7	potato	--
5.71	fruit	βimi
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	pama
5.78	olive	--
5.79	oil	ṣ̌ɨni
5.791	grease, fat	ṣ̌ɨni
5.81	salt	čopara
5.82	pepper	
5.821	chili pepper	yoči
5.84	honey	βata
5.85	sugar	
5.86	milk (noun)	ṣ̌oma
5.87	milk (vb)	
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	hɨnɨ; kawi
5.91	mead	
5.92	wine	
5.93	beer	
5.94	fermented drink	hɨnɨ-šapo
5.97	egg	βači
5.971	egg yolk	
6.11	put on (clothes)	sawɨ-
6.12	clothing, clothes	sawɨ-ti
6.13	tailor	--
6.21	cloth	raiti
6.22	wool	
6.23	linen, flax	--
6.24	cotton	waṣ̌mɨ-nɨ
6.25	silk	--
6.27	felt	--
6.28	fur	rani
6.29	leather	βic̷i
6.31	spin	risisi-
6.32	spindle	iwi
6.33	weave	ṣ̌apo-
6.34	loom	
6.35	sew	kɨṣ̌a-
6.36	needle	sopiri
6.37	awl	
6.38	thread	risisi
6.39	dye	
6.41	cloak	
6.411	poncho	
6.42	woman's dress	ṣ̌apanati; raiti
6.43	coat	
6.44	shirt	raiti
6.45	collar	
6.46	skirt	
6.461	grass-skirt	--
6.48	trousers	[pata'ro]
6.49	stocking, sock	
6.51	shoe	
6.52	boot	
6.54	shoemaker, cobbler	--
6.55	hat, cap	šaβi
6.57	belt, girdle	pɨpana
6.58	glove	--
6.59	veil	--
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	
6.73	ring (for finger)	mɨkɨ-raati
6.74	bracelet	
6.75	necklace	tɨwɨti
6.76	bead	amɨ-čirotamɨšti
6.77	earring	amɨno; paʔoki
6.78	headband, headdress	čaʔa
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	βowɨṣ̌-
6.92	brush	
6.921	braid	
6.93	razor	
6.94	ointment	
6.95	soap	
6.96	mirror	βɨisiti
