entry_id	trans_english	Armenian,_Western_Phonemic
1.1	world	ašxarh
1.21	earth, land	yergir, yergrakunt
1.212	earth=ground, soil	hoɣ
1.213	dust	poši
1.214	mud	c̷ex
1.215	sand	avaz
1.22	mountain, hill	ler, p[ə]lur
1.222	cliff, precipice	žayr, antunt, vih
1.23	plain, field	hartavayr, tašd
1.24	valley	hovid, c̷or
1.25	island	g[ə]ɣzi
1.26	mainland	c̷amakamas
1.27	shore	d͜zovap, d͜zovez[ə]r, d͜zovezerk
1.28	cave	ayr, karayr, karanc̷av
1.31	water	čur
1.32	sea	d͜zov
1.322	calm (of sea)	hantard, xaɣag
1.323	rough (of sea)	alegod͜z, potorgod
1.324	foam	p[ə]rpur
1.329	ocean	ovgianos
1.33	lake	liǰ
1.34	gulf, bay	d͜zovad͜zoc̷, d͜zovaxorš
1.341	lagoon	d͜zovaliǰ
1.342	reef	xarag, xut
1.343	headland, point	h[ə]rvantan
1.35	wave	alik
1.352	tide	xaɣac̷k
1.353	lowtide	deɣad[ə]vutyun
1.354	hightide	mag[ə]ntac̷utyun
1.36	river, stream, brook	ked, hosank, aru
1.362	whirlpool	horc̷ank, č[ə]rab[ə]duyd
1.37	spring, well	aɣpyur, ag, č[ə]rhor, hor
1.38	swamp	ǰahiǰ
1.39	waterfall	č[ə]rvež
1.41	woods, forest	andar
1.42	tree (cf 08.600)	d͜zar
1.43	wood	payd
1.44	stone, rock	kar, žayr
1.45	earthquake	yergrašarž
1.51	sky	yergink
1.52	sun	arev
1.53	moon	lusin
1.54	star	asd[ə]ɣ
1.55	lightning	gayd͜zag, paylag
1.56	thunder	vorod
1.57	lightning (as striking)	gayd͜zagnaharum
1.58	storm	potorig, m[ə]rrig
1.59	rainbow	d͜zirani kodi, d͜ziad͜zan
1.61	light (noun)	luys
1.62	darkness	mut, xavar
1.63	shade, shadow	[ə]sdver, šuk
1.64	dew	c̷oɣ
1.71	air	ot
1.72	wind	hov, kami
1.73	cloud	amb
1.74	fog	m[ə]šuš, maraxuɣ
1.75	rain (noun)	anc̷rev
1.76	snow (noun)	c̷yun
1.77	ice	sar
1.78	weather	ot, yeɣanag
1.81	fire	grag
1.82	flame (noun)	poc̷
1.83	smoke (noun)	d͜zux, mux
1.84	ashes	moxir
1.841	embers	anteɣ, dap
1.851	burn (vb trans)	ayrel
1.852	burn (vb intrans)	ayril, varil
1.86	light, kindle, ignite	varel, ayrel, h[ə]rgizel, p[ə]r[ə]ngec̷[ə]nel
1.861	extinguish	marel
1.87	match (noun)	luc̷gi
1.88	firewood	varelapayd
1.89	charcoal	ad͜zux
2.1	person, human being	anc̷, mart
2.21	man (vs. woman)	d[ə]ɣamart, ayr
2.22	woman	gin
2.23	male	aru, aragan ser
2.24	female	ek, ikagan ser
2.25	boy	d[ə]ɣa
2.251	young man (adolescent)	badani
2.26	girl	aɣčig
2.261	young woman (adolescent)	aɣčig, yeridasartuhi, oriort
2.27	child	yeraxa, zavag
2.28	infant, baby	manug, yeraxa
2.31	husband	amusin
2.32	wife	gin
2.33	marry	amusnanal
2.34	marriage, wedding	amusnutyun, harsnik
2.341	divorce	amusnalud͜zum, abaharzan
2.35	father	hayr
2.36	mother	mayr
2.37	parents	d͜z[ə]noɣk
2.38	married man	amusnac̷ad͜z d[ə]ɣamart
2.39	married woman	amusnac̷ad͜z gin
2.41	son	vorti, d[ə]ɣa
2.42	daughter	tusd[ə]r, aɣčig
