entry_id	trans_english	Avestan_Phonemic
4.11	body	kəhrp-; tanū-
4.12	skin, hide	surī-; čarəman
4.13	flesh	gav-
4.14	hair (head)	varəsa-
4.142	beard	
4.144	body hair	gaona-
4.145	pubic hair	
4.146	dandruff	
4.15	blood	vohunī-
4.151	vein, artery	
4.16	bone	ast-
4.162	rib	parəsu-
4.17	horn	srū-; srvā-
4.18	tail	duma-
4.19	back	paršta-
4.191	spine	
4.2	head	sarah-; sāra-; vaɣða-na
4.201	side of head, temple	
4.202	skull	mastrəɣan-
4.203	brain	mastrəɣan-
4.204	face	ainika-; čiθra-
4.205	forehead	ainika-
4.207	jaw	zānu-
4.208	cheek	
4.209	chin	
4.21	eye	čašman-; dōiθra-; aši
4.212	eyebrow	brvat-
4.213	eyelid	
4.214	eyelash	
4.215	blink	
4.22	ear	gaoša-; karəna-
4.221	earlobe	
4.222	earwax	
4.23	nose	nāh-
4.231	nostril	
4.232	mucus (nasal)	
4.24	mouth	āh-; zafar-
4.241	beak	
4.25	lip	aošta
4.26	tongue	hizvā-; hizū-
4.27	tooth	dātā-; dantan-
4.271	gums	
4.272	molartooth	
4.28	neck	manaoθri-; grīvā-
4.281	nape of neck	
4.29	throat	garəman-; garō
4.3	shoulder	supti-; daoš-
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	bāzu-
4.312	armpit	
4.32	elbow	arəθna-
4.321	wrist	
4.33	hand	zasta-; gu-
4.331	palm of hand	
4.34	finger	ərəzu-; angušta
4.342	thumb	
4.344	fingernail	srū-; srvā-
4.345	claw	
4.35	leg	paitištāna-
4.351	thigh	
4.352	calf of leg	
4.36	knee	žnu-
4.37	foot	pad-; paiðyā; zbaraθa-; dvariθra-
4.371	ankle	
4.372	heel	
4.374	footprint	
4.38	toe	angušta-
4.392	wing	parəna-
4.393	feather	parəna-
4.4	chest	varah-
4.41	breast (of woman)	fštāna-
4.412	nipple, teat	
4.42	udder	
4.43	navel	nāfa-
4.44	heart	zərəd-
4.441	lung	
4.45	liver	yākarə
4.451	kidney	
4.452	spleen	
4.46	stomach	udara-; maršū-
4.461	intestines, guts	
4.462	waist	
4.463	hip	
4.464	buttocks	
4.47	womb	garəwa-; barəθrī-
4.49	testicle	ərəzi
4.492	penis	
4.51	breathe, breath	ānti-; parānti-
4.52	yawn, gape	
4.521	hiccough	
4.53	cough	
4.54	sneeze	
4.55	perspire	xʷaēða-
4.56	spit	spāma-
4.57	vomit	vam-
4.58	bite	dąs-
4.59	lick	raēz-
4.591	dribble	
4.61	sleep	xʷap-; xʷafna-
4.612	snore	
4.62	dream	
4.63	wake up	gar-
4.64	break wind	pərəd-
4.65	urinate	miz-; maēsma-; maēsman-
4.66	defecate	ri-; mūθra-; gūθa-
4.67	have sexual intercourse	miθ-
4.68	shiver	
4.69	bathe	
4.71	beget (of father)	us-zan-
4.72	born (to be)	zan-; hu-
4.73	pregnant	puθrā-
4.732	conceive	
4.74	live, living, life	ǰīv-; ǰīva-; ǰīvya
4.75	die, dead	mar-; riθ-; mərəta-
4.751	drowned	
4.76	kill	ǰan-; fra-kuš-; mərəč-
4.77	corpse	nasu-; kəhrp
4.78	bury (the dead)	nasu-spaya
4.79	grave, tomb	uzdāna-
4.81	strong, mighty, powerful	sūra-; aoǰahvant-; amavant-
4.82	weak	asūra-
4.83	well, health	drva-; abanta-; drva-tāt-
4.84	sick, sickness	banta-; bazda; yaska-
4.841	fever	
4.842	goiter	
4.843	cold (catarrh)	
4.85	wound, sore	xʷara-
4.852	bruise	
4.853	swelling	
4.854	itch	
4.855	blister	
4.856	boil (noun)	
4.857	pus	
4.858	scar	
4.86	cure, heal	bišaz-
4.87	physician	vīmad-
4.88	medicine, drug	baēšaza-
4.89	poison	viš-; viša-
4.91	tired, weary	
4.912	rest	
4.92	lazy	əvərəzika-
4.93	bald	kaurva-
4.94	lame	
4.95	deaf	karəna-; asrut-gaoša-
4.96	mute	afravaoča-
4.97	blind	anda-
4.98	intoxicated	mað-
4.99	naked, bare	maɣna-
5.11	eat	xʷar-; gah-
5.12	food	xʷarəθa-; pitu-
5.121	cooked	
5.122	raw	
5.123	ripe	
5.124	green, unripe	
5.125	rotten	
5.13	drink	xʷar-
5.14	hunger	šud-
5.141	famine	
5.15	thirst	taršna-
5.16	suck	
5.18	chew	
5.181	swallow	
5.19	choke	
5.21	cook	pač-
5.22	boil (vb)	pač-; yah-
5.23	roast, fry	pač-
5.24	bake	pač-
5.25	oven	
5.26	pot, cooking vessel	xumba-; dišta-
5.27	kettle	
5.28	pan	
5.31	dish	
5.32	plate	
5.33	bowl	
5.34	pitcher, jug	
5.35	cup, drinking vessel	tašta-
5.36	saucer	
5.37	spoon	
5.38	knife	
5.39	fork	
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	sūirya-
5.43	lunch	
5.44	dinner	
5.45	supper	xšafnya-
5.46	peel	
5.47	sieve, strain	
5.48	scrape	
5.49	stir, mix	raēθwa-
5.51	bread	
5.53	dough	gunda-
5.54	knead	
5.55	meal, flour	pištra-
5.56	crush, grind	
5.57	mill	suduš-
5.58	mortar	
5.59	pestle	
5.61	meat	gav-
5.63	sausage	
5.64	soup, broth	
5.65	vegetables	
5.66	bean	
5.7	potato	
5.71	fruit	
5.712	bunch	
5.75	fig	
5.76	grape	
5.77	nut	
5.78	olive	
5.79	oil	
5.791	grease, fat	
5.81	salt	
5.82	pepper	
5.821	chili pepper	
5.84	honey	*paēna-
5.85	sugar	
5.86	milk (noun)	payah-; xšvīd-
5.87	milk (vb)	
5.88	cheese	fšutā-; tūiri-
5.89	butter	raoɣna-
5.9	beverage, drink	
5.91	mead	
5.92	wine	maðu-; xšudra- (?)
5.93	beer	hurā-
5.94	fermented drink	
5.97	egg	*āvaya-
5.971	egg yolk	
6.11	put on (clothes)	vah-
6.12	clothing, clothes	vaŋhana-; vastra-
6.13	tailor	
6.21	cloth	ubdaēna-
6.22	wool	varənā-
6.23	linen, flax	
6.24	cotton	
6.25	silk	
6.27	felt	
6.28	fur	
6.29	leather	čarəman-
6.31	spin	
6.32	spindle	
6.33	weave	
6.34	loom	
6.35	sew	
6.36	needle	sūkā-
6.37	awl	
6.38	thread	
6.39	dye	
6.41	cloak	
6.411	poncho	
6.42	woman's dress	
6.43	coat	
6.44	shirt	
6.45	collar	
6.46	skirt	
6.461	grass-skirt	
6.48	trousers	
6.49	stocking, sock	
6.51	shoe	aoθra-
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	xaoða-
6.57	belt, girdle	yāh-; kamarā-
6.58	glove	
6.59	veil	
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	pis-; paēsa-
6.72	jewel	
6.73	ring (for finger)	
6.74	bracelet	
6.75	necklace	minu-
6.76	bead	
6.77	earring	
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	
6.92	brush	
6.921	braid	
6.93	razor	
6.94	ointment	
6.95	soap	
6.96	mirror	
7.11	dwell, live	ši-
7.12	house	nmāna-
7.13	hut	
7.131	garden-house	
7.14	tent	
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	rawah-
7.22	door, gate	dvar-
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	raočana-
7.26	floor	
7.27	wall	uzdaēzi-
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	stairiš-
7.421	pillow	
7.422	blanket	
7.43	chair	gātu-
7.44	table	
