entry_id	trans_english	Tacana_Phonemic
1.1	world	yawa
1.21	earth, land	meď̶i; yawa
1.212	earth=ground, soil	
1.213	dust	epamo
1.214	mud	hočo-hočo
1.215	sand	hoto-hoto
1.22	mountain, hill	e-mata; moroko
1.222	cliff, precipice	ekewiwi
1.23	plain, field	yac̷i; ď̶ei
1.24	valley	
1.25	island	eðapopo
1.26	mainland	
1.27	shore	ekeke
1.28	cave	rara
1.31	water	yawi
1.32	sea	--
1.322	calm (of sea)	yawi emic̷ineti
1.323	rough (of sea)	
1.324	foam	e-hoba
1.329	ocean	--
1.33	lake	bai
1.34	gulf, bay	
1.341	lagoon	bai pača; wac̷a
1.342	reef	
1.343	headland, point	ena wibo
1.35	wave	moko-moko-
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	ena; ena-baki
1.362	whirlpool	kʷaroro-
1.37	spring, well	ena poti-poti; epororo
1.38	swamp	besa-besa; esipena
1.39	waterfall	eď̶oď̶o-bade; tihihi
1.41	woods, forest	ehihe
1.42	tree (cf 08.600)	aki
1.43	wood	
1.44	stone, rock	tomo
1.45	earthquake	rire-ba-
1.51	sky	boepa
1.52	sun	iď̶eti
1.53	moon	badi
1.54	star	atohai
1.55	lightning	c̷ero-c̷ero-
1.56	thunder	tiri-tia
1.57	lightning (as striking)	ðarara; c̷ero-c̷ero-itia
1.58	storm	nai hobida
1.59	rainbow	sosenabakʷa
1.61	light (noun)	we-da; hoda-
1.62	darkness	apo-da
1.63	shade, shadow	ðamo-ðamo; tanana
1.64	dew	bahi
1.71	air	
1.72	wind	beni
1.73	cloud	hodo; boðo
1.74	fog	
1.75	rain (noun)	nai
1.76	snow (noun)	
1.77	ice	oyaro
1.78	weather	ď̶ei
1.81	fire	-ti
1.82	flame (noun)	kʷati oc̷o
1.83	smoke (noun)	hodo
1.84	ashes	e-timo
1.841	embers	etiď̶e; kʷati ðare-da
1.851	burn (vb trans)	ď̶eď̶a-ke
1.852	burn (vb intrans)	tio-; kʷati-toro-; čotepe-; oc̷oa-
1.86	light, kindle, ignite	ðarea-; wic̷o-
1.861	extinguish	tiho-; čamomo-; toaď̶oi-
1.87	match (noun)	[pahoela]
1.88	firewood	kʷati
1.89	charcoal	e-tiď̶e
2.1	person, human being	
2.21	man (vs. woman)	deha
2.22	woman	e-po-na
2.23	male	-we
2.24	female	-ne
2.25	boy	edehe; edehe čidi
2.251	young man (adolescent)	e-di-a-we
2.26	girl	e-ponehe čidi
2.261	young woman (adolescent)	e-po-ne-he; poto
2.27	child	yanana
2.28	infant, baby	yanana; kanana
2.31	husband	yawe
2.32	wife	e-wane
2.33	marry	me-hemi-ti-
2.34	marriage, wedding	
2.341	divorce	ha-mesia-ti- e-wane nehe
2.35	father	tata
2.36	mother	kʷara; mama
2.37	parents	e-kʷarec̷a; tac̷e
2.38	married man	
2.39	married woman	
2.41	son	e-bakʷa
2.42	daughter	e-bake-pona
2.43	offspring (son or daughter)	
2.44	brother	e-doe; kono
2.444	older brother	osi
2.445	younger brother	ď̶ao
2.45	sister	dodo
2.454	older sister	dodo
2.455	younger sister	ď̶ana
2.456	sibling	
2.458	twins	pere
2.46	grandfather	tata eði
2.461	old man	tata eði; baba
2.47	grandmother	awiča
2.471	old woman	ano; mama pona-tia
2.48	grandson	oc̷ekʷa
2.49	granddaughter	oc̷ekʷa
2.51	uncle	hosane
2.511	mother's brother	hosane; hoho
2.512	father's brother	tata-ibe
2.52	aunt	hosane
2.521	mother's sister	kʷaibe
2.522	father's sister	nene
2.53	nephew	okʷa; bakʷa; boi
2.54	niece	onekʷa; bakʷa; boi
2.55	cousin	
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	e-wane-sa tata; wane-sa tata
2.611	father-in-law (of a woman)	yawe sa tata
2.62	mother-in-law (of a man)	wane sa kʷara
2.621	mother-in-law (of a woman)	yawe sa kʷara
2.63	son-in-law (of a man)	e-bakʷa-pona-sa-we
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	e-bakʷa-sa-ne
2.641	daughter-in-law (of a woman)	
2.71	stepfather	tata po(h)i
2.72	stepmother	kʷara po(h)i
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	[wakiča]
2.76	widow	ikima
2.77	widower	
2.81	relatives, kinsmen	e-doe
2.82	family	
2.91	I	ema; yama
2.92	you (singular)	mida; miada
2.93	he/she/it	toeda; toaweda
2.94	we	
2.941	we (inclusive)	ekʷaneda
2.942	we (exclusive)	ekʷana-ho
2.95	you (plural)	mikʷaneda
2.96	they	toneda
3.11	animal	[animalo]
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	[waka]
3.21	bull	
3.22	ox	[hoye]
3.23	cow	[waka]
3.24	calf	
3.25	sheep	[wiša]
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	[koči]
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	[kawayo]
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	[asono]
3.47	mule	
3.5	fowl	ď̶ia
3.52	cock, rooster	waripa deha; kakaraka
3.54	hen	waripa
3.55	chicken	waripa nana; waripa poto
3.56	goose	
3.57	duck	sose
3.58	nest	e-sa-hi
3.581	bird	ď̶ia
3.582	seagull	
3.583	heron	rao; amianawi
3.584	eagle	wipa
3.585	hawk	
3.586	vulture	samani
3.591	bat	bina
3.592	parrot	ha; horakʷa; toi; ď̶eď̶e
3.593	crow	
3.594	dove	biď̶idi; hodoho
3.596	owl	ď̶oa; c̷ao-dači-dači; popo
3.61	dog	oči
3.614	rabbit	waho
3.62	cat	miši
3.622	opossum	
3.63	mouse, rat	čaiwe; site
3.65	fish	se
3.652	fin (dorsal)	ewe-hi
3.653	fishscale	epehi
3.654	gill	biriri
3.655	shell	ď̶emo; pac̷a
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	ibabi, tada ibabi
3.665	freshwater eel	ď̶oi
3.71	wolf	kec̷a wiri
3.72	lion	
3.73	bear	c̷o
3.74	fox	kʷakʷa
3.75	deer	dokei
3.76	monkey	sikʷahi kʷana
3.77	elephant	--
3.78	camel	--
3.81	insect	ai iď̶e kʷana
3.811	louse	bia
3.812	nit (louse egg)	bia eha
3.813	flea	
3.814	centipede	mata-kio-kio
3.815	scorpion	asi
3.816	cockroach	sapakala
3.817	ant	iď̶oi
3.818	spider	ď̶etete
3.819	spider web	ď̶etete sa čawi
3.82	bee	wasa; wasa iď̶e
3.821	beeswax	wini
3.822	beehive	
3.823	wasp	bia
3.83	fly	were-were
3.831	sandfly (midge), gnat	čača; ď̶io
3.832	mosquito	di
3.84	worm	c̷ena; soc̷o
3.85	snake	bakʷa
3.91	firefly	
3.92	butterfly	sababa
3.93	grasshopper	
3.94	snail	ď̶emo; botoro
3.95	frog	bororo
3.96	lizard	matosa; banakʷa
3.97	crocodile, alligator	mama-mama
3.98	turtle	dati; morida dati
4.11	body	e-kita
4.12	skin, hide	e-biti
4.13	flesh	aiča; yami
4.14	hair (head)	e-čoa e-ina; ečoaina
4.142	beard	keða
4.144	body hair	e-inoa
4.145	pubic hair	
4.146	dandruff	e-čoa doboðo
4.15	blood	ami
4.151	vein, artery	e-saona
4.16	bone	e-c̷ao
