entry_id	trans_english	Bulgarian_Phonemic
1.1	world	svját
1.21	earth, land	zemjá
1.212	earth=ground, soil	zemjá; póčva
1.213	dust	prax
1.214	mud	kal
1.215	sand	pjásək
1.22	mountain, hill	planiná; xəlm
1.222	cliff, precipice	strə́mna skalá; úrva; própast; [kanará]
1.23	plain, field	ravniná; polé
1.24	valley	doliná
1.25	island	óstrov
1.26	mainland	zemjá; súša; [kontinént]
1.27	shore	brjag
1.28	cave	pešterá
1.31	water	vodá
1.32	sea	moré
1.322	calm (of sea)	spokójstvie; zatíšie
1.323	rough (of sea)	razvəlnúvan
1.324	foam	pjána
1.329	ocean	[okeán]
1.33	lake	ézero
1.34	gulf, bay	záliv
1.341	lagoon	[lagúna]
1.342	reef	[rif]
1.343	headland, point	nos
1.35	wave	vəlná
1.352	tide	príliv; ótliv
1.353	lowtide	náj-nískata tóčka na ótliva
1.354	hightide	náj-visókata tóčka na príliva
1.36	river, stream, brook	reká; potók; rúčej
1.362	whirlpool	vodo-vərtéž; vərtóp
1.37	spring, well	ízvor; kládenec̷
1.38	swamp	bláto; tresávište
1.39	waterfall	vodopád
1.41	woods, forest	gorá
1.42	tree (cf 08.600)	dərvó
1.43	wood	dərvó
1.44	stone, rock	kámək; skalá; [kanará]
1.45	earthquake	zeme-tresénie
1.51	sky	nebé
1.52	sun	slə́nc̷e
1.53	moon	luná
1.54	star	zvezdá
1.55	lightning	mə́lnija; svet-kávic̷a
1.56	thunder	grəm; grəmotévic̷a
1.57	lightning (as striking)	grəm
1.58	storm	búrja
1.59	rainbow	dəgá
1.61	light (noun)	svetliná
1.62	darkness	təmniná; mrak
1.63	shade, shadow	sjánka
1.64	dew	rosá
1.71	air	və́zdux
1.72	wind	vjátər
1.73	cloud	óblak
1.74	fog	məglá
1.75	rain (noun)	dəžd
1.76	snow (noun)	snjag
1.77	ice	led
1.78	weather	vréme
1.81	fire	ógən
1.82	flame (noun)	plámək
1.83	smoke (noun)	dim
1.84	ashes	pépel
1.841	embers	žar; žaráva
1.851	burn (vb trans)	izgárjam/ izgorjá
1.852	burn (vb intrans)	gorjá
1.86	light, kindle, ignite	pálja; zapálvam/ zapálja
1.861	extinguish	
1.87	match (noun)	[kibrít]; kléčka [kibrít]
1.88	firewood	dərvá za goréne
1.89	charcoal	də́rveni və́glišta
2.1	person, human being	čovék
2.21	man (vs. woman)	mə́ž
2.22	woman	žená
2.23	male	mə́žki
2.24	female	žénski
2.25	boy	momčé
2.251	young man (adolescent)	júnoša
2.26	girl	momíče
2.261	young woman (adolescent)	devójka
2.27	child	deté
2.28	infant, baby	[bébe]; pelenáče; mladenéc̷; kərmáče
2.31	husband	səprúg; mə́ž
2.32	wife	səprúga; žená
2.33	marry	ožénvam se; omə́žvam se
2.34	marriage, wedding	brák, ženítba; brakosəčetánie; svátba; venčávane, venčávka
2.341	divorce	razvód
2.35	father	baštá
2.36	mother	májka
2.37	parents	rodíteli
2.38	married man	ožénen mə́ž
2.39	married woman	omə́žena žená
2.41	son	sín
2.42	daughter	dəšterjá
2.43	offspring (son or daughter)	deté; potómstvo, dec̷á; potómək, potómka
2.44	brother	brát
2.444	older brother	báte, bátjo, bátko, baj-
2.445	younger brother	pó-málək brát
2.45	sister	sestrá
2.454	older sister	káka; pó-goljáma sestrá
2.455	younger sister	pó-málka sestrá
2.456	sibling	róden brát/ ródna sestrá
2.458	twins	bliznác̷i
2.46	grandfather	djádo
2.461	old man	stárec̷; djádo
2.47	grandmother	bába
2.471	old woman	staríc̷a; bába
2.48	grandson	vnúk
2.49	granddaughter	vnúčka
2.51	uncle	číčo
2.511	mother's brother	vújčo
2.512	father's brother	číčo
2.52	aunt	lélja
2.521	mother's sister	vújna
2.522	father's sister	tétka; lélja
2.53	nephew	plémennik
2.54	niece	plémennica
2.55	cousin	bratovčéd/ bratovčédka
2.56	ancestors	prároditeli; práotc̷i
2.57	descendants	potómc̷i
2.61	father-in-law (of a man)	tə́st
2.611	father-in-law (of a woman)	svékər
2.62	mother-in-law (of a man)	tə́šta
2.621	mother-in-law (of a woman)	svekə́rva
2.63	son-in-law (of a man)	zét
2.631	son-in-law (of a woman)	zét
2.64	daughter-in-law (of a man)	snaxá
2.641	daughter-in-law (of a woman)	snaxá
2.71	stepfather	vtóri baštá
2.72	stepmother	máštexa
2.73	stepson	dovéden/ zaváren sín
2.74	stepdaughter	dovédena/ zavárena dəsterjá
2.75	orphan	sirák; siráče
2.76	widow	vdovíc̷a
2.77	widower	vdovéc̷
2.81	relatives, kinsmen	rodníni, ródstvenic̷i
2.82	family	seméjstvo; [famílija]
2.91	I	áz
2.92	you (singular)	tí, víe
2.93	he/she/it	tój/ tjá/ tó
2.94	we	níe
2.941	we (inclusive)	níe
2.942	we (exclusive)	níe
2.95	you (plural)	víe
2.96	they	té
3.11	animal	živótno, dobíče
3.12	male (adj)	mə́žki; mə́žkár; [saméc̷]
3.13	female (adj)	ženská, ženski; [sámka]
3.15	livestock	dobítək
3.16	pasture	páša; pásbište, pásište
3.18	herdsman	pastír; govedár
3.19	stable, stall	konjúšna; obór; kravárnik
3.2	cattle (bovine)	govéda; édər dobítək
3.21	bull	bík
3.22	ox	vól
3.23	cow	kráva
3.24	calf	telé
3.25	sheep	ovc̷á
3.26	ram	ovén; [kóč]
3.28	ewe	ovc̷á
3.29	lamb	ágne
3.32	boar	nérez; šopár; gligán
3.34	sow	svinjá; svinjá-májka
3.35	pig	prasé
3.36	goat	kozá
3.37	he-goat	kozél
3.38	kid	kozlé; járe
3.41	horse (equine)	kón
3.42	stallion	žrebéc̷
3.44	mare	kobíla
3.45	foal, colt	kónče; žrebčé
3.46	ass, donkey	[magáre]; osél
3.47	mule	[katər]; [múle]
3.5	fowl	ptíc̷a
3.52	cock, rooster	petél
3.54	hen	kokóška
3.55	chicken	píle
3.56	goose	gə́ska
3.57	duck	pátic̷a
3.58	nest	gnezdó; pólog
3.581	bird	ptíc̷a, ptíčka
3.582	seagull	čájka
3.583	heron	čápla
3.584	eagle	orél
3.585	hawk	jástreb
3.586	vulture	lešojád
3.591	bat	prílep
3.592	parrot	[papagál]
3.593	crow	vrána; [gárga]
3.594	dove	gə́ləb
3.596	owl	búxal; kukumjávka; sóva
3.61	dog	kúče
3.614	rabbit	záek
3.62	cat	kótka
3.622	opossum	[opósum]
3.63	mouse, rat	míška; plə́x
3.65	fish	ríba
3.652	fin (dorsal)	pérka
3.653	fishscale	ljúspa
3.654	gill	xrilé
3.655	shell	čerúpka; rákovina, rakovína
3.661	shark	[akúla]
3.662	porpoise, dolphin	[delfín]
3.663	whale	[kít]
3.664	stingray	--
3.665	freshwater eel	zmiórka
3.71	wolf	və́lk
3.72	lion	lə́v
3.73	bear	méčka
3.74	fox	lisíc̷a
3.75	deer	elén; sərná
3.76	monkey	[majmúna]
3.77	elephant	slón
3.78	camel	[kamíla]
3.81	insect	[nasekómo]
3.811	louse	və́ška
3.812	nit (louse egg)	gnída
3.813	flea	bəlxá
3.814	centipede	sto-nóžka
3.815	scorpion	[skorpión]
3.816	cockroach	xlebárka
3.817	ant	mrávka
3.818	spider	pájak
3.819	spider web	pájažina
3.82	bee	pčelá
3.821	beeswax	pčélen vósək
3.822	beehive	(pčélen) kóšer
3.823	wasp	osá
3.83	fly	muxá
3.831	sandfly (midge), gnat	mušíc̷a; mušíčka; komárče
3.832	mosquito	komár
3.84	worm	čérvej
3.85	snake	zmíja
3.91	firefly	svetúlka
3.92	butterfly	peperúda
3.93	grasshopper	skakaléc̷
3.94	snail	óxljuv
3.95	frog	žába
3.96	lizard	gúšter
3.97	crocodile, alligator	[krokodíl]; [aligátor]
3.98	turtle	mórska kostenúrka
4.11	body	tjálo
4.12	skin, hide	kóža
4.13	flesh	plə́t
4.14	hair (head)	kosá
4.142	beard	bradá
4.144	body hair	kósmi
4.145	pubic hair	okosménie na pólovite órgani
4.146	dandruff	pə́rxot
4.15	blood	krə́v
4.151	vein, artery	[vena]; [artérija]
4.16	bone	kóst
4.162	rib	rebró
4.17	horn	róg
4.18	tail	opáška
4.19	back	grə́b
4.191	spine	grəbnák
4.2	head	glavá
4.201	side of head, temple	sljápo okó; slepoóčie
4.202	skull	čérep
4.203	brain	mózək
4.204	face	lic̷é
4.205	forehead	čélo, čeló
4.207	jaw	čéljust
4.208	cheek	búza; straná
4.209	chin	bradá, bradíčka
4.21	eye	okó
4.212	eyebrow	véžda
4.213	eyelid	klepáč
4.214	eyelash	mígla; resníc̷a; klépka
4.215	blink	mígam; mígvam/ mígna; premígvam/ premígna
4.22	ear	uxó
4.221	earlobe	--
4.222	earwax	úšna kál
4.23	nose	nós
4.231	nostril	nózdra
4.232	mucus (nasal)	sopól
4.24	mouth	ustá
4.241	beak	kljún; čóvka
4.25	lip	ústna
4.26	tongue	ezík
4.27	tooth	zə́b
4.271	gums	venéc̷
4.272	molartooth	kə́tnik; kə́ten zə́b
4.28	neck	vrát; šíja
4.281	nape of neck	tíl
4.29	throat	gə́rlo
4.3	shoulder	rámo
4.301	shoulderblade	lopátka; pléška
4.302	collarbone	kljúčic̷a
4.31	arm	rəká
4.312	armpit	míšnic̷a; podmíšnic̷a; podmíšnična jámka
4.32	elbow	lákət
4.321	wrist	kítka
4.33	hand	rəká
4.331	palm of hand	dlán
4.34	finger	prə́st
4.342	thumb	pálec̷
4.344	fingernail	nókət
4.345	claw	nókət
4.35	leg	krák; nogá
4.351	thigh	bedró
4.352	calf of leg	praséc̷
4.36	knee	koljáno
4.37	foot	krák; nogá; stəpálo; xodílo
4.371	ankle	glézen
4.372	heel	petá
4.374	footprint	sledá; otpečátək ot stə́pka
4.38	toe	prə́st na krák
4.392	wing	kriló
4.393	feather	peró, perc̷é
4.4	chest	grə́den kóš; gərdí
4.41	breast (of woman)	gərdá, grə́d
4.412	nipple, teat	zərnó
4.42	udder	víme
4.43	navel	pə́p
4.44	heart	sərc̷é
4.441	lung	bjál drób
4.45	liver	čéren drób
4.451	kidney	bə́brek
4.452	spleen	[dalák]
4.46	stomach	[stomáx]; korém
4.461	intestines, guts	červó
4.462	waist	krə́st; [tálija]
4.463	hip	[xánš]; xə́lbok; bedró
4.464	buttocks	sedálište; zádna část, zádnik, zádnica
4.47	womb	utróba; mátka
4.49	testicle	[testíkul]; [téstis]
4.492	penis	[pénis]; člen
4.51	breathe, breath	díšam; də́x
4.52	yawn, gape	prozjávam se/ prozéja se; prozína se; prozjávka
4.521	hiccough	xə́lc̷am, xəlc̷úkam
4.53	cough	kášljam
4.54	sneeze	kíxam, kíxvam/ kíxna
4.55	perspire	potjá se
4.56	spit	pljúja, pljúvam/ pljúna; xráča
4.57	vomit	povrə́štam/ povə́rna
4.58	bite	xápja; uxápvam/ uxápja
4.59	lick	líža, lízvam/ lízna; blízvam/ blízna
4.591	dribble	ligávja (se)
4.61	sleep	spjá
4.612	snore	xə́rkam
4.62	dream	sənúvam
4.63	wake up	búdja se, səbúždam/ səbúdja se
4.64	break wind	pərdjá/ izpərdjá
4.65	urinate	[uriníram]; pikája/ izpikája
4.66	defecate	izxvə́rljam/ izxvə́rlja izpražnénija
4.67	have sexual intercourse	ímam pólovi snošénija
4.68	shiver	trepérja
4.69	bathe	kə́pja (se)
4.71	beget (of father)	səzdávam/ səzdám
4.72	born (to be)	ráždam se/ rodjá se
4.73	pregnant	brémenna
4.732	conceive	začévam/ začéna
4.74	live, living, life	ževéja; žív; živót
4.75	die, dead	umíram/ umrá; mə́rtəv; umrjál
4.751	drowned	udáven
4.76	kill	ubívam/ ubíja
4.77	corpse	trúp
4.78	bury (the dead)	pogrébvam/ pogrebá
4.79	grave, tomb	grób
4.81	strong, mighty, powerful	sílen; móšten
4.82	weak	sláb
4.83	well, health	zdráv, zdráve
4.84	sick, sickness	bólen; bólest
4.841	fever	[temperatúra]; tréska
4.842	goiter	[gúša]
4.843	cold (catarrh)	prostúda; [xréma]; nastínka
4.85	wound, sore	rána; jázva
4.852	bruise	natə́rtvane, natə́rteno mjásto; [kontúzija]
4.853	swelling	podutiná
4.854	itch	sərbéž
4.855	blister	príška; mexúr
4.856	boil (noun)	círej
4.857	pus	gnój
4.858	scar	béleg
4.86	cure, heal	lekúvam/ izlekúvam
4.87	physician	lékar; [dóktor]
4.88	medicine, drug	lekárstvo, lék
4.89	poison	otróva
4.91	tired, weary	umorén, izmorén
4.912	rest	počívam (si)/ počína (si), otpočivam si/ otpočina (si)
4.92	lazy	mərzelív
4.93	bald	plešív
4.94	lame	[kúc̷], xróm, okuc̷jál; [sakát]; osakatjal
4.95	deaf	glúx
4.96	mute	njám
4.97	blind	sljáp
4.98	intoxicated	opijanén; piján
4.99	naked, bare	gól
5.11	eat	jám; xránja se
5.12	food	xraná
5.121	cooked	sgótven
5.122	raw	suróv
5.123	ripe	zrjál
5.124	green, unripe	zelén; neuzrjál
5.125	rotten	gníl
5.13	drink	píja
5.14	hunger	glád
5.141	famine	glád
5.15	thirst	žážda
5.16	suck	súča, smúča, smúkvam/ smúkna
5.18	chew	də́vča, sdə́vkvam/ sdə́vča
5.181	swallow	gə́ltam, glə́tvam/ glə́tna
5.19	choke	dušá (se); zadušávam, zadušá (se); zadávjam/ zadávja (se); dávja (se)
5.21	cook	gótvja, sgótvjam/ sgótvja
5.22	boil (vb)	várja, svarjávam/ svárja
5.23	roast, fry	peká; izpíčam/ izpeká; pə́rža
5.24	bake	peká
5.25	oven	[fúrna]
5.26	pot, cooking vessel	[téndžera]
5.27	kettle	[bakə́r]; kotél; čájnik
5.28	pan	[tigán]; [tavá]; tavíčka; [gjuvéč]
5.31	dish	paníca; činíja
5.32	plate	[činíja]; plítka činíja; bljúdo
5.33	bowl	kúpa; paníca
5.34	pitcher, jug	[kána]; [stómna]
5.35	cup, drinking vessel	čáša, čáška
