entry_id	trans_english	Yaruro_Phonemic
12.34	bottom	apɛ
12.35	end	apɛ
12.352	pointed	yũrã čia
12.353	edge	čiri
12.36	side	yuro
12.37	middle, center	tʰomõ
12.41	right (side)	
12.42	left (side)	
12.43	near (adv)	kɛrĩ
12.44	far (adv)	hači
12.45	east	taru-ro-pɛ̃
12.46	west	čʰia-rʊ-pɛ̃
12.47	north	daĩ-rʊ-pɛ̃
12.48	south	oɛ-rʊ-pɛ̃
12.53	grow	ɔtɛ-pa
12.54	measure	atara
12.541	span, fathom	mũĩ-da
12.55	large, big	anã
12.56	small, little	boĩčʰĩ
12.57	long	gõa-tĩ
12.58	tall	ɔtɛ
12.59	short	toko-ĩ-mĩ
12.61	wide, broad	anã
12.62	narrow	boĩčʰĩ
12.63	thick (in dimension)	itu
12.65	thin (in dimension)	hu-hu-i
12.67	deep	urɛdi
12.68	shallow	kʰɔkʰɔrɔ-dɛ
12.71	flat	pʰatɛ
12.73	straight	koɛmã
12.74	crooked	tai
12.75	hook	čʰere ča
12.76	corner	bu
12.77	cross	ãrẽ-ãrẽ-da
12.78	square	tõ-tõ čia-rĩ
12.81	round	čoko-čoko-a
12.82	circle	kɨri-kɨri-a
12.83	sphere, ball	čoko
12.84	line	koɛmã ãrẽ-rĩ
12.85	hole	puɛ
12.92	like, similar	-mĩ da
12.93	change	anõ-mire
13.0	zero, nothing	dɛ-kʰia
13.1	one	kʰarɛ̃-mẽ
13.2	two	yõarĩ
13.3	three	tʰararĩ
13.4	four	hadɔ-čia-mĩ
13.5	five	kʰarẽ iči-mõ
13.6	six	kʰaĩ-tãrã-ri kʰarɛ̃-mẽ
13.7	seven	kʰaĩ-tãrã-ri yõarĩ
13.8	eight	kʰaĩ-tãrã-ri tʰararĩ
13.9	nine	kʰaĩ-tãrã-ri hadɔ-čia-mĩ
13.10	ten	iči čʰʊnã-ĩ
13.101	eleven	iči čʰʊnã-ĩ kʰarɛ̃-mẽ
13.102	twelve	iči čʰʊnã-ĩ yõarĩ
13.103	fifteen	
13.104	twenty	taɔ čʰʊnã-ĩ
13.105	hundred	
13.106	thousand	
13.107	count	atara
13.14	every, all	čʰʊnã-ĩ
13.15	much, many	hĩrãrĩ
13.16	more	hĩdɛ uɛĩ
13.17	little (quantity), few	habɛ-ta-rĩ-mĩ
13.18	enough	habe-čʰĩ
13.181	some	o oa-mõ
13.19	multitude, crowd	Pumɛ̃ nõĩ-dɛ
13.21	full	mãĩ
13.22	empty	kʰara-peã
13.23	part, piece	koto
13.24	half	tʰomõ
13.33	alone, only	hudi-mõ
13.34	first	yabɔ-ĩ
13.35	last	duri tʰamõ
13.36	second	tʰo-ro
13.37	pair	yõarĩ-rẽ
13.38	two times	yõarĩ ko
13.42	third	duri
13.44	three times	tʰara-rĩ ko
14.11	time	hapa-mitɛ
14.12	age	ado kʰarẽ-mõ hapa-mitɛ-rʊ
14.13	new	pea-čʰa
14.14	young	bo
14.15	old	ɔta-mãĩ
14.16	early	pea-da-ĩ
14.17	late	hĩtʊpeã
14.18	now	pio yabã
14.19	immediately	pio yabã-ĩ
14.21	swift, fast, quick	hõẽ-rã
14.22	slow	haeri-rã
14.23	hasten, hurry	hõẽ-rã-pɛ̃ hʊ
14.24	retard, delay	kere-diʊ-dɛ
14.25	begin, beginning	taru-pa
14.252	last, endure	čʰao
14.26	end (temporal)	kʰia-diʊ-rʊ
14.27	finish	-dʊrʊ
14.28	cease, stop	anõ
14.29	ready	hɛre
14.31	always	-rɛ
14.32	often	hĩrã-rĩ ko; -riʊ
14.33	sometimes	tʰaoɛ-rʊ-mõ
14.331	soon	kere-diʊ
14.332	long-time (for a)	hapamitɛ anã
14.34	never	-dɛ-rɛ
14.35	again	ado
14.41	day	do-mẽ
14.42	night	gɛ̃nẽ-mẽ
14.43	dawn	pea-da-ĩ
14.44	morning	do-rɛ uɛ-pe-hʊ-rʊ
14.45	noon, midday	do-rɛ tʰomõ-ro
14.451	afternoon	čʰia-rʊ-pɛ̃ hʊ-rʊ
14.46	evening	burɛ-mĩ ča-rʊ
14.47	today	yabã-mẽ oa
14.48	tomorrow	hako
14.481	day-after-tomorrow	hako do-pe-ã-rʊ
14.49	yesterday	pe hudi
14.491	day-before-yesterday	kʰarẽ-mõ do-re-mẽ
14.51	hour	
14.53	clock, timepiece	do da-reã
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	gupẽnẽ
14.73	year	ui
14.74	winter	ui-pa-mẽ
14.75	spring	
14.76	summer	hanõ
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	pʰẽã
15.212	sniff	hẽmũĩ
15.22	smell (vb trans)	pʰĩdʊ
15.25	fragrant, good smelling	goae-rĩ pʰẽã
15.26	stinking, bad smelling	pʰẽã
15.31	taste	hure-tara
15.35	sweet	goae
15.36	salty	gito
15.37	bitter	ɛ čia
15.38	acid, sour	čʰõrõ-pa
15.39	brackish	bubɛ
15.41	hear	tãrɛ
15.42	listen	tãrɛ
15.44	sound, noise	ea-mẽ
15.45	loud	tĩmã ea
15.46	quiet, silence	mãu ma kʰia
15.51	see	da
15.52	look, look at	da
15.55	show	nãrẽ
15.56	shine	tata-pa
15.57	bright	tata-kʰia
15.61	color	
15.62	light (in color)	bɛrɛ-bɛrɛ-a
15.63	dark (in color)	burɛ-burɛ-a
15.64	white	bɛrɛ-bɛrɛ-a
15.65	black	burɛ-burɛ-a; kãrã
15.66	red	koɛ-koɛ-a
15.67	blue	tɔ-tɔ-a
15.68	green	čʰã-čʰã
15.69	yellow	koɛ-koɛ-a
15.71	touch	gãre-tara
15.712	pinch	piru
15.72	feel	tara
15.74	hard	čʰua
15.75	soft	bo-bo-a
15.76	rough	i gaipa
15.77	smooth	tata
15.78	sharp	gaipa
15.79	blunt, dull	hõdɛ koto
15.81	heavy	čača
15.82	light (in weight)	bokʰo čʰa
15.83	wet, damp	učʰa
15.84	dry	gaɔ
15.85	hot	koɛ-tɔ
15.851	warm	kʊa-kʊ-a
15.86	cold	
15.87	clean	hoa oa kʰia
15.88	dirty, soiled	dabu čia
15.89	wrinkled	bubɛgua
16.11	soul, spirit	Pumɛ̃ tʰo
16.15	surprised, astonished	dačo bɛrɛ-bɛrɛ-pa
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	mã čia-dɛ-rĩ kʰia
16.25	laugh	airĩ kʰia-ta
16.251	smile	hõdɛ iɛ-kʰia
16.26	play	čʰao kʰia
16.27	love	ea
16.29	kiss	ĩbu čʰao
16.3	embrace	ida
16.31	pain	gito
16.32	grief, sorrow, sadness	odɛrĩ kʰia
16.33	anxiety, worry	bokʰo-rĩ kʰia
16.34	regret, be sorry	anõ-mire hõrẽta
16.35	pity	kʰʊrĩ-rĩ kʰia da
16.37	cry, weep	eharo kʰia
16.38	tear (noun)	da ui
16.39	groan	a a ma kʰia
16.41	hate	eadɛ tʰamõ
16.42	anger	ere hʊ
16.44	envy, jealousy	kɛba
16.45	shame (noun)	i-dɛ-rĩ kʰia
16.48	proud	hibɛã čʰĩ-rʊ-mõ kɛ-nã-ta
16.51	dare	
16.52	brave	uapa-dɛ
16.53	fear, fright	uapa
16.54	danger	uapa-ĩ da
16.62	desire, want	ea; dae-hãbo; goara
16.622	choose	mitɛ
16.63	hope	-da kɛnã
16.65	faithful	
16.66	true	tʰamõ
16.67	lie, tell lies	mãẽ čʰa-dɛ
16.68	deceit	uĩ-pa
16.69	forgive	habe-čʰĩ
16.71	good	čʰadɛ
16.72	bad	čʰa-ĩ-dɛ
16.73	right, correct	čʰa-dɛ-rĩ
16.74	wrong	čʰa-ĩ-dɛ-rĩ
16.76	fault	oɛ-rã
16.77	mistake, error	oɛ-rã
16.78	blame	a-ɛnõ
16.79	praise	čʰa kʰia-mẽ-rĩ nĩbʊ
16.81	beautiful	čʰa kʰia-mẽ
16.82	ugly	kʰarĩda
16.83	greedy	nẽmẽ-mẽ
16.84	clever	oɛa-dɛ-mẽ
17.11	mind	čʰĩ
17.13	think (= reflect)	hõrẽta
17.14	think (= be of the opinion)	kɛnã
17.15	believe	kɛnã
17.16	understand	daba
17.17	know	daba
17.171	guess	-da kɛnã
17.172	imitate	dɛbɛ-pa-riʊ
17.18	seem	-mĩ da
17.19	idea, notion	hõrɛ̃ta-reã
17.21	wise	daba-mẽ
17.22	foolish, stupid	hapɛ-tara-mẽ
17.23	insane, crazy	kʰara-rĩ kʰia
17.24	learn	daba-pa
17.242	study	gõẽ-pa
17.25	teach	ara-anõ
17.26	pupil	daba-pa-mẽ
17.27	teacher	ara-anõ-mẽ
17.28	school	gõẽ nĩbʊ-reã bɛ
17.31	remember	hõrẽta
17.32	forget	hõrẽta-dɛ-pa
17.34	clear, plain	koɛ-mã kʰia
17.35	obscure	gʊ-mĩ ča
17.36	secret	mãẽ yɔrɔ-dɛ-peã oa
17.37	sure, certain	tʰamõ
17.38	explain	karupɛ-ara-anõ
17.41	intention, purpose	-pa-te-ã
17.42	cause	tʊnẽ
17.43	doubt	nãe-čia kʰia-rĩ hõrẽta
17.44	suspect	
17.441	betray	ea-kʰĩ kɛnã ũĩ-pa
17.45	need, necessity	kʰʊrĩ hãbo
17.46	easy	badɛrĩ
17.47	difficult	hamẽ-pa-ĩda
17.48	try, attempt	-ta
17.49	way, manner	nʊta da-rĩ hapa
17.51	and	ado
17.52	because	tara
17.53	if	-rʊ hudi
17.54	or	habo
17.55	yes, affirmative	dɛ
17.56	no, negative	kʰʊrĩ ma
17.61	how?	yʊta da-rĩ
17.62	how many?	nãpa-rĩ
17.63	how much?	nãpa-ĩ
17.64	what?	tʰanã
17.65	when?	nãpa-rʊ
17.66	where?	yoa-iʊ-pɛ̃
17.67	which?	yodɛ
17.68	who?	čʰia-rɛ; čʰia oa
17.69	why?	tʰanã hapa-tʊ
18.11	voice	nĩbʊ-reã
18.12	sing	gõã
18.13	shout, cry out	ɛnã
18.15	whisper	boko-ĩ nĩbʊ
18.16	mumble	gãro kʰorɛ nĩbʊ
18.17	whistle	kʰuira
18.18	shriek, screech	a a mã kʰia
18.19	howl	eharo kʰia
18.21	speak, talk	nĩbʊ
18.211	stutter, stammer	gãro kʰorɛ nĩbʊ
18.22	say	yõ
18.221	tell story	
18.222	speech (make a)	
18.23	silent (be)	kʰapi-rĩ kʰia
18.24	language	mãẽ
18.26	word	mãẽ
18.28	name	kẽ
18.31	ask (question, inquire)	yõɛ-tãrɛ; ianõɛ-tãrɛ
18.32	answer	dɛbɛ yõ
18.33	admit, confess	ahã-pa
18.34	deny	ũĩ-pa
18.35	ask, request	kʰõdɛ
18.36	promise	
18.37	refuse	hapa-dɛ-pa
18.38	forbid	činã-čʰa-pa
18.39	rebuke, scold	yã
18.41	call (=summon)	ɛnã-diʊ
18.42	call (=name)	kẽ-pa
18.43	announce	mãẽ yɔrɔ
18.44	threaten	ea gora
18.45	boast	oe-rã nĩbʊ
18.51	write	gõẽ-pa
18.52	read	gõẽ nĩbʊ
18.56	paper	gõẽ i
18.57	pen	gõẽ-pa-reã to
18.61	book	gõẽ i bɛ
18.67	poet	
18.71	flute	
18.72	drum	
18.73	horn, trumpet	
18.74	rattle	čʰĩ yakodɛ
19.11	country	čiri
19.12	one's native country	kã čiri-rʊ-pɛ̃
19.15	city, town	bɛ mãrĩ
19.16	village	Pumɛ̃ bɛ-rʊ-pɛ̃
19.17	boundary	nõ
19.21	people (populace)	pumɛ̃
19.23	tribe, clan	pumɛ̃
19.24	chief, chieftain	tʰamõ kʰɔ̃rɔ̃-mẽ
19.25	staff, walking stick	tãĩ-reã to
19.31	rule, govern	mãẽ yɔru
19.32	king, ruler	ɔtɛ; bɛ kʰɔ̃rɔ̃mẽ
19.33	queen	ɔtɛ-yĩ; bɛ kʰɔ̃rɔ̃yĩ
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	anãmẽ
19.42	slave	mũĩtʰoĩ
19.43	servant	mũĩtʰoĩ
19.44	freeman	
19.45	command, order	mãẽ yɔrɔ
19.46	obey	tãrɛ hapa
19.47	let, permit	tʊnẽ
19.51	friend, companion	hadɔ
19.52	enemy	dɛbɛ-pe-čʰao-mẽ
19.54	neighbor	koto-ro kʰɔrɔ-mẽ
19.55	stranger	tʰaoɛde
19.56	guest	goɛ-da-mẽ
19.57	host	ɛba kʰɔ̃rɔ̃-mẽ
19.58	help, aid	ãdo
19.59	hinder, prevent	tʊnẽ-dɛ
19.61	custom	
19.62	strife, quarrel	dɛbɛ-tĩ-rã yãe-čʰao
19.63	conspiracy, plot	
19.65	meet	daba da
19.72	prostitute	oari goara-yĩ-rẽ
20.11	fight (vb)	hapata
20.13	war, battle	
20.14	peace	
20.15	army	[guadia]
20.17	soldier	[guadia]
20.21	weapons, arms	
20.22	club	to koto
20.222	battle-ax	
20.23	sling	ae-čʰao-reã
20.24	bow	tʰiba-to
20.25	arrow	čʰitõ
20.26	spear	yipʰatɛ
20.27	sword	
20.28	gun, cannon	tʰura kʰara
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	boa-reã
20.42	defeat	boa-dʊrʊ
20.43	attack	
20.44	defend	hida
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	čaʊ-mẽ
20.471	guard, sentinel	[guadia]
20.48	booty, spoils	bae-mitɛ-ã ɔdɛ
20.49	ambush	
20.51	fisherman	čõ mũĩ-mẽ
20.52	fishhook	amaio
20.53	fishing line	mũĩ-reã kãĩ
20.54	fishnet	
20.55	fish trap	
20.56	bait	ãrĩ
20.61	hunt	ae-tãĩ
20.62	shoot	a
20.63	miss (target)	ae-koerã
20.64	trap (noun)	čoa tʊnẽ-reã puɛ
20.65	trap (vb)	čoa tʊnẽ
21.11	law	
21.15	court	
21.16	judge (vb)	ɔtarɛ yõ
21.17	judgment	ɔtarɛ yõ-reã
21.18	judge (noun)	ɔtarɛ yõ-mẽ
21.21	plaintiff	
21.22	defendant	
21.23	witness	irʊ da
21.24	swear	
21.25	oath	
21.31	accuse	čĩde-ea-reã mãẽ
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	čʰa-ĩ-dɛ-rĩ hape-ã
21.36	innocent	čʰa maea-rĩ hape-ã
21.37	penalty, punishment	
21.38	fine	ba ea
21.39	prison, jail	čaʊ-reã
21.42	murder	hãbo tʊnẽ
21.43	adultery	bae-daba-pa
21.44	rape	akʰi bae-ɛba mõã
21.46	arson	
21.47	perjury	
21.51	steal	garɔ
21.52	thief	garɔ-mẽ
22.11	religion	kɛnã-reã
22.12	God	ɔtɛ
22.13	temple, church	ãdopa-reã bɛ
22.14	altar	
22.15	sacrifice, offering	yɔrɔ-reã
22.16	worship	čʰa kʰia-mẽ-rĩ hõrẽta
22.17	pray	ɔtɛ hũĩ-iʊ-pɛ̃-mõ nĩbʊ
22.18	priest	tuti hapa-mẽ
22.19	holy, sacred	činã-čʰa
22.22	preach	ɔtɛ hã mãẽ ara-anõ
22.23	bless	
22.24	curse	
22.26	fast (vb)	
22.31	heaven	ãde
22.32	hell	kʰõdɛ tʰa anã-rʊ-pɛ̃
22.35	demon (evil spirit)	yarɨka
22.37	idol	
22.42	magic, witchcraft, sorcery	hauɛ-čʰa
22.43	sorcerer, witch	hauɛ-čʰa hapa-mẽ
22.44	fairy, elf	
22.45	ghost, phantom	
22.47	omen, portent	
