entry_id	trans_english	Finnish_Phonemic
1.1	world	maailma
1.21	earth, land	maa
1.212	earth=ground, soil	maa, maaper̃æ
1.213	dust	pölü; tomu
1.214	mud	muta
1.215	sand	hiekka
1.22	mountain, hill	wuor̃i; mæki
1.222	cliff, precipice	kallio
1.23	plain, field	tasanko; pelto
1.24	valley	laakso
1.25	island	saar̃i
1.26	mainland	manner̃ ~ manner̃maa
1.27	shore	r̃anta; æür̃æs
1.28	cave	luola
1.31	water	wesi
1.32	sea	mer̃i
1.322	calm (of sea)	tüüni; r̃auhallinen
1.323	rough (of sea)	mür̃sküinen
1.324	foam	waahto
1.329	ocean	waltamer̃i
1.33	lake	yær̃wi
1.34	gulf, bay	lahti
1.341	lagoon	laguuni
1.342	reef	kar̃i
1.343	headland, point	niemi
1.35	wave	aalto
1.352	tide	wuor̃owesi ~ wuoksi ya luode
1.353	lowtide	luode
1.354	hightide	wuoksi (aalto)
1.36	river, stream, brook	yoki; wir̃ta; pur̃o
1.362	whirlpool	wesipüör̃r̃e
1.37	spring, well	læhde; kaiwo
1.38	swamp	suo
1.39	waterfall	koski; putous
1.41	woods, forest	metsæ
1.42	tree (cf 08.600)	puu
1.43	wood	puu, puutawar̃a
1.44	stone, rock	kiwi; kallio
1.45	earthquake	maanyær̃istüs
1.51	sky	taiwas
1.52	sun	aur̃inko; pæiwæ
1.53	moon	kuu
1.54	star	tæhti
1.55	lightning	salama
1.56	thunder	ukkonen
1.57	lightning (as striking)	salama
1.58	storm	mür̃skü
1.59	rainbow	sateenkaar̃i
1.61	light (noun)	walo
1.62	darkness	pimeüs
1.63	shade, shadow	war̃yo; siimes
1.64	dew	kaste
1.71	air	ilma
1.72	wind	tuuli
1.73	cloud	pilwi
1.74	fog	sumu
1.75	rain (noun)	sade
1.76	snow (noun)	lumi
1.77	ice	yææ
1.78	weather	sææ; ilma
1.81	fire	tuli
1.82	flame (noun)	liekki; leimu
1.83	smoke (noun)	sawu
1.84	ashes	tuhka
1.841	embers	hiillos
1.851	burn (vb trans)	polttaa
1.852	burn (vb intrans)	palaa
1.86	light, kindle, ignite	sütüttææ; wir̃ittææ
1.861	extinguish	sammuttaa
1.87	match (noun)	tulitikku
1.88	firewood	polttopuut
1.89	charcoal	puuhiili
2.1	person, human being	ihminen
2.21	man (vs. woman)	mies
2.22	woman	nainen
2.23	male	miespuolinen
2.24	female	naispuolinen
2.25	boy	poika
2.251	young man (adolescent)	nuor̃imies
2.26	girl	tüttö
2.261	young woman (adolescent)	neiti
2.27	child	lapsi
2.28	infant, baby	lapsi; imewæinen; wauwa
2.31	husband	(awio)mies
2.32	wife	waimo
2.33	marry	mennæ naimisiin; awioitua
2.34	marriage, wedding	awioliitto; hææt; wihkiæiset
2.341	divorce	awioer̃o
2.35	father	isæ
2.36	mother	æiti
2.37	parents	wanhemmat
2.38	married man	awiomies
2.39	married woman	awiowaimo
2.41	son	poika
2.42	daughter	tütær̃
2.43	offspring (son or daughter)	yælkelæinen
2.44	brother	weli
2.444	older brother	wanhempi weli
2.445	younger brother	nuor̃empi weli
2.45	sister	sisar̃; sisko
2.454	older sister	wanhempi sisar̃
2.455	younger sister	nuor̃empi sisar̃
2.456	sibling	sisar̃ukset
2.458	twins	kaksoset
2.46	grandfather	isoisæ; waar̃i
2.461	old man	wanha mies; ukko
2.47	grandmother	isoæiti; mummo
2.471	old woman	muor̃i; akka
2.48	grandson	lapsenlapsi
2.49	granddaughter	lapsenlapsi
2.51	uncle	setæ; eno
2.511	mother's brother	eno
2.512	father's brother	setæ
2.52	aunt	tæti
2.521	mother's sister	tæti
2.522	father's sister	tæti
2.53	nephew	welyenpoika; sisar̃enpoika
2.54	niece	welyentütær̃; sisar̃entütær̃
2.55	cousin	ser̃kku
2.56	ancestors	esiwanhemmat; kantawanhemmat
2.57	descendants	yælkelæiset
2.61	father-in-law (of a man)	appi
2.611	father-in-law (of a woman)	appi
2.62	mother-in-law (of a man)	anoppi
2.621	mother-in-law (of a woman)	anoppi
2.63	son-in-law (of a man)	wæwü
2.631	son-in-law (of a woman)	wæwü
2.64	daughter-in-law (of a man)	miniæ
2.641	daughter-in-law (of a woman)	miniæ
2.71	stepfather	isæpuoli
2.72	stepmother	æitipuoli
2.73	stepson	poikapuoli
2.74	stepdaughter	tütær̃puoli
2.75	orphan	or̃po
2.76	widow	leski ~ leskiwaimo
2.77	widower	leski ~ leskimies
2.81	relatives, kinsmen	sukulaiset
2.82	family	per̃he
2.91	I	minæ
2.92	you (singular)	sinæ
2.93	he/she/it	hæn
2.94	we	me
2.941	we (inclusive)	- -
2.942	we (exclusive)	- -
2.95	you (plural)	te
2.96	they	he
3.11	animal	elæin
3.12	male (adj)	ur̃ospuolinen
3.13	female (adj)	naar̃as
3.15	livestock	kar̃ya
3.16	pasture	paimentaa
3.18	herdsman	paimen
3.19	stable, stall	nawetta; talli
3.2	cattle (bovine)	kar̃ya; nautakar̃ya
3.21	bull	sonni; hær̃kæ
3.22	ox	hær̃kæ
3.23	cow	lehmæ
3.24	calf	wasikka
3.25	sheep	lammas
3.26	ram	oinas
3.28	ewe	uuhi; emælammas
3.29	lamb	wuona; kar̃itsa
3.32	boar	kar̃yu
3.34	sow	emakko; imisæ
3.35	pig	por̃sas
3.36	goat	wuohi
3.37	he-goat	pukki
3.38	kid	kili; wohla
3.41	horse (equine)	hewonen
3.42	stallion	or̃i
3.44	mare	tamma
3.45	foal, colt	war̃sa
3.46	ass, donkey	aasi
3.47	mule	muuli
3.5	fowl	siipikar̃ya
3.52	cock, rooster	kukko
3.54	hen	kana
3.55	chicken	kananpoika
3.56	goose	hanhi
3.57	duck	ankka, sor̃sa
3.58	nest	pesæ
3.581	bird	lintu
3.582	seagull	mer̃ilokki
3.583	heron	har̃maahaikar̃a
3.584	eagle	kotka
3.585	hawk	haukka
3.586	vulture	kor̃ppikotka
3.591	bat	lepakko
3.592	parrot	papukaiya
3.593	crow	war̃is
3.594	dove	küühkünen
3.596	owl	pöllö
3.61	dog	koir̃a
3.614	rabbit	yænis
3.62	cat	kissa
3.622	opossum	pussir̃otta
3.63	mouse, rat	hiir̃i; r̃otta
3.65	fish	kala
3.652	fin (dorsal)	ewæ
3.653	fishscale	kalansuomu
3.654	gill	kidus
3.655	shell	simpukankuor̃i
3.661	shark	hai
3.662	porpoise, dolphin	delfiini
3.663	whale	walas
3.664	stingray	keihæsr̃ausku
3.665	freshwater eel	yær̃wianker̃ias
3.71	wolf	susi
3.72	lion	leiyona
3.73	bear	kar̃hu
3.74	fox	kettu; r̃epo
3.75	deer	peur̃a; saksanhir̃wi
3.76	monkey	apina
3.77	elephant	nor̃su; elefantti
3.78	camel	kameli
3.81	insect	hüönteinen
3.811	louse	tæi
3.812	nit (louse egg)	saiwar̃
3.813	flea	kir̃ppu
3.814	centipede	tuhatyalkainen
3.815	scorpion	skor̃pioni
3.816	cockroach	tor̃akka
3.817	ant	muur̃ahainen
3.818	spider	hæmæhækki
3.819	spider web	hæmæhækinseitti; hæmæhækinwer̃kko
3.82	bee	mehilæinen
3.821	beeswax	mehilæiswaha
3.822	beehive	mehilæispönttö
3.823	wasp	ampiainen
3.83	fly	kær̃pænen
3.831	sandfly (midge), gnat	hüttünen; sææski
3.832	mosquito	moskiitto
3.84	worm	mato; toukka
3.85	snake	kæær̃me
3.91	firefly	kiiltomato
3.92	butterfly	per̃honen
3.93	grasshopper	heinæsir̃kka
3.94	snail	etana; kotilo
3.95	frog	saammakko
3.96	lizard	sisilisko
3.97	crocodile, alligator	kr̃okotiili
3.98	turtle	kilpikonna
4.11	body	r̃uumis
4.12	skin, hide	iho; nahka
4.13	flesh	liha
4.14	hair (head)	hiukset; tukka
4.142	beard	par̃ta
4.144	body hair	ihokar̃wa
4.145	pubic hair	hæpükar̃wat
4.146	dandruff	hilse
4.15	blood	wer̃i
4.151	vein, artery	laskimo; waltimo
4.16	bone	luu
4.162	rib	külkiluu
4.17	horn	sar̃wi
4.18	tail	hæntæ
4.19	back	selkæ
4.191	spine	selkær̃anka
4.2	head	pææ
4.201	side of head, temple	ohimo
4.202	skull	(pææ)kallo
4.203	brain	aiwot
4.204	face	kaswot
4.205	forehead	otsa
4.207	jaw	leukaluu
4.208	cheek	poski
4.209	chin	leuka
4.21	eye	silmæ
4.212	eyebrow	kulmakar̃wa
4.213	eyelid	(silmæ)luomi
4.214	eyelash	silmær̃ipsi
4.215	blink	iskeæ silmææ
4.22	ear	kor̃wa
4.221	earlobe	kor̃wannipukka
4.222	earwax	waikku; kor̃wawaha
4.23	nose	nenæ
4.231	nostril	sier̃ain
4.232	mucus (nasal)	lima
4.24	mouth	suu
4.241	beak	nokka
4.25	lip	huuli
4.26	tongue	kieli
4.27	tooth	hammas
4.271	gums	ikenet
4.272	molartooth	poskihammas
4.28	neck	kaula
4.281	nape of neck	niska; takar̃aiwo
4.29	throat	kur̃kku
4.3	shoulder	olka
4.301	shoulderblade	lapaluu
4.302	collarbone	solisluu
4.31	arm	kæsiwar̃si
4.312	armpit	kainalokuoppa
4.32	elbow	küünær̃pææ
4.321	wrist	r̃anne
4.33	hand	kæsi
4.331	palm of hand	kæmmen
4.34	finger	sor̃mi
4.342	thumb	peukalo
4.344	fingernail	(sor̃men) künsi
4.345	claw	künsi
4.35	leg	yalka
4.351	thigh	r̃eisi
4.352	calf of leg	pohye
4.36	knee	polwi
4.37	foot	yalka
4.371	ankle	kehr̃æs
4.372	heel	kantapææ ~ kanta
4.374	footprint	yælki
4.38	toe	war̃was
4.392	wing	siipi
4.393	feather	sulka; höühen
4.4	chest	r̃intakehæ
4.41	breast (of woman)	r̃inta
4.412	nipple, teat	nænni
4.42	udder	utar̃e; udar̃
4.43	navel	napa
4.44	heart	südæn
4.441	lung	keuhko
4.45	liver	maksa
4.451	kidney	munuainen
4.452	spleen	per̃na
4.46	stomach	maha; mahalaukku
4.461	intestines, guts	sisælmükset
4.462	waist	wüötær̃ö ~ wüötæiset
4.463	hip	lanne
4.464	buttocks	takapuoli; pakar̃at
4.47	womb	kohtu
4.49	testicle	kiwes
4.492	penis	penis; siitin
4.51	breathe, breath	hengittææ; hengitüs
4.52	yawn, gape	haukotella
4.521	hiccough	nikottaa
4.53	cough	üskiæ
4.54	sneeze	aiwastaa
4.55	perspire	hikoillaa; hiota
4.56	spit	sülkeæ
4.57	vomit	oksentaa
4.58	bite	pur̃r̃a
4.59	lick	nuolla
4.591	dribble	tippua ~ tiputtaa
4.61	sleep	nukkua
4.612	snore	kuor̃sata
4.62	dream	unennækö; uni
4.63	wake up	her̃ætæ
4.64	break wind	pier̃aista
4.65	urinate	wir̃tsata
4.66	defecate	ulostaa
4.67	have sexual intercourse	olla sukupuoliühteüdessæ
4.68	shiver	wær̃istæ; wapista
4.69	bathe	külpeæ
4.71	beget (of father)	siittææ
4.72	born (to be)	süntüæ ~ süntünüt
4.73	pregnant	r̃askas; tiine
4.732	conceive	tulla r̃askaaksi; hedelmöitüæ
4.74	live, living, life	elææ; elæwæ, eloisa; elæmæ
4.75	die, dead	kuolla, kuollut
4.751	drowned	hukkunut
4.76	kill	tappaa
4.77	corpse	r̃uumis
4.78	bury (the dead)	haudata
4.79	grave, tomb	hauta, hautakumpu
4.81	strong, mighty, powerful	woimakas; wækewæ; wahwa
4.82	weak	heikko
4.83	well, health	ter̃we, ter̃weüs
4.84	sick, sickness	sair̃as, sair̃aus
4.841	fever	kuume
4.842	goiter	str̃uuma; kaulakupu
4.843	cold (catarrh)	wilustus
4.85	wound, sore	haawa
4.852	bruise	mustelma; r̃uhyewamma
4.853	swelling	tur̃wotus
4.854	itch	süühelmæ ~ süühü
4.855	blister	(wesi)r̃akko
4.856	boil (noun)	paise
4.857	pus	mætæ ~ mær̃kæ; wiswa
4.858	scar	ar̃pi
4.86	cure, heal	hoitaa; par̃antaa
4.87	physician	læækær̃i
4.88	medicine, drug	lææke
4.89	poison	mür̃kkü
4.91	tired, weary	wæsünüt; uupunut
4.912	rest	lewætæ
4.92	lazy	laiska
4.93	bald	kalyu
4.94	lame	ontuwa; r̃ampa
4.95	deaf	kuur̃o
4.96	mute	mükkæ
4.97	blind	sokea
4.98	intoxicated	yuowuksissa
4.99	naked, bare	alaston; palyas
5.11	eat	süödæ
5.12	food	r̃uoka
5.121	cooked	keitettü
5.122	raw	r̃aaka
5.123	ripe	küpsæ
5.124	green, unripe	wihr̃eæ; r̃aaka
5.125	rotten	mædænnüt, mætæ
5.13	drink	yuoda
5.14	hunger	nælkæ
5.141	famine	nælænhætæ, nælkæ
5.15	thirst	yano
5.16	suck	imeæ
5.18	chew	pur̃eksia
5.181	swallow	niellæ
5.19	choke	tukehtua; tukehduttaa
5.21	cook	tehdæ r̃uokaa ~ laittaa r̃uokaa
5.22	boil (vb)	keittææ
5.23	roast, fry	paistaa, paahtaa
5.24	bake	paistaa; leipoa
5.25	oven	uuni
5.26	pot, cooking vessel	pata
5.27	kettle	kattila
5.28	pan	pannu
5.31	dish	wati; kulho
5.32	plate	lautanen
5.33	bowl	kulho
5.34	pitcher, jug	kannu
5.35	cup, drinking vessel	kuppi; muki
5.36	saucer	teewati
5.37	spoon	lusikka
5.38	knife	weitsi
5.39	fork	haarukka
5.391	tongs	pihdit; hohtimet
5.41	meal (a)	ater̃ia
5.42	breakfast	aamiainen
5.43	lunch	lounas
5.44	dinner	pæiwællinen
5.45	supper	illallinen
5.46	peel	leipælapio
5.47	sieve, strain	seuloa; siivilöidæ
5.48	scrape	kaapia
5.49	stir, mix	liikuttaa; sekoittaa
5.51	bread	leipæ
5.53	dough	taikina
5.54	knead	waiwata; sotkea
5.55	meal, flour	yauho
5.56	crush, grind	yauhaa
5.57	mill	müllü
5.58	mortar	huhmar̃(e)
5.59	pestle	petkel(e)
5.61	meat	liha
5.63	sausage	makkar̃a
5.64	soup, broth	keitto; lihaliemi
5.65	vegetables	kaswikset; wihannekset
5.66	bean	papu
5.7	potato	per̃una
5.71	fruit	hedelmæt
5.712	bunch	ter̃ttu, kimppu
5.75	fig	wiikuna
5.76	grape	(wiini)r̃üpæle
5.77	nut	pæhkinæ
5.78	olive	oliiwi; ölyümar̃ya
5.79	oil	ölyü
5.791	grease, fat	r̃aswa; ihr̃a
5.81	salt	suola
5.82	pepper	pippur̃i
5.821	chili pepper	chillipippur̃i
5.84	honey	hunaya; mesi
5.85	sugar	soker̃i
5.86	milk (noun)	maito
5.87	milk (vb)	lüpsææ
