entry_id	trans_english	Kaingáng_Phonemic
1.1	world	ɛ̃prã
1.21	earth, land	ŋa
1.212	earth=ground, soil	ŋa; ɛ̃prã
1.213	dust	ΦunΦur; Φun-Φun
1.214	mud	ŋoʔor; ɔrɛ; sɔw
1.215	sand	rɨ̃ɲrɨ̃y; rĩɲrĩy
1.22	mountain, hill	krĩ; pãnɔɲ; sɔr
1.222	cliff, precipice	rənrɔr
1.23	plain, field	re; kɨyɛr
1.24	valley	krĩ wãso
1.25	island	kutɛ; kutiŋtɛ; ŋoy wãso; wãsoŋso
1.26	mainland	
1.27	shore	ŋoy Φɨr
1.28	cave	pɔ nor; pãrɔ nor
1.31	water	ŋoy
1.32	sea	ŋoy-kaΦãn-tũ
1.322	calm (of sea)	hun ke
1.323	rough (of sea)	ŋoy tə̃ krɛm ke
1.324	foam	yɛ̃nŋɛy
1.329	ocean	ŋoy kaΦãn tũ
1.33	lake	ʔɔrɛ niŋ
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	pɔ tɨ̃ rənrɔr
1.343	headland, point	
1.35	wave	krɛm ke
1.352	tide	
1.353	lowtide	ŋɨmke; ŋɨw
1.354	hightide	ŋoy Φɔr
1.36	river, stream, brook	ŋoy tɛy
1.362	whirlpool	
1.37	spring, well	niŋ
1.38	swamp	niŋ; ɔrɛ
1.39	waterfall	sa; kruŋ
1.41	woods, forest	wãɲ; nɛ̃n
1.42	tree (cf 08.600)	ka
1.43	wood	ka
1.44	stone, rock	pɔ
1.45	earthquake	ŋa tə̃ yũrn ke
1.51	sky	kaɲkã
1.52	sun	rã; rãrĩr; rɛ̃rĩr
1.53	moon	kɨṣ̌ã; kɨsã
1.54	star	krĩŋ
1.55	lightning	mrãrn ke
1.56	thunder	ta tə̃ tə̃rə̃r hɛ; kɔhun
1.57	lightning (as striking)	
1.58	storm	kɔho; ta kriŋ
1.59	rainbow	ŋɔʔor no; ta no
1.61	light (noun)	yɛ̃nŋrɛ̃; rɛ̃rĩr; rãrĩr
1.62	darkness	kutɨ-ŋ; ŋə̃m kɛ
1.63	shade, shadow	Φɛ̃nya; kãɲmɛŋ; kãɲwɛŋ
1.64	dew	kãŋΦɛr; kɔŋΦɛ̃r; krɛ̃ŋΦɛr
1.71	air	
1.72	wind	kãka; kɔho
1.73	cloud	ŋɔŋ; kaɲkã ŋɔŋ; ŋɔŋŋɔŋ; ŋuŋŋɔŋ
1.74	fog	krũy
1.75	rain (noun)	ta; ta kutɛ̃
1.76	snow (noun)	kukrɨr kɔ; kukrɨren; kukrɨrin
1.77	ice	kukrɨr; kukrɨr han
1.78	weather	
1.81	fire	pĩ
1.82	flame (noun)	ŋru
1.83	smoke (noun)	nĩya; nĩya-ŋ; tũm tũm ke
1.84	ashes	mrɛ̃y
1.841	embers	prəɲ
1.851	burn (vb trans)	prãɲ; pũn
1.852	burn (vb intrans)	pũr
1.86	light, kindle, ignite	ŋruŋ; kɔm kɛ; pũn
1.861	extinguish	ɲɨn; ɲɨr
1.87	match (noun)	pĩ yɔɲ
1.88	firewood	pĩ
1.89	charcoal	prəɲ
2.1	person, human being	wɛ̃ɲʔũ; saɲ; kaɲŋəŋ
2.21	man (vs. woman)	ũn-ŋre; ŋrɛ
2.22	woman	Φi; ũ-tə̃tə; ũ-tətə; ũ-tãtə
2.23	male	ti; ŋrɛ; ũn-ŋrɛ
2.24	female	tətə; tãtə; tə̃tə
2.25	boy	ũn-sĩ; kɨrũ
2.251	young man (adolescent)	kɨrũ
2.26	girl	ũn-sĩ-Φi
2.261	young woman (adolescent)	tətãŋ
2.27	child	ŋĩr; ũn-sĩ
2.28	infant, baby	ŋĩr sĩ
2.31	husband	-mɛn; kɔΦa
2.32	wife	-prũ; prũ-Φi; koΦa-Φi
2.33	marry	prũŋ; mɛn
2.34	marriage, wedding	wɛ̃ɲ-prũŋ
2.341	divorce	prũ Φɔn; mɛn Φɔn
2.35	father	-yɔŋ; paɲ
2.36	mother	-nə̃; yə̃; mə̃ɲ
2.37	parents	kaɲkã
2.38	married man	ũn prũ ti
2.39	married woman	ũn mɛn Φi
2.41	son	kɔsin; krɛ̃
2.42	daughter	kɔsin Φi
2.43	offspring (son or daughter)	krɛ̃
2.44	brother	rɛŋre
2.444	older brother	kãke
2.445	younger brother	yãwɨ
2.45	sister	rɛŋre-Φi
2.454	older sister	kãke-Φi; we-Φi
2.455	younger sister	yãwɨ-Φi; we-Φi
2.456	sibling	
2.458	twins	wɛ̃ŋni
2.46	grandfather	wowo
2.461	old man	kɔΦa
2.47	grandmother	wɔwɔ-Φi
2.471	old woman	kɔΦa-Φi
2.48	grandson	kɔsin kɔsin; kɔsin-Φi kɔsin
2.49	granddaughter	kɔsin kɔsin Φi
2.51	uncle	kakrã
2.511	mother's brother	kakrã
2.512	father's brother	yɔŋ
2.52	aunt	mə
2.521	mother's sister	nə̃; yə̃
2.522	father's sister	mə-Φi
2.53	nephew	kɔsin
2.54	niece	kɔsin-Φi
2.55	cousin	yãmrɛ
2.56	ancestors	ŋuΦã; yawi
2.57	descendants	krɛ̃
2.61	father-in-law (of a man)	kakrã
2.611	father-in-law (of a woman)	kakrã
2.62	mother-in-law (of a man)	mə-Φi
2.621	mother-in-law (of a woman)	mə-Φi
2.63	son-in-law (of a man)	yãmrɛ
2.631	son-in-law (of a woman)	yãmrɛ
2.64	daughter-in-law (of a man)	yãmrɛ-Φi
2.641	daughter-in-law (of a woman)	kɔsin-prũ-Φi
2.71	stepfather	ũn-yɛ̃ʔə̃n-mũ-Φi
2.72	stepmother	ũn-yɛ̃ʔə̃n-mũ-Φi
2.73	stepson	yɛ̃ʔə̃
2.74	stepdaughter	yɛ̃ʔə̃-Φi
2.75	orphan	paɲ tũ; mə̃ɲ tũ
2.76	widow	ũn-mɛn-ter-mũ-Φi
2.77	widower	ũn-prũ-ter-mũ
2.81	relatives, kinsmen	kaɲkã
2.82	family	kaɲkã
2.91	I	ʔiɲ
2.92	you (singular)	ʔã
2.93	he/she/it	ti; Φi
2.94	we	ʔɛ̃ŋ
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	ʔãyaŋ
2.96	they	ʔaŋ; Φaŋ
3.11	animal	wɛ̃ɲ-mɛ̃ŋ
3.12	male (adj)	ũn-ŋrɛ; ti
3.13	female (adj)	Φi
3.15	livestock	mɛ̃ŋ
3.16	pasture	re
3.18	herdsman	mɛ̃ŋ-ki-rĩr-tĩ
3.19	stable, stall	mɛ̃ŋ-yo-ĩn
3.2	cattle (bovine)	moɲ
3.21	bull	
3.22	ox	moɲ
3.23	cow	moɲ-Φi; [wak]-Φi
3.24	calf	moɲ sĩ
3.25	sheep	mɛ
3.26	ram	mɛ-ti
3.28	ewe	mɛ-Φi
3.29	lamb	mɛ sĩ
3.32	boar	
3.34	sow	[porka]-Φi
3.35	pig	[porko]
3.36	goat	mɛ yuwã
3.37	he-goat	mɛ yuwã ti
3.38	kid	mɛ yuwã sĩ
3.41	horse (equine)	[kãwru]
3.42	stallion	[kãwru] ŋrɛ
3.44	mare	[kãwru]-Φi
3.45	foal, colt	[kãwru] sĩ
3.46	ass, donkey	nĩŋrɛ̃ŋ tɛy
3.47	mule	
3.5	fowl	sɛ̃sĩ; yɛ̃sĩ
3.52	cock, rooster	[ŋarĩɲ]
3.54	hen	[ŋarĩɲ]-Φi
3.55	chicken	[ŋarĩɲ] krɛ̃
3.56	goose	
3.57	duck	pɛ̃n tãper; kuɲhɛ̃ŋ; kuɲhãŋ
3.58	nest	yaŋΦe
3.581	bird	sɛ̃sĩ
3.582	seagull	
3.583	heron	
3.584	eagle	mĩŋ Φɛ̃r
3.585	hawk	hũŋ; tɔŋΦĩn
3.586	vulture	yãtã; mĩŋ Φɛ̃r; yɔŋɔŋ (?)
3.591	bat	krɨŋΦɛy
3.592	parrot	yɔŋyɔ; kãto
3.593	crow	
3.594	dove	sɔrãŋ; ton
3.596	owl	Φəŋ-pɛ̃-krə̃ŋrə̃ŋ
3.61	dog	hoŋhoŋ
3.614	rabbit	ɲinsu; ninsu; sor
3.62	cat	mĩŋ sĩ
3.622	opossum	nɛr-kɔkrɛ; ɲɔr-kɔkrɛ
3.63	mouse, rat	kasĩn
3.65	fish	pirã
3.652	fin (dorsal)	
3.653	fishscale	
3.654	gill	
3.655	shell	pãnΦər
3.661	shark	ŋoy tãn; ŋoy ki mĩŋ
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	
3.72	lion	
3.73	bear	krĩŋ pɛ̃nuΦã
3.74	fox	
3.75	deer	kãme
3.76	monkey	kayɛ̃r; ŋɔŋ; eŋʔɛ
3.77	elephant	--
3.78	camel	--
3.81	insect	ka
3.811	louse	ŋa
3.812	nit (louse egg)	ŋa krɛ̃
3.813	flea	kãpɔ
3.814	centipede	pə̃n kakrã
3.815	scorpion	pə̃n kakrã məŋ
3.816	cockroach	kruy
3.817	ant	pɛnkriŋ
3.818	spider	sukrĩŋ
3.819	spider web	sukrĩŋ yɔŋo; kɔŋo
3.82	bee	mə̃ŋ
3.821	beeswax	neɲ
3.822	beehive	
3.823	wasp	Φɛ̃ŋnu; kɔŋΦo
3.83	fly	ka təɲ
3.831	sandfly (midge), gnat	pɛ̃n ki kãpə
3.832	mosquito	ka; ka riŋri
3.84	worm	ŋa; nuŋ ŋa; yɔnyɔn
3.85	snake	pə̃n
