entry_id	trans_english	Lakkia_Phonemic
2.942	we (exclusive)	li:k.3
2.95	you (plural)	li:u.3 hou.3 lak.8
2.96	they	tu.6
3.11	animal	tu.2 kja.3
3.12	male (adj)	koŋ.1; tu.4 koŋ.1
3.13	female (adj)	mu:i.4; tu.4 mu:i.4
3.15	livestock	tu.4 cie:ŋ.4
3.16	pasture	laŋ.2.4 khwãn.5; ti.6.4 jɛt.7
3.18	herdsman	lak.8 lɛm.4 nau.4; lak.8 lɛm.4 wie.1
3.19	stable, stall	lak.8 ma.4
3.2	cattle (bovine)	chok.7 sɛ:ŋ.1
3.21	bull	nau.4 tak.8
3.22	ox	nau.4 sa.1
3.23	cow	nau.4 mu:i.4; nau.4 tei.6
3.24	calf	nau.4 lak.8
3.25	sheep	nau.4 suə:i.3
3.26	ram	wie.1
3.28	ewe	wie.1 tak.8
3.29	lamb	wie.1 tei.6; wie.1 mu:i.4
3.32	boar	mi:n.4 jieŋ.2
3.34	sow	khũ.1 tak.8
3.35	pig	khũ.1 mu:i.4
3.36	goat	khũ.1
3.37	he-goat	wie.1
3.38	kid	wie.1 tak.8
3.41	horse (equine)	wie.1 lak.8
3.42	stallion	ma.4
3.44	mare	ma.4 tak.8
3.45	foal, colt	ma.4 mu:i.4; ma.4 tei.6
3.46	ass, donkey	ma.4 tak.8 lak.8; ma.4 tei.6 lak.8
3.47	mule	tu.4 cie:ŋ.4
3.5	fowl	kai.5 koŋ.1
3.52	cock, rooster	kai.5 mu:i.4
3.54	hen	kai.5
3.55	chicken	ŋã.2
3.56	goose	pet.7
3.57	duck	tau.3
3.58	nest	mlok.7
3.581	bird	pɛ:k.8 a:k.8
3.582	seagull	ŋɛ̃ŋ.1 lou.4
3.583	heron	ŋɛ̃ŋ.1
3.584	eagle	foŋ.3 cin.3
3.585	hawk	kõ.2
3.586	vulture	jin.3 u.1
3.591	bat	ka.1
3.592	parrot	khwãn.1
3.593	crow	pɛ:k.8 ko:p.7
3.594	dove	tu.4 u.1
3.596	owl	ji:u.6
3.61	dog	i.1 tei.3
3.614	rabbit	khoŋ.1 co.4
3.62	cat	cik.7 kai.1
3.622	opossum	khuə̃.1
3.63	mouse, rat	tou.5
3.65	fish	ci.4 len.2
3.652	fin (dorsal)	wãŋ.2.4 pɛ:u.5
3.653	fishscale	wãŋ.2
3.654	gill	mɛ:u.4, mlie:u.4
3.655	shell	na:n.4 mlie:u.4
3.661	shark	kji:u.3
3.662	porpoise, dolphin	phla.1
3.663	whale	phla.1 wie.4, wie.4 phla.1
3.664	stingray	phla.1 len.2, len.2.4 phla.1
3.665	freshwater eel	ŋja:i.6 phla.1
3.71	wolf	ha:k.7 luə.2
3.72	lion	kja:t.7
3.73	bear	coŋ.3
3.74	fox	tak.8 lie:n.4
3.75	deer	khuə̃.1 kja.3
3.76	monkey	sa:i.3 ci.1
3.77	elephant	ku:i.1
3.78	camel	kji:u.3 cik.7 thuə:i.3
3.81	insect	tu.4 ba:ŋ.5
3.811	louse	tu.4 thɛm.3
3.812	nit (louse egg)	tu.4 tha:t.7
3.813	flea	tu.4 khwa:ŋ.1
3.814	centipede	nou.4 kja.3
3.815	scorpion	liŋ.2
3.816	cockroach	ca:ŋ.4
3.817	ant	wan.2 ca:ŋ.4; sie:ŋ.3 ja.4
3.818	spider	lo.4 tho.4
3.819	spider web	kja.1
3.82	bee	wãn.1; kjou.1
3.821	beeswax	lo:m.6 wan.1; lo:m.6 kjou.1
3.822	beehive	khwãt.7
3.823	wasp	koŋ.3 coŋ.2
3.83	fly	tu.4 kja:p.7
3.831	sandfly (midge), gnat	tu.4 mot.8
3.832	mosquito	pa:ŋ.4 khjo.1
3.84	worm	tau.3 pa:ŋ.4 khjo.1
3.85	snake	tu.4 met.8
3.91	firefly	la:p.8 met.8
3.92	butterfly	tau.3 plɛu.2
3.93	grasshopper	plɛu.2
3.94	snail	mot.8 pie:k.8
3.95	frog	tu.4 mu:n.6
3.96	lizard	ci:n.5
3.97	crocodile, alligator	kja.1 cei.5
3.98	turtle	kjiŋ.3 kjãp.7
4.11	body	tu.2.4 kja.1
4.12	skin, hide	kjũ:n.1
4.13	flesh	nãn.3 nɛ̃.3
4.14	hair (head)	ka.3 ŋjit.7
4.142	beard	bliŋ.2
4.144	body hair	la:k.8 jum.2
4.145	pubic hair	ŋjĩe.2
4.146	dandruff	ŋjĩe.2.4 lou.4
4.15	blood	wan.4 huə.3
4.151	vein, artery	wie.3
4.16	bone	plak.7
4.162	rib	luə.2
4.17	horn	kəp.7; ŋja:i.3
4.18	tail	ŋjĩe.2.4 tɛn.6
4.19	back	tu.2.4 cuə:i.1
4.191	spine	sen.1
4.2	head	pei.2
4.201	side of head, temple	mom.6
4.202	skull	kjə:m.2
4.203	brain	plu:t.8
4.204	face	kjɛ:ŋ.1 a:n.6
4.205	forehead	kjɛ:ŋ.1 kjai.5
4.207	jaw	bla:u.6
4.208	cheek	a:n.6
4.209	chin	lie:t.8
4.21	eye	lie:t.8 mɛ:k.8
4.212	eyebrow	cen.1
4.213	eyelid	kuə:t.7
4.214	eyelash	fũ:i.3
4.215	blink	ka:k.7 sa:u.1
4.22	ear	kou.2
4.221	earlobe	kan.3 kjie:ŋ.1
4.222	earwax	ai.2
4.23	nose	ai.2.4 poŋ.2
4.231	nostril	kjɛu.1
4.232	mucus (nasal)	tuə:k.8 tau.3 wan.2
4.24	mouth	kjɛu.1 kjo.2
4.241	beak	kjɛu.1 nu:i.2
4.25	lip	kjɛ̃.3
4.26	tongue	kjɛu.1 pla:k.7
4.27	tooth	sa:i.1
4.271	gums	kan.3 fa:i.1
4.272	molartooth	wan.4 ŋjã:m.4
4.28	neck	pla.1
4.281	nape of neck	kjɛ:ŋ.1 pla.1
4.29	throat	pei.2.4 pla.1
4.3	shoulder	kjɛ:ŋ.1 pla.1 num.4
4.301	shoulderblade	ŋjãp.7 pla.1; pla.1 cak.7
4.302	collarbone	kan.3 ja.2
4.31	arm	kan.3 ja.2 nɛ:ŋ.5
4.312	armpit	kwei.4 ja.2
4.32	elbow	naŋ.1
4.321	wrist	huə:t.7 naŋ.1
4.33	hand	kwei.4 naŋ.1
4.331	palm of hand	tei.3
4.34	finger	tei.3 mlok.7
4.342	thumb	pei.2.4 tei.3
4.344	fingernail	wã.2
4.345	claw	wan.2
4.35	leg	wan.2.4 ca:ŋ.4; wan.2.4 ŋja:i.6
4.351	thigh	wan.2.4 lou.4
4.352	calf of leg	kan.3 ɛn.1
4.36	knee	kan.3 ɛn.1 kum.2
4.37	foot	suə:ŋ.1 hou.2
4.371	ankle	kan.3 wie.5
4.372	heel	kuə:t.7 pan.4 ci.2
4.374	footprint	kuə:t.7 to.5
4.38	toe	kan.3 łai.1
4.392	wing	kan.3 khjie:k.7
4.393	feather	pu:i.4 tau.3
4.4	chest	pu:i.4 tau.3
4.41	breast (of woman)	mie.2
4.412	nipple, teat	mie.2.4 pa:n.2
4.42	udder	mie.2.4 kjaŋ.1
4.43	navel	mie.2.4 mu:i.4
4.44	heart	pli:p.7 mie.2
4.441	lung	ca:u.3
4.45	liver	kan.3 thuə:i.3
4.451	kidney	puk.7 po:ŋ.2
4.452	spleen	puk.7 po:ŋ.2 lak.8
