entry_id	trans_english	Chiriguano_Phonemic
1.1	world	ɨwɨ
1.21	earth, land	ɨwɨ
1.212	earth=ground, soil	ɨwɨ
1.213	dust	ɨwɨ-kui; ɨwɨ-kʷĩti
1.214	mud	tuǰu
1.215	sand	ɨwɨ-kʷĩti
1.22	mountain, hill	ɨwɨtɨ
1.222	cliff, precipice	ɨgʷawĩra
1.23	plain, field	ɲũu
1.24	valley	
1.25	island	
1.26	mainland	
1.27	shore	tẽᵐbeɨ; rẽᵐbeɨ
1.28	cave	ita-kʷa; ɨwɨ-kʷa
1.31	water	ɨ (> ɨɨ)
1.32	sea	ɨ wasu
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	tiriǰe
1.329	ocean	
1.33	lake	ɨ-pa
1.34	gulf, bay	
1.341	lagoon	ɨpa; ɨmpãti
1.342	reef	
1.343	headland, point	ɨwɨ iǰapɨ
1.35	wave	ɨ-ãkaᵐbaru
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	ɨ-ãka
1.362	whirlpool	ɨ-ǰere
1.37	spring, well	ɨ-kʷa
1.38	swamp	ɨwɨ-yasuru; yasuru
1.39	waterfall	ɨ torõro
1.41	woods, forest	kaa-gwasu; ɲãna
1.42	tree (cf 08.600)	ɨwɨra
1.43	wood	ɨwɨra
1.44	stone, rock	ita
1.45	earthquake	ɨwɨ-kãta
1.51	sky	ara
1.52	sun	kʷarasɨ; kʷaraɨ
1.53	moon	ǰasɨ
1.54	star	ǰasɨ tata
1.55	lightning	ama-wera
1.56	thunder	ama-r-ɨapu
1.57	lightning (as striking)	ama-tɨrɨrɨ
1.58	storm	ãma-gʷasu; ɨwɨtu gʷasu
1.59	rainbow	ǰɨi
1.61	light (noun)	t-eᵐbi-pe
1.62	darkness	pɨ̃tu-miᵐbi
1.63	shade, shadow	-ã
1.64	dew	ɨ hesapɨ
1.71	air	ɨwɨ-tu
1.72	wind	ɨwɨ-tu
1.73	cloud	ãma; ãma pɨ̃tu
1.74	fog	ɨwɨ̃-ti
1.75	rain (noun)	ãma
1.76	snow (noun)	ɨwɨ̃-ti
1.77	ice	roɨ tipia; roɨpia
1.78	weather	ara
1.81	fire	tata
1.82	flame (noun)	tata-r-eⁿdɨ
1.83	smoke (noun)	tatã-ti
1.84	ashes	taniᵐbu
1.841	embers	tatã-pɨ
1.851	burn (vb trans)	(a)apɨ; -ᵐbo-kai
1.852	burn (vb intrans)	(a)kai
1.86	light, kindle, ignite	-moeⁿdɨ; (a)mɨeⁿdɨ
1.861	extinguish	(a)ᵐbo-we
1.87	match (noun)	tata-i
1.88	firewood	ye-pe-a
1.89	charcoal	tatã-pɨ
2.1	person, human being	ᵐbɨa; karai
2.21	man (vs. woman)	kuiᵐbae
2.22	woman	kũɲa
2.23	male	kuiᵐbae
2.24	female	kũɲa
2.25	boy	saᵐbi; saᵐbɨ
2.251	young man (adolescent)	kunũmi
2.26	girl	kuɲa-tai; kuɲa-tãi
2.261	young woman (adolescent)	kuɲa-tai; kuɲa-tãi
2.27	child	mĩčia; meᵐbɨ
2.28	infant, baby	mĩčia-raɨ
2.31	husband	(čẽ-)me
2.32	wife	(če-)r-eᵐbi-reko; h-eᵐbi-reko
2.33	marry	(a-)meⁿda
2.34	marriage, wedding	meⁿda
2.341	divorce	-poi
2.35	father	t-uu; t-u; (če-)ru
2.36	mother	(če-)sɨ; ičɨ
2.37	parents	ɨpɨ-reta
2.38	married man	kuiᵐbae o-meⁿda-wa
2.39	married woman	kũna o-meⁿda-wa
2.41	son	t-aɨ; (če-)r-aɨ
2.42	daughter	t-ayɨ; (če-)r-ayɨ
2.43	offspring (son or daughter)	-meᵐbɨ
2.44	brother	(če-)rɨkeɨ
2.444	older brother	t-ɨkeɨ; (če-)r-ɨkeɨ
2.445	younger brother	t-ɨwɨ; (če-)r-ɨwɨ
2.45	sister	t-ɨⁿdɨ; -r-ɨⁿdɨ
2.454	older sister	t-ɨke; (če-)r-ɨke
2.455	younger sister	(če-)pɨkɨ; pɨkɨɨ
2.456	sibling	
2.458	twins	čowakiri
2.46	grandfather	t-amɨ̃i -r-amɨ̃i
2.461	old man	t-amɨ̃i -r-amɨ̃i
2.47	grandmother	(če-)ǰarɨ
2.471	old woman	tɨãno; t-ɨãro
2.48	grandson	h-amarĩro; r-amarĩro
2.49	granddaughter	h-amarĩro; r-amarĩro
2.51	uncle	tutɨ
2.511	mother's brother	-tutɨ
2.512	father's brother	t-uu; r-uu; -tutɨ
2.52	aunt	
2.521	mother's sister	-sɨɨ
2.522	father's sister	-yeiče
2.53	nephew	t-aɨ; r-aɨ
2.54	niece	t-aǰɨ; r-aǰɨ
2.55	cousin	t-ɨkeɨ; r-ɨkeɨ
2.56	ancestors	t-amɨ̃i-reta; r-amɨ̃i-reta
2.57	descendants	ɲemoɲa-wa
2.61	father-in-law (of a man)	r-owaya
2.611	father-in-law (of a woman)	(če-)meⁿdu
2.62	mother-in-law (of a man)	r-aičo
2.621	mother-in-law (of a woman)	mesɨ
2.63	son-in-law (of a man)	r-owaya
2.631	son-in-law (of a woman)	-pẽu
2.64	daughter-in-law (of a man)	raɨ-tatɨ
2.641	daughter-in-law (of a woman)	meᵐbi-tatɨ
2.71	stepfather	turaaᵑga
2.72	stepmother	-sɨraaᵑga
2.73	stepson	-r-aɨraᵑga
2.74	stepdaughter	-r-aǰɨraᵑga
2.75	orphan	tɨrẽɨ
2.76	widow	i-me-kʷe
2.77	widower	h-eᵐbi-reko-kʷe
2.81	relatives, kinsmen	-r-etã-ra; h-etã-ra
2.82	family	-r-etã-ra; h-etã-ra
2.91	I	če; se
2.92	you (singular)	ⁿde
2.93	he/she/it	hae
2.94	we	
2.941	we (inclusive)	yaⁿde
2.942	we (exclusive)	ore
2.95	you (plural)	peⁿde; pee
2.96	they	hae-reta
3.11	animal	(če-)ᵐbae-mɨᵐba; mɨᵐba
3.12	male (adj)	kuiᵐbae
3.13	female (adj)	kũɲa
3.15	livestock	ᵐbaemiᵐba reigʷa
3.16	pasture	ɲana
3.18	herdsman	yaᵑgareko-a
3.19	stable, stall	-h-okai
3.2	cattle (bovine)	[waka]-reta
3.21	bull	[waka] kuiᵐbae
3.22	ox	[gʷeye]
3.23	cow	[waka]
3.24	calf	[waka]-raɨ
3.25	sheep	
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	taǰasu; taitetu
3.34	sow	kuči kũɲa
3.35	pig	kuči; kusi
3.36	goat	[kapura]
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	(če-)[kawayu]
3.42	stallion	[kawayu] kuiᵐbae
3.44	mare	[kawayu] kũɲa
3.45	foal, colt	[kawayu]-raɨ
3.46	ass, donkey	[ᵐburika]
3.47	mule	[ᵐburika]; [ᵐburika] wasu
3.5	fowl	uru
3.52	cock, rooster	uru kuiᵐbae
3.54	hen	uru kũɲa
3.55	chicken	uru; uru-raɨ
3.56	goose	
3.57	duck	ɨpe
3.58	nest	-h-aitɨ
3.581	bird	wɨra; gʷɨra
3.582	seagull	
3.583	heron	(g)ʷɨrã-ti; hoko
3.584	eagle	wɨrapɨ̃ta
3.585	hawk	(g)ʷɨra-kee
3.586	vulture	u'rake-'wasu; uruhũti
3.591	bat	aⁿdira
3.592	parrot	aǰuru
3.593	crow	uru-hũ-wa
3.594	dove	pikasu; ǰeruti
3.596	owl	kaagʷere
3.61	dog	y-ɨᵐba; -r-ɨᵐba; -h-ɨᵐba
3.614	rabbit	aperea; tapiiti
3.62	cat	mĩta
3.622	opossum	
3.63	mouse, rat	aᵑguǰa
3.65	fish	pira
3.652	fin (dorsal)	pira pepo
3.653	fishscale	ape
3.654	gill	pira pɨawewi
3.655	shell	ape
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	
3.665	freshwater eel	ᵐbusu
3.71	wolf	
3.72	lion	ya(g)ʷa pɨ̃ta
3.73	bear	
3.74	fox	a(g)ʷara
3.75	deer	gwasu; gwahu
3.76	monkey	mači; kai
3.77	elephant	
3.78	camel	
3.81	insect	
3.811	louse	(če-)kɨ; kɨɨ
3.812	nit (louse egg)	(če-)kɨwaɨ
3.813	flea	(če-)piki
3.814	centipede	aᵐbua
3.815	scorpion	
3.816	cockroach	tarawe
3.817	ant	tasɨ; tahɨ
3.818	spider	yaⁿduti
3.819	spider web	hapãa; yaⁿduti r-upaa
3.82	bee	ei-tuu
3.821	beeswax	ei-raitɨ
3.822	beehive	ei-tu-reⁿda
3.823	wasp	kawẽe
3.83	fly	ᵐberu
3.831	sandfly (midge), gnat	ᵐbari(g)ʷi
3.832	mosquito	ɲatĩu
3.84	worm	sewoi
3.85	snake	ᵐboi
3.91	firefly	čokopi
3.92	butterfly	pãna-pãna
3.93	grasshopper	tuku
3.94	snail	ǰatɨta
3.95	frog	pɨtẽte
3.96	lizard	teǰu
3.97	crocodile, alligator	yakare; pãiča
3.98	turtle	karuᵐbe
4.11	body	(če-)r-'ete; h-ete
4.12	skin, hide	(če-)pire
4.13	flesh	s-oo; -r-oo; -h-oo
4.14	hair (head)	-a; -r-aa; -h-aa
4.142	beard	(če-)r-eⁿdɨwaa; -h-eⁿdɨwaa
4.144	body hair	-ã; -r-aa; -h-aa
4.145	pubic hair	
4.146	dandruff	ãka kui
4.15	blood	t-u(g)wɨ; (če-)r-u(g)wɨ; h-uwɨ
4.151	vein, artery	t-uwɨ r-ɨru
4.16	bone	kã(g)ʷe
4.162	rib	(se-)arũka
4.17	horn	t-ãti; (če-)r-ãti; h-ãti
4.18	tail	-h-uwai
4.19	back	(če-)kupe
4.191	spine	ɲu-r-ãti
4.2	head	(če-)ãka
4.201	side of head, temple	atɨ
4.202	skull	ãka kãgʷe
4.203	brain	apɨtuu; apuntuu
4.204	face	t-owa; (če-)r-owa; h-owa
4.205	forehead	(če-)sɨwa; -hɨwa
4.207	jaw	(se-)r-aɲɨ̃ka; h-aɲɨ̃ka
4.208	cheek	-r-atɨpɨ; -h-atɨpɨ
4.209	chin	-r-eⁿdɨwawa; -h-eⁿdiwawa
4.21	eye	(če-)r-esa; h-esa
4.212	eyebrow	(če-)r-esa-pɨ̃ka; -h-esa-pɨ̃ka
4.213	eyelid	-r-esa-pire; -h-esa-pire
4.214	eyelash	(če-)r-opea; -h-opea
4.215	blink	-sapɨ̃mi; -r-esa-pɨ̃mi
4.22	ear	(če-)naᵐbi
4.221	earlobe	
4.222	earwax	
4.23	nose	(čẽ-)tĩ
4.231	nostril	(če-)apɨ̃wa
4.232	mucus (nasal)	(se-)aᵐbɨ; aᵐbɨu
4.24	mouth	(če-)ǰuru
4.241	beak	-tĩ
4.25	lip	t-eᵐbe; (če-)r-eᵐbe; h-eᵐbe
4.26	tongue	(čẽ-)ku; kũu
4.27	tooth	t-ãi; -r-ãi; hãi
4.271	gums	t-ãi-reⁿda; -r-ãi-reⁿda; -h-ãi-reⁿda
4.272	molartooth	-r-okɨpɨ; -h-okɨpɨ
4.28	neck	(če-)aǰu; i-(ǰ)aǰu
4.281	nape of neck	-aǰu
4.29	throat	(če-)asẽo; aseo; asɨo
4.3	shoulder	(če-)atiɨ
4.301	shoulderblade	atiɨ kãgʷe
4.302	collarbone	
4.31	arm	(če-)ǰɨwa
4.312	armpit	-r-eⁿdapɨwɨ; -h-eⁿdapɨwɨ
4.32	elbow	(če-)r-eⁿdɨwaᵑga; -h-eⁿdiwaᵑga
4.321	wrist	(če-)papɨ
4.33	hand	(čẽ-)po
4.331	palm of hand	(če-)po pɨte; -po-ᵐbɨte
4.34	finger	(če-)po-ãka
4.342	thumb	-po-ãka-rusu; -po-ãka-gʷasu
4.344	fingernail	-po-ãpe; (če-)pãpe
4.345	claw	(se-)po-ãpe; -pãpe
4.35	leg	(če-)tɨ̃ma; (če-)tɨmãka
4.351	thigh	(če-)-u
4.352	calf of leg	-tɨmãka roo
4.36	knee	(če-) renẽpɨa; renɨ̃pɨa
4.37	foot	(čẽ-)pɨ
4.371	ankle	(se-)pɨɲũa
4.372	heel	ᵐbɨta; pɨta
4.374	footprint	t-aɨkʷere; -r-aɨkʷere; -h-aɨkʷere
4.38	toe	-pɨ-ãka
4.392	wing	(če-)pepo
4.393	feather	-a; -r-aa; -h-aa
4.4	chest	(če-)pɨtia
4.41	breast (of woman)	-kaᵐbɨ
