entry_id	trans_english	Nung-Ninbei_Phonemic
4.312	armpit	khen.2
4.32	elbow	kɔk.7 ei.6; tɔi.3 ei.6
4.321	wrist	koŋ.3 sok.7
4.33	hand	wo.2 khen.2
4.331	palm of hand	mɨŋ.2
4.34	finger	pha.3 mɨŋ.2
4.342	thumb	niu.4 mɨŋ.2
4.344	fingernail	niu.4 mɨŋ.2 me.6
4.345	claw	lap.8 mɨŋ.2
4.35	leg	cam.3
4.351	thigh	kha.2
4.352	calf of leg	pa:ŋ.5 kha.2
4.36	knee	pjoŋ.3 kha.2
4.37	foot	thu.2 khau.6
4.371	ankle	tən.1
4.372	heel	wo.2 kha.2
4.374	footprint	kiu.2 tən.1
4.38	toe	roi.2 tən.1; roi.2 kha.2
4.392	wing	niu.4 kha.2
4.393	feather	pək.7
4.4	chest	khɔn.2
4.41	breast (of woman)	ak.7
4.412	nipple, teat	nou.4
4.42	udder	pa:k.7 nou.4
4.43	navel	sa:i.1 nou.4
4.44	heart	ʔduŋ.6 ʔdɨi.3
4.441	lung	sam.1
4.45	liver	pɨt.7
4.451	kidney	tap.7
4.452	spleen	iu.2
4.46	stomach	len.2 thet.8
4.461	intestines, guts	ʔdei.2
4.462	waist	fa:m.6 toŋ.4
4.463	hip	toŋ.4
4.464	buttocks	sai.3
4.47	womb	tha:ŋ.2 tɨŋ.6
4.49	testicle	hau.2
4.492	penis	hau.2
4.51	breathe, breath	kɨm.5 khei.3
4.52	yawn, gape	roŋ.2 lɨk.8
4.521	hiccough	ma:k.7
4.53	cough	wai.2
4.54	sneeze	coŋ.6 hei.2
4.55	perspire	śau.2 hei.6
4.56	spit	ha:u.2 lam.2
4.57	vomit	ćək.7 ək.7
4.58	bite	ai.2
4.59	lick	at.7 ćiu.2
4.591	dribble	ok.8 thi.6
4.61	sleep	na:i.2; na:i.2 kiu.1
4.612	snore	thui.6 na:i.2
4.62	dream	ra:k.8; ta:u.5 pe.3
4.63	wake up	khap.7
4.64	break wind	it.8 lən.4
