entry_id	trans_english	Nung-Ninbei_Phonemic
10.16	drop (vb)	wət.8; weŋ.6
10.17	twist	woŋ.6; wət.8
10.21	rise	kam.1 po.4; rap.8 po.4
10.22	raise, lift	ja:u.2
10.23	fall	lɔi.1
10.24	drip	kaŋ.3
10.25	throw	nam.4 noŋ.2
10.252	catch (ball)	lɔi.1
10.26	shake	a:p.8 nam.4
10.32	flow	ʔdam.2 nam.4
10.33	sink	cet.7 nam.4
10.34	float	ʔban.2
10.35	swim	pau.5
10.351	dive	pən.1
10.352	splash	kwei.6
10.36	sail (vb)	naŋ.6 ʔjoŋ.6
10.37	fly (vb)	lɔi.1
10.38	blow	thiu.6
10.41	creep, crawl	thək.7
10.412	kneel	thja:u.4 u.3
10.413	crouch	phja:i.3 lo.6
10.42	slide, slip	phja:i.3 kwe.2
10.43	jump, leap	teu.2
10.431	kick	pai.1
10.44	dance	phja:i.3 to.2 khɨi.3
10.45	walk	pən.1 to.2 khɨi.3
10.451	limp	phja:i.3 to.2 lɔŋ.2
10.46	run	ok.8 pai.1
10.47	go	ip.8; śa:i.3
10.471	go up	ma.2; tau.3
10.472	climb	ta:u.5 ma.2; ta:u.5
10.473	go down	lei.2 khai.2; lei.2
10.474	go out	la:m.5
10.48	come	nei.1
10.481	come back	kem.1
10.49	go away, depart	nep.8
10.491	disappear	thaŋ.2
10.51	flee	khau.3 khɔi.3
10.52	follow	khau.3
10.53	pursue	thak.7; ta:i.3; pa.4; thɨi.2
10.55	reach, arrive	thiu.3
10.56	approach	ʔbek.8
10.57	enter	təŋ.3
10.61	carry (bear)	ka:p.8
10.612	carry-in-hand	ta:p.8
10.613	carry-on-shoulder	ta:i.3 ma.2
10.614	carry-on-head	kei.5 pai.1
10.615	carry-underarm	ta:i.3 lo.6
10.62	bring	khai.2 śe.5
10.63	send	khei.6
10.64	lead (vb)	śai.2
10.65	drive	lo.6
10.66	ride	lo.6 i.5
10.67	push, shove	kiu.2
10.71	road	śe.5
10.72	path	lou.4 śe.5
10.74	bridge	ek.8
10.75	carriage, wagon, cart	li.2 ńɔi.5
10.76	wheel	li.2 eŋ.2
10.77	axle	sa.2
10.78	yoke	ka:u.1 li.2
10.81	ship	khɨn.3 jen.2
10.83	boat	mei.2
10.831	canoe	au.2
10.832	outrigger	kap.8 thɨi.2
10.84	raft	kam.1
10.85	oar	ɨm.2
10.851	paddle (noun)	ʔdai.3
10.852	row (vb)	toŋ.1 sai.1
10.86	rudder	hɔi.3
10.87	mast	poi.2; poi.2 ta:u.5
10.88	sail (noun)	kun.3
10.89	anchor	kjau.5
10.91	harbor, port	khja.2; tha:ŋ.6
10.92	land (vb)	khja.2 than.2; tha:ŋ.6 than.2
11.11	have	la:m.5
11.12	own, possess	cɔŋ.5
11.13	take	ŋan.2
11.14	seize, grasp	ŋan.2 thai.5
11.15	hold	pan.2 mei.2
11.16	get, obtain	ʔdo.6
11.17	keep, retain	kau.5 wa.5
11.18	thing	mat.7 mei.1
11.21	give	kam.4 ŋan.2 hɔi.3
11.22	give back	kam.4 ŋan.2 kɔn.2; khjo.2
11.24	preserve, look after	nei.3; noi.4
11.25	save, rescue	nei.3
11.27	destroy	hɔi.3 ŋan.2
11.28	harm, injure, damage	so.5 mɔk.8; sɔn.5 so.5
11.31	seek, look for	śɨi.4
11.32	find	ko.5
11.33	lose	ŋan.2 kɔŋ.1
11.34	release, let go	khja.2
11.43	money	sɨi.4
11.44	coin	kha:i.2
11.51	rich	kha:i.2 sɨi.4
11.52	poor	la:u.4 hat.7 seŋ.1 ei.6
11.53	beggar	ha:ŋ.6
11.54	avaricious, stingy	phou.6
11.61	lend	kja.5 cen.2
11.62	borrow	peŋ.2
11.63	owe	cin.6
11.64	debt	pan.1 pa:i.3
11.65	pay (vb)	caŋ.6
11.66	account, reckoning	kwa.5... ʔja.6
11.69	tax, tribute	ʔjou.6 lap.8...
11.77	hire	ʔjou.6 jen.2...
11.78	wages	ʔboŋ.2 tɔi.3
11.79	earn	ʔjou.6... tɔk.7 kon.5
11.81	buy	ʔjou.6 na.3...
11.82	sell	ʔjou.6 ʔdɔi.2...
11.83	trade, barter	ʔjou.6 ʔbeŋ.3 nok.8...
11.84	merchant	ʔjou.6 tɔi.3...
11.85	market (place)	ʔjou.6 ni.1...
11.86	store, shop	tei.6 fuŋ.1
11.87	price	au.2 po.4
11.88	dear (costly, expensive)	naŋ.6
11.89	cheap	non.2 lɔŋ.2
11.91	share (distribute)	ʔjɨn.2
11.92	weigh	ʔjou.6
12.1	after	te.5
12.11	behind	li.1
12.2	beside	sau.1 thom.2
12.3	down, below	kjap.7 khɨn.3
12.4	before	tap.8
12.41	front	sɨm.3
12.5	inside, in	pan.1 khai.2
12.6	outside	pan.1
12.7	under	khai.2
12.8	up, above	khai.2 tha.2
12.11	place	hap.7
12.12	put	lap.7
12.13	sit	ŋam.2; ham.6
12.14	lie down	wai.4
12.15	stand	sɨŋ.1
12.16	remain, stay	tam.5
12.17	remains, left overs	taŋ.1 cok.7
12.21	collect, gather	tai.3
12.212	pick up	pjai.1
12.213	pile up	sim.3
12.22	join, unite	pin.1
12.23	separate	pin.1; ʔbeŋ.3
12.232	divide	təŋ.6 kja:ŋ.1
12.24	open	ʔjou.6 kja:ŋ.1
12.25	shut, close	ʔbeŋ.3 sɔ.1
12.26	cover	ʔbeŋ.3 sɔi.4
12.27	hide, conceal	khjɔi.3; kwai.1
12.31	high	tɔŋ.1
12.32	low	sai.1
12.33	top	pak.7
12.34	bottom	na:m.2
12.35	end	ma.3
12.352	pointed	ta:k.8
12.353	edge	ca:p.7
12.36	side	luŋ.1; le.5; ńɔi.5
12.37	middle, center	i.5; eŋ.2
12.41	right (side)	rei.2
12.42	left (side)	sɨŋ.1
12.43	near (adv)	tan.3
12.44	far (adv)	kwa:ŋ.3
12.45	east	kap.7
12.46	west	na.1
12.47	north	a:m.2; kɨt.8
12.48	south	ʔba:ŋ.2
12.53	grow	ʔdak.7
12.54	measure	tɨn.3
12.541	span, fathom	phiŋ.2
12.55	large, big	jau.2
12.56	small, little	kɔt.8
12.57	long	kho.2
12.58	tall	kok.7
12.59	short	sei.5 fuŋ.1
12.61	wide, broad	mɔn.2
12.62	narrow	khen.5
12.63	thick (in dimension)	kjau.2
12.65	thin (in dimension)	coŋ.6
12.67	deep	lo.5 ʔdai.3
12.68	shallow	pin.5
12.71	flat	ləŋ.2
12.73	straight	ʔdeu.2
12.74	crooked	soŋ.1
12.75	hook	sa:m.1
12.76	corner	sei.5
12.77	cross	ha.3
12.78	square	khjɔk.7
12.81	round	cat.7
12.82	circle	pet.7
12.83	sphere, ball	kau.3
12.84	line	sɨp.7
12.85	hole	sɨp.7 at.7
12.92	like, similar	sɨp.7 ńei.6
12.93	change	sɨp.7 ha.3
13.0	zero, nothing	ńei.6 sɨp.7
13.1	one	pa:k.7
13.2	two	śin.2
13.3	three	sɔn.5
13.4	four	taŋ.2 lai.2
13.5	five	la:i.1
13.6	six	kɨn.4 kja.1 la:i.1
13.7	seven	non.4
13.8	eight	to.6
13.9	nine	ʔba:ŋ.3; ei.3
13.10	ten	phɔn.6 kɔn.2
13.101	eleven	tam.1
13.102	twelve	ɨm.6
13.103	fifteen	pjau.5
13.104	twenty	pja:u.2
13.105	hundred	po.1; pjoŋ.6
13.106	thousand	cəŋ.6; tok.8
13.107	count	ta:i.6 at.7
13.14	every, all	tɔk.7 laŋ.1
13.15	much, many	ta:i.6 ńei.6
13.16	more	toi.5
13.17	little (quantity), few	po.1
13.18	enough	ta:i.6 sa:m.1
13.181	some	sa:m.1 po.1
13.19	multitude, crowd	sei.2
13.21	full	pei.1 ʔdun.2
13.22	empty	sam.1
13.23	part, piece	on.6; eŋ.2
13.24	half	kau.5
13.33	alone, only	ke.5
13.34	first	kha:u.2
13.35	last	cau.4
13.36	second	sɔi.1; laŋ.1
13.37	pair	kɨi.4; pou.6 kɨi.4
13.38	two times	cak.7 khak.7
13.42	third	khwa:i.6; ńam.2
13.44	three times	mɨn.6; wɨn.5 jou.2
14.11	time	ʔba.3 ʔbiŋ.6; ka:n.5
14.12	age	ŋu.6
14.13	new	ei.3 ʔdou.3
14.14	young	tɔk.7 tha:ŋ.2
14.15	old	wa:n.2 śəŋ.2
14.16	early	taŋ.4
14.17	late	ʔdai.2
14.18	now	cüŋ.3 ja.4
14.19	immediately	ciŋ.2 sei.2
14.21	swift, fast, quick	leŋ.5 pou.6
14.22	slow	na:n.2
14.23	hasten, hurry	tam.3 to.5 po.6
14.24	retard, delay	pai.2 mɔi.5
14.25	begin, beginning	an.2 wɔn.2
14.252	last, endure	an.2 jam.6
14.26	end (temporal)	rɨŋ.6 ʔbɔn.2
14.27	finish	nɔi.1 cau.4
14.28	cease, stop	pan.2 ŋa:i.2
14.29	ready	ŋa:i.3 ʔja.6; pan.2 leŋ.2
14.31	always	an.2 jam.6
14.32	often	wɔn.2 kei.4
14.33	sometimes	wɔn.2 piɨk.8
14.331	soon	wɔn.2 lɨi.2
14.332	long-time (for a)	wɔn.2 ŋwa.2
14.34	never	wɔn.2 sɨn.2
14.35	again	tim.2 cuk.7
14.41	day	cuk.7
14.42	night	səŋ.5 khi.2; li.3 pa:i.4
14.43	dawn	wɔn.4 li.1 pa:i.4
14.44	morning	li.1 pa:i.4 li.2
14.45	noon, midday	li.1 pa:i.4 ɛ.4
14.451	afternoon	li.1 pa:i.4 sa:n.5
14.46	evening	li.1 pa:i.4 si.4
14.47	today	li.1 pa:i.4 u.1
14.48	tomorrow	li.1 pa:i.4 lu.2
14.481	day-after-tomorrow	ʔdun.2
14.49	yesterday	pei.1
14.491	day-before-yesterday	sei.2 tɔŋ.1
14.51	hour	sei.2 śɨn.2
14.53	clock, timepiece	sei.2 ja.5
14.61	week	sei.2 śau.2
14.62	Sunday	sei.2 leŋ.4
14.63	Monday	sei.2 phɔn.2
14.64	Tuesday	sei.2
14.65	Wednesday	kheu.2
14.66	Thursday	śɨp.8
14.67	Friday	śɨp.8; ʔdai.3 ńən.6
14.68	Saturday	hom.2
14.71	month	kheu.2
14.73	year	ʔja:i.2; mei.6 ta:u.6
14.74	winter	cit.7
14.75	spring	wa:n.1
14.76	summer	ʔdaŋ.6
14.77	autumn	kham.2
14.78	season	sam.3
15.21	smell (vb intrans)	mei.6 śu.6
15.212	sniff	ʔdai.3 ńən.6
15.22	smell (vb trans)	təŋ.6
15.25	fragrant, good smelling	haŋ.2
15.26	stinking, bad smelling	haŋ.2 moŋ.2
15.31	taste	pjak.8
15.35	sweet	than.2
15.36	salty	koi.1; la.6
15.37	bitter	hɔi.3 koi.1
15.38	acid, sour	ciu.5
15.39	brackish	rɨŋ.6
15.41	hear	sak.7
15.42	listen	tɨn.3
15.44	sound, noise	ʔdak.7
15.45	loud	kha:u.2
15.46	quiet, silence	ʔdam.2
15.51	see	ʔdeŋ.2
15.52	look, look at	kep.8
15.55	show	lɔk.8
15.56	shine	hen.3
15.57	bright	tam.2
15.61	color	nep.7; keu.3; pan.3
15.62	light (in color)	lɨm.6
15.63	dark (in color)	ken.5
15.64	white	on.6
15.65	black	on.6
15.66	red	khja:u.3; ca.2
15.67	blue	ŋau.2; lau.2
15.68	green	wam.2
15.69	yellow	pɨm.3
15.71	touch	nak.7
15.712	pinch	ʔbau.2
15.72	feel	tɨm.2
15.74	hard	ha:u.3; leŋ.4
15.75	soft	khɔi.6; ha:u.3
15.76	rough	ʔdut.8
15.77	smooth	thau.3
15.78	sharp	ʔda:ŋ.3; sɔk.7
15.79	blunt, dull	sɔi.1
15.81	heavy	jai.2; pa.1
15.82	light (in weight)	ńou.3
15.83	wet, damp	məŋ.6 khɔn.2
15.84	dry	than.2 kha:u.5; than.2 kha:u.5
15.85	hot	sei.2 hei.6 ʔdai.2
15.851	warm	po.6 sei.2
15.86	cold	faŋ.2; a:ŋ.6
15.87	clean	khu.2
15.88	dirty, soiled	ńɨm.6
15.89	wrinkled	hat.7 cam.2
16.11	soul, spirit	ŋa:i.3
16.15	surprised, astonished	cɨp.7
16.18	good fortune, luck	kot.7
16.19	misfortune, bad luck	cap.7
16.23	joyful, glad, happy	sam.1 cap.7
16.25	laugh	sam.1 kjɨp.7; ʔjau.2 sam.1
16.251	smile	hui.6
16.26	play	kho.3 sək.7
16.27	love	hai.3
16.29	kiss	nam.4 tha.2
16.3	embrace	kjaŋ.2
16.31	pain	ʔdan.6
16.32	grief, sorrow, sadness	ʔdan.6
16.33	anxiety, worry	ʔdan.6
16.34	regret, be sorry	sa:i.3 na.3
16.35	pity	ʔdan.2 ʔboŋ.3
16.37	cry, weep	ka:m.3
16.38	tear (noun)	na.3 ʔbä:ŋ.2; na.3 ńon.3
16.39	groan	la:u.1
16.41	hate	ŋɨi.2 muŋ.6
16.42	anger	lik.8
16.44	envy, jealousy	ŋɨi.2 muŋ.6
16.45	shame (noun)	can.1
16.48	proud	ka:ŋ.3 ʔjau.3
16.51	dare	ʔjau.3
16.52	brave	ʔdai.2
16.53	fear, fright	wa:i.6
16.54	danger	thou.2; toi.5
16.62	desire, want	lɔŋ.1
16.622	choose	lɔŋ.1
16.63	hope	lɔŋ.1
16.65	faithful	kwa:i.5
16.66	true	jan.6
16.67	lie, tell lies	ʔjam.2
16.68	deceit	śu.6
16.69	forgive	tha:m.6
16.71	good	śɔŋ.2 məŋ.2
16.72	bad	ʔda:k.8 ʔbau.3
16.73	right, correct	siŋ.3
16.74	wrong	than.2
16.76	fault	sən.5
16.77	mistake, error	rou.4
16.78	blame	rou.4
16.79	praise	siŋ.̄
16.81	beautiful	ʔa:k.8
16.82	ugly	łɨm.3; lɨm.3 ja.4
16.83	greedy	śu.6
16.84	clever	ŋwa:ŋ.6
17.11	mind	ja:k.8
17.13	think (= reflect)	ja:k.8
17.14	think (= be of the opinion)	son.1; son.1 sɨi.1
17.15	believe	lɨk.8 ja:k.8
17.16	understand	la:u.4 sai.1
17.17	know	thik.8 ja:k.8
17.171	guess	nin.1; nin.1 ʔdai.3
17.172	imitate	lɨm.2
17.18	seem	śəŋ.5 śu.1
17.19	idea, notion	ho.3
17.21	wise	mi.4 mi.2
17.22	foolish, stupid	khɨn.1 təŋ.4; cən.1
17.23	insane, crazy	ke.3
17.24	learn	mu.2 ti.2
17.242	study	kɔk.7 an.6
17.25	teach	ʔjɨp.7 ʔjiŋ.6; ŋei.2
17.26	pupil	ŋei.2
17.27	teacher	fa:n.3
17.28	school	si.5 ja:u.4
17.31	remember	ŋa:i.6
17.32	forget	no.3
17.34	clear, plain	ci.6
17.35	obscure	wa.4
17.36	secret	jən.5 wei.6
17.37	sure, certain	ci.6 ja.4; wa:ŋ.6 ja.4
17.38	explain	śi.4 ja.4
17.41	intention, purpose	cɨi.6; toi.5
17.42	cause	mei.2 cɨi.6 na:u.6
17.43	doubt	hat.7 pjou.5; pan.2 pjou.5
17.44	suspect	ki.3 la:i.1
17.441	betray	ki.3 la:i.1
17.45	need, necessity	ka.6 raŋ.1
17.46	easy	pou.6 roi.2
17.47	difficult	tei.6 rɔi.2
17.48	try, attempt	kjaŋ.5 rɔi.2; kɔn.2 rɔi.2
17.49	way, manner	kjaŋ.5 rɔi.2; kɔn.2 rɔi.2
17.51	and	wei.6 raŋ.1
17.52	because	tən.4
17.53	if	tən.4; tei.6 tən.4
17.54	or	tɨm.4
17.55	yes, affirmative	tɨm.4; tei.6 tɨm.4
17.56	no, negative	haŋ.2
17.61	how?	khɨn.3
17.62	how many?	ko.5
17.63	how much?	jeu.6; ron.6
17.64	what?	lak.8 lem.4 ja.4
17.65	when?	pau.5 wit.7
17.66	where?	ciu.1 ron.6
17.67	which?	roŋ.4
17.68	who?	ka:ŋ.3
17.69	why?	ka:ŋ.3 ka.2 lən.4
18.11	voice	ja.4
18.12	sing	lan.6 cin.4
18.13	shout, cry out	jen.3 ka:ŋ.3
18.15	whisper	wa:m.2 kha:u.6
18.16	mumble	sɨi.1
18.17	whistle	məŋ.2
18.18	shriek, screech	khjam.2
18.19	howl	ta:p.7
18.21	speak, talk	ńən.6
18.211	stutter, stammer	po.6 ńən.6
18.22	say	kjau.2
18.221	tell story	ta:p.7 əŋ.6
18.222	speech (make a)	thoi.2
18.23	silent (be)	kjam.5
18.24	language	ja.4
18.26	word	jeu.6
18.28	name	jeu.6 hat.7
18.31	ask (question, inquire)	hap.7
18.32	answer	ka:k.8 jan.6
18.33	admit, confess	la:i.2
18.34	deny	tok.8
18.35	ask, request	sa.1
18.36	promise	pət.7
18.37	refuse	sɨi.1
18.38	forbid	ca:ŋ.6 sei.1
18.39	rebuke, scold	an.2 nau.2
18.41	call (=summon)	an.2 kjoŋ.1
18.42	call (=name)	ja:u.6
18.43	announce	kuk.7 kja.1
18.44	threaten	kuk.7 co.3; ʔba:n.3 ru:n.2
18.45	boast	səŋ.2
18.51	write	ʔba:n.3
18.52	read	kja:i.5
18.56	paper	jən.2 mjən.2
18.57	pen	kjɔŋ.3 kjok.8
18.61	book	kɔn.2 tau.2
18.67	poet	tau.4
18.71	flute	kun.3 lei.4
18.72	drum	wuŋ.2 tai.5
18.73	horn, trumpet	me.6 pa.2 wuŋ.2 tai.5
18.74	rattle	la:u.4 cau.3
19.11	country	khoi.3
19.12	one's native country	khoi.3
19.15	city, town	mjən.4 ləŋ.4
19.16	village	ei.2 cɨn.3; ŋiŋ.6
19.17	boundary	paŋ.2 jau.6; toi.6
19.21	people (populace)	ti.2 jən.2
19.23	tribe, clan	run.2 khjɔn.3 khja:ŋ.3
19.24	chief, chieftain	kɔn.2 pek.7
19.25	staff, walking stick	kɔn.2 khek.8
19.31	rule, govern	cau.3
19.32	king, ruler	pa:ŋ.1
19.33	queen	la:n.2
19.36	noble, nobleman	kwen.5
19.37	citizen, subject	ceŋ.1
19.41	master	jan.5 mou.2
19.42	slave	than.2 na.3; phɨŋ.4 than.2
19.43	servant	kai.5
19.44	freeman	tɨŋ.6 tək.7; ceŋ.1
19.45	command, order	tək.7 can.6
19.46	obey	hɔ.2 phən.2
19.47	let, permit	pəŋ.1
19.51	friend, companion	pəŋ.1
19.52	enemy	u.1 khi.4
19.54	neighbor	mai.4 ton.6
19.55	stranger	kɔŋ.1
19.56	guest	pəŋ.1 kəŋ.1
19.57	host	khjok.8
19.58	help, aid	kim.5
19.59	hinder, prevent	pha:u.6
19.61	custom	ma:u.6 ka:ŋ.2
19.62	strife, quarrel	jəŋ.2
19.63	conspiracy, plot	sɨi.1
19.65	meet	kɨŋ.5 khau.3
19.72	prostitute	hen.2
20.11	fight (vb)	thoi.6
20.13	war, battle	thou.2 ja:ŋ.2
20.14	peace	kap.8
20.15	army	ʔdo.3
20.17	soldier	la:u.4 tək.7 pja.1
20.21	weapons, arms	tək.7 pja.1
20.22	club	pa:k.7 ʔbat.7
20.222	battle-ax	muŋ.6 pja.1
20.23	sling	tək.7 thau.6
20.24	bow	la:u.4 tək.7 thau.6
20.25	arrow	ŋəŋ.2
20.26	spear	ŋiŋ.5
20.27	sword	phjət.7
20.28	gun, cannon	phon.4
20.31	armor (defensive)	la:u.4 ka:u.5
20.33	helmet	la:u.4 ŋa:i.2 ka:u.5
20.34	shield	la:u.4 cəŋ.4 mjən.2
20.35	fortress	ka:u.5
20.36	tower	phon.4... mei.2 coi.6
20.41	victory	mei.2 coi.6
20.42	defeat	mei.2 na:u.5 coi.6 na:u.6
20.43	attack	fa:t.7
20.44	defend	fa:t.7 ŋan.2
20.45	retreat	la:u.2
20.46	surrender	cam.6 fai.2
20.47	captive, prisoner	lak.8
20.471	guard, sentinel	śiŋ.3
20.48	booty, spoils	pou.3 lak.8
20.49	ambush	tha:i.2
20.51	fisherman	ta:m.2 ʔda.6
20.52	fishhook	him.2
20.53	fishing line	phei.2
20.54	fishnet
20.55	fish trap
20.56	bait
20.61	hunt
20.62	shoot
20.63	miss (target)
20.64	trap (noun)
20.65	trap (vb)
21.11	law
21.15	court
21.16	judge (vb)
21.17	judgment
21.18	judge (noun)
21.21	plaintiff
21.22	defendant
21.23	witness
21.24	swear
21.25	oath
21.31	accuse
21.32	condemn
21.33	convict (vb)
21.34	acquit
21.35	guilty
21.36	innocent
21.37	penalty, punishment
21.38	fine
21.39	prison, jail
21.42	murder
21.43	adultery
21.44	rape
21.46	arson
21.47	perjury
21.51	steal
21.52	thief
22.11	religion
22.12	God
22.13	temple, church
22.14	altar
22.15	sacrifice, offering
22.16	worship
22.17	pray
22.18	priest
22.19	holy, sacred
22.22	preach
22.23	bless
22.24	curse
22.26	fast (vb)
22.31	heaven
22.32	hell
22.35	demon (evil spirit)
22.37	idol
22.42	magic, witchcraft, sorcery
22.43	sorcerer, witch
22.44	fairy, elf
22.45	ghost, phantom
22.47	omen, portent
