entry_id	trans_english	Nenets_Phonemic
1.1	world	tir̃ʔʔniy
1.21	earth, land	ya
1.212	earth=ground, soil	ya ~ yaʔsʸar̃ʔʔ
1.213	dust	sibʸa
1.214	mud	war̃ʔʔ
1.215	sand	tab
1.22	mountain, hill	xoy
1.222	cliff, precipice	talʸbʸa
1.23	plain, field	labta
1.24	valley	labta ya; moŋga
1.25	island	ŋo
1.26	mainland	ya
1.27	shore	war̃; yawʔ xɨy; yawʔ xew
1.28	cave	- -
1.31	water	iʔʔ
1.32	sea	yamʔ
1.322	calm (of sea)	xeʔʔnʸo
1.323	rough (of sea)	- -
1.324	foam	sisʸo
1.329	ocean	itʸa ŋabtʸenʸa
1.33	lake	to
1.34	gulf, bay	paxa
1.341	lagoon	- -
1.342	reef	idʔ ŋɨlɨ talʸbʸa
1.343	headland, point	salʸa ~ mar̃a
1.35	wave	xamba; (xambaʔ ŋewa)
1.352	tide	yawʔ iʔʔ; xas
1.353	lowtide	xas ~ idʔ xaʔʔam
1.354	hightide	yawʔ iʔʔ
1.36	river, stream, brook	yaxa; loxor̃ta
1.362	whirlpool	xe; idʔ sʸur̃na
1.37	spring, well	loxor̃ta; nʸer̃mʸa
1.38	swamp	sabolʔʔ; lɨmbad
1.39	waterfall	idʔ pʸur̃nana
1.41	woods, forest	pedar̃a
1.42	tree (cf 08.600)	pʸa
1.43	wood	pʸa
1.44	stone, rock	pe
1.45	earthquake	yaʔ lʸadʔʔma
1.51	sky	numʔ
1.52	sun	xayer̃ʔʔ
1.53	moon	ir̃iy; ir̃ɨ
1.54	star	numgɨ
1.55	lightning	xeʔ tu
1.56	thunder	xeʔ
1.57	lightning (as striking)	xeʔ tu
1.58	storm	sata mʸer̃c̷ʸa
1.59	rainbow	nuwʔ sʸoyar̃ʔʔ ~ nuwʔ panu
1.61	light (noun)	yalʸa
1.62	darkness	pewdʸa
1.63	shade, shadow	tid
1.64	dew	yabta
1.71	air	indʔʔ
1.72	wind	mʸer̃c̷ʸa
1.73	cloud	tir̃
1.74	fog	sinʸo
1.75	rain (noun)	sar̃ʸo
1.76	snow (noun)	sɨr̃a
1.77	ice	salaba ~ ser̃ʔʔ
1.78	weather	numda
1.81	fire	tu
1.82	flame (noun)	leyo
1.83	smoke (noun)	yake
1.84	ashes	tuʔ sibʸa
1.841	embers	mor̃ʸoc̷ʸaʔʔ yataʔʔmaʔʔ
1.851	burn (vb trans)	par̃adamba(sʸ)
1.852	burn (vb intrans)	par̃ana(sʸ)
1.86	light, kindle, ignite	tumdasʸ ~ tʸunʸesʸ
1.861	extinguish	xabtaba(sʸ)
1.87	match (noun)	sʸer̃a
1.88	firewood	pʸaʔʔ; tuʔ pʸa
1.89	charcoal	pʸaʔ yataʔʔma
2.1	person, human being	nʸenec̷ʸʔ
2.21	man (vs. woman)	xasawa
2.22	woman	nʸe
2.23	male	xasawa
2.24	female	nʸe
2.25	boy	xasawa ŋac̷ʸekɨ
2.251	young man (adolescent)	nanɨ; ŋac̷ʸ xibʸa
2.26	girl	nʸe ŋac̷ʸekɨ
2.261	young woman (adolescent)	pir̃ibtʸa
2.27	child	ŋac̷ʸekɨʔʔ
2.28	infant, baby	ŋayabeko
2.31	husband	xasawa ~ wesako
2.32	wife	nʸe ~ puxuc̷ʸa
2.33	marry	nʸelʸe(sʸ) ~ xayepa xesʸ
2.34	marriage, wedding	nʸelʸewa ~ xayepawa; tʸunʸa
2.341	divorce	sidʸaɨʔ xewa
2.35	father	nisʸa
2.36	mother	nʸebʸa
2.37	parents	soyabtawɨʔʔ
2.38	married man	nʸesawey
2.39	married woman	xayepada
2.41	son	nʸu
2.42	daughter	nʸe nʸu
2.43	offspring (son or daughter)	- -
2.44	brother	nʸa
2.444	older brother	nʸeka ~ ninʸeka
2.445	younger brother	papa
2.45	sister	nʸe nʸa
2.454	older sister	nʸabako
2.455	younger sister	nʸe papa
2.456	sibling	nʸa; nʸe nʸa
2.458	twins	yaxasaxaʔ
2.46	grandfather	ir̃i
2.461	old man	wesako ~ wesey
2.47	grandmother	xada
2.471	old woman	puxuc̷ʸa ~ puxu
2.48	grandson	nʸuʔ nʸu
2.49	granddaughter	nʸuʔ nʸe nʸu ~ nʸe nʸuʔ nʸe nʸu
2.51	uncle	tidʸa
2.511	mother's brother	tidʸa
2.512	father's brother	tidʸa
2.52	aunt	nʸeya
2.521	mother's sister	nʸeya
2.522	father's sister	nʸabako
2.53	nephew	mʸaŋg ~ nʸu
2.54	niece	nʸe mʸaŋg ~ nʸe nʸu
