entry_id	trans_english	Trumai_Phonemic
3.98	turtle	uruts; tsul
4.11	body	(iau) i
4.12	skin, hide	(iau) pɨt; (ha) pɨt̯
4.13	flesh	lat
4.14	hair (head)	(ha) kuš
4.142	beard	mukpus
4.144	body hair	(iau) šap
4.145	pubic hair	
4.146	dandruff	
4.15	blood	(ha) du
4.151	vein, artery	
4.16	bone	daš
4.162	rib	(ha) i
4.17	horn	
4.18	tail	asix(-ake)
4.19	back	natu
4.191	spine	
4.2	head	kut(-ake); (ha) kuta
4.201	side of head, temple	
4.202	skull	
4.203	brain	
4.204	face	xupda
4.205	forehead	huk
4.207	jaw	maʔdaša
4.208	cheek	
4.209	chin	
4.21	eye	xon(-ake); (ha) xon
4.212	eyebrow	
4.213	eyelid	
4.214	eyelash	huksi
4.215	blink	
4.22	ear	(ha) faptɨ
4.221	earlobe	
4.222	earwax	
4.23	nose	(ha) laša
4.231	nostril	
4.232	mucus (nasal)	
4.24	mouth	(ha) xop
4.241	beak	laf(-ake)
4.25	lip	laf
4.26	tongue	(ha) ano
4.27	tooth	(ha) iša
4.271	gums	
4.272	molartooth	
4.28	neck	(ha) hot
4.281	nape of neck	alan-pat, alan-pad
4.29	throat	(iau) mud
4.3	shoulder	(ha) miuda
4.301	shoulderblade	
4.302	collarbone	
4.31	arm	(ha) ato
4.312	armpit	
4.32	elbow	at̯o dako
4.321	wrist	nap
4.33	hand	(ha) kat
4.331	palm of hand	kad fax
4.34	finger	kat=kel
4.342	thumb	
4.344	fingernail	(ha) fi
4.345	claw	piʔ=fi(-ake)
4.35	leg	(ha) dak / dat (?)
4.351	thigh	(ha) hud
4.352	calf of leg	
4.36	knee	(ha) dako
4.37	foot	pitsʔ(-ake); i
4.371	ankle	
4.372	heel	
4.374	footprint	
4.38	toe	pits=kel
4.392	wing	etlep(-aʔke) ~ etlep(-ake)
4.393	feather	kodetɬ šap
4.4	chest	
4.41	breast (of woman)	di-olem
4.412	nipple, teat	olem-laf
4.42	udder	
4.43	navel	
4.44	heart	(iau) hotʔaput
4.441	lung	
4.45	liver	(iau) aʔtsi; (ha) atsi
4.451	kidney	
4.452	spleen	
4.46	stomach	(ha) pitɬ; (ha) oxe
4.461	intestines, guts	(ha) fax
4.462	waist	
4.463	hip	
4.464	buttocks	petɬ
4.47	womb	
4.49	testicle	taf oa
4.492	penis	o; o-a
4.51	breathe, breath	(ha) an fafla
4.52	yawn, gape	
4.521	hiccough	šukuk
4.53	cough	
4.54	sneeze	
4.55	perspire	sex
4.56	spit	(ha) tʔuske
4.57	vomit	(ha) pepen
4.58	bite	(ha) make; tako-n (haits)
4.59	lick	(ha) anosetɬ; (ha) hano fetɬe
4.591	dribble	
4.61	sleep	o-otl-(e); (ha)-iotl
4.612	snore	
4.62	dream	
4.63	wake up	
4.64	break wind	(ha) uax
4.65	urinate	(ha) su=ta
4.66	defecate	(ha) ofal; loueu
4.67	have sexual intercourse	(ha) kan; (ha) el
4.68	shiver	
4.69	bathe	(ha) xu=ma=ktsu
4.71	beget (of father)	
4.72	born (to be)	uʔu-n de
4.73	pregnant	tarke; oxa-n
4.732	conceive	
4.74	live, living, life	
4.75	die, dead	fakdits-e
4.751	drowned	
4.76	kill	(ha)-fa; (ha) ʔfa; ofa-n; (haits) disi-n
4.77	corpse	
4.78	bury (the dead)	(ha) falomle
4.79	grave, tomb	
4.81	strong, mighty, powerful	(iau) iataxa
4.82	weak	at̯ʔe tak; ari-ki tak (ha šɨ)
4.83	well, health	
4.84	sick, sickness	oke
4.841	fever	oke
4.842	goiter	
4.843	cold (catarrh)	fad ~ fat
4.85	wound, sore	etɬemxo
4.852	bruise	
4.853	swelling	mox-e
4.854	itch	xunxun
4.855	blister	
4.856	boil (noun)	
4.857	pus	anon
4.858	scar	kɨrɨu (pitɬ); kɨrɨu (tetɬ)
4.86	cure, heal	(haits) xuʔta-xuʔta-n
4.87	physician	oke-iar
4.88	medicine, drug	(hai-kte) oke
4.89	poison	oke
4.91	tired, weary	(iau) xuʔkat; (ha) demle
4.912	rest	(ha) fatɬtɨtaʔ
4.92	lazy	(ha) dekʔ
4.93	bald	kutʔa šap
4.94	lame	
4.95	deaf	faʔtsa tak ha šɨ
4.96	mute	ami-tkek
4.97	blind	xon tak-e
4.98	intoxicated	
4.99	naked, bare	
5.11	eat	(ha) ma
5.12	food	(iau) pan
5.121	cooked	
5.122	raw	tsʔido, tsido
5.123	ripe	latne
5.124	green, unripe	
5.125	rotten	xeʔne xeʔne
5.13	drink	sone
5.14	hunger	(ha)-atsi uatɨma
5.141	famine	ameotɬe
5.15	thirst	
5.16	suck	(ha) xom; (ha) xopla
5.18	chew	maptsʔapa
5.181	swallow	
5.19	choke	
5.21	cook	(ha) olem
5.22	boil (vb)	pdoko; pdoko-ka-n
5.23	roast, fry	
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	atla; atɬane; urumaš
5.27	kettle	
5.28	pan	
5.31	dish	
5.32	plate	
5.33	bowl	
5.34	pitcher, jug	
5.35	cup, drinking vessel	
5.36	saucer	
5.37	spoon	kuipeu
5.38	knife	taxu
5.39	fork	
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	deat-xut
5.47	sieve, strain	urupem
5.48	scrape	(ha) fitke fitke; tsixu-tsixu-n; (ha) tɨšɨ
5.49	stir, mix	(haits) parau-ka-n, [parau]
5.51	bread	
5.53	dough	paratɨ
5.54	knead	(ha) niʔtsapa
5.55	meal, flour	karima
5.56	crush, grind	
5.57	mill	
5.58	mortar	
5.59	pestle	
5.61	meat	
5.63	sausage	
5.64	soup, broth	sux
5.65	vegetables	
5.66	bean	kuman; kumanaʔi
5.7	potato	mani; mani dat̯
5.71	fruit	deat ~ deiat
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	tsinel
5.78	olive	--
5.79	oil	
5.791	grease, fat	tsʔa
5.81	salt	iakɨr tsido
5.82	pepper	šɨšɨk; šɨšɨk atoho / atoxo
5.821	chili pepper	
5.84	honey	aus tsʔa
5.85	sugar	aroxo-roxo-k
5.86	milk (noun)	--
5.87	milk (vb)	--
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	sone-kuaš
5.91	mead	
5.92	wine	--
5.93	beer	
5.94	fermented drink	latne šɨšɨšɨšɨ
5.97	egg	taf / t̯af (?)
5.971	egg yolk	taf-ni
6.11	put on (clothes)	
6.12	clothing, clothes	mut
6.13	tailor	
6.21	cloth	
6.22	wool	
6.23	linen, flax	
6.24	cotton	amundiu
6.25	silk	
6.27	felt	
6.28	fur	
6.29	leather	
6.31	spin	
6.32	spindle	
6.33	weave	
6.34	loom	
6.35	sew	(ha) maska
6.36	needle	
6.37	awl	
6.38	thread	
6.39	dye	kut xotan
6.41	cloak	
6.411	poncho	
6.42	woman's dress	
6.43	coat	
6.44	shirt	
6.45	collar	
6.46	skirt	
6.461	grass-skirt	
6.48	trousers	
6.49	stocking, sock	
6.51	shoe	
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	
6.57	belt, girdle	
6.58	glove	
6.59	veil	
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	paraua
6.72	jewel	
6.73	ring (for finger)	
6.74	bracelet	atos usa; katnap usa
6.75	necklace	mus; petʔe; iatɨtla mɨʔɨrela
6.76	bead	mɨʔɨraw
6.77	earring	(ha) fa (fa-ake)
6.78	headband, headdress	
6.79	tattoo	(iau) kanap šašxo
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	kuau; tete (ha) kuš
6.92	brush	
6.921	braid	
6.93	razor	
6.94	ointment	
6.95	soap	
6.96	mirror	
7.11	dwell, live	laka, ilaka
7.12	house	pike; dat̯
7.13	hut	
7.131	garden-house	
7.14	tent	
7.15	yard, court	
7.16	men's house	fetɬtat
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	talel
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	talel ɨš
7.24	key	
7.25	window	
7.26	floor	
7.27	wall	
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	ueset̯; esak uanta
7.421	pillow	
7.422	blanket	
7.43	chair	
7.44	table	
7.45	lamp, torch	
7.46	candle	
7.47	shelf	ueset̯
7.48	trough	
7.51	roof	
7.52	thatch	damok
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	ɨš; piririuke-ɨš
7.57	board	
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	kutʔa
8.13	garden	
8.15	cultivate, till	
8.16	fence	ɨuɨr xomama
8.17	ditch	
8.21	plow	
8.212	furrow	
8.22	dig	(ha)xot̯ken; xot̯ken-e
8.23	spade	
8.24	shovel	
8.25	hoe	
8.26	fork	eteʔlok
8.27	rake	
8.31	sow	
8.311	seed	tɨl
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	ot̯et̯
8.48	rice	[arosa]
8.51	grass	kutat; kuian
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	(ha) falomle
8.54	root	oke; ɨuɨr maksi
8.55	branch	
8.56	leaf	sida ~ siʔda
8.57	flower	
8.6	tree	
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	
8.68	tobacco	fi
8.69	smoke (tobacco)	(ha) xom
8.691	pipe	
8.72	tree stump	ɨuɨr ša
8.73	tree trunk	ɨš
8.74	forked branch	ɨuɨr inuki
8.75	bark	deifta
8.76	sap	
8.81	palm tree	inai tɬe i; kaatɬet; isinke tɬe i
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	mani
8.912	yam	
8.92	tapioca, manioc, cassava	ole, ale; maisauarɨ
8.93	gourd	ɨʔa
8.931	pumpkin, squash	uaruta
8.94	bamboo	
8.941	sugar cane	kanauiia
8.96	fish poison (root)	katlis
8.97	nettle	
8.98	mushroom	
9.11	do, make	šuda
9.12	work	xuʔkat
9.14	bend	
9.15	fold	xošman (ha)
9.16	tie, bind	(ha) sauken
9.161	untie	
9.18	chain	
9.19	rope, cord	(ha) sauken
9.192	knot (noun)	
9.21	strike (hit, beat)	
9.211	pound with fist	
9.22	cut	(ha) šɨ; (haits) naha
9.221	cut down	(haits) ɨuɨr šetsi-ka
9.222	chop, hew	
9.223	stab	
9.23	knife	taxu
9.24	scissors, shears	
9.25	ax	iau=šɨ=kuaš
9.251	adze	
9.26	break	(haits) tususa-taxaxne-ka
9.261	broken	
9.27	split	
9.28	tear	(ha) ɨen
9.29	flay, skin	lenka
9.31	rub, wipe	(haits) kɨtɨ kɨtɨu
9.32	stretch	
9.33	pull	txtʔtsi
9.34	spread out	(haits kuman) tʔaxpan
9.341	hang up	(ha) tonela; tonela-la-n
9.342	press	
9.343	squeeze, wring	(haits) dima-n
9.35	pour	
9.36	wash	(haits)-xoxan-e
9.37	sweep	(ha) piʔpir
9.38	broom	
9.422	tool	
9.43	carpenter	
9.44	build	
9.46	bore	
9.461	hollow out	
9.48	saw	
9.49	hammer	
9.5	nail	
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	
9.74	glass	
9.75	weave, plait	
9.76	basket	
9.77	mat	
9.771	rug	
9.78	netbag	
9.79	fan (noun)	tupe
9.791	fan (vb)	(ha) laf laf
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	maxkeua
9.89	paint (vb)	(ha) pɨtan
10.11	move	
10.12	turn over	(haits) uaman-e
10.13	turn around	
10.14	wind, wrap	
10.15	roll	
10.16	drop (vb)	
10.17	twist	
10.21	rise	
10.22	raise, lift	(ha) lakida
10.23	fall	uapta(-n)
10.24	drip	(haits) akʔax-ka
10.25	throw	
10.252	catch (ball)	(ha) api
10.26	shake	(haits) sa-ka(-n)
10.32	flow	misu tururu
10.33	sink	(ha) pešma
10.34	float	
10.35	swim	(ha) laf
10.351	dive	(ha) asima
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	piuda-n
10.38	blow	(ha) laf
10.41	creep, crawl	
10.412	kneel	tedakok (ha) atsi
10.413	crouch	pits fi-t (ha) atsi, (ha) aʔtsi
10.42	slide, slip	(ha) pits ɨrɨrɨu
10.43	jump, leap	(ha) ašɨ=kida
10.431	kick	
10.44	dance	(iauʔ) sa
10.45	walk	(ha) kaʔšɨ-kiua; (ha) kaašɨ
10.451	limp	
10.46	run	(ha) peš
10.47	go	
10.471	go up	(ha) uakʔde
10.472	climb	
10.473	go down	(ha) šetsi
10.474	go out	
10.48	come	
10.481	come back	(ha)-uamu de
