entry_id	trans_english	Sanapaná_Dialect_Angaité_Phonemic
1.1	world	akyawakaɬma nak
1.21	earth, land	ɬipop anak
1.212	earth=ground, soil	ɬipop
1.213	dust	ɬipop ampaia
1.214	mud	anyaɬpa
1.215	sand	ɬipop anik
1.22	mountain, hill	mitaimoŋ
1.222	cliff, precipice	ɬipop nitiŋ
1.23	plain, field	yama awaɬwok
1.24	valley	waiwikanta ɬipop yiman
1.25	island	akhayam ɬipop
1.26	mainland	
1.27	shore	niyawa
1.28	cave	mitaimoŋ akaɬwa
1.31	water	yimin
1.32	sea	akpaihikamok yimin
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	
1.329	ocean	yimin akyawaia
1.33	lake	
1.34	gulf, bay	
1.341	lagoon	saŋa
1.342	reef	anɬinaikaok
1.343	headland, point	
1.35	wave	ankilyaski nitin yimin
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	watsom
1.362	whirlpool	yimin akhaɬinkayam
1.37	spring, well	yimin akyiŋama
1.38	swamp	yama awaɬwok
1.39	waterfall	aktiyayam yimin
1.41	woods, forest	aɬma
1.42	tree (cf 08.600)	yamit aohak
1.43	wood	yamit aisiksik
1.44	stone, rock	mitaimoŋ
1.45	earthquake	ɬipop akpiɬninimama
1.51	sky	nitiŋ
1.52	sun	aknim
1.53	moon	piɬtin
1.54	star	apyaoa
1.55	lightning	apkilyimoma taɬa
1.56	thunder	takha
1.57	lightning (as striking)	apkiɬtinyowaikamok
1.58	storm	amnimama
1.59	rainbow	pisinhik
1.61	light (noun)	alyapopma nitiŋ
1.62	darkness	apyitnaktiskaɬma
1.63	shade, shadow	piskiska
1.64	dew	lalya
1.71	air	
1.72	wind	apyayaam
1.73	cloud	yiphopaia nitiŋ
1.74	fog	timitiŋ
1.75	rain (noun)	akmamaia
1.76	snow (noun)	apyayaam apok
1.77	ice	laklaimin
1.78	weather	
1.81	fire	taɬa
1.82	flame (noun)	
1.83	smoke (noun)	itiŋ
1.84	ashes	tahap
1.841	embers	miɬma
1.851	burn (vb trans)	akwanɬiyi
1.852	burn (vb intrans)	anmitki
1.86	light, kindle, ignite	-aliŋwais taɬa
1.861	extinguish	sipkonki
1.87	match (noun)	niliktiɬma taɬa
1.88	firewood	yintapa
1.89	charcoal	yama-miɬma
2.1	person, human being	inɬit; ininɬit
2.21	man (vs. woman)	inɬit; apkinawo
2.22	woman	ankilwana
2.23	male	apkinawo ~ apkinao
2.24	female	ankilwana
2.25	boy	apkinawo ~ apkinao
2.251	young man (adolescent)	apyinanik
2.26	girl	ankilwana atkok
2.261	young woman (adolescent)	anyaminana
2.27	child	apkitka
2.28	infant, baby	ansitkok
2.31	husband	a-tawa
2.32	wife	ap-tawa
2.33	marry	apkilyimhapki
2.34	marriage, wedding	-kilyamhapma
2.341	divorce	apyinyaoki aptawa
2.35	father	apyapoŋ; anyapoŋ
2.36	mother	ankin
2.37	parents	
2.38	married man	apkilyimhapma
2.39	married woman	ankilyimhapma
2.41	son	apkitka apkinao
2.42	daughter	apkitka ankilwana
2.43	offspring (son or daughter)	ansitkook
2.44	brother	
2.444	older brother	yipma
2.445	younger brother	apyaɬiŋ; anyaɬiŋ
2.45	sister	
2.454	older sister	apyaɬo; anyaɬo
2.455	younger sister	apyaɬiŋ; anyaɬiŋ
2.456	sibling	apɬamakha; akɬamakha
2.458	twins	akanit akpaliyam
2.46	grandfather	ap-yata
2.461	old man	kilaphapai
2.47	grandmother	an-yama
2.471	old woman	kilapaksi
2.48	grandson	aptawin
2.49	granddaughter	atawin
2.51	uncle	
2.511	mother's brother	apyapka
2.512	father's brother	apyaha
2.52	aunt	
2.521	mother's sister	ankin
2.522	father's sister	ankatim
2.53	nephew	apyaha
2.54	niece	anyaha
2.55	cousin	
2.56	ancestors	apyata nanoi
2.57	descendants	aptikɬia
2.61	father-in-law (of a man)	-ipyata
2.611	father-in-law (of a woman)	-ipyata
2.62	mother-in-law (of a man)	-yipyaom
2.621	mother-in-law (of a woman)	-yipyaom
2.63	son-in-law (of a man)	aphiphayim
2.631	son-in-law (of a woman)	-yiphayim
2.64	daughter-in-law (of a man)	aptawin ankin
2.641	daughter-in-law (of a woman)	atawin ankin
2.71	stepfather	yama-apyapoŋ
2.72	stepmother	yama ankin
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	akyinwaikamaha
2.76	widow	anɬintampi
2.77	widower	apɬintampi
2.81	relatives, kinsmen	apankao-kasik
2.82	family	
2.91	I	koo
2.92	you (singular)	ɬiyap; ɬiya
2.93	he/she/it	[zero]
2.94	we	inin-koo
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	ɬinkap; ɬinka
2.96	they	[zero]
3.11	animal	antaa
3.12	male (adj)	antaa apkinao
3.13	female (adj)	antaa ankilwana
3.15	livestock	--
3.16	pasture	paat
3.18	herdsman	apkilanimaha
3.19	stable, stall	
3.2	cattle (bovine)	[waka]
3.21	bull	[waka] apkinao
3.22	ox	aɬpatama
3.23	cow	[waka]
3.24	calf	[waka] ayitkok
3.25	sheep	nipkisik
3.26	ram	nipkisik apkinao
3.28	ewe	nipkisik ankilwana
3.29	lamb	nipkisik apkitkok
3.32	boar	yata-pomahap apkinao
3.34	sow	yata-pomahap ankilwana
3.35	pig	yata-pomahap apkitkok
3.36	goat	yataai; yitaai
3.37	he-goat	yataai apkinao
3.38	kid	yataai apkitkok
3.41	horse (equine)	yitaɬiŋ; yitaaɬiŋ
3.42	stallion	yitaɬiŋ apkinao
3.44	mare	yitaɬiŋ ankilwana
3.45	foal, colt	yitaɬiŋ apkitkok
3.46	ass, donkey	alyawahaikok; alyawaikok
3.47	mule	yama-alyawahaikok
3.5	fowl	
3.52	cock, rooster	tapii apkinao
3.54	hen	tapii ankilwana
3.55	chicken	tapii
3.56	goose	yita-mitiktiŋ
3.57	duck	mitiktiŋ
3.58	nest	aɬankok
3.581	bird	nata
3.582	seagull	
3.583	heron	hapo
3.584	eagle	
3.585	hawk	kilyipit sanaki
3.586	vulture	mitki ikhik
3.591	bat	mipop
3.592	parrot	piɬpo
3.593	crow	maho
3.594	dove	kalimaktik
3.596	owl	tiwowok; towowok
3.61	dog	atsimhin
3.614	rabbit	aptomahan; aptomahaŋ
3.62	cat	kamis; tinok
3.622	opossum	piɬwamin
3.63	mouse, rat	wapa
3.65	fish	kilasma
3.652	fin (dorsal)	
3.653	fishscale	ayimpiyok
3.654	gill	
3.655	shell	
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	pinyit
3.665	freshwater eel	yiɬim
3.71	wolf	wawo
3.72	lion	akmiwa
3.73	bear	[oso]
3.74	fox	maliŋ
3.75	deer	popyit; yita-popyit
3.76	monkey	kilyaminayamit
3.77	elephant	--
3.78	camel	
3.81	insect	askok
3.811	louse	pitim
3.812	nit (louse egg)	pitim apok
3.813	flea	maliŋ askok
3.814	centipede	alimpopma
3.815	scorpion	itaha
3.816	cockroach	
3.817	ant	tipoli
3.818	spider	kilyawaika
3.819	spider web	
3.82	bee	piyam
3.821	beeswax	ayimpihik
3.822	beehive	aɬankok
3.823	wasp	maha
3.83	fly	yapa
3.831	sandfly (midge), gnat	sinsik
3.832	mosquito	paɣa
3.84	worm	kona-ɬipop
3.85	snake	akyiwa
3.91	firefly	tinikamok
3.92	butterfly	si-lik-lik
3.93	grasshopper	siwa
3.94	snail	mamatik; akpoŋ
3.95	frog	naptiktiŋ
3.96	lizard	piyim
3.97	crocodile, alligator	yita-piyim
3.98	turtle	yata-nata
4.11	body	iŋhapitik
4.12	skin, hide	inyimpihik
4.13	flesh	iŋhapitik
4.14	hair (head)	awa
4.142	beard	awa apatoŋ
4.144	body hair	awa
4.145	pubic hair	awa
4.146	dandruff	
4.15	blood	ima
4.151	vein, artery	ahak
4.16	bone	aɬkapok; apiɬkapok
4.162	rib	akhaok
4.17	horn	ankapit
4.18	tail	aipakyik
4.19	back	apkapok
4.191	spine	aɬkapok aphapok
4.2	head	apkatik
4.201	side of head, temple	napaat
4.202	skull	
4.203	brain	
4.204	face	napaat
4.205	forehead	paihakha napaat
4.207	jaw	amaɬimpinik
4.208	cheek	napaat
4.209	chin	koni atoŋ
4.21	eye	aktik
4.212	eyebrow	aktik-wahan
4.213	eyelid	tikhaɬit aktik
